# COSI2 B0 scan,,,,,,
# time 2024-05-22 18:55:30.362520,,,,,,
# MAGNET CENTER IN LAB: x 241.700 mm, y 131.100 mm, z 273.800 mm,,,,
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240522/path_no_magnet_80mm_8pts,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT|,B0_z[mT],B0_abs[mT]
247.03,93.77,204.47,-47.479,-0.879,2.001,47.525
215.03,104.43,204.47,-47.494,-0.892,2.023,47.544
225.7,104.43,204.47,-47.495,-0.886,2.017,47.543
236.37,104.43,204.47,-47.492,-0.881,2.012,47.542
247.03,104.43,204.47,-47.489,-0.874,2.009,47.54
257.7,104.43,204.47,-47.484,-0.864,1.999,47.536
268.37,104.43,204.47,-47.497,-0.86,1.994,47.544
279.03,115.1,204.47,-47.504,-0.851,2,47.555
268.37,115.1,204.47,-47.497,-0.862,1.997,47.55
257.7,115.1,204.47,-47.497,-0.866,2.007,47.545
247.03,115.1,204.47,-47.491,-0.875,2.01,47.541
236.37,115.1,204.47,-47.496,-0.876,2.018,47.547
225.7,115.1,204.47,-47.496,-0.882,2.017,47.547
204.37,125.77,204.47,-47.514,-0.89,2.025,47.565
215.03,125.77,204.47,-47.508,-0.887,2.021,47.559
225.7,125.77,204.47,-47.497,-0.883,2.02,47.552
236.37,125.77,204.47,-47.493,-0.878,2.016,47.55
247.03,125.77,204.47,-47.5,-0.87,2.014,47.549
257.7,125.77,204.47,-47.506,-0.869,2.009,47.554
268.37,125.77,204.47,-47.499,-0.856,2.006,47.55
279.03,125.77,204.47,-47.506,-0.853,2.008,47.56
289.7,136.43,204.47,-47.526,-0.85,2.01,47.578
279.03,136.43,204.47,-47.512,-0.851,2.015,47.56
268.37,136.43,204.47,-47.511,-0.86,2.02,47.564
257.7,136.43,204.47,-47.509,-0.861,2.017,47.553
247.03,136.43,204.47,-47.501,-0.868,2.024,47.552
236.37,136.43,204.47,-47.501,-0.876,2.023,47.552
225.7,136.43,204.47,-47.499,-0.879,2.025,47.55
215.03,136.43,204.47,-47.502,-0.881,2.024,47.553
215.03,147.1,204.47,-47.508,-0.883,2.02,47.558
225.7,147.1,204.47,-47.496,-0.877,2.02,47.546
236.37,147.1,204.47,-47.501,-0.872,2.027,47.551
247.03,147.1,204.47,-47.495,-0.869,2.03,47.552
257.7,147.1,204.47,-47.5,-0.864,2.029,47.551
268.37,147.1,204.47,-47.508,-0.859,2.034,47.56
279.03,157.77,204.47,-47.512,-0.853,2.051,47.564
268.37,157.77,204.47,-47.508,-0.855,2.049,47.559
257.7,157.77,204.47,-47.498,-0.863,2.042,47.553
247.03,157.77,204.47,-47.498,-0.868,2.038,47.55
236.37,157.77,204.47,-47.491,-0.866,2.034,47.547
225.7,157.77,204.47,-47.493,-0.874,2.03,47.546
236.37,168.43,204.47,-47.487,-0.866,2.035,47.543
247.03,168.43,204.47,-47.487,-0.858,2.039,47.538
225.7,189.77,215.13,-47.474,-0.868,2.028,47.527
236.37,189.77,215.13,-47.471,-0.859,2.042,47.527
247.03,189.77,215.13,-47.476,-0.852,2.047,47.528
257.7,189.77,215.13,-47.486,-0.85,2.07,47.538
289.7,179.1,215.13,-47.524,-0.836,2.089,47.575
279.03,179.1,215.13,-47.515,-0.841,2.08,47.57
268.37,179.1,215.13,-47.504,-0.845,2.07,47.555
257.7,179.1,215.13,-47.493,-0.852,2.058,47.545
247.03,179.1,215.13,-47.481,-0.86,2.049,47.533
236.37,179.1,215.13,-47.484,-0.862,2.039,47.535
225.7,179.1,215.13,-47.486,-0.861,2.036,47.537
215.03,179.1,215.13,-47.492,-0.87,2.018,47.547
204.37,168.43,215.13,-47.509,-0.876,2.014,47.557
215.03,168.43,215.13,-47.502,-0.869,2.023,47.551
225.7,168.43,215.13,-47.495,-0.866,2.023,47.541
236.37,168.43,215.13,-47.496,-0.864,2.034,47.546
247.03,168.43,215.13,-47.493,-0.858,2.042,47.546
257.7,168.43,215.13,-47.497,-0.85,2.044,47.549
268.37,168.43,215.13,-47.506,-0.852,2.057,47.558
279.03,168.43,215.13,-47.518,-0.846,2.061,47.57
300.37,157.77,215.13,-47.55,-0.83,2.049,47.598
289.7,157.77,215.13,-47.534,-0.84,2.047,47.583
279.03,157.77,215.13,-47.519,-0.847,2.044,47.571
268.37,157.77,215.13,-47.514,-0.858,2.041,47.563
257.7,157.77,215.13,-47.502,-0.855,2.037,47.554
247.03,157.77,215.13,-47.501,-0.863,2.032,47.554
236.37,157.77,215.13,-47.501,-0.864,2.03,47.555
225.7,157.77,215.13,-47.505,-0.867,2.022,47.552
215.03,157.77,215.13,-47.504,-0.871,2.023,47.556
204.37,157.77,215.13,-47.512,-0.876,2.017,47.561
193.7,147.1,215.13,-47.527,-0.88,2.012,47.576
204.37,147.1,215.13,-47.515,-0.875,2.011,47.563
215.03,147.1,215.13,-47.508,-0.875,2.014,47.557
225.7,147.1,215.13,-47.503,-0.87,2.024,47.555
236.37,147.1,215.13,-47.497,-0.865,2.023,47.552
247.03,147.1,215.13,-47.507,-0.866,2.02,47.558
257.7,147.1,215.13,-47.509,-0.86,2.032,47.561
268.37,147.1,215.13,-47.514,-0.851,2.028,47.565
279.03,147.1,215.13,-47.52,-0.845,2.027,47.571
289.7,147.1,215.13,-47.533,-0.841,2.025,47.587
300.37,136.43,215.13,-47.543,-0.835,2.004,47.593
289.7,136.43,215.13,-47.53,-0.838,2.014,47.58
279.03,136.43,215.13,-47.517,-0.847,2.014,47.566
268.37,136.43,215.13,-47.516,-0.851,2.02,47.565
257.7,136.43,215.13,-47.507,-0.855,2.019,47.558
247.03,136.43,215.13,-47.508,-0.863,2.018,47.555
236.37,136.43,215.13,-47.504,-0.866,2.02,47.556
225.7,136.43,215.13,-47.507,-0.872,2.017,47.558
215.03,136.43,215.13,-47.514,-0.875,2.016,47.565
204.37,136.43,215.13,-47.519,-0.882,2.018,47.568
193.7,125.77,215.13,-47.527,-0.89,2.022,47.578
204.37,125.77,215.13,-47.521,-0.886,2.019,47.571
215.03,125.77,215.13,-47.514,-0.877,2.013,47.562
225.7,125.77,215.13,-47.506,-0.875,2.013,47.559
236.37,125.77,215.13,-47.499,-0.869,2.01,47.55
247.03,125.77,215.13,-47.506,-0.865,2.014,47.553
257.7,125.77,215.13,-47.509,-0.862,2.008,47.558
268.37,125.77,215.13,-47.508,-0.857,2.006,47.559
279.03,125.77,215.13,-47.522,-0.846,2.006,47.572
289.7,125.77,215.13,-47.527,-0.834,1.998,47.576
289.7,115.1,215.13,-47.514,-0.838,1.986,47.563
279.03,115.1,215.13,-47.515,-0.841,1.997,47.563
268.37,115.1,215.13,-47.501,-0.855,1.994,47.553
257.7,115.1,215.13,-47.504,-0.853,2.002,47.557
247.03,115.1,215.13,-47.502,-0.861,2.004,47.553
236.37,115.1,215.13,-47.496,-0.866,2.01,47.549
225.7,115.1,215.13,-47.509,-0.873,2.011,47.563
215.03,115.1,215.13,-47.513,-0.885,2.01,47.56
204.37,104.43,215.13,-47.509,-0.893,2.021,47.56
215.03,104.43,215.13,-47.499,-0.886,2.013,47.55
225.7,104.43,215.13,-47.499,-0.88,2.008,47.552
236.37,104.43,215.13,-47.492,-0.876,2.006,47.542
247.03,104.43,215.13,-47.495,-0.865,1.997,47.545
