# COSI2 B0 scan
# time 2024-05-27 12:20:59.948808
# MAGNET CENTER IN LAB: x 245.100 mm, y 127.000 mm, z 270.300 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240524/ball_no_magnet
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
275.100,77.000,200.300,-47.5080,-0.8740,-0.8990,47.5250
255.100,77.000,200.300,-47.5070,-0.8790,-0.8980,47.5190
215.100,97.000,200.300,-47.5120,-0.9000,-0.8820,47.5290
235.100,97.000,200.300,-47.5400,-0.9090,-0.8660,47.5590
255.100,97.000,200.300,-47.5350,-0.8990,-0.8700,47.5520
275.100,97.000,200.300,-47.5250,-0.8900,-0.8810,47.5390
315.100,117.000,200.300,-47.5230,-0.8670,-0.8940,47.5390
295.100,117.000,200.300,-47.5490,-0.8430,-0.9030,47.5640
275.100,117.000,200.300,-47.5390,-0.8590,-0.8870,47.5550
255.100,117.000,200.300,-47.5370,-0.8700,-0.8750,47.5500
235.100,117.000,200.300,-47.5370,-0.8810,-0.8720,47.5550
215.100,117.000,200.300,-47.5460,-0.8950,-0.8720,47.5590
195.100,137.000,200.300,-47.5560,-0.9020,-0.8680,47.5750
215.100,137.000,200.300,-47.5790,-0.9010,-0.8780,47.5960
235.100,137.000,200.300,-47.5550,-0.9000,-0.8710,47.5680
255.100,137.000,200.300,-47.5440,-0.8840,-0.8680,47.5600
275.100,137.000,200.300,-47.5340,-0.8770,-0.8650,47.5500
295.100,137.000,200.300,-47.5390,-0.8690,-0.8710,47.5570
295.100,157.000,200.300,-47.5530,-0.8560,-0.8710,47.5670
275.100,157.000,200.300,-47.5580,-0.8600,-0.8330,47.5730
255.100,157.000,200.300,-47.5410,-0.8630,-0.8400,47.5570
235.100,157.000,200.300,-47.5360,-0.8720,-0.8530,47.5510
235.100,177.000,200.300,-47.5320,-0.8810,-0.8630,47.5480
255.100,177.000,200.300,-47.5190,-0.8770,-0.8590,47.5340
235.100,217.000,220.300,-47.5160,-0.8630,-0.8410,47.5310
255.100,217.000,220.300,-47.4930,-0.8620,-0.8570,47.5100
315.100,197.000,220.300,-47.4870,-0.8570,-0.8450,47.5020
295.100,197.000,220.300,-47.5240,-0.8300,-0.7780,47.5380
275.100,197.000,220.300,-47.5410,-0.8310,-0.7790,47.5530
255.100,197.000,220.300,-47.5200,-0.8530,-0.8200,47.5350
235.100,197.000,220.300,-47.5130,-0.8640,-0.8440,47.5280
215.100,197.000,220.300,-47.5140,-0.8700,-0.8600,47.5300
195.100,177.000,220.300,-47.5260,-0.8760,-0.8890,47.5420
215.100,177.000,220.300,-47.5670,-0.8810,-0.9010,47.5830
235.100,177.000,220.300,-47.5430,-0.8730,-0.8860,47.5590
255.100,177.000,220.300,-47.5350,-0.8700,-0.8660,47.5510
275.100,177.000,220.300,-47.5320,-0.8650,-0.8460,47.5490
295.100,177.000,220.300,-47.5370,-0.8570,-0.8350,47.5520
335.100,157.000,220.300,-47.5650,-0.8440,-0.8150,47.5790
315.100,157.000,220.300,-47.6210,-0.8260,-0.8480,47.6300
295.100,157.000,220.300,-47.6000,-0.8370,-0.8460,47.6140
275.100,157.000,220.300,-47.5710,-0.8470,-0.8450,47.5880
255.100,157.000,220.300,-47.5550,-0.8560,-0.8590,47.5700
235.100,157.000,220.300,-47.5420,-0.8700,-0.8640,47.5590
215.100,157.000,220.300,-47.5490,-0.8710,-0.8770,47.5620
195.100,157.000,220.300,-47.5570,-0.8800,-0.8830,47.5750
175.100,137.000,220.300,-47.5830,-0.8810,-0.8970,47.6020
195.100,137.000,220.300,-47.6090,-0.9010,-0.8850,47.6260
215.100,137.000,220.300,-47.5870,-0.8920,-0.8890,47.6020
235.100,137.000,220.300,-47.5650,-0.8840,-0.8790,47.5810
255.100,137.000,220.300,-47.5540,-0.8740,-0.8790,47.5700
275.100,137.000,220.300,-47.5450,-0.8760,-0.8710,47.5620
295.100,137.000,220.300,-47.5550,-0.8570,-0.8700,47.5710
315.100,137.000,220.300,-47.5690,-0.8470,-0.8750,47.5850
315.100,117.000,220.300,-47.5900,-0.8350,-0.8780,47.6050
295.100,117.000,220.300,-47.5690,-0.8360,-0.9020,47.5900
275.100,117.000,220.300,-47.5650,-0.8500,-0.8900,47.5810
255.100,117.000,220.300,-47.5490,-0.8630,-0.8890,47.5650
235.100,117.000,220.300,-47.5480,-0.8730,-0.8840,47.5630
215.100,117.000,220.300,-47.5570,-0.8760,-0.8820,47.5730
195.100,97.000,220.300,-47.5590,-0.8860,-0.8750,47.5760
215.100,97.000,220.300,-47.5840,-0.9050,-0.8700,47.5990
235.100,97.000,220.300,-47.5620,-0.8940,-0.8790,47.5780
255.100,97.000,220.300,-47.5450,-0.8910,-0.8860,47.5640
275.100,97.000,220.300,-47.5390,-0.8770,-0.8920,47.5560
295.100,97.000,220.300,-47.5450,-0.8640,-0.9020,47.5630
275.100,77.000,220.300,-47.5510,-0.8510,-0.9140,47.5650
255.100,77.000,220.300,-47.5290,-0.8670,-0.9050,47.5480
215.100,57.000,240.300,-47.5290,-0.8800,-0.8980,47.5460
235.100,57.000,240.300,-47.5540,-0.8980,-0.8910,47.5710
255.100,57.000,240.300,-47.5420,-0.8880,-0.9000,47.5560
275.100,57.000,240.300,-47.5310,-0.8810,-0.9150,47.5480
315.100,77.000,240.300,-47.5290,-0.8700,-0.9230,47.5480
295.100,77.000,240.300,-47.5650,-0.8470,-0.9510,47.5770
275.100,77.000,240.300,-47.5530,-0.8520,-0.9350,47.5710
255.100,77.000,240.300,-47.5480,-0.8670,-0.9180,47.5670
235.100,77.000,240.300,-47.5440,-0.8770,-0.9080,47.5610
215.100,77.000,240.300,-47.5530,-0.8810,-0.8970,47.5710
175.100,97.000,240.300,-47.5620,-0.8940,-0.8890,47.5790
195.100,97.000,240.300,-47.6100,-0.9000,-0.8860,47.6240
215.100,97.000,240.300,-47.5880,-0.8870,-0.8900,47.6050
235.100,97.000,240.300,-47.5650,-0.8840,-0.8940,47.5860
255.100,97.000,240.300,-47.5550,-0.8830,-0.9000,47.5700
275.100,97.000,240.300,-47.5560,-0.8740,-0.9100,47.5730
295.100,97.000,240.300,-47.5610,-0.8610,-0.9150,47.5810
315.100,97.000,240.300,-47.5660,-0.8510,-0.9250,47.5830
335.100,117.000,240.300,-47.5870,-0.8380,-0.9350,47.6040
315.100,117.000,240.300,-47.6180,-0.8110,-0.9380,47.6310
295.100,117.000,240.300,-47.5970,-0.8330,-0.9130,47.6130
275.100,117.000,240.300,-47.5780,-0.8510,-0.9070,47.5950
255.100,117.000,240.300,-47.5680,-0.8540,-0.9000,47.5830
235.100,117.000,240.300,-47.5650,-0.8690,-0.8920,47.5810
215.100,117.000,240.300,-47.5670,-0.8660,-0.8940,47.5830
195.100,117.000,240.300,-47.5750,-0.8770,-0.8900,47.5940
175.100,137.000,240.300,-47.5960,-0.8790,-0.8960,47.6170
195.100,137.000,240.300,-47.6150,-0.8830,-0.9090,47.6320
215.100,137.000,240.300,-47.5890,-0.8740,-0.8980,47.6020
235.100,137.000,240.300,-47.5760,-0.8690,-0.8940,47.5950
255.100,137.000,240.300,-47.5650,-0.8660,-0.8900,47.5800
275.100,137.000,240.300,-47.5630,-0.8620,-0.8860,47.5760
295.100,137.000,240.300,-47.5700,-0.8550,-0.8870,47.5850
315.100,137.000,240.300,-47.5910,-0.8430,-0.8850,47.6070
335.100,157.000,240.300,-47.6130,-0.8280,-0.8900,47.6260
315.100,157.000,240.300,-47.6660,-0.8140,-0.8640,47.6810
295.100,157.000,240.300,-47.6230,-0.8350,-0.8500,47.6390
275.100,157.000,240.300,-47.5870,-0.8420,-0.8540,47.6070
255.100,157.000,240.300,-47.5640,-0.8540,-0.8650,47.5840
235.100,157.000,240.300,-47.5520,-0.8560,-0.8750,47.5680
215.100,157.000,240.300,-47.5550,-0.8630,-0.8890,47.5700
195.100,157.000,240.300,-47.5660,-0.8620,-0.8950,47.5840
195.100,177.000,240.300,-47.5900,-0.8680,-0.9010,47.6080
215.100,177.000,240.300,-47.5670,-0.8600,-0.9110,47.5840
235.100,177.000,240.300,-47.5530,-0.8580,-0.8900,47.5700
255.100,177.000,240.300,-47.5410,-0.8590,-0.8780,47.5570
275.100,177.000,240.300,-47.5420,-0.8560,-0.8600,47.5590
295.100,177.000,240.300,-47.5470,-0.8520,-0.8390,47.5640
295.100,197.000,240.300,-47.5820,-0.8460,-0.8170,47.5960
275.100,197.000,240.300,-47.5540,-0.8420,-0.7930,47.5680
255.100,197.000,240.300,-47.5310,-0.8520,-0.8210,47.5450
235.100,197.000,240.300,-47.5220,-0.8570,-0.8470,47.5390
195.100,217.000,260.300,-47.5250,-0.8600,-0.8620,47.5420
215.100,217.000,260.300,-47.5310,-0.8550,-0.9110,47.5430
235.100,217.000,260.300,-47.5170,-0.8510,-0.8860,47.5330
255.100,217.000,260.300,-47.5090,-0.8580,-0.8670,47.5250
275.100,217.000,260.300,-47.5060,-0.8600,-0.8370,47.5230
295.100,217.000,260.300,-47.5250,-0.8590,-0.8070,47.5360
335.100,197.000,260.300,-47.5240,-0.8560,-0.7870,47.5380
315.100,197.000,260.300,-47.6550,-0.8440,-0.6890,47.6560
295.100,197.000,260.300,-47.6010,-0.8500,-0.7440,47.6180
275.100,197.000,260.300,-47.5620,-0.8450,-0.7890,47.5740
255.100,197.000,260.300,-47.5430,-0.8480,-0.8220,47.5570
235.100,197.000,260.300,-47.5310,-0.8560,-0.8490,47.5450
215.100,197.000,260.300,-47.5340,-0.8520,-0.8710,47.5470
195.100,197.000,260.300,-47.5380,-0.8540,-0.8950,47.5560
175.100,177.000,260.300,-47.5520,-0.8460,-0.9080,47.5650
195.100,177.000,260.300,-47.5990,-0.8420,-0.9310,47.6210
215.100,177.000,260.300,-47.5750,-0.8510,-0.9120,47.5910
235.100,177.000,260.300,-47.5590,-0.8500,-0.8940,47.5750
255.100,177.000,260.300,-47.5480,-0.8520,-0.8820,47.5650
275.100,177.000,260.300,-47.5510,-0.8550,-0.8580,47.5670
295.100,177.000,260.300,-47.5670,-0.8500,-0.8380,47.5770
315.100,177.000,260.300,-47.5950,-0.8510,-0.8290,47.6070
335.100,157.000,260.300,-47.6370,-0.8430,-0.8060,47.6510
315.100,157.000,260.300,-47.6900,-0.8220,-0.8630,47.7050
295.100,157.000,260.300,-47.6400,-0.8400,-0.8560,47.6560
275.100,157.000,260.300,-47.5980,-0.8460,-0.8590,47.6150
255.100,157.000,260.300,-47.5820,-0.8500,-0.8670,47.5980
235.100,157.000,260.300,-47.5630,-0.8490,-0.8800,47.5800
215.100,157.000,260.300,-47.5650,-0.8540,-0.8940,47.5810
195.100,157.000,260.300,-47.5720,-0.8470,-0.8990,47.5860
175.100,137.000,260.300,-47.5850,-0.8530,-0.9140,47.6020
195.100,137.000,260.300,-47.6130,-0.8560,-0.9150,47.6300
215.100,137.000,260.300,-47.5930,-0.8560,-0.9150,47.6100
235.100,137.000,260.300,-47.5760,-0.8590,-0.9080,47.5970
255.100,137.000,260.300,-47.5730,-0.8610,-0.8950,47.5890
275.100,137.000,260.300,-47.5670,-0.8590,-0.8950,47.5830
295.100,137.000,260.300,-47.5900,-0.8480,-0.8870,47.6040
315.100,137.000,260.300,-47.6060,-0.8430,-0.8910,47.6230
335.100,117.000,260.300,-47.6320,-0.8350,-0.8970,47.6470
315.100,117.000,260.300,-47.6500,-0.8190,-0.9420,47.6660
295.100,117.000,260.300,-47.6170,-0.8330,-0.9220,47.6380
275.100,117.000,260.300,-47.5980,-0.8470,-0.9130,47.6140
255.100,117.000,260.300,-47.5790,-0.8510,-0.9060,47.5960
235.100,117.000,260.300,-47.5730,-0.8610,-0.9080,47.5890
215.100,117.000,260.300,-47.5750,-0.8630,-0.9070,47.5910
195.100,117.000,260.300,-47.5810,-0.8650,-0.9100,47.5970
175.100,97.000,260.300,-47.5950,-0.8630,-0.9140,47.6120
195.100,97.000,260.300,-47.6180,-0.8740,-0.9010,47.6350
215.100,97.000,260.300,-47.5940,-0.8730,-0.9050,47.6100
235.100,97.000,260.300,-47.5760,-0.8680,-0.9120,47.5940
255.100,97.000,260.300,-47.5680,-0.8730,-0.9180,47.5820
275.100,97.000,260.300,-47.5720,-0.8670,-0.9160,47.5890
295.100,97.000,260.300,-47.5740,-0.8630,-0.9260,47.5890
315.100,97.000,260.300,-47.5850,-0.8520,-0.9340,47.6020
315.100,77.000,260.300,-47.6160,-0.8340,-0.9460,47.6310
295.100,77.000,260.300,-47.5930,-0.8370,-0.9690,47.6140
275.100,77.000,260.300,-47.5730,-0.8590,-0.9470,47.5890
255.100,77.000,260.300,-47.5630,-0.8610,-0.9350,47.5800
235.100,77.000,260.300,-47.5600,-0.8700,-0.9240,47.5760
215.100,77.000,260.300,-47.5600,-0.8770,-0.9170,47.5760
195.100,57.000,280.300,-47.5680,-0.8750,-0.9060,47.5850
215.100,57.000,280.300,-47.5880,-0.8710,-0.9110,47.6020
235.100,57.000,280.300,-47.5670,-0.8750,-0.9230,47.5830
255.100,57.000,280.300,-47.5550,-0.8820,-0.9330,47.5730
275.100,57.000,280.300,-47.5560,-0.8820,-0.9470,47.5760
295.100,57.000,280.300,-47.5630,-0.8800,-0.9570,47.5810
335.100,77.000,280.300,-47.5650,-0.8770,-0.9730,47.5830
315.100,77.000,280.300,-47.6410,-0.8320,-0.9980,47.6550
295.100,77.000,280.300,-47.6110,-0.8460,-0.9860,47.6290
275.100,77.000,280.300,-47.5890,-0.8600,-0.9620,47.6050
255.100,77.000,280.300,-47.5740,-0.8670,-0.9500,47.5920
235.100,77.000,280.300,-47.5670,-0.8700,-0.9380,47.5830
215.100,77.000,280.300,-47.5700,-0.8700,-0.9350,47.5860
195.100,77.000,280.300,-47.5750,-0.8660,-0.9260,47.5920
175.100,97.000,280.300,-47.5970,-0.8650,-0.9160,47.6110
195.100,97.000,280.300,-47.6200,-0.8560,-0.9210,47.6350
215.100,97.000,280.300,-47.5940,-0.8590,-0.9260,47.6100
235.100,97.000,280.300,-47.5780,-0.8630,-0.9270,47.5970
255.100,97.000,280.300,-47.5730,-0.8680,-0.9360,47.5870
275.100,97.000,280.300,-47.5820,-0.8650,-0.9370,47.5990
295.100,97.000,280.300,-47.5880,-0.8600,-0.9410,47.6030
315.100,97.000,280.300,-47.6090,-0.8500,-0.9500,47.6240
335.100,117.000,280.300,-47.6250,-0.8340,-0.9570,47.6470
315.100,117.000,280.300,-47.6710,-0.8220,-0.9680,47.6890
295.100,117.000,280.300,-47.6440,-0.8340,-0.9400,47.6610
275.100,117.000,280.300,-47.6150,-0.8450,-0.9270,47.6320
255.100,117.000,280.300,-47.5970,-0.8520,-0.9230,47.6110
235.100,117.000,280.300,-47.5800,-0.8560,-0.9210,47.5970
215.100,117.000,280.300,-47.5720,-0.8570,-0.9190,47.5900
195.100,117.000,280.300,-47.5870,-0.8470,-0.9210,47.6050
175.100,137.000,280.300,-47.5940,-0.8480,-0.9220,47.6100
195.100,137.000,280.300,-47.6140,-0.8370,-0.9330,47.6290
215.100,137.000,280.300,-47.5920,-0.8390,-0.9220,47.6060
235.100,137.000,280.300,-47.5800,-0.8460,-0.9190,47.5960
255.100,137.000,280.300,-47.5790,-0.8510,-0.9160,47.5940
275.100,137.000,280.300,-47.5790,-0.8500,-0.9070,47.5980
295.100,137.000,280.300,-47.6030,-0.8480,-0.9080,47.6190
315.100,137.000,280.300,-47.6280,-0.8380,-0.9000,47.6440
335.100,157.000,280.300,-47.6660,-0.8370,-0.9110,47.6790
315.100,157.000,280.300,-47.7300,-0.8310,-0.8790,47.7440
295.100,157.000,280.300,-47.6730,-0.8400,-0.8630,47.6880
275.100,157.000,280.300,-47.6340,-0.8400,-0.8670,47.6450
255.100,157.000,280.300,-47.5970,-0.8450,-0.8740,47.6110
235.100,157.000,280.300,-47.5790,-0.8440,-0.8830,47.5910
215.100,157.000,280.300,-47.5710,-0.8450,-0.8960,47.5850
195.100,157.000,280.300,-47.5680,-0.8370,-0.9140,47.5850
175.100,177.000,280.300,-47.5850,-0.8310,-0.9180,47.6010
195.100,177.000,280.300,-47.5860,-0.8280,-0.9340,47.6020
215.100,177.000,280.300,-47.5720,-0.8370,-0.9100,47.5850
235.100,177.000,280.300,-47.5590,-0.8400,-0.8980,47.5750
255.100,177.000,280.300,-47.5580,-0.8460,-0.8780,47.5720
275.100,177.000,280.300,-47.5610,-0.8460,-0.8550,47.5750
295.100,177.000,280.300,-47.5840,-0.8490,-0.8350,47.5990
315.100,177.000,280.300,-47.6260,-0.8480,-0.8140,47.6380
315.100,197.000,280.300,-47.6880,-0.8470,-0.8010,47.7020
295.100,197.000,280.300,-47.6580,-0.8600,-0.7020,47.6690
275.100,197.000,280.300,-47.5870,-0.8600,-0.7590,47.6010
255.100,197.000,280.300,-47.5630,-0.8510,-0.8050,47.5770
235.100,197.000,280.300,-47.5420,-0.8560,-0.8370,47.5570
215.100,197.000,280.300,-47.5320,-0.8510,-0.8610,47.5480
215.100,217.000,300.300,-47.5340,-0.8410,-0.8830,47.5510
235.100,217.000,300.300,-47.5100,-0.8340,-0.8760,47.5220
255.100,217.000,300.300,-47.5010,-0.8460,-0.8480,47.5160
275.100,217.000,300.300,-47.5030,-0.8600,-0.8130,47.5230
315.100,197.000,300.300,-47.5150,-0.8780,-0.7850,47.5300
295.100,197.000,300.300,-47.6240,-0.8620,-0.6860,47.6370
275.100,197.000,300.300,-47.5970,-0.8600,-0.7500,47.6110
255.100,197.000,300.300,-47.5600,-0.8560,-0.7970,47.5720
235.100,197.000,300.300,-47.5380,-0.8430,-0.8300,47.5530
215.100,197.000,300.300,-47.5300,-0.8380,-0.8620,47.5420
175.100,177.000,300.300,-47.5360,-0.8260,-0.8880,47.5520
195.100,177.000,300.300,-47.5720,-0.8050,-0.9400,47.5870
215.100,177.000,300.300,-47.5600,-0.8160,-0.9200,47.5800
