# COSI2 B0 scan,,,,,,
# time 2024-05-27 11:53:29.589512,,,,,,
# MAGNET CENTER IN LAB: x 245.100 mm, y 127.000 mm, z 270.300 mm,,,,
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240524/ball_small_magnet_x+y-z+,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
275.1,77,200.3,-47.511,-0.853,-2.192,47.571
255.1,77,200.3,-47.521,-0.874,-2.182,47.576
215.1,97,200.3,-47.546,-0.897,-2.201,47.605
235.1,97,200.3,-47.53,-0.886,-2.187,47.589
255.1,97,200.3,-47.514,-0.869,-2.182,47.572
275.1,97,200.3,-47.524,-0.849,-2.181,47.576
315.1,117,200.3,-47.526,-0.82,-2.18,47.583
295.1,117,200.3,-47.522,-0.834,-2.179,47.579
275.1,117,200.3,-47.52,-0.846,-2.171,47.58
255.1,117,200.3,-47.516,-0.864,-2.167,47.573
235.1,117,200.3,-47.519,-0.876,-2.18,47.574
215.1,117,200.3,-47.524,-0.89,-2.195,47.586
195.1,137,200.3,-47.51,-0.891,-2.194,47.569
215.1,137,200.3,-47.506,-0.882,-2.175,47.564
235.1,137,200.3,-47.508,-0.871,-2.161,47.563
255.1,137,200.3,-47.509,-0.861,-2.149,47.571
275.1,137,200.3,-47.525,-0.848,-2.145,47.581
295.1,137,200.3,-47.539,-0.838,-2.152,47.593
295.1,157,200.3,-47.543,-0.845,-2.107,47.596
275.1,157,200.3,-47.52,-0.855,-2.112,47.575
255.1,157,200.3,-47.504,-0.857,-2.125,47.556
235.1,157,200.3,-47.492,-0.867,-2.141,47.55
235.1,177,200.3,-47.474,-0.862,-2.118,47.529
255.1,177,200.3,-47.488,-0.854,-2.09,47.542
235.1,217,220.3,-47.447,-0.847,-2.101,47.501
255.1,217,220.3,-47.448,-0.828,-2.08,47.5
315.1,197,220.3,-47.518,-0.811,-1.978,47.554
295.1,197,220.3,-47.532,-0.818,-1.999,47.58
275.1,197,220.3,-47.495,-0.823,-2.045,47.548
255.1,197,220.3,-47.473,-0.839,-2.085,47.526
235.1,197,220.3,-47.462,-0.843,-2.113,47.519
215.1,197,220.3,-47.46,-0.857,-2.136,47.516
195.1,177,220.3,-47.496,-0.863,-2.168,47.55
215.1,177,220.3,-47.482,-0.857,-2.157,47.537
235.1,177,220.3,-47.489,-0.851,-2.13,47.544
255.1,177,220.3,-47.499,-0.843,-2.104,47.554
275.1,177,220.3,-47.522,-0.839,-2.085,47.575
295.1,177,220.3,-47.551,-0.822,-2.067,47.603
335.1,157,220.3,-47.622,-0.786,-2.119,47.672
315.1,157,220.3,-47.599,-0.81,-2.117,47.652
295.1,157,220.3,-47.561,-0.826,-2.111,47.617
275.1,157,220.3,-47.53,-0.837,-2.108,47.583
255.1,157,220.3,-47.516,-0.848,-2.131,47.571
235.1,157,220.3,-47.51,-0.856,-2.149,47.572
215.1,157,220.3,-47.505,-0.855,-2.167,47.563
195.1,157,220.3,-47.509,-0.865,-2.181,47.567
175.1,137,220.3,-47.532,-0.869,-2.217,47.594
195.1,137,220.3,-47.526,-0.868,-2.205,47.582
215.1,137,220.3,-47.522,-0.861,-2.189,47.581
235.1,137,220.3,-47.519,-0.858,-2.17,47.581
255.1,137,220.3,-47.525,-0.85,-2.156,47.577
275.1,137,220.3,-47.542,-0.839,-2.151,47.598
295.1,137,220.3,-47.559,-0.827,-2.152,47.613
315.1,137,220.3,-47.58,-0.808,-2.164,47.64
315.1,117,220.3,-47.56,-0.805,-2.199,47.618
295.1,117,220.3,-47.548,-0.82,-2.175,47.605
275.1,117,220.3,-47.542,-0.835,-2.171,47.594
255.1,117,220.3,-47.535,-0.85,-2.178,47.591
235.1,117,220.3,-47.536,-0.857,-2.19,47.594
215.1,117,220.3,-47.54,-0.866,-2.204,47.598
195.1,97,220.3,-47.575,-0.865,-2.255,47.637
215.1,97,220.3,-47.561,-0.871,-2.225,47.621
235.1,97,220.3,-47.544,-0.859,-2.205,47.603
255.1,97,220.3,-47.543,-0.852,-2.191,47.6
275.1,97,220.3,-47.54,-0.841,-2.187,47.593
295.1,97,220.3,-47.549,-0.822,-2.193,47.603
275.1,77,220.3,-47.529,-0.839,-2.202,47.586
255.1,77,220.3,-47.536,-0.853,-2.201,47.595
215.1,57,240.3,-47.606,-0.837,-2.223,47.66
235.1,57,240.3,-47.584,-0.845,-2.215,47.642
255.1,57,240.3,-47.557,-0.845,-2.204,47.618
275.1,57,240.3,-47.541,-0.834,-2.211,47.601
315.1,77,240.3,-47.57,-0.819,-2.233,47.628
295.1,77,240.3,-47.551,-0.823,-2.216,47.613
275.1,77,240.3,-47.548,-0.83,-2.207,47.609
255.1,77,240.3,-47.555,-0.839,-2.21,47.615
235.1,77,240.3,-47.57,-0.845,-2.213,47.629
215.1,77,240.3,-47.588,-0.837,-2.233,47.651
175.1,97,240.3,-47.596,-0.816,-2.29,47.66
195.1,97,240.3,-47.581,-0.835,-2.259,47.642
215.1,97,240.3,-47.568,-0.843,-2.231,47.628
235.1,97,240.3,-47.554,-0.846,-2.209,47.616
