# COSI2 B0 scan,,,,,,
# time 2024-05-27 11:31:47.630159,,,,,,
# MAGNET CENTER IN LAB: x 245.100 mm, y 127.000 mm, z 270.300 mm,,,,
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240524/ball_small_magnet_x-y+z-_3s_delay,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
275.1,77,200.3,-47.454,-0.843,-2.159,47.507
255.1,77,200.3,-47.463,-0.871,-2.144,47.522
215.1,97,200.3,-47.515,-0.879,-2.123,47.568
235.1,97,200.3,-47.499,-0.866,-2.132,47.555
255.1,97,200.3,-47.485,-0.861,-2.141,47.541
275.1,97,200.3,-47.471,-0.836,-2.156,47.527
315.1,117,200.3,-47.476,-0.8,-2.171,47.533
295.1,117,200.3,-47.481,-0.801,-2.158,47.536
275.1,117,200.3,-47.487,-0.816,-2.152,47.544
255.1,117,200.3,-47.494,-0.842,-2.143,47.547
235.1,117,200.3,-47.509,-0.858,-2.135,47.564
215.1,117,200.3,-47.532,-0.872,-2.13,47.586
195.1,137,200.3,-47.557,-0.876,-2.142,47.611
215.1,137,200.3,-47.536,-0.865,-2.139,47.592
235.1,137,200.3,-47.511,-0.848,-2.136,47.564
255.1,137,200.3,-47.495,-0.828,-2.14,47.553
275.1,137,200.3,-47.49,-0.809,-2.139,47.545
295.1,137,200.3,-47.488,-0.79,-2.146,47.543
295.1,157,200.3,-47.497,-0.778,-2.11,47.549
275.1,157,200.3,-47.496,-0.8,-2.111,47.548
255.1,157,200.3,-47.498,-0.821,-2.124,47.552
235.1,157,200.3,-47.507,-0.841,-2.13,47.562
235.1,177,200.3,-47.493,-0.836,-2.123,47.546
255.1,177,200.3,-47.479,-0.807,-2.107,47.533
235.1,217,220.3,-47.478,-0.813,-2.111,47.53
255.1,217,220.3,-47.474,-0.783,-2.088,47.523
315.1,197,220.3,-47.482,-0.712,-2.047,47.53
295.1,197,220.3,-47.49,-0.719,-2.041,47.539
275.1,197,220.3,-47.491,-0.748,-2.075,47.542
255.1,197,220.3,-47.495,-0.782,-2.103,47.549
235.1,197,220.3,-47.5,-0.812,-2.125,47.554
215.1,197,220.3,-47.512,-0.834,-2.154,47.567
195.1,177,220.3,-47.569,-0.848,-2.169,47.623
215.1,177,220.3,-47.536,-0.836,-2.154,47.595
235.1,177,220.3,-47.52,-0.812,-2.138,47.574
255.1,177,220.3,-47.514,-0.793,-2.123,47.57
275.1,177,220.3,-47.516,-0.76,-2.107,47.568
295.1,177,220.3,-47.516,-0.73,-2.097,47.57
335.1,157,220.3,-47.508,-0.721,-2.127,47.561
315.1,157,220.3,-47.514,-0.727,-2.133,47.564
295.1,157,220.3,-47.521,-0.748,-2.135,47.575
275.1,157,220.3,-47.515,-0.772,-2.14,47.572
255.1,157,220.3,-47.525,-0.795,-2.146,47.581
235.1,157,220.3,-47.533,-0.814,-2.147,47.586
215.1,157,220.3,-47.549,-0.84,-2.156,47.607
195.1,157,220.3,-47.572,-0.851,-2.161,47.628
175.1,137,220.3,-47.596,-0.874,-2.153,47.652
195.1,137,220.3,-47.57,-0.86,-2.15,47.626
215.1,137,220.3,-47.55,-0.847,-2.147,47.605
235.1,137,220.3,-47.533,-0.827,-2.155,47.589
255.1,137,220.3,-47.524,-0.81,-2.156,47.577
275.1,137,220.3,-47.514,-0.79,-2.163,47.57
295.1,137,220.3,-47.505,-0.766,-2.167,47.562
315.1,137,220.3,-47.503,-0.75,-2.168,47.56
315.1,117,220.3,-47.49,-0.775,-2.193,47.547
295.1,117,220.3,-47.499,-0.793,-2.183,47.555
275.1,117,220.3,-47.505,-0.809,-2.172,47.56
255.1,117,220.3,-47.514,-0.824,-2.164,47.571
235.1,117,220.3,-47.525,-0.843,-2.153,47.583
215.1,117,220.3,-47.541,-0.857,-2.148,47.596
195.1,97,220.3,-47.564,-0.879,-2.141,47.615
215.1,97,220.3,-47.537,-0.876,-2.152,47.594
235.1,97,220.3,-47.521,-0.855,-2.154,47.581
255.1,97,220.3,-47.502,-0.844,-2.17,47.558
275.1,97,220.3,-47.487,-0.825,-2.18,47.547
295.1,97,220.3,-47.484,-0.809,-2.195,47.543
275.1,77,220.3,-47.47,-0.836,-2.179,47.53
255.1,77,220.3,-47.487,-0.854,-2.169,47.546
215.1,57,240.3,-47.519,-0.877,-2.159,47.57
235.1,57,240.3,-47.503,-0.871,-2.172,47.561
255.1,57,240.3,-47.484,-0.859,-2.184,47.542
275.1,57,240.3,-47.476,-0.846,-2.202,47.535
315.1,77,240.3,-47.48,-0.808,-2.226,47.539
295.1,77,240.3,-47.492,-0.815,-2.221,47.551
275.1,77,240.3,-47.497,-0.826,-2.202,47.553
255.1,77,240.3,-47.505,-0.844,-2.192,47.561
235.1,77,240.3,-47.526,-0.853,-2.171,47.583
215.1,77,240.3,-47.541,-0.865,-2.16,47.601
175.1,97,240.3,-47.593,-0.873,-2.163,47.65
195.1,97,240.3,-47.576,-0.87,-2.163,47.633
215.1,97,240.3,-47.549,-0.856,-2.173,47.606
235.1,97,240.3,-47.536,-0.845,-2.181,47.591
255.1,97,240.3,-47.524,-0.831,-2.192,47.581
275.1,97,240.3,-47.511,-0.818,-2.21,47.568
295.1,97,240.3,-47.504,-0.795,-2.219,47.561
315.1,97,240.3,-47.497,-0.784,-2.234,47.555
335.1,117,240.3,-47.495,-0.746,-2.229,47.551
315.1,117,240.3,-47.509,-0.75,-2.224,47.567
295.1,117,240.3,-47.522,-0.772,-2.217,47.579
275.1,117,240.3,-47.529,-0.791,-2.201,47.583
255.1,117,240.3,-47.532,-0.813,-2.195,47.59
235.1,117,240.3,-47.545,-0.824,-2.177,47.602
215.1,117,240.3,-47.563,-0.833,-2.173,47.618
195.1,117,240.3,-47.58,-0.854,-2.167,47.634
175.1,137,240.3,-47.608,-0.855,-2.172,47.658
195.1,137,240.3,-47.583,-0.842,-2.173,47.64
215.1,137,240.3,-47.562,-0.828,-2.175,47.619
235.1,137,240.3,-47.554,-0.814,-2.178,47.61
255.1,137,240.3,-47.543,-0.793,-2.193,47.601
275.1,137,240.3,-47.54,-0.757,-2.191,47.596
295.1,137,240.3,-47.536,-0.73,-2.203,47.591
315.1,137,240.3,-47.522,-0.706,-2.215,47.579
335.1,157,240.3,-47.508,-0.659,-2.175,47.562
315.1,157,240.3,-47.53,-0.66,-2.176,47.586
295.1,157,240.3,-47.551,-0.699,-2.175,47.606
275.1,157,240.3,-47.551,-0.737,-2.168,47.608
255.1,157,240.3,-47.557,-0.773,-2.167,47.611
235.1,157,240.3,-47.555,-0.801,-2.165,47.611
215.1,157,240.3,-47.562,-0.819,-2.172,47.618
195.1,157,240.3,-47.579,-0.828,-2.177,47.635
195.1,177,240.3,-47.567,-0.825,-2.175,47.622
215.1,177,240.3,-47.556,-0.812,-2.165,47.61
235.1,177,240.3,-47.549,-0.792,-2.154,47.604
255.1,177,240.3,-47.55,-0.759,-2.139,47.603
275.1,177,240.3,-47.548,-0.714,-2.127,47.601
295.1,177,240.3,-47.556,-0.669,-2.124,47.606
295.1,197,240.3,-47.531,-0.654,-2.058,47.582
275.1,197,240.3,-47.54,-0.711,-2.082,47.592
255.1,197,240.3,-47.535,-0.761,-2.115,47.588
235.1,197,240.3,-47.532,-0.787,-2.125,47.584
195.1,217,260.3,-47.542,-0.812,-2.157,47.595
215.1,217,260.3,-47.537,-0.799,-2.14,47.592
235.1,217,260.3,-47.533,-0.781,-2.114,47.585
255.1,217,260.3,-47.549,-0.75,-2.075,47.6
275.1,217,260.3,-47.569,-0.701,-2.035,47.618
295.1,217,260.3,-47.58,-0.618,-1.993,47.625
335.1,197,260.3,-47.521,-0.369,-1.954,47.573
315.1,197,260.3,-47.589,-0.441,-2.019,47.634
295.1,197,260.3,-47.624,-0.574,-2.066,47.672
275.1,197,260.3,-47.607,-0.677,-2.089,47.661
255.1,197,260.3,-47.583,-0.738,-2.115,47.636
235.1,197,260.3,-47.567,-0.78,-2.134,47.621
215.1,197,260.3,-47.557,-0.8,-2.155,47.612
195.1,197,260.3,-47.566,-0.806,-2.18,47.623
175.1,177,260.3,-47.618,-0.822,-2.206,47.678
195.1,177,260.3,-47.589,-0.811,-2.188,47.644
215.1,177,260.3,-47.577,-0.8,-2.173,47.633
235.1,177,260.3,-47.58,-0.776,-2.162,47.635
255.1,177,260.3,-47.597,-0.742,-2.161,47.652
275.1,177,260.3,-47.615,-0.683,-2.154,47.673
295.1,177,260.3,-47.625,-0.587,-2.164,47.676
315.1,177,260.3,-47.611,-0.466,-2.16,47.66
