# COSI2 B0 scan,,,,,,
# time 2024-05-24 15:31:03.700436,,,,,,
# MAGNET CENTER IN LAB: x 245.100 mm, y 127.000 mm, z 270.300 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240524/quick_ball_magnet_inner_wall_1,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
316.53,84.14,198.87,-47.484,-0.822,-1.227,47.509
287.96,84.14,198.87,-47.483,-0.825,-1.217,47.504
259.39,84.14,198.87,-47.469,-0.852,-1.211,47.492
230.81,84.14,198.87,-47.465,-0.872,-1.188,47.487
202.24,112.71,198.87,-47.476,-0.903,-1.172,47.499
230.81,112.71,198.87,-47.507,-0.901,-1.181,47.529
259.39,112.71,198.87,-47.486,-0.887,-1.188,47.511
287.96,112.71,198.87,-47.483,-0.862,-1.187,47.505
316.53,141.29,198.87,-47.483,-0.846,-1.199,47.506
287.96,141.29,198.87,-47.503,-0.815,-1.186,47.526
259.39,141.29,198.87,-47.489,-0.825,-1.172,47.51
230.81,141.29,198.87,-47.481,-0.841,-1.178,47.504
202.24,169.86,198.87,-47.482,-0.858,-1.186,47.499
230.81,169.86,198.87,-47.504,-0.868,-1.201,47.524
259.39,169.86,198.87,-47.48,-0.855,-1.198,47.5
287.96,169.86,198.87,-47.459,-0.84,-1.175,47.481
202.24,227,227.44,-47.432,-0.845,-1.216,47.456
230.81,227,227.44,-47.438,-0.855,-1.211,47.462
259.39,227,227.44,-47.432,-0.826,-1.192,47.455
287.96,227,227.44,-47.418,-0.819,-1.166,47.442
345.1,198.43,227.44,-47.435,-0.809,-1.127,47.454
316.53,198.43,227.44,-47.563,-0.773,-0.996,47.57
287.96,198.43,227.44,-47.512,-0.781,-1.058,47.528
259.39,198.43,227.44,-47.472,-0.794,-1.116,47.494
230.81,198.43,227.44,-47.46,-0.815,-1.154,47.481
202.24,198.43,227.44,-47.458,-0.826,-1.187,47.478
173.67,169.86,227.44,-47.479,-0.84,-1.231,47.503
202.24,169.86,227.44,-47.565,-0.847,-1.232,47.584
230.81,169.86,227.44,-47.522,-0.847,-1.224,47.55
259.39,169.86,227.44,-47.49,-0.84,-1.209,47.514
287.96,169.86,227.44,-47.483,-0.829,-1.19,47.505
316.53,169.86,227.44,-47.499,-0.814,-1.161,47.52
345.1,141.29,227.44,-47.525,-0.806,-1.139,47.545
316.53,141.29,227.44,-47.579,-0.781,-1.186,47.596
287.96,141.29,227.44,-47.555,-0.797,-1.185,47.574
259.39,141.29,227.44,-47.525,-0.817,-1.187,47.548
230.81,141.29,227.44,-47.504,-0.834,-1.192,47.527
202.24,141.29,227.44,-47.499,-0.85,-1.207,47.521
173.67,112.71,227.44,-47.513,-0.857,-1.22,47.537
202.24,112.71,227.44,-47.532,-0.888,-1.219,47.553
