# COSI2 B0 scan,,,,,,
# time 2024-05-24 16:00:35.244420,,,,,,
# MAGNET CENTER IN LAB: x 245.100 mm, y 127.000 mm, z 270.300 mm,,,,
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240524/quick_ball_no_magnet,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
316.53,84.14,198.87,-47.487,-0.774,-1.215,47.508
287.96,84.14,198.87,-47.478,-0.788,-1.219,47.499
259.39,84.14,198.87,-47.462,-0.806,-1.203,47.484
230.81,84.14,198.87,-47.461,-0.829,-1.189,47.481
202.24,112.71,198.87,-47.466,-0.848,-1.17,47.49
230.81,112.71,198.87,-47.507,-0.855,-1.163,47.526
259.39,112.71,198.87,-47.486,-0.847,-1.17,47.507
287.96,112.71,198.87,-47.479,-0.825,-1.179,47.501
316.53,141.29,198.87,-47.482,-0.806,-1.188,47.502
287.96,141.29,198.87,-47.515,-0.785,-1.175,47.531
259.39,141.29,198.87,-47.506,-0.802,-1.165,47.527
230.81,141.29,198.87,-47.48,-0.815,-1.169,47.501
202.24,169.86,198.87,-47.48,-0.827,-1.169,47.502
230.81,169.86,198.87,-47.49,-0.841,-1.181,47.512
259.39,169.86,198.87,-47.474,-0.837,-1.171,47.496
287.96,169.86,227.44,-47.462,-0.817,-1.152,47.484
202.24,227,227.44,-47.441,-0.817,-1.174,47.466
230.81,227,227.44,-47.443,-0.826,-1.193,47.468
259.39,227,227.44,-47.425,-0.813,-1.165,47.45
287.96,227,227.44,-47.427,-0.813,-1.13,47.447
345.1,198.43,227.44,-47.442,-0.786,-1.111,47.462
316.53,198.43,227.44,-47.7,-0.789,-0.936,47.698
287.96,198.43,227.44,-47.564,-0.771,-1.003,47.59
259.39,198.43,227.44,-47.491,-0.782,-1.074,47.513
230.81,198.43,227.44,-47.461,-0.801,-1.116,47.481
202.24,198.43,227.44,-47.463,-0.81,-1.154,47.484
173.67,169.86,227.44,-47.48,-0.825,-1.19,47.499
202.24,169.86,227.44,-47.543,-0.84,-1.22,47.567
230.81,169.86,227.44,-47.519,-0.826,-1.199,47.543
259.39,169.86,227.44,-47.489,-0.82,-1.177,47.508
287.96,169.86,227.44,-47.486,-0.808,-1.155,47.504
316.53,169.86,227.44,-47.512,-0.798,-1.135,47.532
345.1,141.29,227.44,-47.552,-0.79,-1.118,47.571
316.53,141.29,227.44,-47.608,-0.753,-1.185,47.625
287.96,141.29,227.44,-47.571,-0.769,-1.183,47.595
259.39,141.29,227.44,-47.529,-0.79,-1.174,47.553
230.81,141.29,227.44,-47.509,-0.81,-1.18,47.531
202.24,141.29,227.44,-47.5,-0.818,-1.178,47.52
173.67,112.71,227.44,-47.516,-0.828,-1.189,47.538
