# COSI2 B0 scan
# time 2024-05-27 16:50:49.076036
# MAGNET CENTER IN LAB: x 245.100 mm, y 127.000 mm, z 270.300 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240527/ball_bare_magnet_4s_delay_filter_x_only_ALL_TRAYS_IN
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
275.100,77.000,200.300,-47.5050,-0.8840,-0.8560,47.5190
255.100,77.000,200.300,-47.5030,-0.8800,-0.8580,47.5150
215.100,97.000,200.300,-47.5090,-0.9060,-0.8280,47.5240
235.100,97.000,200.300,-47.5530,-0.9200,-0.8170,47.5690
255.100,97.000,200.300,-47.5310,-0.9100,-0.8250,47.5450
275.100,97.000,200.300,-47.5170,-0.8980,-0.8290,47.5310
315.100,117.000,200.300,-47.5210,-0.8930,-0.8470,47.5350
295.100,117.000,200.300,-47.5460,-0.8530,-0.8640,47.5600
275.100,117.000,200.300,-47.5370,-0.8650,-0.8450,47.5520
255.100,117.000,200.300,-47.5330,-0.8730,-0.8390,47.5480
235.100,117.000,200.300,-47.5270,-0.8940,-0.8330,47.5440
215.100,117.000,200.300,-47.5410,-0.8970,-0.8250,47.5550
195.100,137.000,200.300,-47.5550,-0.9070,-0.8260,47.5710
215.100,137.000,200.300,-47.5810,-0.9150,-0.8330,47.5960
235.100,137.000,200.300,-47.5560,-0.9040,-0.8180,47.5730
255.100,137.000,200.300,-47.5380,-0.8980,-0.8300,47.5530
275.100,137.000,200.300,-47.5350,-0.8810,-0.8230,47.5480
295.100,137.000,200.300,-47.5350,-0.8860,-0.8260,47.5470
295.100,157.000,200.300,-47.5460,-0.8690,-0.8340,47.5640
275.100,157.000,200.300,-47.5420,-0.8700,-0.8020,47.5580
255.100,157.000,200.300,-47.5330,-0.8750,-0.8000,47.5490
235.100,157.000,200.300,-47.5270,-0.8840,-0.8130,47.5390
235.100,177.000,200.300,-47.5340,-0.8950,-0.8270,47.5490
255.100,177.000,200.300,-47.5160,-0.8820,-0.8230,47.5300
235.100,217.000,220.300,-47.5120,-0.8780,-0.8110,47.5250
255.100,217.000,220.300,-47.4770,-0.8670,-0.8160,47.4930
315.100,197.000,220.300,-47.4830,-0.8610,-0.8040,47.4990
295.100,197.000,220.300,-47.5490,-0.8330,-0.6990,47.5580
275.100,197.000,220.300,-47.5260,-0.8490,-0.7500,47.5390
255.100,197.000,220.300,-47.5140,-0.8580,-0.7770,47.5300
235.100,197.000,220.300,-47.5000,-0.8750,-0.8010,47.5230
215.100,197.000,220.300,-47.5070,-0.8780,-0.8290,47.5240
195.100,177.000,220.300,-47.5200,-0.8810,-0.8510,47.5360
215.100,177.000,220.300,-47.5720,-0.8890,-0.8690,47.5890
235.100,177.000,220.300,-47.5450,-0.8860,-0.8520,47.5610
255.100,177.000,220.300,-47.5290,-0.8720,-0.8330,47.5440
275.100,177.000,220.300,-47.5250,-0.8680,-0.8230,47.5400
295.100,177.000,220.300,-47.5350,-0.8650,-0.7970,47.5500
335.100,157.000,220.300,-47.5480,-0.8610,-0.7690,47.5620
315.100,157.000,220.300,-47.6180,-0.8310,-0.8070,47.6310
295.100,157.000,220.300,-47.5880,-0.8440,-0.7950,47.6010
275.100,157.000,220.300,-47.5580,-0.8620,-0.8060,47.5770
255.100,157.000,220.300,-47.5410,-0.8630,-0.8080,47.5610
235.100,157.000,220.300,-47.5400,-0.8860,-0.8270,47.5580
215.100,157.000,220.300,-47.5430,-0.8790,-0.8360,47.5590
195.100,157.000,220.300,-47.5560,-0.8880,-0.8400,47.5720
175.100,137.000,220.300,-47.5860,-0.8890,-0.8660,47.6020
195.100,137.000,220.300,-47.6110,-0.9010,-0.8520,47.6280
215.100,137.000,220.300,-47.5860,-0.8960,-0.8420,47.6000
235.100,137.000,220.300,-47.5610,-0.8930,-0.8360,47.5760
255.100,137.000,220.300,-47.5480,-0.8820,-0.8350,47.5620
275.100,137.000,220.300,-47.5460,-0.8820,-0.8370,47.5610
295.100,137.000,220.300,-47.5440,-0.8650,-0.8350,47.5620
315.100,137.000,220.300,-47.5600,-0.8590,-0.8250,47.5750
315.100,117.000,220.300,-47.5750,-0.8500,-0.8370,47.5900
295.100,117.000,220.300,-47.5660,-0.8450,-0.8610,47.5810
275.100,117.000,220.300,-47.5510,-0.8570,-0.8510,47.5690
255.100,117.000,220.300,-47.5460,-0.8740,-0.8400,47.5560
235.100,117.000,220.300,-47.5420,-0.8840,-0.8440,47.5610
215.100,117.000,220.300,-47.5490,-0.8880,-0.8400,47.5670
195.100,97.000,220.300,-47.5640,-0.8930,-0.8390,47.5800
215.100,97.000,220.300,-47.5860,-0.9080,-0.8330,47.5990
235.100,97.000,220.300,-47.5640,-0.9020,-0.8390,47.5800
255.100,97.000,220.300,-47.5450,-0.9000,-0.8400,47.5590
275.100,97.000,220.300,-47.5270,-0.8850,-0.8550,47.5460
295.100,97.000,220.300,-47.5330,-0.8780,-0.8570,47.5490
275.100,77.000,220.300,-47.5460,-0.8610,-0.8730,47.5620
255.100,77.000,220.300,-47.5180,-0.8800,-0.8640,47.5340
215.100,57.000,240.300,-47.5300,-0.8860,-0.8500,47.5450
235.100,57.000,240.300,-47.5540,-0.9030,-0.8510,47.5740
255.100,57.000,240.300,-47.5410,-0.8970,-0.8510,47.5570
275.100,57.000,240.300,-47.5240,-0.8920,-0.8640,47.5410
315.100,77.000,240.300,-47.5240,-0.8850,-0.8840,47.5400
295.100,77.000,240.300,-47.5650,-0.8530,-0.9060,47.5810
275.100,77.000,240.300,-47.5470,-0.8670,-0.8820,47.5630
