# COSI2 B0 scan,,,,,,
# time 2024-05-27 16:50:49.076036,,,,,,
# MAGNET CENTER IN LAB: x 245.100 mm, y 127.000 mm, z 270.300 mm,,,,
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240527/ball_bare_magnet_4s_delay_filter_x_only_ALL_TRAYS_IN,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
275.1,77,200.3,-47.503,-0.88,-0.858,47.515
255.1,77,200.3,-47.509,-0.906,-0.828,47.524
215.1,97,200.3,-47.553,-0.92,-0.817,47.569
235.1,97,200.3,-47.531,-0.91,-0.825,47.545
255.1,97,200.3,-47.517,-0.898,-0.829,47.531
275.1,97,200.3,-47.521,-0.893,-0.847,47.535
315.1,117,200.3,-47.546,-0.853,-0.864,47.56
295.1,117,200.3,-47.537,-0.865,-0.845,47.552
275.1,117,200.3,-47.533,-0.873,-0.839,47.548
255.1,117,200.3,-47.527,-0.894,-0.833,47.544
235.1,117,200.3,-47.541,-0.897,-0.825,47.555
215.1,117,200.3,-47.555,-0.907,-0.826,47.571
195.1,137,200.3,-47.581,-0.915,-0.833,47.596
215.1,137,200.3,-47.556,-0.904,-0.818,47.573
235.1,137,200.3,-47.538,-0.898,-0.83,47.553
255.1,137,200.3,-47.535,-0.881,-0.823,47.548
275.1,137,200.3,-47.535,-0.886,-0.826,47.547
295.1,137,200.3,-47.546,-0.869,-0.834,47.564
295.1,157,200.3,-47.542,-0.87,-0.802,47.558
275.1,157,200.3,-47.533,-0.875,-0.8,47.549
255.1,157,200.3,-47.527,-0.884,-0.813,47.539
235.1,157,200.3,-47.534,-0.895,-0.827,47.549
235.1,177,200.3,-47.516,-0.882,-0.823,47.53
255.1,177,200.3,-47.512,-0.878,-0.811,47.525
235.1,217,220.3,-47.477,-0.867,-0.816,47.493
255.1,217,220.3,-47.483,-0.861,-0.804,47.499
315.1,197,220.3,-47.549,-0.833,-0.699,47.558
295.1,197,220.3,-47.526,-0.849,-0.75,47.539
275.1,197,220.3,-47.514,-0.858,-0.777,47.53
255.1,197,220.3,-47.5,-0.875,-0.801,47.523
235.1,197,220.3,-47.507,-0.878,-0.829,47.524
215.1,197,220.3,-47.52,-0.881,-0.851,47.536
195.1,177,220.3,-47.572,-0.889,-0.869,47.589
215.1,177,220.3,-47.545,-0.886,-0.852,47.561
235.1,177,220.3,-47.529,-0.872,-0.833,47.544
255.1,177,220.3,-47.525,-0.868,-0.823,47.54
275.1,177,220.3,-47.535,-0.865,-0.797,47.55
295.1,177,220.3,-47.548,-0.861,-0.769,47.562
335.1,157,220.3,-47.618,-0.831,-0.807,47.631
315.1,157,220.3,-47.588,-0.844,-0.795,47.601
295.1,157,220.3,-47.558,-0.862,-0.806,47.577
275.1,157,220.3,-47.541,-0.863,-0.808,47.561
255.1,157,220.3,-47.54,-0.886,-0.827,47.558
235.1,157,220.3,-47.543,-0.879,-0.836,47.559
215.1,157,220.3,-47.556,-0.888,-0.84,47.572
195.1,157,220.3,-47.586,-0.889,-0.866,47.602
175.1,137,220.3,-47.611,-0.901,-0.852,47.628
195.1,137,220.3,-47.586,-0.896,-0.842,47.6
215.1,137,220.3,-47.561,-0.893,-0.836,47.576
235.1,137,220.3,-47.548,-0.882,-0.835,47.562
255.1,137,220.3,-47.546,-0.882,-0.837,47.561
275.1,137,220.3,-47.544,-0.865,-0.835,47.562
295.1,137,220.3,-47.56,-0.859,-0.825,47.575
315.1,137,220.3,-47.575,-0.85,-0.837,47.59
315.1,117,220.3,-47.566,-0.845,-0.861,47.581
295.1,117,220.3,-47.551,-0.857,-0.851,47.569
275.1,117,220.3,-47.546,-0.874,-0.84,47.556
255.1,117,220.3,-47.542,-0.884,-0.844,47.561
235.1,117,220.3,-47.549,-0.888,-0.84,47.567
215.1,117,220.3,-47.564,-0.893,-0.839,47.58
195.1,97,220.3,-47.586,-0.908,-0.833,47.599
215.1,97,220.3,-47.564,-0.902,-0.839,47.58
235.1,97,220.3,-47.545,-0.9,-0.84,47.559
255.1,97,220.3,-47.527,-0.885,-0.855,47.546
275.1,97,220.3,-47.533,-0.878,-0.857,47.549
295.1,97,220.3,-47.546,-0.861,-0.873,47.562
275.1,77,220.3,-47.518,-0.88,-0.864,47.534
255.1,77,220.3,-47.53,-0.886,-0.85,47.545
215.1,57,240.3,-47.554,-0.903,-0.851,47.574
235.1,57,240.3,-47.541,-0.897,-0.851,47.557
255.1,57,240.3,-47.524,-0.892,-0.864,47.541
275.1,57,240.3,-47.524,-0.885,-0.884,47.54
315.1,77,240.3,-47.565,-0.853,-0.906,47.581
295.1,77,240.3,-47.547,-0.867,-0.882,47.563
275.1,77,240.3,-47.544,-0.881,-0.867,47.56
255.1,77,240.3,-47.541,-0.888,-0.862,47.558
235.1,77,240.3,-47.55,-0.895,-0.846,47.563
215.1,77,240.3,-47.565,-0.895,-0.846,47.579
175.1,97,240.3,-47.616,-0.908,-0.852,47.632
195.1,97,240.3,-47.589,-0.896,-0.841,47.606
215.1,97,240.3,-47.57,-0.891,-0.849,47.586
235.1,97,240.3,-47.556,-0.898,-0.853,47.572
255.1,97,240.3,-47.552,-0.879,-0.861,47.568
275.1,97,240.3,-47.549,-0.87,-0.872,47.565
295.1,97,240.3,-47.561,-0.863,-0.877,47.577
315.1,97,240.3,-47.579,-0.851,-0.893,47.595
335.1,117,240.3,-47.608,-0.827,-0.89,47.624
315.1,117,240.3,-47.587,-0.844,-0.87,47.602
295.1,117,240.3,-47.575,-0.86,-0.863,47.59
275.1,117,240.3,-47.557,-0.859,-0.858,47.572
255.1,117,240.3,-47.561,-0.875,-0.859,47.576
235.1,117,240.3,-47.561,-0.878,-0.857,47.575
215.1,117,240.3,-47.574,-0.884,-0.851,47.592
195.1,117,240.3,-47.593,-0.884,-0.853,47.607
175.1,137,240.3,-47.609,-0.9,-0.863,47.626
195.1,137,240.3,-47.588,-0.881,-0.86,47.609
215.1,137,240.3,-47.571,-0.882,-0.846,47.586
235.1,137,240.3,-47.557,-0.867,-0.849,47.574
255.1,137,240.3,-47.557,-0.87,-0.847,47.569
275.1,137,240.3,-47.565,-0.853,-0.842,47.582
295.1,137,240.3,-47.572,-0.849,-0.837,47.588
315.1,137,240.3,-47.607,-0.846,-0.85,47.622
335.1,157,240.3,-47.654,-0.831,-0.819,47.666
315.1,157,240.3,-47.616,-0.844,-0.81,47.627
295.1,157,240.3,-47.582,-0.863,-0.812,47.596
275.1,157,240.3,-47.561,-0.866,-0.826,47.576
255.1,157,240.3,-47.552,-0.866,-0.837,47.569
235.1,157,240.3,-47.55,-0.865,-0.842,47.568
215.1,157,240.3,-47.564,-0.877,-0.848,47.582
195.1,157,240.3,-47.582,-0.874,-0.866,47.603
195.1,177,240.3,-47.575,-0.861,-0.872,47.585
215.1,177,240.3,-47.551,-0.862,-0.848,47.568
235.1,177,240.3,-47.54,-0.866,-0.84,47.556
255.1,177,240.3,-47.538,-0.862,-0.825,47.553
