# COSI2 B0 scan
# time 2024-05-27 16:19:53.347461
# MAGNET CENTER IN LAB: x 245.100 mm, y 127.000 mm, z 270.300 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240527/ball_bare_magnet_4s_delay_filter_x_only_NO_TRAY_8
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
275.100,77.000,200.300,-47.5100,-0.8810,-0.8510,47.5270
255.100,77.000,200.300,-47.5120,-0.8660,-0.8560,47.5280
215.100,97.000,200.300,-47.5160,-0.8950,-0.8340,47.5300
235.100,97.000,200.300,-47.5660,-0.9090,-0.8190,47.5830
255.100,97.000,200.300,-47.5460,-0.8980,-0.8270,47.5630
275.100,97.000,200.300,-47.5350,-0.8840,-0.8260,47.5510
315.100,117.000,200.300,-47.5330,-0.8590,-0.8400,47.5480
295.100,117.000,200.300,-47.5560,-0.8380,-0.8620,47.5710
275.100,117.000,200.300,-47.5500,-0.8650,-0.8500,47.5660
255.100,117.000,200.300,-47.5370,-0.8710,-0.8400,47.5530
235.100,117.000,200.300,-47.5440,-0.8800,-0.8400,47.5630
215.100,117.000,200.300,-47.5530,-0.8860,-0.8180,47.5720
195.100,137.000,200.300,-47.5740,-0.9080,-0.8200,47.5900
215.100,137.000,200.300,-47.6010,-0.9090,-0.8400,47.6120
235.100,137.000,200.300,-47.5650,-0.8960,-0.8350,47.5820
255.100,137.000,200.300,-47.5550,-0.8910,-0.8170,47.5670
275.100,137.000,200.300,-47.5490,-0.8820,-0.8230,47.5620
295.100,137.000,200.300,-47.5430,-0.8710,-0.8200,47.5610
295.100,157.000,200.300,-47.5570,-0.8570,-0.8280,47.5690
275.100,157.000,200.300,-47.5540,-0.8560,-0.7910,47.5700
255.100,157.000,200.300,-47.5510,-0.8620,-0.8070,47.5660
235.100,157.000,200.300,-47.5390,-0.8810,-0.8170,47.5550
235.100,177.000,200.300,-47.5470,-0.8750,-0.8150,47.5620
255.100,177.000,200.300,-47.5240,-0.8730,-0.8230,47.5390
235.100,217.000,220.300,-47.5200,-0.8790,-0.8000,47.5350
255.100,217.000,220.300,-47.4990,-0.8630,-0.8250,47.5150
315.100,197.000,220.300,-47.4970,-0.8560,-0.7940,47.5120
295.100,197.000,220.300,-47.5630,-0.8320,-0.7040,47.5750
275.100,197.000,220.300,-47.5330,-0.8420,-0.7410,47.5460
255.100,197.000,220.300,-47.5240,-0.8490,-0.7640,47.5370
235.100,197.000,220.300,-47.5190,-0.8650,-0.7980,47.5350
215.100,197.000,220.300,-47.5260,-0.8660,-0.8220,47.5420
195.100,177.000,220.300,-47.5410,-0.8770,-0.8570,47.5600
215.100,177.000,220.300,-47.5900,-0.8820,-0.8580,47.6020
235.100,177.000,220.300,-47.5610,-0.8740,-0.8410,47.5760
255.100,177.000,220.300,-47.5440,-0.8720,-0.8280,47.5590
275.100,177.000,220.300,-47.5410,-0.8690,-0.8090,47.5560
295.100,177.000,220.300,-47.5410,-0.8580,-0.7950,47.5580
335.100,157.000,220.300,-47.5720,-0.8540,-0.7700,47.5810
315.100,157.000,220.300,-47.6250,-0.8280,-0.8200,47.6400
295.100,157.000,220.300,-47.5990,-0.8420,-0.7960,47.6110
275.100,157.000,220.300,-47.5750,-0.8510,-0.8030,47.5910
255.100,157.000,220.300,-47.5570,-0.8650,-0.8050,47.5710
235.100,157.000,220.300,-47.5550,-0.8740,-0.8160,47.5710
215.100,157.000,220.300,-47.5580,-0.8660,-0.8360,47.5750
195.100,157.000,220.300,-47.5740,-0.8750,-0.8360,47.5890
175.100,137.000,220.300,-47.6030,-0.8840,-0.8480,47.6180
195.100,137.000,220.300,-47.6360,-0.8980,-0.8470,47.6550
215.100,137.000,220.300,-47.6060,-0.8800,-0.8490,47.6240
235.100,137.000,220.300,-47.5820,-0.8850,-0.8500,47.5990
255.100,137.000,220.300,-47.5670,-0.8750,-0.8390,47.5830
275.100,137.000,220.300,-47.5560,-0.8630,-0.8370,47.5710
295.100,137.000,220.300,-47.5650,-0.8590,-0.8290,47.5800
315.100,137.000,220.300,-47.5700,-0.8550,-0.8380,47.5820
315.100,117.000,220.300,-47.5930,-0.8350,-0.8330,47.6080
295.100,117.000,220.300,-47.5850,-0.8390,-0.8610,47.5950
275.100,117.000,220.300,-47.5620,-0.8520,-0.8620,47.5790
255.100,117.000,220.300,-47.5500,-0.8660,-0.8460,47.5690
235.100,117.000,220.300,-47.5620,-0.8750,-0.8450,47.5780
215.100,117.000,220.300,-47.5680,-0.8800,-0.8460,47.5840
195.100,97.000,220.300,-47.5840,-0.8710,-0.8340,47.6000
215.100,97.000,220.300,-47.6030,-0.9030,-0.8390,47.6210
235.100,97.000,220.300,-47.5790,-0.8970,-0.8300,47.5950
255.100,97.000,220.300,-47.5550,-0.8840,-0.8480,47.5730
275.100,97.000,220.300,-47.5450,-0.8780,-0.8550,47.5640
295.100,97.000,220.300,-47.5480,-0.8650,-0.8620,47.5630
275.100,77.000,220.300,-47.5550,-0.8480,-0.8810,47.5690
255.100,77.000,220.300,-47.5350,-0.8620,-0.8550,47.5480
215.100,57.000,240.300,-47.5380,-0.8800,-0.8580,47.5590
235.100,57.000,240.300,-47.5700,-0.9050,-0.8390,47.5870
255.100,57.000,240.300,-47.5520,-0.8950,-0.8600,47.5680
275.100,57.000,240.300,-47.5370,-0.8830,-0.8630,47.5530
315.100,77.000,240.300,-47.5370,-0.8780,-0.8770,47.5530
295.100,77.000,240.300,-47.5630,-0.8400,-0.9040,47.5800
275.100,77.000,240.300,-47.5520,-0.8510,-0.8970,47.5670
255.100,77.000,240.300,-47.5490,-0.8680,-0.8750,47.5660
235.100,77.000,240.300,-47.5510,-0.8820,-0.8690,47.5700
215.100,77.000,240.300,-47.5610,-0.8970,-0.8640,47.5810
175.100,97.000,240.300,-47.5810,-0.8870,-0.8470,47.6000
195.100,97.000,240.300,-47.6430,-0.8910,-0.8500,47.6610
215.100,97.000,240.300,-47.6100,-0.8870,-0.8420,47.6250
235.100,97.000,240.300,-47.5850,-0.8790,-0.8500,47.6070
255.100,97.000,240.300,-47.5750,-0.8800,-0.8600,47.5890
275.100,97.000,240.300,-47.5640,-0.8620,-0.8670,47.5790
295.100,97.000,240.300,-47.5620,-0.8670,-0.8780,47.5800
315.100,97.000,240.300,-47.5710,-0.8520,-0.8890,47.5850
335.100,117.000,240.300,-47.5860,-0.8360,-0.8860,47.6030
315.100,117.000,240.300,-47.6160,-0.8220,-0.8930,47.6310
295.100,117.000,240.300,-47.6000,-0.8320,-0.8800,47.6120
275.100,117.000,240.300,-47.5840,-0.8470,-0.8590,47.5940
255.100,117.000,240.300,-47.5750,-0.8540,-0.8550,47.5880
235.100,117.000,240.300,-47.5680,-0.8660,-0.8520,47.5850
215.100,117.000,240.300,-47.5730,-0.8690,-0.8590,47.5880
195.100,117.000,240.300,-47.5920,-0.8730,-0.8560,47.6070
175.100,137.000,240.300,-47.6170,-0.8810,-0.8530,47.6330
195.100,137.000,240.300,-47.6350,-0.8810,-0.8620,47.6550
215.100,137.000,240.300,-47.6090,-0.8750,-0.8600,47.6260
235.100,137.000,240.300,-47.5880,-0.8700,-0.8520,47.6020
255.100,137.000,240.300,-47.5740,-0.8620,-0.8510,47.5860
275.100,137.000,240.300,-47.5620,-0.8580,-0.8440,47.5810
295.100,137.000,240.300,-47.5710,-0.8580,-0.8480,47.5870
315.100,137.000,240.300,-47.5880,-0.8500,-0.8490,47.6020
335.100,157.000,240.300,-47.6130,-0.8280,-0.8460,47.6280
315.100,157.000,240.300,-47.6630,-0.8200,-0.8280,47.6790
295.100,157.000,240.300,-47.6250,-0.8320,-0.8240,47.6380
275.100,157.000,240.300,-47.5890,-0.8460,-0.8060,47.6070
255.100,157.000,240.300,-47.5690,-0.8580,-0.8240,47.5840
235.100,157.000,240.300,-47.5630,-0.8540,-0.8270,47.5800
215.100,157.000,240.300,-47.5620,-0.8660,-0.8420,47.5770
