# COSI2 B0 scan,,,,,,
# time 2024-05-27 16:19:53.347461,,,,,,
# MAGNET CENTER IN LAB: x 245.100 mm, y 127.000 mm, z 270.300 mm,,,,
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240527/ball_bare_magnet_4s_delay_filter_x_only_NO_TRAY_8,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
275.1,77,200.3,-47.512,-0.866,-0.856,47.528
255.1,77,200.3,-47.516,-0.895,-0.834,47.53
215.1,97,200.3,-47.566,-0.909,-0.819,47.583
235.1,97,200.3,-47.546,-0.898,-0.827,47.563
255.1,97,200.3,-47.535,-0.884,-0.826,47.551
275.1,97,200.3,-47.533,-0.859,-0.84,47.548
315.1,117,200.3,-47.556,-0.838,-0.862,47.571
295.1,117,200.3,-47.55,-0.865,-0.85,47.566
275.1,117,200.3,-47.537,-0.871,-0.84,47.553
255.1,117,200.3,-47.544,-0.88,-0.84,47.563
235.1,117,200.3,-47.553,-0.886,-0.818,47.572
215.1,117,200.3,-47.574,-0.908,-0.82,47.59
195.1,137,200.3,-47.601,-0.909,-0.84,47.612
215.1,137,200.3,-47.565,-0.896,-0.835,47.582
235.1,137,200.3,-47.555,-0.891,-0.817,47.567
255.1,137,200.3,-47.549,-0.882,-0.823,47.562
275.1,137,200.3,-47.543,-0.871,-0.82,47.561
295.1,137,200.3,-47.557,-0.857,-0.828,47.569
295.1,157,200.3,-47.554,-0.856,-0.791,47.57
275.1,157,200.3,-47.551,-0.862,-0.807,47.566
255.1,157,200.3,-47.539,-0.881,-0.817,47.555
235.1,157,200.3,-47.547,-0.875,-0.815,47.562
235.1,177,200.3,-47.524,-0.873,-0.823,47.539
255.1,177,200.3,-47.52,-0.879,-0.8,47.535
235.1,217,220.3,-47.499,-0.863,-0.825,47.515
255.1,217,220.3,-47.497,-0.856,-0.794,47.512
315.1,197,220.3,-47.563,-0.832,-0.704,47.575
295.1,197,220.3,-47.533,-0.842,-0.741,47.546
275.1,197,220.3,-47.524,-0.849,-0.764,47.537
255.1,197,220.3,-47.519,-0.865,-0.798,47.535
235.1,197,220.3,-47.526,-0.866,-0.822,47.542
215.1,197,220.3,-47.541,-0.877,-0.857,47.56
195.1,177,220.3,-47.59,-0.882,-0.858,47.602
215.1,177,220.3,-47.561,-0.874,-0.841,47.576
235.1,177,220.3,-47.544,-0.872,-0.828,47.559
255.1,177,220.3,-47.541,-0.869,-0.809,47.556
275.1,177,220.3,-47.541,-0.858,-0.795,47.558
295.1,177,220.3,-47.572,-0.854,-0.77,47.581
335.1,157,220.3,-47.625,-0.828,-0.82,47.64
315.1,157,220.3,-47.599,-0.842,-0.796,47.611
295.1,157,220.3,-47.575,-0.851,-0.803,47.591
275.1,157,220.3,-47.557,-0.865,-0.805,47.571
255.1,157,220.3,-47.555,-0.874,-0.816,47.571
235.1,157,220.3,-47.558,-0.866,-0.836,47.575
215.1,157,220.3,-47.574,-0.875,-0.836,47.589
195.1,157,220.3,-47.603,-0.884,-0.848,47.618
175.1,137,220.3,-47.636,-0.898,-0.847,47.655
195.1,137,220.3,-47.606,-0.88,-0.849,47.624
215.1,137,220.3,-47.582,-0.885,-0.85,47.599
235.1,137,220.3,-47.567,-0.875,-0.839,47.583
255.1,137,220.3,-47.556,-0.863,-0.837,47.571
275.1,137,220.3,-47.565,-0.859,-0.829,47.58
295.1,137,220.3,-47.57,-0.855,-0.838,47.582
315.1,137,220.3,-47.593,-0.835,-0.833,47.608
315.1,117,220.3,-47.585,-0.839,-0.861,47.595
295.1,117,220.3,-47.562,-0.852,-0.862,47.579
275.1,117,220.3,-47.55,-0.866,-0.846,47.569
255.1,117,220.3,-47.562,-0.875,-0.845,47.578
235.1,117,220.3,-47.568,-0.88,-0.846,47.584
215.1,117,220.3,-47.584,-0.871,-0.834,47.6
195.1,97,220.3,-47.603,-0.903,-0.839,47.621
215.1,97,220.3,-47.579,-0.897,-0.83,47.595
235.1,97,220.3,-47.555,-0.884,-0.848,47.573
255.1,97,220.3,-47.545,-0.878,-0.855,47.564
275.1,97,220.3,-47.548,-0.865,-0.862,47.563
295.1,97,220.3,-47.555,-0.848,-0.881,47.569
275.1,77,220.3,-47.535,-0.862,-0.855,47.548
255.1,77,220.3,-47.538,-0.88,-0.858,47.559
215.1,57,240.3,-47.57,-0.905,-0.839,47.587
235.1,57,240.3,-47.552,-0.895,-0.86,47.568
255.1,57,240.3,-47.537,-0.883,-0.863,47.553
275.1,57,240.3,-47.537,-0.878,-0.877,47.553
315.1,77,240.3,-47.563,-0.84,-0.904,47.58
295.1,77,240.3,-47.552,-0.851,-0.897,47.567
275.1,77,240.3,-47.549,-0.868,-0.875,47.566
255.1,77,240.3,-47.551,-0.882,-0.869,47.57
235.1,77,240.3,-47.561,-0.897,-0.864,47.581
215.1,77,240.3,-47.581,-0.887,-0.847,47.6
175.1,97,240.3,-47.643,-0.891,-0.85,47.661
195.1,97,240.3,-47.61,-0.887,-0.842,47.625
215.1,97,240.3,-47.585,-0.879,-0.85,47.607
235.1,97,240.3,-47.575,-0.88,-0.86,47.589
255.1,97,240.3,-47.564,-0.862,-0.867,47.579
275.1,97,240.3,-47.562,-0.867,-0.878,47.58
295.1,97,240.3,-47.571,-0.852,-0.889,47.585
315.1,97,240.3,-47.586,-0.836,-0.886,47.603
335.1,117,240.3,-47.616,-0.822,-0.893,47.631
315.1,117,240.3,-47.6,-0.832,-0.88,47.612
295.1,117,240.3,-47.584,-0.847,-0.859,47.594
275.1,117,240.3,-47.575,-0.854,-0.855,47.588
255.1,117,240.3,-47.568,-0.866,-0.852,47.585
235.1,117,240.3,-47.573,-0.869,-0.859,47.588
215.1,117,240.3,-47.592,-0.873,-0.856,47.607
195.1,117,240.3,-47.617,-0.881,-0.853,47.633
175.1,137,240.3,-47.635,-0.881,-0.862,47.655
195.1,137,240.3,-47.609,-0.875,-0.86,47.626
215.1,137,240.3,-47.588,-0.87,-0.852,47.602
235.1,137,240.3,-47.574,-0.862,-0.851,47.586
255.1,137,240.3,-47.562,-0.858,-0.844,47.581
275.1,137,240.3,-47.571,-0.858,-0.848,47.587
295.1,137,240.3,-47.588,-0.85,-0.849,47.602
315.1,137,240.3,-47.613,-0.828,-0.846,47.628
335.1,157,240.3,-47.663,-0.82,-0.828,47.679
315.1,157,240.3,-47.625,-0.832,-0.824,47.638
295.1,157,240.3,-47.589,-0.846,-0.806,47.607
