# COSI2 B0 scan
# time 2024-05-27 15:32:59.063857
# MAGNET CENTER IN LAB: x 245.100 mm, y 127.000 mm, z 270.300 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240527/ball_bare_magnet_4s_delay_filter_x_only
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
275.100,77.000,200.300,-47.5250,-0.8550,-0.1270,47.5330
255.100,77.000,200.300,-47.5200,-0.8660,-0.1170,47.5290
215.100,97.000,200.300,-47.5210,-0.8740,-0.0950,47.5320
235.100,97.000,200.300,-47.5600,-0.8970,-0.0720,47.5690
255.100,97.000,200.300,-47.5430,-0.8770,-0.0870,47.5490
275.100,97.000,200.300,-47.5370,-0.8790,-0.0960,47.5450
315.100,117.000,200.300,-47.5330,-0.8570,-0.1050,47.5410
295.100,117.000,200.300,-47.5700,-0.8220,-0.1300,47.5740
275.100,117.000,200.300,-47.5530,-0.8420,-0.1130,47.5640
255.100,117.000,200.300,-47.5560,-0.8580,-0.1060,47.5600
235.100,117.000,200.300,-47.5450,-0.8610,-0.0950,47.5580
215.100,117.000,200.300,-47.5560,-0.8710,-0.0840,47.5650
195.100,137.000,200.300,-47.5710,-0.8840,-0.0740,47.5790
215.100,137.000,200.300,-47.5910,-0.8910,-0.0940,47.5980
235.100,137.000,200.300,-47.5740,-0.8860,-0.0820,47.5820
255.100,137.000,200.300,-47.5540,-0.8820,-0.0890,47.5610
275.100,137.000,200.300,-47.5530,-0.8610,-0.0860,47.5600
295.100,137.000,200.300,-47.5550,-0.8520,-0.0870,47.5620
295.100,157.000,200.300,-47.5680,-0.8360,-0.0960,47.5810
275.100,157.000,200.300,-47.5740,-0.8420,-0.0600,47.5790
255.100,157.000,200.300,-47.5540,-0.8520,-0.0530,47.5610
235.100,157.000,200.300,-47.5430,-0.8570,-0.0710,47.5510
235.100,177.000,200.300,-47.5420,-0.8620,-0.0760,47.5530
255.100,177.000,200.300,-47.5340,-0.8620,-0.0700,47.5390
235.100,217.000,220.300,-47.5330,-0.8500,-0.0630,47.5420
255.100,217.000,220.300,-47.5040,-0.8560,-0.0750,47.5140
315.100,197.000,220.300,-47.5050,-0.8430,-0.0500,47.5100
295.100,197.000,220.300,-47.5840,-0.8260,0.0520,47.5910
275.100,197.000,220.300,-47.5470,-0.8150,0.0090,47.5540
255.100,197.000,220.300,-47.5290,-0.8350,-0.0410,47.5390
235.100,197.000,220.300,-47.5250,-0.8440,-0.0570,47.5330
215.100,197.000,220.300,-47.5260,-0.8510,-0.0740,47.5330
195.100,177.000,220.300,-47.5310,-0.8670,-0.1050,47.5410
215.100,177.000,220.300,-47.5840,-0.8660,-0.1190,47.5930
235.100,177.000,220.300,-47.5540,-0.8560,-0.1040,47.5620
255.100,177.000,220.300,-47.5510,-0.8560,-0.0690,47.5620
275.100,177.000,220.300,-47.5460,-0.8590,-0.0640,47.5470
295.100,177.000,220.300,-47.5540,-0.8490,-0.0490,47.5670
335.100,157.000,220.300,-47.5770,-0.8380,-0.0250,47.5840
315.100,157.000,220.300,-47.6520,-0.8080,-0.0780,47.6600
295.100,157.000,220.300,-47.6110,-0.8280,-0.0630,47.6180
275.100,157.000,220.300,-47.5890,-0.8330,-0.0590,47.5960
255.100,157.000,220.300,-47.5670,-0.8490,-0.0620,47.5750
235.100,157.000,220.300,-47.5550,-0.8460,-0.0840,47.5630
215.100,157.000,220.300,-47.5600,-0.8550,-0.0840,47.5680
195.100,157.000,220.300,-47.5730,-0.8590,-0.0980,47.5800
175.100,137.000,220.300,-47.5950,-0.8740,-0.1060,47.6010
195.100,137.000,220.300,-47.6230,-0.8840,-0.1010,47.6320
215.100,137.000,220.300,-47.5990,-0.8710,-0.1050,47.6030
235.100,137.000,220.300,-47.5810,-0.8700,-0.0900,47.5940
255.100,137.000,220.300,-47.5670,-0.8630,-0.0930,47.5750
275.100,137.000,220.300,-47.5660,-0.8600,-0.1010,47.5750
295.100,137.000,220.300,-47.5720,-0.8370,-0.0950,47.5800
315.100,137.000,220.300,-47.5930,-0.8330,-0.1050,47.5960
315.100,117.000,220.300,-47.6040,-0.8160,-0.1010,47.6100
295.100,117.000,220.300,-47.5950,-0.8260,-0.1260,47.6040
275.100,117.000,220.300,-47.5820,-0.8370,-0.1040,47.5890
255.100,117.000,220.300,-47.5690,-0.8480,-0.1060,47.5780
235.100,117.000,220.300,-47.5600,-0.8590,-0.1040,47.5660
215.100,117.000,220.300,-47.5700,-0.8620,-0.0980,47.5740
195.100,97.000,220.300,-47.5810,-0.8670,-0.0890,47.5860
215.100,97.000,220.300,-47.5970,-0.8910,-0.0890,47.6050
235.100,97.000,220.300,-47.5680,-0.8840,-0.1020,47.5760
255.100,97.000,220.300,-47.5630,-0.8740,-0.0950,47.5700
275.100,97.000,220.300,-47.5550,-0.8640,-0.1070,47.5630
295.100,97.000,220.300,-47.5510,-0.8460,-0.1170,47.5630
275.100,77.000,220.300,-47.5600,-0.8350,-0.1320,47.5670
255.100,77.000,220.300,-47.5440,-0.8480,-0.1290,47.5490
215.100,57.000,240.300,-47.5440,-0.8700,-0.1130,47.5520
235.100,57.000,240.300,-47.5740,-0.8840,-0.1120,47.5820
255.100,57.000,240.300,-47.5570,-0.8730,-0.1270,47.5660
275.100,57.000,240.300,-47.5520,-0.8680,-0.1260,47.5590
315.100,77.000,240.300,-47.5490,-0.8590,-0.1450,47.5530
295.100,77.000,240.300,-47.5900,-0.8260,-0.1680,47.5960
275.100,77.000,240.300,-47.5710,-0.8400,-0.1610,47.5750
255.100,77.000,240.300,-47.5610,-0.8480,-0.1370,47.5690
235.100,77.000,240.300,-47.5570,-0.8640,-0.1210,47.5670
215.100,77.000,240.300,-47.5720,-0.8720,-0.1190,47.5800
175.100,97.000,240.300,-47.5840,-0.8720,-0.1160,47.5890
195.100,97.000,240.300,-47.6330,-0.8830,-0.1140,47.6420
215.100,97.000,240.300,-47.6040,-0.8740,-0.1090,47.6140
235.100,97.000,240.300,-47.5850,-0.8710,-0.1210,47.5900
255.100,97.000,240.300,-47.5790,-0.8630,-0.1210,47.5850
275.100,97.000,240.300,-47.5710,-0.8640,-0.1280,47.5780
295.100,97.000,240.300,-47.5730,-0.8480,-0.1340,47.5830
315.100,97.000,240.300,-47.5810,-0.8340,-0.1430,47.5860
335.100,117.000,240.300,-47.6040,-0.8200,-0.1470,47.6070
315.100,117.000,240.300,-47.6330,-0.8000,-0.1530,47.6410
295.100,117.000,240.300,-47.6120,-0.8030,-0.1450,47.6220
275.100,117.000,240.300,-47.5960,-0.8390,-0.1270,47.6080
255.100,117.000,240.300,-47.5830,-0.8380,-0.1180,47.5870
235.100,117.000,240.300,-47.5800,-0.8540,-0.1260,47.5880
215.100,117.000,240.300,-47.5760,-0.8560,-0.1170,47.5860
195.100,117.000,240.300,-47.5890,-0.8580,-0.1160,47.5970
175.100,137.000,240.300,-47.6030,-0.8770,-0.1120,47.6110
195.100,137.000,240.300,-47.6270,-0.8720,-0.1150,47.6330
215.100,137.000,240.300,-47.6000,-0.8610,-0.1200,47.6080
235.100,137.000,240.300,-47.5880,-0.8610,-0.1050,47.5970
255.100,137.000,240.300,-47.5760,-0.8510,-0.1090,47.5850
275.100,137.000,240.300,-47.5760,-0.8440,-0.1070,47.5830
295.100,137.000,240.300,-47.5880,-0.8420,-0.1040,47.5960
315.100,137.000,240.300,-47.6030,-0.8260,-0.1110,47.6100
