# COSI2 B0 scan
# time 2024-05-27 17:51:31.290125
# MAGNET CENTER IN LAB: x 245.100 mm, y 127.000 mm, z 270.300 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240527/ball_overnight_R90mm_longer_delay
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
263.100,85.000,192.300,-47.5200,-0.8860,-0.8310,47.5380
251.100,85.000,192.300,-47.5210,-0.8850,-0.8400,47.5370
215.100,97.000,192.300,-47.5280,-0.8950,-0.8260,47.5450
227.100,97.000,192.300,-47.5620,-0.9170,-0.8050,47.5750
239.100,97.000,192.300,-47.5510,-0.9190,-0.8220,47.5690
251.100,97.000,192.300,-47.5510,-0.9070,-0.8190,47.5620
263.100,97.000,192.300,-47.5370,-0.9000,-0.8330,47.5520
275.100,97.000,192.300,-47.5300,-0.8850,-0.8420,47.5480
287.100,109.000,192.300,-47.5320,-0.8860,-0.8410,47.5470
275.100,109.000,192.300,-47.5480,-0.8630,-0.8530,47.5610
263.100,109.000,192.300,-47.5470,-0.8750,-0.8400,47.5610
251.100,109.000,192.300,-47.5370,-0.8850,-0.8220,47.5540
239.100,109.000,192.300,-47.5390,-0.8950,-0.8290,47.5570
227.100,109.000,192.300,-47.5420,-0.9010,-0.8240,47.5570
203.100,121.000,192.300,-47.5590,-0.9080,-0.8110,47.5710
215.100,121.000,192.300,-47.5740,-0.9070,-0.8180,47.5910
227.100,121.000,192.300,-47.5680,-0.9080,-0.8200,47.5810
239.100,121.000,192.300,-47.5540,-0.9020,-0.8140,47.5680
251.100,121.000,192.300,-47.5530,-0.8980,-0.8180,47.5700
263.100,121.000,192.300,-47.5480,-0.8960,-0.8230,47.5600
275.100,121.000,192.300,-47.5470,-0.8870,-0.8220,47.5600
287.100,121.000,192.300,-47.5500,-0.8780,-0.8300,47.5620
299.100,133.000,192.300,-47.5510,-0.8680,-0.8420,47.5690
287.100,133.000,192.300,-47.5710,-0.8610,-0.8360,47.5830
275.100,133.000,192.300,-47.5640,-0.8650,-0.8190,47.5780
263.100,133.000,192.300,-47.5540,-0.8750,-0.8240,47.5710
251.100,133.000,192.300,-47.5490,-0.8750,-0.8170,47.5620
239.100,133.000,192.300,-47.5470,-0.8830,-0.8190,47.5630
227.100,133.000,192.300,-47.5430,-0.9010,-0.8230,47.5610
215.100,133.000,192.300,-47.5590,-0.8960,-0.8200,47.5710
215.100,145.000,192.300,-47.5600,-0.9050,-0.8170,47.5790
227.100,145.000,192.300,-47.5640,-0.9050,-0.8240,47.5770
239.100,145.000,192.300,-47.5520,-0.8950,-0.8090,47.5690
251.100,145.000,192.300,-47.5440,-0.8920,-0.8140,47.5590
263.100,145.000,192.300,-47.5480,-0.8870,-0.8160,47.5620
275.100,145.000,192.300,-47.5480,-0.8840,-0.8030,47.5640
287.100,157.000,192.300,-47.5560,-0.8720,-0.8120,47.5730
275.100,157.000,192.300,-47.5670,-0.8700,-0.7970,47.5820
263.100,157.000,192.300,-47.5530,-0.8800,-0.7900,47.5670
251.100,157.000,192.300,-47.5500,-0.8890,-0.8020,47.5640
239.100,157.000,192.300,-47.5410,-0.8890,-0.8120,47.5550
227.100,157.000,192.300,-47.5400,-0.8860,-0.8070,47.5580
239.100,169.000,192.300,-47.5470,-0.8950,-0.8160,47.5620
251.100,169.000,192.300,-47.5330,-0.8860,-0.7980,47.5470
227.100,193.000,204.300,-47.5360,-0.8790,-0.7950,47.5480
239.100,193.000,204.300,-47.5190,-0.8800,-0.8110,47.5340
251.100,193.000,204.300,-47.5190,-0.8650,-0.8000,47.5340
