# COSI2 B0 scan
# time 2024-05-28 19:01:40.845116
# MAGNET CENTER IN LAB: x 240.900 mm, y 153.500 mm, z 136.700 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240530/ball_10pts_106mm
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
268.790,114.450,41.860,51.4140,0.6600,-0.7800,51.4240
257.640,114.450,41.860,51.4170,0.6620,-0.7930,51.4270
246.480,114.450,41.860,51.3650,0.8140,-0.7840,51.3750
235.320,114.450,41.860,51.3170,0.9620,-0.7710,51.3320
213.010,125.610,41.860,51.2930,1.1090,-0.7700,51.3080
224.160,125.610,41.860,51.2670,1.3260,-0.7250,51.2950
235.320,125.610,41.860,51.2640,1.2470,-0.7270,51.2840
246.480,125.610,41.860,51.2770,1.1200,-0.7310,51.2970
257.640,125.610,41.860,51.3040,0.9680,-0.7400,51.3180
268.790,125.610,41.860,51.3500,0.8000,-0.7250,51.3650
291.110,136.760,41.860,51.4180,0.6530,-0.7240,51.4220
279.950,136.760,41.860,51.5350,0.4250,-0.6580,51.5310
268.790,136.760,41.860,51.5010,0.5130,-0.6470,51.5090
257.640,136.760,41.860,51.4180,0.6550,-0.6580,51.4260
246.480,136.760,41.860,51.3580,0.8230,-0.6760,51.3690
235.320,136.760,41.860,51.3070,0.9790,-0.6910,51.3210
224.160,136.760,41.860,51.2790,1.1260,-0.6960,51.2920
213.010,136.760,41.860,51.2480,1.2660,-0.6990,51.2660
201.850,147.920,41.860,51.2410,1.3980,-0.6870,51.2610
213.010,147.920,41.860,51.2300,1.5630,-0.6820,51.2580
224.160,147.920,41.860,51.2340,1.4380,-0.6880,51.2560
235.320,147.920,41.860,51.2460,1.2880,-0.6760,51.2660
246.480,147.920,41.860,51.2820,1.1340,-0.6650,51.2910
257.640,147.920,41.860,51.3150,0.9770,-0.6430,51.3260
268.790,147.920,41.860,51.3700,0.8340,-0.6210,51.3800
279.950,147.920,41.860,51.4350,0.6880,-0.5970,51.4430
291.110,159.080,41.860,51.5140,0.5390,-0.5730,51.5200
279.950,159.080,41.860,51.6200,0.4350,-0.4770,51.6180
268.790,159.080,41.860,51.5400,0.5720,-0.5150,51.5460
257.640,159.080,41.860,51.4620,0.7140,-0.5410,51.4690
246.480,159.080,41.860,51.3890,0.8540,-0.5810,51.4020
235.320,159.080,41.860,51.3350,1.0130,-0.6180,51.3470
224.160,159.080,41.860,51.2900,1.1510,-0.6360,51.3070
213.010,159.080,41.860,51.2480,1.3150,-0.6570,51.2720
201.850,170.240,41.860,51.2340,1.4610,-0.6730,51.2620
213.010,170.240,41.860,51.2300,1.6250,-0.6820,51.2600
