# COSI2 B0 scan,,,,,,
# time 2024-05-28 19:01:40.845116,,,,,,
# MAGNET CENTER IN LAB: x 240.900 mm, y 153.500 mm, z 136.700 mm,,,,
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240530/ball_10pts_106mm,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
268.79,114.45,41.86,51.417,0.662,-0.793,51.427
257.64,114.45,41.86,51.365,0.814,-0.784,51.375
246.48,114.45,41.86,51.317,0.962,-0.771,51.332
235.32,114.45,41.86,51.293,1.109,-0.77,51.308
213.01,125.61,41.86,51.267,1.326,-0.725,51.295
224.16,125.61,41.86,51.264,1.247,-0.727,51.284
235.32,125.61,41.86,51.277,1.12,-0.731,51.297
246.48,125.61,41.86,51.304,0.968,-0.74,51.318
257.64,125.61,41.86,51.35,0.8,-0.725,51.365
268.79,125.61,41.86,51.418,0.653,-0.724,51.422
291.11,136.76,41.86,51.535,0.425,-0.658,51.531
279.95,136.76,41.86,51.501,0.513,-0.647,51.509
268.79,136.76,41.86,51.418,0.655,-0.658,51.426
257.64,136.76,41.86,51.358,0.823,-0.676,51.369
246.48,136.76,41.86,51.307,0.979,-0.691,51.321
235.32,136.76,41.86,51.279,1.126,-0.696,51.292
224.16,136.76,41.86,51.248,1.266,-0.699,51.266
213.01,136.76,41.86,51.241,1.398,-0.687,51.261
201.85,147.92,41.86,51.23,1.563,-0.682,51.258
213.01,147.92,41.86,51.234,1.438,-0.688,51.256
224.16,147.92,41.86,51.246,1.288,-0.676,51.266
235.32,147.92,41.86,51.282,1.134,-0.665,51.291
246.48,147.92,41.86,51.315,0.977,-0.643,51.326
257.64,147.92,41.86,51.37,0.834,-0.621,51.38
268.79,147.92,41.86,51.435,0.688,-0.597,51.443
279.95,147.92,41.86,51.514,0.539,-0.573,51.52
291.11,159.08,41.86,51.62,0.435,-0.477,51.618
279.95,159.08,41.86,51.54,0.572,-0.515,51.546
268.79,159.08,41.86,51.462,0.714,-0.541,51.469
257.64,159.08,41.86,51.389,0.854,-0.581,51.402
246.48,159.08,41.86,51.335,1.013,-0.618,51.347
235.32,159.08,41.86,51.29,1.151,-0.636,51.307
224.16,159.08,41.86,51.248,1.315,-0.657,51.272
213.01,159.08,41.86,51.234,1.461,-0.673,51.262
201.85,170.24,41.86,51.23,1.625,-0.682,51.26
213.01,170.24,41.86,51.236,1.487,-0.676,51.261
224.16,170.24,41.86,51.27,1.333,-0.654,51.287
235.32,170.24,41.86,51.309,1.171,-0.627,51.325
246.48,170.24,41.86,51.355,1.029,-0.59,51.365
257.64,170.24,41.86,51.416,0.885,-0.555,51.428
268.79,170.24,41.86,51.486,0.752,-0.499,51.494
279.95,170.24,41.86,51.578,0.611,-0.452,51.583
279.95,181.39,41.86,51.62,0.663,-0.412,51.625
268.79,181.39,41.86,51.533,0.786,-0.474,51.542
257.64,181.39,41.86,51.453,0.911,-0.526,51.469
246.48,181.39,41.86,51.389,1.052,-0.569,51.406
235.32,181.39,41.86,51.335,1.196,-0.614,51.352
224.16,181.39,41.86,51.282,1.343,-0.647,51.305
224.16,192.55,41.86,51.303,1.347,-0.64,51.326
235.32,192.55,41.86,51.357,1.218,-0.603,51.375
246.48,192.55,41.86,51.424,1.074,-0.543,51.442
257.64,192.55,41.86,51.502,0.948,-0.51,51.514
268.79,226.03,53.02,51.69,1.007,-0.452,51.694
257.64,226.03,53.02,51.77,1.15,-0.509,51.791
246.48,226.03,53.02,51.66,1.255,-0.568,51.681
235.32,226.03,53.02,51.586,1.343,-0.602,51.609
201.85,214.87,53.02,51.488,1.574,-0.666,51.521
213.01,214.87,53.02,51.47,1.631,-0.682,51.499
224.16,214.87,53.02,51.507,1.453,-0.64,51.529
235.32,214.87,53.02,51.558,1.327,-0.613,51.579
246.48,214.87,53.02,51.631,1.224,-0.563,51.648
257.64,214.87,53.02,51.709,1.115,-0.508,51.72
268.79,214.87,53.02,51.797,1.032,-0.455,51.809
279.95,214.87,53.02,51.894,0.941,-0.382,51.904
302.27,203.71,53.02,51.973,0.756,-0.284,51.979
291.11,203.71,53.02,51.918,0.794,-0.328,51.925
279.95,203.71,53.02,51.83,0.884,-0.409,51.84
268.79,203.71,53.02,51.738,0.989,-0.466,51.753
257.64,203.71,53.02,51.657,1.09,-0.523,51.675
246.48,203.71,53.02,51.586,1.195,-0.58,51.607
235.32,203.71,53.02,51.523,1.307,-0.619,51.546
224.16,203.71,53.02,51.47,1.442,-0.641,51.496
213.01,203.71,53.02,51.442,1.595,-0.681,51.474
201.85,203.71,53.02,51.441,1.751,-0.714,51.478
190.69,192.55,53.02,51.444,1.866,-0.743,51.478
201.85,192.55,53.02,51.42,1.718,-0.715,51.458
213.01,192.55,53.02,51.428,1.567,-0.693,51.458
224.16,192.55,53.02,51.445,1.429,-0.654,51.472
235.32,192.55,53.02,51.494,1.298,-0.626,51.514
246.48,192.55,53.02,51.549,1.162,-0.58,51.566
257.64,192.55,53.02,51.613,1.057,-0.532,51.627
268.79,192.55,53.02,51.688,0.956,-0.481,51.7
279.95,192.55,53.02,51.774,0.837,-0.434,51.777
291.11,192.55,53.02,51.861,0.734,-0.364,51.872
313.43,181.39,53.02,51.947,0.517,-0.328,51.943
302.27,181.39,53.02,51.897,0.567,-0.358,51.903
291.11,181.39,53.02,51.815,0.682,-0.408,51.821
279.95,181.39,53.02,51.723,0.793,-0.466,51.734
268.79,181.39,53.02,51.65,0.919,-0.515,51.661
257.64,181.39,53.02,51.57,1.036,-0.557,51.587
246.48,181.39,53.02,51.514,1.154,-0.597,51.532
235.32,181.39,53.02,51.467,1.267,-0.64,51.483
224.16,181.39,53.02,51.428,1.41,-0.665,51.451
213.01,181.39,53.02,51.402,1.548,-0.693,51.43
201.85,181.39,53.02,51.415,1.69,-0.713,51.443
190.69,181.39,53.02,51.418,1.838,-0.755,51.457
179.53,170.24,53.02,51.408,1.941,-0.763,51.454
190.69,170.24,53.02,51.395,1.797,-0.74,51.431
201.85,170.24,53.02,51.389,1.65,-0.708,51.423
213.01,170.24,53.02,51.396,1.518,-0.688,51.422
224.16,170.24,53.02,51.414,1.386,-0.679,51.434
235.32,170.24,53.02,51.448,1.25,-0.654,51.468
246.48,170.24,53.02,51.491,1.123,-0.617,51.507
257.64,170.24,53.02,51.547,0.992,-0.583,51.562
268.79,170.24,53.02,51.621,0.873,-0.544,51.624
279.95,170.24,53.02,51.698,0.746,-0.504,51.706
291.11,170.24,53.02,51.778,0.635,-0.466,51.784
302.27,170.24,53.02,51.856,0.501,-0.421,51.861
313.43,159.08,53.02,51.919,0.31,-0.463,51.922
302.27,159.08,53.02,51.834,0.466,-0.481,51.84
291.11,159.08,53.02,51.749,0.597,-0.504,51.755
279.95,159.08,53.02,51.666,0.718,-0.553,51.676
268.79,159.08,53.02,51.592,0.841,-0.586,51.602
257.64,159.08,53.02,51.515,0.976,-0.618,51.533
246.48,159.08,53.02,51.468,1.093,-0.642,51.484
235.32,159.08,53.02,51.432,1.236,-0.673,51.449
224.16,159.08,53.02,51.4,1.36,-0.68,51.423
213.01,159.08,53.02,51.387,1.493,-0.694,51.414
201.85,159.08,53.02,51.383,1.616,-0.717,51.408
190.69,159.08,53.02,51.385,1.765,-0.725,51.421
179.53,147.92,53.02,51.384,1.864,-0.72,51.422
190.69,147.92,53.02,51.377,1.73,-0.713,51.412
201.85,147.92,53.02,51.376,1.589,-0.705,51.406
213.01,147.92,53.02,51.372,1.47,-0.697,51.398
224.16,147.92,53.02,51.383,1.331,-0.701,51.403
235.32,147.92,53.02,51.408,1.215,-0.684,51.428
246.48,147.92,53.02,51.452,1.083,-0.671,51.468
257.64,147.92,53.02,51.502,0.957,-0.639,51.513
268.79,147.92,53.02,51.566,0.829,-0.627,51.576
279.95,147.92,53.02,51.641,0.687,-0.605,51.651
291.11,147.92,53.02,51.734,0.562,-0.584,51.74
302.27,147.92,53.02,51.821,0.408,-0.554,51.824
302.27,136.76,53.02,51.815,0.39,-0.639,51.82
291.11,136.76,53.02,51.721,0.545,-0.654,51.73
279.95,136.76,53.02,51.631,0.669,-0.663,51.64
268.79,136.76,53.02,51.552,0.813,-0.664,51.563
257.64,136.76,53.02,51.491,0.938,-0.685,51.505
246.48,136.76,53.02,51.45,1.076,-0.691,51.462
235.32,136.76,53.02,51.41,1.192,-0.714,51.429
224.16,136.76,53.02,51.39,1.315,-0.709,51.41
213.01,136.76,53.02,51.376,1.458,-0.714,51.407
201.85,136.76,53.02,51.384,1.562,-0.712,51.413
190.69,125.61,53.02,51.41,1.656,-0.702,51.441
201.85,125.61,53.02,51.398,1.535,-0.706,51.425
213.01,125.61,53.02,51.384,1.426,-0.736,51.409
224.16,125.61,53.02,51.387,1.295,-0.735,51.412
235.32,125.61,53.02,51.413,1.178,-0.736,51.428
246.48,125.61,53.02,51.447,1.05,-0.73,51.463
257.64,125.61,53.02,51.491,0.917,-0.728,51.508
268.79,125.61,53.02,51.548,0.795,-0.727,51.558
279.95,125.61,53.02,51.628,0.67,-0.716,51.637
291.11,125.61,53.02,51.719,0.539,-0.718,51.726
291.11,114.45,53.02,51.734,0.536,-0.782,51.744
279.95,114.45,53.02,51.637,0.682,-0.781,51.649
