# COSI2 B0 scan
# time 2024-05-28 18:25:57.753350
# MAGNET CENTER IN LAB: x 240.900 mm, y 153.500 mm, z 136.700 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240530/ball_3pts_R106
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
219.700,89.900,73.100,51.6020,1.3710,-0.8510,51.6270
262.100,89.900,73.100,51.6060,1.3620,-0.8510,51.6290
346.900,132.300,73.100,51.6180,1.1890,-0.8420,51.6380
304.500,132.300,73.100,52.4720,0.0850,-0.7880,52.4800
262.100,132.300,73.100,52.2100,0.5370,-0.7280,52.2310
219.700,132.300,73.100,51.8490,0.8850,-0.7180,51.8610
177.300,174.700,73.100,51.6420,1.2040,-0.7430,51.6650
219.700,174.700,73.100,51.6580,1.8150,-0.8170,51.6970
262.100,174.700,73.100,51.6270,1.5590,-0.7550,51.6530
304.500,174.700,73.100,51.7070,1.2440,-0.6590,51.7190
304.500,217.100,73.100,51.9040,0.9380,-0.5490,51.9070
262.100,217.100,73.100,52.1990,0.6920,-0.4100,52.2030
177.300,259.500,115.500,52.3050,0.9420,-0.3540,52.3150
219.700,259.500,115.500,52.3920,1.7570,-0.6930,52.4270
262.100,259.500,115.500,52.1630,1.6510,-0.6470,52.1930
304.500,259.500,115.500,52.0500,1.5490,-0.7190,52.0740
346.900,217.100,115.500,52.2970,1.4810,-0.8180,52.3090
304.500,217.100,115.500,52.8770,1.1960,0.0180,52.8890
262.100,217.100,115.500,52.8590,1.3330,-0.3370,52.9000
219.700,217.100,115.500,52.3980,1.3820,-0.5690,52.4190
177.300,174.700,115.500,52.1130,1.4610,-0.6730,52.1460
219.700,174.700,115.500,51.9430,1.5910,-0.8660,51.9770
262.100,174.700,115.500,51.9140,1.5100,-0.7910,51.9420
304.500,174.700,115.500,51.9940,1.4270,-0.6870,52.0170
346.900,132.300,115.500,52.2300,1.3740,-0.5990,52.2400
304.500,132.300,115.500,53.8890,1.5420,-1.2030,53.9240
262.100,132.300,115.500,53.0920,1.4850,-0.9110,53.1620
219.700,132.300,115.500,52.3540,1.3830,-0.7350,52.3990
177.300,89.900,157.900,51.9930,1.3790,-0.7390,52.0210
219.700,89.900,157.900,51.8030,1.3910,-0.9470,51.8300
262.100,89.900,157.900,51.7450,1.4730,-0.9040,51.7700
304.500,89.900,157.900,51.7870,1.6160,-0.8420,51.8170
346.900,132.300,157.900,51.9530,1.8140,-0.8240,51.9920
304.500,132.300,157.900,51.0920,3.8210,0.4880,51.2370
262.100,132.300,157.900,52.1050,2.5660,-0.5300,52.1600
219.700,132.300,157.900,52.0480,1.9490,-0.6820,52.0970
177.300,174.700,157.900,51.8970,1.6990,-0.7600,51.9300
219.700,174.700,157.900,51.9530,1.5010,-0.8790,51.9820
262.100,174.700,157.900,51.9360,1.5740,-0.7900,51.9650
304.500,174.700,157.900,52.0080,1.7150,-0.6140,52.0390
346.900,217.100,157.900,52.2130,1.8770,-0.4830,52.2420
304.500,217.100,157.900,44.7710,4.5360,-8.3580,45.7730
262.100,217.100,157.900,52.5560,2.1690,-0.0170,52.5260
219.700,217.100,157.900,52.6320,1.8270,-0.3850,52.6830
219.700,259.500,200.300,52.2810,1.6980,-0.6050,52.3180
262.100,259.500,200.300,52.1210,1.7000,-0.7290,52.1550
346.900,217.100,200.300,52.1880,1.8270,-0.7700,52.2250
304.500,217.100,200.300,26.4490,22.0490,-40.8330,53.4330
262.100,217.100,200.300,50.2290,4.0100,-1.2810,50.4050
219.700,217.100,200.300,52.2470,2.1800,-0.0750,52.2940
177.300,174.700,200.300,52.0990,1.8500,-0.4740,52.1380
219.700,174.700,200.300,51.7440,1.5330,-0.8630,51.7730
262.100,174.700,200.300,51.7340,1.7350,-0.7250,51.7660
304.500,174.700,200.300,51.7840,2.0430,-0.5360,51.8270
304.500,132.300,200.300,51.8500,2.4490,-0.3150,51.9060
262.100,132.300,200.300,51.5030,2.9320,-0.8410,51.5930
