# COSI2 B0 scan
# time 2024-06-03 11:12:02.403917
# MAGNET CENTER IN LAB: x 244.100 mm, y 137.100 mm, z 183.300 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240603/ball_6pts_R106mm
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
215.190,88.920,96.570,51.6810,0.9100,-0.3900,51.6900
234.460,88.920,96.570,51.6740,0.9200,-0.3900,51.6830
253.740,88.920,96.570,51.6800,0.8500,-0.4200,51.6890
273.010,88.920,96.570,51.6920,0.7400,-0.4300,51.7020
311.550,108.190,96.570,51.7460,0.5600,-0.4400,51.7510
292.280,108.190,96.570,51.8540,0.3700,-0.4600,51.8570
273.010,108.190,96.570,52.1260,-0.1600,-0.4100,52.1280
253.740,108.190,96.570,51.9680,0.1100,-0.3700,51.9690
234.460,108.190,96.570,51.8330,0.3500,-0.3500,51.8350
215.190,108.190,96.570,51.7310,0.5600,-0.3700,51.7350
195.920,127.460,96.570,51.6700,0.7600,-0.3700,51.6760
215.190,127.460,96.570,51.6420,0.9500,-0.3500,51.6500
234.460,127.460,96.570,51.6030,1.1900,-0.3200,51.6170
253.740,127.460,96.570,51.6230,0.9800,-0.3300,51.6330
273.010,127.460,96.570,51.6620,0.7900,-0.3100,51.6690
292.280,127.460,96.570,51.7280,0.5800,-0.2800,51.7310
311.550,146.740,96.570,51.8440,0.3700,-0.2500,51.8400
292.280,146.740,96.570,51.9660,0.1500,-0.2100,51.9660
273.010,146.740,96.570,52.1140,0.0100,-0.0200,52.1130
253.740,146.740,96.570,52.0020,0.2500,-0.0800,52.0100
234.460,146.740,96.570,51.8830,0.4300,-0.1500,51.8880
215.190,146.740,96.570,51.7680,0.6100,-0.2100,51.7760
195.920,166.010,96.570,51.6800,0.8200,-0.2600,51.6870
215.190,166.010,96.570,51.6270,1.0200,-0.3000,51.6380
234.460,166.010,96.570,51.6260,1.2800,-0.3200,51.6410
253.740,166.010,96.570,51.6470,1.0600,-0.2900,51.6570
273.010,166.010,96.570,51.7100,0.8600,-0.2400,51.7180
292.280,166.010,96.570,51.8160,0.6600,-0.1700,51.8210
292.280,185.280,96.570,51.9430,0.4900,-0.0800,51.9450
273.010,185.280,96.570,52.0750,0.3200,0.0100,52.0750
253.740,185.280,96.570,52.1650,0.4200,0.0900,52.1670
234.460,185.280,96.570,52.0360,0.5700,-0.0200,52.0390
292.280,223.830,115.850,51.8950,0.7100,-0.1300,51.9000
273.010,223.830,115.850,52.4300,0.8300,-0.1400,52.4370
253.740,223.830,115.850,52.4300,0.8400,-0.1700,52.4370
