# COSI2 B0 scan
# time 2024-06-03 19:57:45.383273
# MAGNET CENTER IN LAB: x 244.100 mm, y 137.100 mm, z 183.300 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240603/overnight_ball_16pts_R120mm
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
224.750,102.260,71.040,51.4170,0.8100,-0.3400,51.4240
232.490,102.260,71.040,51.4180,0.8240,-0.3340,51.4240
240.230,102.260,71.040,51.4010,0.7170,-0.3590,51.4070
247.970,102.260,71.040,51.3960,0.6180,-0.3750,51.4010
255.710,102.260,71.040,51.3990,0.4940,-0.3900,51.4010
263.450,102.260,71.040,51.4200,0.3660,-0.4070,51.4240
278.940,110.000,71.040,51.4510,0.2570,-0.4170,51.4530
271.200,110.000,71.040,51.5080,0.0620,-0.3760,51.5060
263.450,110.000,71.040,51.4900,0.1010,-0.3570,51.4890
255.710,110.000,71.040,51.4480,0.2310,-0.3480,51.4520
247.970,110.000,71.040,51.4120,0.3650,-0.3460,51.4160
240.230,110.000,71.040,51.3850,0.4960,-0.3460,51.3880
232.490,110.000,71.040,51.3720,0.6120,-0.3430,51.3770
224.750,110.000,71.040,51.3740,0.7230,-0.3230,51.3830
209.260,117.750,71.040,51.3830,0.8290,-0.3160,51.3910
217.000,117.750,71.040,51.3770,0.9910,-0.2640,51.3870
224.750,117.750,71.040,51.3580,0.9630,-0.2730,51.3660
232.490,117.750,71.040,51.3620,0.8540,-0.2910,51.3680
240.230,117.750,71.040,51.3530,0.7470,-0.2880,51.3590
247.970,117.750,71.040,51.3660,0.6110,-0.3090,51.3700
255.710,117.750,71.040,51.3750,0.4940,-0.3020,51.3790
263.450,117.750,71.040,51.4100,0.3730,-0.2920,51.4100
271.200,117.750,71.040,51.4440,0.2350,-0.2750,51.4410
278.940,117.750,71.040,51.4900,0.1080,-0.2640,51.4950
286.680,125.490,71.040,51.5410,-0.0180,-0.2520,51.5420
278.940,125.490,71.040,51.6160,-0.0950,-0.1140,51.6160
271.200,125.490,71.040,51.5700,0.0250,-0.1570,51.5700
263.450,125.490,71.040,51.5130,0.1300,-0.1960,51.5130
255.710,125.490,71.040,51.4540,0.2450,-0.2100,51.4580
247.970,125.490,71.040,51.4120,0.3730,-0.2340,51.4170
240.230,125.490,71.040,51.3810,0.5050,-0.2580,51.3840
232.490,125.490,71.040,51.3510,0.6260,-0.2710,51.3600
224.750,125.490,71.040,51.3490,0.7480,-0.2760,51.3540
217.000,125.490,71.040,51.3380,0.8610,-0.2790,51.3490
209.260,133.230,71.040,51.3370,0.9720,-0.2710,51.3460
217.000,133.230,71.040,51.3310,1.0740,-0.2690,51.3420
224.750,133.230,71.040,51.3240,0.9850,-0.2560,51.3350
232.490,133.230,71.040,51.3360,0.8670,-0.2580,51.3440
240.230,133.230,71.040,51.3420,0.7680,-0.2690,51.3460
247.970,133.230,71.040,51.3610,0.6370,-0.2490,51.3660
255.710,133.230,71.040,51.3870,0.5220,-0.2370,51.3900
263.450,133.230,71.040,51.4330,0.4010,-0.2160,51.4310
271.200,133.230,71.040,51.4770,0.2790,-0.1730,51.4780
278.940,133.230,71.040,51.5290,0.1720,-0.1450,51.5310
286.680,140.970,71.040,51.5930,0.0640,-0.1030,51.5930
278.940,140.970,71.040,51.6860,0.0210,-0.0420,51.6830
271.200,140.970,71.040,51.6250,0.1040,-0.0830,51.6280
263.450,140.970,71.040,51.5610,0.1990,-0.1140,51.5620
255.710,140.970,71.040,51.5020,0.3000,-0.1430,51.5030
247.970,140.970,71.040,51.4510,0.4180,-0.1840,51.4520
240.230,140.970,71.040,51.4110,0.5370,-0.2050,51.4100
232.490,140.970,71.040,51.3760,0.6520,-0.2240,51.3840
224.750,140.970,71.040,51.3520,0.7690,-0.2310,51.3550
217.000,140.970,71.040,51.3360,0.8870,-0.2490,51.3440
209.260,148.710,71.040,51.3250,1.0020,-0.2570,51.3360
217.000,148.710,71.040,51.3070,1.1240,-0.2600,51.3210
224.750,148.710,71.040,51.3140,1.0160,-0.2580,51.3240
232.490,148.710,71.040,51.3380,0.8980,-0.2500,51.3500
240.230,148.710,71.040,51.3600,0.7790,-0.2340,51.3630
247.970,148.710,71.040,51.3940,0.6720,-0.2130,51.3940
255.710,148.710,71.040,51.4210,0.5610,-0.1810,51.4240
263.450,148.710,71.040,51.4720,0.4310,-0.1470,51.4720
271.200,148.710,71.040,51.5240,0.3250,-0.1160,51.5230
278.940,148.710,71.040,51.5850,0.2280,-0.0780,51.5850
286.680,156.450,71.040,51.6610,0.1240,-0.0390,51.6600
278.940,156.450,71.040,51.7480,0.0750,0.0610,51.7490
271.200,156.450,71.040,51.7010,0.1570,0.0120,51.7010
263.450,156.450,71.040,51.6270,0.2530,-0.0300,51.6280
255.710,156.450,71.040,51.5590,0.3430,-0.0790,51.5650
247.970,156.450,71.040,51.5040,0.4600,-0.1240,51.5050
240.230,156.450,71.040,51.4510,0.5700,-0.1680,51.4540
232.490,156.450,71.040,51.4150,0.6840,-0.1990,51.4230
224.750,156.450,71.040,51.3830,0.7900,-0.2340,51.3910
217.000,156.450,71.040,51.3470,0.9020,-0.2600,51.3620
217.000,164.200,71.040,51.3200,1.0160,-0.2720,51.3310
224.750,164.200,71.040,51.3340,1.0100,-0.2750,51.3390
232.490,164.200,71.040,51.3640,0.9060,-0.2540,51.3730
240.230,164.200,71.040,51.3970,0.7890,-0.2240,51.4030
247.970,164.200,71.040,51.4390,0.6920,-0.1880,51.4490
255.710,164.200,71.040,51.4880,0.5770,-0.1530,51.4890
263.450,164.200,71.040,51.5360,0.4790,-0.1070,51.5380
271.200,164.200,71.040,51.5970,0.3830,-0.0410,51.5940
271.200,171.940,71.040,51.6680,0.2940,0.0000,51.6710
263.450,171.940,71.040,51.7150,0.3300,0.0070,51.7140
255.710,171.940,71.040,51.6460,0.4130,-0.0530,51.6510
247.970,171.940,71.040,51.5810,0.5050,-0.0910,51.5840
240.230,171.940,71.040,51.5330,0.5940,-0.1470,51.5360
232.490,171.940,71.040,51.4720,0.6960,-0.1880,51.4800
255.710,202.910,78.780,51.4280,0.7920,-0.2230,51.4370
247.970,202.910,78.780,51.5500,0.7180,-0.1790,51.5440
217.000,195.160,78.780,51.8510,0.6590,-0.0560,51.8640
224.750,195.160,78.780,51.6380,0.8230,-0.2250,51.6540
232.490,195.160,78.780,51.4440,1.0380,-0.2770,51.4550
240.230,195.160,78.780,51.5760,0.8760,-0.2280,51.5810
247.970,195.160,78.780,51.6490,0.7760,-0.1860,51.6550
255.710,195.160,78.780,51.7230,0.7020,-0.1360,51.7260
263.450,195.160,78.780,51.7980,0.6180,-0.0680,51.8010
271.200,195.160,78.780,51.8700,0.5460,-0.0040,51.8750
286.680,187.420,78.780,51.9420,0.4800,0.0690,51.9410
278.940,187.420,78.780,51.9880,0.3540,0.1060,51.9900
271.200,187.420,78.780,51.9460,0.3770,0.0750,51.9500
263.450,187.420,78.780,51.8880,0.4450,0.0100,51.8880
255.710,187.420,78.780,51.8160,0.5190,-0.0420,51.8240
247.970,187.420,78.780,51.7540,0.5980,-0.0950,51.7570
240.230,187.420,78.780,51.6830,0.6810,-0.1460,51.6900
232.490,187.420,78.780,51.6210,0.7800,-0.1910,51.6280
224.750,187.420,78.780,51.5620,0.8600,-0.2200,51.5680
217.000,187.420,78.780,51.4970,0.9710,-0.2390,51.5080
201.520,179.680,78.780,51.4350,1.0750,-0.2480,51.4480
209.260,179.680,78.780,51.4040,1.2310,-0.2430,51.4190
217.000,179.680,78.780,51.4190,1.1780,-0.2430,51.4290
224.750,179.680,78.780,51.4460,1.0640,-0.2480,51.4570
232.490,179.680,78.780,51.4920,0.9700,-0.2360,51.4990
240.230,179.680,78.780,51.5350,0.8600,-0.2150,51.5430
247.970,179.680,78.780,51.5920,0.7690,-0.1830,51.5960
255.710,179.680,78.780,51.6470,0.6730,-0.1560,51.6470
263.450,179.680,78.780,51.7070,0.5990,-0.1080,51.7100
271.200,179.680,78.780,51.7730,0.5190,-0.0600,51.7740
278.940,179.680,78.780,51.8410,0.4330,-0.0130,51.8410
286.680,179.680,78.780,51.9080,0.3670,0.0300,51.9070
302.160,171.940,78.780,51.9730,0.3050,0.0830,51.9720
294.420,171.940,78.780,52.0230,0.2190,0.1410,52.0200
286.680,171.940,78.780,51.9990,0.2280,0.1250,51.9930
278.940,171.940,78.780,51.9320,0.2800,0.0720,51.9330
271.200,171.940,78.780,51.8630,0.3490,0.0200,51.8670
263.450,171.940,78.780,51.7990,0.4130,-0.0260,51.8020
255.710,171.940,78.780,51.7330,0.4850,-0.0710,51.7420
247.970,171.940,78.780,51.6770,0.5800,-0.1150,51.6800
240.230,171.940,78.780,51.6200,0.6570,-0.1650,51.6260
232.490,171.940,78.780,51.5770,0.7590,-0.1830,51.5830
224.750,171.940,78.780,51.5250,0.8570,-0.2190,51.5330
217.000,171.940,78.780,51.4860,0.9490,-0.2460,51.4970
209.260,171.940,78.780,51.4450,1.0450,-0.2620,51.4610
201.520,171.940,78.780,51.4240,1.1660,-0.2740,51.4380
193.780,164.200,78.780,51.4060,1.2640,-0.2730,51.4210
201.520,164.200,78.780,51.4000,1.3650,-0.3030,51.4220
209.260,164.200,78.780,51.4030,1.2680,-0.2850,51.4200
217.000,164.200,78.780,51.4220,1.1570,-0.2810,51.4350
224.750,164.200,78.780,51.4410,1.0460,-0.2680,51.4490
232.490,164.200,78.780,51.4720,0.9470,-0.2560,51.4800
240.230,164.200,78.780,51.5020,0.8380,-0.2280,51.5100
247.970,164.200,78.780,51.5470,0.7450,-0.2020,51.5510
255.710,164.200,78.780,51.5870,0.6580,-0.1680,51.5890
263.450,164.200,78.780,51.6410,0.5570,-0.1340,51.6430
271.200,164.200,78.780,51.6960,0.4690,-0.0920,51.7000
278.940,164.200,78.780,51.7580,0.3820,-0.0450,51.7560
286.680,164.200,78.780,51.8190,0.3120,0.0030,51.8190
294.420,164.200,78.780,51.8800,0.2270,0.0660,51.8790
302.160,156.450,78.780,51.9410,0.1750,0.1320,51.9430
294.420,156.450,78.780,51.9270,0.0490,0.1300,51.9270
286.680,156.450,78.780,51.9040,0.1090,0.0750,51.9040
278.940,156.450,78.780,51.8410,0.1820,0.0230,51.8420
271.200,156.450,78.780,51.7780,0.2660,-0.0290,51.7810
263.450,156.450,78.780,51.7230,0.3490,-0.0630,51.7240
255.710,156.450,78.780,51.6610,0.4480,-0.1090,51.6670
247.970,156.450,78.780,51.6140,0.5320,-0.1380,51.6120
240.230,156.450,78.780,51.5660,0.6330,-0.1760,51.5720
232.490,156.450,78.780,51.5260,0.7340,-0.2100,51.5320
224.750,156.450,78.780,51.4830,0.8330,-0.2390,51.4940
217.000,156.450,78.780,51.4660,0.9330,-0.2580,51.4720
209.260,156.450,78.780,51.4350,1.0370,-0.2710,51.4440
201.520,156.450,78.780,51.4220,1.1470,-0.2830,51.4360
186.040,148.710,78.780,51.3930,1.2590,-0.2940,51.4100
193.780,148.710,78.780,51.3880,1.4000,-0.2760,51.4070
201.520,148.710,78.780,51.4000,1.3500,-0.2710,51.4170
209.260,148.710,78.780,51.4030,1.2460,-0.2720,51.4190
217.000,148.710,78.780,51.4170,1.1390,-0.2740,51.4300
224.750,148.710,78.780,51.4280,1.0400,-0.2770,51.4390
232.490,148.710,78.780,51.4540,0.9200,-0.2640,51.4610
240.230,148.710,78.780,51.4670,0.8190,-0.2430,51.4710
247.970,148.710,78.780,51.5040,0.7230,-0.2160,51.5080
255.710,148.710,78.780,51.5360,0.6160,-0.2010,51.5360
263.450,148.710,78.780,51.5770,0.5260,-0.1590,51.5800
271.200,148.710,78.780,51.6310,0.4120,-0.1290,51.6330
278.940,148.710,78.780,51.6850,0.3160,-0.1050,51.6840
286.680,148.710,78.780,51.7470,0.2320,-0.0640,51.7450
294.420,148.710,78.780,51.8040,0.1450,-0.0210,51.8020
302.160,148.710,78.780,51.8610,0.0650,0.0000,51.8580
309.910,140.970,78.780,51.8920,-0.0180,0.0460,51.8930
302.160,140.970,78.780,51.9120,-0.1100,0.0060,51.9100
294.420,140.970,78.780,51.8770,-0.0540,-0.0020,51.8790
286.680,140.970,78.780,51.8330,0.0300,-0.0300,51.8320
278.940,140.970,78.780,51.7800,0.1100,-0.0730,51.7840
271.200,140.970,78.780,51.7230,0.2010,-0.0970,51.7230
263.450,140.970,78.780,51.6650,0.3000,-0.1360,51.6650
255.710,140.970,78.780,51.6080,0.3960,-0.1690,51.6100
247.970,140.970,78.780,51.5640,0.4930,-0.2020,51.5630
240.230,140.970,78.780,51.5230,0.6000,-0.2180,51.5270
232.490,140.970,78.780,51.4940,0.7090,-0.2340,51.4980
224.750,140.970,78.780,51.4680,0.8040,-0.2540,51.4740
217.000,140.970,78.780,51.4500,0.9090,-0.2680,51.4590
209.260,140.970,78.780,51.4260,1.0150,-0.2680,51.4400
201.520,140.970,78.780,51.4220,1.1160,-0.2760,51.4350
193.780,140.970,78.780,51.4150,1.2190,-0.2650,51.4300
193.780,133.230,78.780,51.4070,1.3240,-0.2600,51.4280
201.520,133.230,78.780,51.4180,1.2920,-0.2680,51.4350
209.260,133.230,78.780,51.4240,1.2080,-0.2660,51.4400
217.000,133.230,78.780,51.4270,1.1100,-0.2650,51.4380
224.750,133.230,78.780,51.4310,1.0120,-0.2650,51.4420
232.490,133.230,78.780,51.4410,0.9040,-0.2680,51.4500
240.230,133.230,78.780,51.4640,0.7940,-0.2680,51.4690
247.970,133.230,78.780,51.4770,0.6920,-0.2540,51.4800
255.710,133.230,78.780,51.5000,0.5780,-0.2410,51.5030
263.450,133.230,78.780,51.5440,0.4840,-0.2190,51.5480
271.200,133.230,78.780,51.5850,0.3760,-0.1970,51.5860
278.940,133.230,78.780,51.6350,0.2720,-0.1770,51.6350
286.680,133.230,78.780,51.6930,0.1660,-0.1460,51.6950
294.420,133.230,78.780,51.7440,0.0710,-0.1130,51.7470
302.160,125.490,78.780,51.8040,-0.0100,-0.0730,51.8010
294.420,125.490,78.780,51.8190,-0.1550,-0.0700,51.8150
286.680,125.490,78.780,51.7740,-0.0640,-0.1340,51.7760
278.940,125.490,78.780,51.7220,0.0330,-0.1620,51.7230
271.200,125.490,78.780,51.6670,0.1400,-0.1980,51.6680
263.450,125.490,78.780,51.6200,0.2420,-0.2290,51.6290
255.710,125.490,78.780,51.5660,0.3510,-0.2340,51.5680
247.970,125.490,78.780,51.5350,0.4580,-0.2540,51.5350
240.230,125.490,78.780,51.5040,0.5650,-0.2640,51.5050
232.490,125.490,78.780,51.4770,0.6800,-0.2790,51.4820
224.750,125.490,78.780,51.4580,0.7820,-0.2910,51.4650
217.000,125.490,78.780,51.4500,0.8880,-0.2810,51.4550
209.260,125.490,78.780,51.4420,0.9860,-0.2910,51.4540
201.520,125.490,78.780,51.4430,1.0780,-0.2810,51.4550
193.780,117.750,78.780,51.4310,1.1830,-0.2620,51.4440
201.520,117.750,78.780,51.4430,1.2460,-0.2310,51.4630
209.260,117.750,78.780,51.4540,1.1500,-0.2610,51.4680
217.000,117.750,78.780,51.4540,1.0630,-0.2790,51.4680
224.750,117.750,78.780,51.4540,0.9750,-0.2870,51.4670
232.490,117.750,78.780,51.4650,0.8750,-0.3010,51.4730
240.230,117.750,78.780,51.4590,0.7730,-0.3080,51.4650
247.970,117.750,78.780,51.4790,0.6730,-0.3010,51.4870
255.710,117.750,78.780,51.4960,0.5640,-0.2980,51.4990
263.450,117.750,78.780,51.5330,0.4570,-0.2950,51.5350
271.200,117.750,78.780,51.5580,0.3430,-0.2980,51.5600
278.940,117.750,78.780,51.6070,0.2330,-0.2820,51.6040
286.680,117.750,78.780,51.6540,0.1210,-0.2650,51.6550
294.420,117.750,78.780,51.7070,-0.0040,-0.2420,51.7070
294.420,110.000,78.780,51.7550,-0.1070,-0.2150,51.7550
286.680,110.000,78.780,51.7460,-0.1260,-0.3440,51.7470
278.940,110.000,78.780,51.7010,-0.0070,-0.3320,51.7020
271.200,110.000,78.780,51.6540,0.1030,-0.3420,51.6600
263.450,110.000,78.780,51.6130,0.2250,-0.3460,51.6180
255.710,110.000,78.780,51.5630,0.3320,-0.3420,51.5690
247.970,110.000,78.780,51.5320,0.4430,-0.3390,51.5360
240.230,110.000,78.780,51.5070,0.5520,-0.3530,51.5110
232.490,110.000,78.780,51.4960,0.6730,-0.3390,51.4980
224.750,110.000,78.780,51.4760,0.7640,-0.3280,51.4830
217.000,110.000,78.780,51.4800,0.8510,-0.3190,51.4880
209.260,110.000,78.780,51.4780,0.9580,-0.3010,51.4880
209.260,102.260,78.780,51.4880,1.0390,-0.2860,51.4960
217.000,102.260,78.780,51.5130,1.0150,-0.3030,51.5230
224.750,102.260,78.780,51.5080,0.9330,-0.3310,51.5170
232.490,102.260,78.780,51.5040,0.8510,-0.3470,51.5100
240.230,102.260,78.780,51.4940,0.7610,-0.3550,51.4990
247.970,102.260,78.780,51.5010,0.6710,-0.3600,51.5060
255.710,102.260,78.780,51.5110,0.5550,-0.3830,51.5170
263.450,102.260,78.780,51.5390,0.4470,-0.3830,51.5420
271.200,102.260,78.780,51.5700,0.3540,-0.3930,51.5730
278.940,102.260,78.780,51.6120,0.2280,-0.3970,51.6100
278.940,94.520,78.780,51.6640,0.1170,-0.3960,51.6650
271.200,94.520,78.780,51.6770,0.1330,-0.4460,51.6770
263.450,94.520,78.780,51.6210,0.2280,-0.4490,51.6250
255.710,94.520,78.780,51.5850,0.3380,-0.4320,51.5880
247.970,94.520,78.780,51.5540,0.4620,-0.4370,51.5580
240.230,94.520,78.780,51.5330,0.5510,-0.4160,51.5370
232.490,94.520,78.780,51.5210,0.6620,-0.4070,51.5280
224.750,94.520,78.780,51.5130,0.7710,-0.3920,51.5210
240.230,86.780,78.780,51.5220,0.8440,-0.3820,51.5310
247.970,86.780,78.780,51.5310,0.7300,-0.4210,51.5350
224.750,71.290,86.530,51.5440,0.5620,-0.4510,51.5500
232.490,71.290,86.530,51.6020,0.7190,-0.4400,51.6080
240.230,71.290,86.530,51.6760,0.8040,-0.4430,51.6840
247.970,71.290,86.530,51.6740,0.7190,-0.4700,51.6880
255.710,71.290,86.530,51.6910,0.6490,-0.5060,51.6990
263.450,71.290,86.530,51.7160,0.5670,-0.5330,51.7210
286.680,79.040,86.530,51.7500,0.4950,-0.5640,51.7530
278.940,79.040,86.530,51.8020,0.3240,-0.5870,51.8050
271.200,79.040,86.530,51.8200,0.2490,-0.5820,51.8280
263.450,79.040,86.530,51.7640,0.3700,-0.5440,51.7680
255.710,79.040,86.530,51.7220,0.4590,-0.5150,51.7270
247.970,79.040,86.530,51.6900,0.5450,-0.4890,51.6960
240.230,79.040,86.530,51.6640,0.6240,-0.4740,51.6690
232.490,79.040,86.530,51.6590,0.7100,-0.4520,51.6650
224.750,79.040,86.530,51.6490,0.7690,-0.4290,51.6550
217.000,79.040,86.530,51.6540,0.8500,-0.4170,51.6610
201.520,86.780,86.530,51.6560,0.9240,-0.3870,51.6660
209.260,86.780,86.530,51.6460,1.0290,-0.3350,51.6570
217.000,86.780,86.530,51.6360,1.0030,-0.3510,51.6470
224.750,86.780,86.530,51.6250,0.9400,-0.3710,51.6380
232.490,86.780,86.530,51.6210,0.8690,-0.3950,51.6300
240.230,86.780,86.530,51.6200,0.7910,-0.4120,51.6250
247.970,86.780,86.530,51.6340,0.7100,-0.4260,51.6380
255.710,86.780,86.530,51.6440,0.6180,-0.4520,51.6490
263.450,86.780,86.530,51.6690,0.5390,-0.4460,51.6740
271.200,86.780,86.530,51.6940,0.4310,-0.4720,51.6980
278.940,86.780,86.530,51.7380,0.3390,-0.4810,51.7410
286.680,86.780,86.530,51.7900,0.2480,-0.4980,51.7900
302.160,94.520,86.530,51.8330,0.1440,-0.5110,51.8370
294.420,94.520,86.530,51.9150,-0.0290,-0.4760,51.9090
286.680,94.520,86.530,51.8900,0.0210,-0.4590,51.8940
278.940,94.520,86.530,51.8260,0.1250,-0.4530,51.8320
271.200,94.520,86.530,51.7770,0.2290,-0.4500,51.7800
263.450,94.520,86.530,51.7220,0.3250,-0.4330,51.7250
255.710,94.520,86.530,51.6880,0.4190,-0.4260,51.6900
247.970,94.520,86.530,51.6520,0.5230,-0.4230,51.6570
240.230,94.520,86.530,51.6280,0.6150,-0.4050,51.6340
232.490,94.520,86.530,51.6180,0.7100,-0.4010,51.6240
224.750,94.520,86.530,51.6070,0.7880,-0.3880,51.6150
217.000,94.520,86.530,51.6070,0.8710,-0.3730,51.6150
209.260,94.520,86.530,51.6070,0.9460,-0.3650,51.6170
201.520,94.520,86.530,51.6130,1.0200,-0.3400,51.6260
186.040,102.260,86.530,51.6220,1.0870,-0.3280,51.6340
193.780,102.260,86.530,51.6120,1.2090,-0.2680,51.6260
201.520,102.260,86.530,51.6020,1.1740,-0.2700,51.6170
209.260,102.260,86.530,51.5970,1.1160,-0.2990,51.6090
217.000,102.260,86.530,51.5950,1.0370,-0.3250,51.6020
224.750,102.260,86.530,51.5880,0.9590,-0.3350,51.5980
232.490,102.260,86.530,51.5850,0.8770,-0.3420,51.5930
240.230,102.260,86.530,51.5850,0.7930,-0.3580,51.5970
247.970,102.260,86.530,51.5980,0.7180,-0.3700,51.6050
255.710,102.260,86.530,51.6170,0.6130,-0.3830,51.6210
263.450,102.260,86.530,51.6440,0.5320,-0.3860,51.6470
271.200,102.260,86.530,51.6760,0.4100,-0.3850,51.6830
278.940,102.260,86.530,51.7100,0.3180,-0.3870,51.7110
286.680,102.260,86.530,51.7600,0.2200,-0.3910,51.7640
294.420,102.260,86.530,51.8130,0.1110,-0.3920,51.8150
302.160,102.260,86.530,51.8730,0.0090,-0.4020,51.8730
309.910,110.000,86.530,51.9300,-0.0960,-0.4330,51.9320
302.160,110.000,86.530,51.9520,-0.2140,-0.3710,51.9520
294.420,110.000,86.530,51.9150,-0.1060,-0.3490,51.9140
286.680,110.000,86.530,51.8650,0.0050,-0.3260,51.8640
278.940,110.000,86.530,51.8060,0.1040,-0.3360,51.8090
271.200,110.000,86.530,51.7570,0.2180,-0.3350,51.7640
263.450,110.000,86.530,51.7130,0.3140,-0.3360,51.7150
255.710,110.000,86.530,51.6680,0.4160,-0.3480,51.6730
247.970,110.000,86.530,51.6380,0.5220,-0.3360,51.6410
240.230,110.000,86.530,51.6100,0.6180,-0.3370,51.6150
232.490,110.000,86.530,51.5870,0.7140,-0.3390,51.5900
