# COSI2 B0 scan
# time 2024-06-05 15:36:16.344044
# MAGNET CENTER IN LAB: x 244.100 mm, y 137.100 mm, z 183.300 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240605/overnight_ball_R120_14pts
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
230.770,97.100,72.190,51.4870,0.7000,-0.3800,51.4930
239.660,97.100,72.190,51.4800,0.6990,-0.3790,51.4830
248.540,97.100,72.190,51.4710,0.5700,-0.4030,51.4750
257.430,97.100,72.190,51.4790,0.4580,-0.4140,51.4830
284.100,105.990,72.190,51.5010,0.3150,-0.4250,51.5040
275.210,105.990,72.190,51.5630,0.1120,-0.4080,51.5570
266.320,105.990,72.190,51.6110,-0.0290,-0.3980,51.6190
257.430,105.990,72.190,51.5320,0.1640,-0.3810,51.5370
248.540,105.990,72.190,51.4940,0.3000,-0.3720,51.4950
239.660,105.990,72.190,51.4670,0.4400,-0.3660,51.4750
230.770,105.990,72.190,51.4530,0.5700,-0.3570,51.4580
221.880,105.990,72.190,51.4540,0.6940,-0.3410,51.4600
212.990,114.880,72.190,51.4610,0.8050,-0.3250,51.4620
221.880,114.880,72.190,51.4420,0.9240,-0.2690,51.4540
230.770,114.880,72.190,51.4300,0.8400,-0.2900,51.4380
239.660,114.880,72.190,51.4310,0.7230,-0.3070,51.4390
248.540,114.880,72.190,51.4360,0.5880,-0.3100,51.4410
257.430,114.880,72.190,51.4480,0.4590,-0.3170,51.4500
266.320,114.880,72.190,51.4800,0.3000,-0.3120,51.4810
275.210,114.880,72.190,51.5270,0.1620,-0.3010,51.5280
292.990,123.770,72.190,51.5830,0.0220,-0.2920,51.5830
284.100,123.770,72.190,51.6670,-0.1560,-0.1810,51.6630
275.210,123.770,72.190,51.6720,-0.0970,-0.1490,51.6750
266.320,123.770,72.190,51.6070,0.0280,-0.1930,51.6070
257.430,123.770,72.190,51.5410,0.1620,-0.2280,51.5420
248.540,123.770,72.190,51.4900,0.3050,-0.2630,51.4920
239.660,123.770,72.190,51.4530,0.4510,-0.2650,51.4570
230.770,123.770,72.190,51.4270,0.5890,-0.2940,51.4310
221.880,123.770,72.190,51.4110,0.7300,-0.2930,51.4150
212.990,123.770,72.190,51.4010,0.8520,-0.2790,51.4090
204.100,132.660,72.190,51.4010,0.9670,-0.2630,51.4150
212.990,132.660,72.190,51.3870,1.0860,-0.2650,51.3990
221.880,132.660,72.190,51.3850,1.0010,-0.2790,51.3970
230.770,132.660,72.190,51.3930,0.8760,-0.2800,51.4030
239.660,132.660,72.190,51.4100,0.7510,-0.2760,51.4200
248.540,132.660,72.190,51.4290,0.6180,-0.2610,51.4340
257.430,132.660,72.190,51.4610,0.4710,-0.2390,51.4600
266.320,132.660,72.190,51.5060,0.3380,-0.2090,51.5040
275.210,132.660,72.190,51.5630,0.2110,-0.1800,51.5640
284.100,132.660,72.190,51.6290,0.0940,-0.1400,51.6310
292.990,141.540,72.190,51.7030,-0.0310,-0.0860,51.7030
284.100,141.540,72.190,51.7950,-0.0640,-0.0150,51.7900
275.210,141.540,72.190,51.7470,0.0170,-0.0470,51.7470
266.320,141.540,72.190,51.6700,0.1100,-0.1030,51.6720
257.430,141.540,72.190,51.6000,0.2340,-0.1340,51.5970
248.540,141.540,72.190,51.5260,0.3630,-0.1690,51.5310
239.660,141.540,72.190,51.4880,0.4870,-0.1910,51.4900
230.770,141.540,72.190,51.4510,0.6080,-0.2340,51.4510
221.880,141.540,72.190,51.4160,0.7470,-0.2500,51.4240
212.990,141.540,72.190,51.3940,0.8820,-0.2580,51.4010
204.100,150.430,72.190,51.3780,1.0050,-0.2680,51.3880
212.990,150.430,72.190,51.3610,1.1350,-0.2620,51.3760
221.880,150.430,72.190,51.3680,1.0340,-0.2610,51.3800
230.770,150.430,72.190,51.3930,0.9030,-0.2530,51.4010
239.660,150.430,72.190,51.4250,0.7750,-0.2420,51.4310
248.540,150.430,72.190,51.4540,0.6380,-0.2150,51.4580
257.430,150.430,72.190,51.4960,0.5130,-0.1760,51.4980
266.320,150.430,72.190,51.5550,0.3780,-0.1510,51.5560
275.210,150.430,72.190,51.6170,0.2650,-0.0920,51.6180
284.100,150.430,72.190,51.6880,0.1560,-0.0570,51.6870
284.100,159.320,72.190,51.7690,0.0400,-0.0030,51.7650
275.210,159.320,72.190,51.8230,0.0840,0.0590,51.8160
266.320,159.320,72.190,51.7460,0.1920,-0.0020,51.7490
257.430,159.320,72.190,51.6720,0.2840,-0.0510,51.6700
248.540,159.320,72.190,51.5930,0.4080,-0.1120,51.5950
239.660,159.320,72.190,51.5390,0.5260,-0.1570,51.5420
230.770,159.320,72.190,51.4940,0.6400,-0.2100,51.5010
221.880,159.320,72.190,51.4460,0.7690,-0.2450,51.4510
212.990,168.210,72.190,51.4120,0.8890,-0.2590,51.4230
221.880,168.210,72.190,51.3980,0.9910,-0.2730,51.4100
230.770,168.210,72.190,51.4250,0.8830,-0.2570,51.4330
239.660,168.210,72.190,51.4720,0.7750,-0.2320,51.4780
248.540,168.210,72.190,51.5240,0.6510,-0.1940,51.5270
257.430,168.210,72.190,51.5810,0.5350,-0.1420,51.5830
266.320,168.210,72.190,51.6430,0.4270,-0.0870,51.6450
275.210,168.210,72.190,51.7180,0.3270,-0.0250,51.7170
266.320,177.100,72.190,51.8040,0.2310,0.0180,51.8030
257.430,177.100,72.190,51.7860,0.3430,-0.0130,51.7900
248.540,177.100,72.190,51.7020,0.4370,-0.0800,51.7040
239.660,177.100,72.190,51.6290,0.5500,-0.1340,51.6320
221.880,203.770,81.080,51.5610,0.6470,-0.1830,51.5670
230.770,203.770,81.080,51.5810,0.7870,-0.2120,51.5880
239.660,203.770,81.080,51.6230,0.9010,-0.2650,51.6240
248.540,203.770,81.080,51.7730,0.7540,-0.1810,51.7790
257.430,203.770,81.080,51.8740,0.6810,-0.1090,51.8790
266.320,203.770,81.080,51.9600,0.6120,-0.0300,51.9640
284.100,194.880,81.080,52.0540,0.5710,0.0790,52.0540
275.210,194.880,81.080,52.0980,0.4380,0.1590,52.1000
266.320,194.880,81.080,52.0540,0.4220,0.1220,52.0580
257.430,194.880,81.080,51.9830,0.4960,0.0230,51.9850
