# COSI2 B0 scan
# time 2024-06-07 14:09:17.741082
# MAGNET CENTER IN LAB: x 250.200 mm, y 114.000 mm, z 272.000 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240607/friday_ball_10pts_R90mm_one_insert_R0T9I2
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
273.880,80.840,191.470,-47.6170,-0.8500,-0.7050,47.6270
264.410,80.840,191.470,-47.6190,-0.8470,-0.7140,47.6300
254.940,80.840,191.470,-47.6170,-0.8520,-0.7030,47.6300
245.460,80.840,191.470,-47.6160,-0.8670,-0.6940,47.6280
226.520,90.320,191.470,-47.6200,-0.8710,-0.6810,47.6340
235.990,90.320,191.470,-47.6330,-0.8770,-0.6830,47.6470
245.460,90.320,191.470,-47.6340,-0.8710,-0.6870,47.6530
254.940,90.320,191.470,-47.6280,-0.8700,-0.6970,47.6410
264.410,90.320,191.470,-47.6230,-0.8650,-0.6900,47.6330
273.880,90.320,191.470,-47.6190,-0.8630,-0.6920,47.6340
292.830,99.790,191.470,-47.6210,-0.8400,-0.7010,47.6340
283.360,99.790,191.470,-47.6250,-0.8340,-0.7060,47.6390
273.880,99.790,191.470,-47.6310,-0.8380,-0.7050,47.6470
264.410,99.790,191.470,-47.6310,-0.8480,-0.6930,47.6430
254.940,99.790,191.470,-47.6290,-0.8570,-0.6970,47.6420
245.460,99.790,191.470,-47.6260,-0.8610,-0.6930,47.6380
235.990,99.790,191.470,-47.6310,-0.8700,-0.6880,47.6440
226.520,99.790,191.470,-47.6370,-0.8560,-0.6820,47.6510
217.040,109.260,191.470,-47.6430,-0.8800,-0.6850,47.6530
226.520,109.260,191.470,-47.6520,-0.8730,-0.6860,47.6660
235.990,109.260,191.470,-47.6470,-0.8730,-0.6930,47.6610
245.460,109.260,191.470,-47.6330,-0.8700,-0.6930,47.6480
254.940,109.260,191.470,-47.6360,-0.8560,-0.6870,47.6460
