# COSI2 B0 scan,,,,,,
# time 2024-06-07 14:09:17.741082,,,,,,
# MAGNET CENTER IN LAB: x 250.200 mm, y 114.000 mm, z 272.000 mm,,,,
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240607/friday_ball_10pts_R90mm_one_insert_R0T9I2,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
273.88,80.84,191.47,-47.619,-0.847,-0.714,47.63
264.41,80.84,191.47,-47.617,-0.852,-0.703,47.63
254.94,80.84,191.47,-47.616,-0.867,-0.694,47.628
245.46,80.84,191.47,-47.62,-0.871,-0.681,47.634
226.52,90.32,191.47,-47.633,-0.877,-0.683,47.647
235.99,90.32,191.47,-47.634,-0.871,-0.687,47.653
245.46,90.32,191.47,-47.628,-0.87,-0.697,47.641
254.94,90.32,191.47,-47.623,-0.865,-0.69,47.633
264.41,90.32,191.47,-47.619,-0.863,-0.692,47.634
273.88,90.32,191.47,-47.621,-0.84,-0.701,47.634
292.83,99.79,191.47,-47.625,-0.834,-0.706,47.639
283.36,99.79,191.47,-47.631,-0.838,-0.705,47.647
273.88,99.79,191.47,-47.631,-0.848,-0.693,47.643
264.41,99.79,191.47,-47.629,-0.857,-0.697,47.642
254.94,99.79,191.47,-47.626,-0.861,-0.693,47.638
245.46,99.79,191.47,-47.631,-0.87,-0.688,47.644
235.99,99.79,191.47,-47.637,-0.856,-0.682,47.651
226.52,99.79,191.47,-47.643,-0.88,-0.685,47.653
217.04,109.26,191.47,-47.652,-0.873,-0.686,47.666
226.52,109.26,191.47,-47.647,-0.873,-0.693,47.661
235.99,109.26,191.47,-47.633,-0.87,-0.693,47.648
245.46,109.26,191.47,-47.636,-0.856,-0.687,47.646
254.94,109.26,191.47,-47.63,-0.857,-0.69,47.642
264.41,109.26,191.47,-47.631,-0.849,-0.686,47.639
273.88,109.26,191.47,-47.628,-0.845,-0.693,47.642
283.36,109.26,191.47,-47.634,-0.836,-0.693,47.645
292.83,118.74,191.47,-47.644,-0.834,-0.696,47.656
283.36,118.74,191.47,-47.642,-0.847,-0.685,47.654
273.88,118.74,191.47,-47.638,-0.837,-0.682,47.649
264.41,118.74,191.47,-47.633,-0.852,-0.685,47.645
254.94,118.74,191.47,-47.627,-0.85,-0.682,47.64
245.46,118.74,191.47,-47.635,-0.862,-0.691,47.648
235.99,118.74,191.47,-47.644,-0.862,-0.677,47.656
226.52,118.74,191.47,-47.641,-0.867,-0.69,47.656
217.04,128.21,191.47,-47.651,-0.877,-0.687,47.665
226.52,128.21,191.47,-47.645,-0.871,-0.694,47.657
235.99,128.21,191.47,-47.639,-0.858,-0.691,47.647
245.46,128.21,191.47,-47.633,-0.853,-0.675,47.645
254.94,128.21,191.47,-47.633,-0.858,-0.684,47.642
264.41,128.21,191.47,-47.635,-0.851,-0.681,47.649
273.88,128.21,191.47,-47.64,-0.855,-0.687,47.652
283.36,128.21,191.47,-47.639,-0.835,-0.68,47.651
283.36,137.68,191.47,-47.641,-0.84,-0.674,47.652
273.88,137.68,191.47,-47.635,-0.85,-0.665,47.651
264.41,137.68,191.47,-47.636,-0.842,-0.686,47.646
254.94,137.68,191.47,-47.634,-0.852,-0.672,47.645
245.46,137.68,191.47,-47.631,-0.85,-0.674,47.641
235.99,137.68,191.47,-47.63,-0.853,-0.677,47.641
235.99,147.16,191.47,-47.635,-0.856,-0.676,47.647
245.46,147.16,191.47,-47.63,-0.849,-0.674,47.637
254.94,147.16,191.47,-47.62,-0.848,-0.662,47.632
264.41,147.16,191.47,-47.625,-0.837,-0.662,47.638
273.88,175.58,200.95,-47.625,-0.839,-0.659,47.64
264.41,175.58,200.95,-47.608,-0.815,-0.642,47.623
254.94,175.58,200.95,-47.61,-0.834,-0.657,47.617
245.46,175.58,200.95,-47.604,-0.836,-0.675,47.617
217.04,166.11,200.95,-47.612,-0.841,-0.691,47.632
226.52,166.11,200.95,-47.627,-0.846,-0.698,47.641
235.99,166.11,200.95,-47.619,-0.835,-0.685,47.631
245.46,166.11,200.95,-47.619,-0.835,-0.673,47.632
254.94,166.11,200.95,-47.618,-0.836,-0.674,47.629
264.41,166.11,200.95,-47.617,-0.835,-0.669,47.628
273.88,166.11,200.95,-47.623,-0.827,-0.644,47.636
283.36,166.11,200.95,-47.628,-0.821,-0.639,47.639
302.31,156.63,200.95,-47.642,-0.822,-0.632,47.655
292.83,156.63,200.95,-47.653,-0.822,-0.639,47.663
283.36,156.63,200.95,-47.643,-0.829,-0.65,47.655
273.88,156.63,200.95,-47.634,-0.835,-0.655,47.646
264.41,156.63,200.95,-47.633,-0.828,-0.655,47.646
254.94,156.63,200.95,-47.628,-0.832,-0.666,47.636
245.46,156.63,200.95,-47.625,-0.85,-0.674,47.638
235.99,156.63,200.95,-47.628,-0.85,-0.688,47.643
226.52,156.63,200.95,-47.638,-0.851,-0.693,47.645
217.04,156.63,200.95,-47.638,-0.86,-0.697,47.651
207.57,147.16,200.95,-47.657,-0.858,-0.714,47.668
217.04,147.16,200.95,-47.653,-0.853,-0.705,47.668
226.52,147.16,200.95,-47.643,-0.849,-0.69,47.656
235.99,147.16,200.95,-47.641,-0.847,-0.683,47.653
245.46,147.16,200.95,-47.624,-0.85,-0.688,47.638
254.94,147.16,200.95,-47.633,-0.847,-0.681,47.645
264.41,147.16,200.95,-47.631,-0.846,-0.673,47.644
273.88,147.16,200.95,-47.637,-0.838,-0.666,47.646
283.36,147.16,200.95,-47.649,-0.827,-0.655,47.657
292.83,147.16,200.95,-47.656,-0.821,-0.657,47.665
