# COSI2 B0 scan
# time 2024-06-10 16:04:50.357421
# MAGNET CENTER IN LAB: x 250.200 mm, y 114.000 mm, z 272.000 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240610/big_ball_R125_12pts
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
244.770,65.090,157.870,-47.5380,-0.9230,-0.6260,47.5480
255.630,65.090,157.870,-47.5360,-0.9250,-0.6270,47.5520
288.240,75.960,157.870,-47.5320,-0.9100,-0.6320,47.5450
277.370,75.960,157.870,-47.5270,-0.8930,-0.6540,47.5370
266.500,75.960,157.870,-47.5400,-0.8650,-0.6590,47.5530
255.630,75.960,157.870,-47.5370,-0.8780,-0.6540,47.5530
244.770,75.960,157.870,-47.5370,-0.8990,-0.6410,47.5530
233.900,75.960,157.870,-47.5490,-0.9170,-0.6300,47.5590
212.160,86.830,157.870,-47.5540,-0.9250,-0.6250,47.5660
223.030,86.830,157.870,-47.5790,-0.9280,-0.6240,47.5920
233.900,86.830,157.870,-47.5880,-0.9270,-0.6210,47.6010
244.770,86.830,157.870,-47.5670,-0.9230,-0.6250,47.5820
255.630,86.830,157.870,-47.5550,-0.9000,-0.6360,47.5710
266.500,86.830,157.870,-47.5510,-0.8970,-0.6440,47.5650
277.370,86.830,157.870,-47.5530,-0.8850,-0.6500,47.5620
288.240,86.830,157.870,-47.5490,-0.8690,-0.6760,47.5600
299.110,97.700,157.870,-47.5520,-0.8560,-0.6850,47.5650
288.240,97.700,157.870,-47.5680,-0.8560,-0.7020,47.5800
277.370,97.700,157.870,-47.5720,-0.8610,-0.6960,47.5850
266.500,97.700,157.870,-47.5680,-0.8650,-0.6700,47.5810
255.630,97.700,157.870,-47.5590,-0.8800,-0.6510,47.5720
244.770,97.700,157.870,-47.5580,-0.8920,-0.6430,47.5710
233.900,97.700,157.870,-47.5580,-0.9070,-0.6430,47.5680
223.030,97.700,157.870,-47.5600,-0.9100,-0.6360,47.5710
201.290,108.570,157.870,-47.5800,-0.9170,-0.6220,47.5930
212.160,108.570,157.870,-47.6060,-0.9280,-0.6310,47.6120
223.030,108.570,157.870,-47.6080,-0.9150,-0.6310,47.6240
233.900,108.570,157.870,-47.5880,-0.9220,-0.6330,47.6020
244.770,108.570,157.870,-47.5760,-0.9090,-0.6350,47.5860
255.630,108.570,157.870,-47.5660,-0.8940,-0.6350,47.5790
266.500,108.570,157.870,-47.5670,-0.8930,-0.6390,47.5830
277.370,108.570,157.870,-47.5720,-0.8830,-0.6520,47.5870
288.240,108.570,157.870,-47.5730,-0.8820,-0.6570,47.5880
299.110,108.570,157.870,-47.5870,-0.8630,-0.6810,47.5980
309.980,119.430,157.870,-47.5960,-0.8760,-0.6990,47.6090
299.110,119.430,157.870,-47.6070,-0.8970,-0.6930,47.6200
288.240,119.430,157.870,-47.6140,-0.8900,-0.6810,47.6270
277.370,119.430,157.870,-47.5990,-0.8780,-0.6610,47.6130
266.500,119.430,157.870,-47.5960,-0.8760,-0.6640,47.6110
255.630,119.430,157.870,-47.5800,-0.8740,-0.6510,47.5930
244.770,119.430,157.870,-47.5680,-0.8950,-0.6400,47.5820
233.900,119.430,157.870,-47.5680,-0.8970,-0.6440,47.5830
223.030,119.430,157.870,-47.5800,-0.8990,-0.6510,47.5930
212.160,119.430,157.870,-47.5850,-0.9050,-0.6430,47.5970
212.160,130.300,157.870,-47.6000,-0.9220,-0.6520,47.6130
223.030,130.300,157.870,-47.5980,-0.9170,-0.6530,47.6120
233.900,130.300,157.870,-47.5840,-0.9080,-0.6510,47.5920
244.770,130.300,157.870,-47.5710,-0.8970,-0.6420,47.5880
255.630,130.300,157.870,-47.5650,-0.8900,-0.6470,47.5740
266.500,130.300,157.870,-47.5690,-0.8870,-0.6440,47.5830
277.370,130.300,157.870,-47.5820,-0.8820,-0.6500,47.5920
288.240,130.300,157.870,-47.5900,-0.8770,-0.6410,47.5970
299.110,141.170,157.870,-47.6030,-0.8900,-0.6420,47.6090
288.240,141.170,157.870,-47.6160,-0.8920,-0.6260,47.6320
277.370,141.170,157.870,-47.6120,-0.8830,-0.6290,47.6230
266.500,141.170,157.870,-47.5980,-0.8810,-0.6280,47.6120
255.630,141.170,157.870,-47.5830,-0.8730,-0.6350,47.5970
244.770,141.170,157.870,-47.5690,-0.8810,-0.6360,47.5800
233.900,141.170,157.870,-47.5680,-0.8890,-0.6410,47.5840
223.030,141.170,157.870,-47.5610,-0.8960,-0.6480,47.5750
223.030,152.040,157.870,-47.5690,-0.9100,-0.6420,47.5800
233.900,152.040,157.870,-47.5560,-0.9170,-0.6490,47.5740
244.770,152.040,157.870,-47.5590,-0.8970,-0.6430,47.5680
255.630,152.040,157.870,-47.5510,-0.8890,-0.6360,47.5620
266.500,152.040,157.870,-47.5580,-0.8810,-0.6270,47.5710
277.370,152.040,157.870,-47.5750,-0.8720,-0.6250,47.5840
266.500,162.910,157.870,-47.5920,-0.8810,-0.6090,47.6040
255.630,162.910,157.870,-47.5740,-0.8740,-0.6080,47.5880
288.240,184.650,168.740,-47.5580,-0.8880,-0.6070,47.5700
277.370,184.650,168.740,-47.5630,-0.8700,-0.5860,47.5750
266.500,184.650,168.740,-47.5720,-0.8630,-0.5270,47.5830
255.630,184.650,168.740,-47.5470,-0.8520,-0.5550,47.5550
244.770,184.650,168.740,-47.5280,-0.8540,-0.5830,47.5390
233.900,184.650,168.740,-47.5240,-0.8590,-0.6200,47.5360
201.290,173.780,168.740,-47.5260,-0.8710,-0.6400,47.5380
212.160,173.780,168.740,-47.5470,-0.8950,-0.6620,47.5600
223.030,173.780,168.740,-47.5910,-0.9100,-0.6750,47.6040
233.900,173.780,168.740,-47.5580,-0.8950,-0.6490,47.5710
244.770,173.780,168.740,-47.5500,-0.8760,-0.6370,47.5630
255.630,173.780,168.740,-47.5460,-0.8600,-0.6190,47.5560
266.500,173.780,168.740,-47.5520,-0.8700,-0.5970,47.5620
277.370,173.780,168.740,-47.5580,-0.8600,-0.5750,47.5630
288.240,173.780,168.740,-47.5770,-0.8580,-0.5690,47.5830
299.110,173.780,168.740,-47.5920,-0.8810,-0.5600,47.6010
309.980,162.910,168.740,-47.6070,-0.8780,-0.5410,47.6170
299.110,162.910,168.740,-47.6270,-0.8710,-0.5800,47.6360
288.240,162.910,168.740,-47.6200,-0.8770,-0.5800,47.6320
277.370,162.910,168.740,-47.6020,-0.8690,-0.5880,47.6140
266.500,162.910,168.740,-47.5860,-0.8700,-0.5870,47.5970
255.630,162.910,168.740,-47.5770,-0.8650,-0.5990,47.5880
244.770,162.910,168.740,-47.5630,-0.8750,-0.6050,47.5750
233.900,162.910,168.740,-47.5570,-0.8690,-0.6210,47.5720
223.030,162.910,168.740,-47.5580,-0.8830,-0.6380,47.5700
212.160,162.910,168.740,-47.5660,-0.9060,-0.6460,47.5800
190.420,152.040,168.740,-47.5800,-0.9090,-0.6670,47.5860
201.290,152.040,168.740,-47.6080,-0.9270,-0.6730,47.6210
212.160,152.040,168.740,-47.6140,-0.9330,-0.6740,47.6310
223.030,152.040,168.740,-47.5900,-0.9170,-0.6610,47.6030
233.900,152.040,168.740,-47.5800,-0.9050,-0.6530,47.5940
244.770,152.040,168.740,-47.5650,-0.9050,-0.6480,47.5780
255.630,152.040,168.740,-47.5680,-0.8860,-0.6350,47.5800
266.500,152.040,168.740,-47.5700,-0.8840,-0.6180,47.5820
277.370,152.040,168.740,-47.5800,-0.8780,-0.6180,47.5920
288.240,152.040,168.740,-47.5890,-0.8660,-0.6210,47.6000
299.110,152.040,168.740,-47.6050,-0.8730,-0.6040,47.6160
309.980,152.040,168.740,-47.6110,-0.8780,-0.6050,47.6250
320.850,141.170,168.740,-47.6200,-0.8730,-0.5980,47.6320
309.980,141.170,168.740,-47.6250,-0.8800,-0.6130,47.6380
299.110,141.170,168.740,-47.6220,-0.8860,-0.6170,47.6340
288.240,141.170,168.740,-47.6120,-0.8770,-0.6240,47.6170
277.370,141.170,168.740,-47.6150,-0.8660,-0.6250,47.6270
266.500,141.170,168.740,-47.5990,-0.8720,-0.6300,47.6110
255.630,141.170,168.740,-47.5850,-0.8800,-0.6240,47.5990
244.770,141.170,168.740,-47.5820,-0.8770,-0.6310,47.5920
233.900,141.170,168.740,-47.5760,-0.8860,-0.6410,47.5880
223.030,141.170,168.740,-47.5770,-0.8930,-0.6440,47.5900
212.160,141.170,168.740,-47.5830,-0.8940,-0.6690,47.5960
201.290,141.170,168.740,-47.5980,-0.9100,-0.6590,47.6130
190.420,130.300,168.740,-47.6120,-0.9200,-0.6640,47.6250
201.290,130.300,168.740,-47.6360,-0.9270,-0.6590,47.6450
212.160,130.300,168.740,-47.6240,-0.9180,-0.6620,47.6440
223.030,130.300,168.740,-47.6100,-0.9130,-0.6520,47.6230
233.900,130.300,168.740,-47.5930,-0.9070,-0.6500,47.6030
244.770,130.300,168.740,-47.5870,-0.9050,-0.6380,47.6010
255.630,130.300,168.740,-47.5790,-0.8860,-0.6380,47.5930
266.500,130.300,168.740,-47.5830,-0.8820,-0.6500,47.5930
277.370,130.300,168.740,-47.5870,-0.8740,-0.6380,47.6000
288.240,130.300,168.740,-47.5990,-0.8640,-0.6380,47.6110
299.110,130.300,168.740,-47.6050,-0.8770,-0.6370,47.6180
309.980,130.300,168.740,-47.6100,-0.8770,-0.6480,47.6220
