# COSI2 B0 scan
# time 2024-06-11 13:24:33.978873
# MAGNET CENTER IN LAB: x 245.500 mm, y 140.600 mm, z 179.000 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240611/hamburg_R130_14pts
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
231.060,97.270,58.630,51.2960,0.6760,0.2050,51.3000
240.690,97.270,58.630,51.2970,0.6810,0.2100,51.3050
250.310,97.270,58.630,51.2600,0.5530,0.2000,51.2690
259.940,97.270,58.630,51.2500,0.4100,0.1830,51.2490
288.830,106.900,58.630,51.2620,0.2520,0.1740,51.2610
279.200,106.900,58.630,51.3260,-0.0060,0.1030,51.3260
269.570,106.900,58.630,51.3820,-0.3060,0.0760,51.3910
259.940,106.900,58.630,51.2920,0.0020,0.1720,51.2950
250.310,106.900,58.630,51.2370,0.1850,0.1920,51.2400
240.690,106.900,58.630,51.2060,0.3660,0.2380,51.2070
231.060,106.900,58.630,51.2170,0.5440,0.2710,51.2170
221.430,106.900,58.630,51.2430,0.6960,0.3200,51.2510
211.800,116.530,58.630,51.2820,0.8140,0.3730,51.2900
221.430,116.530,58.630,51.2310,0.9950,0.4430,51.2420
231.060,116.530,58.630,51.2110,0.8970,0.3850,51.2230
240.690,116.530,58.630,51.1930,0.7470,0.3460,51.2030
250.310,116.530,58.630,51.1790,0.5900,0.3150,51.1830
259.940,116.530,58.630,51.1740,0.3790,0.3060,51.1740
269.570,116.530,58.630,51.2030,0.1780,0.3120,51.2050
279.200,116.530,58.630,51.2560,-0.0250,0.3180,51.2540
298.460,126.160,58.630,51.3140,-0.2500,0.3490,51.3160
288.830,126.160,58.630,51.4250,-0.4320,0.5990,51.4250
279.200,126.160,58.630,51.4700,-0.3500,0.6650,51.4800
269.570,126.160,58.630,51.3780,-0.1780,0.5350,51.3850
259.940,126.160,58.630,51.2980,-0.0070,0.4620,51.3000
250.310,126.160,58.630,51.2260,0.1750,0.4120,51.2270
240.690,126.160,58.630,51.1790,0.3630,0.3740,51.1800
231.060,126.160,58.630,51.1650,0.5580,0.3520,51.1650
221.430,126.160,58.630,51.1590,0.7350,0.3390,51.1640
211.800,126.160,58.630,51.1680,0.8950,0.3390,51.1770
202.170,135.790,58.630,51.1710,1.0620,0.3620,51.1830
211.800,135.790,58.630,51.1920,1.1550,0.3640,51.2000
221.430,135.790,58.630,51.1660,1.0440,0.3650,51.1820
231.060,135.790,58.630,51.1570,0.9030,0.3560,51.1700
240.690,135.790,58.630,51.1670,0.7540,0.3530,51.1770
250.310,135.790,58.630,51.1790,0.5970,0.3740,51.1850
259.940,135.790,58.630,51.2000,0.4150,0.4050,51.2040
269.570,135.790,58.630,51.2470,0.2370,0.4510,51.2490
279.200,135.790,58.630,51.3260,0.0730,0.5000,51.3260
288.830,135.790,58.630,51.4130,-0.0740,0.5690,51.4170
298.460,145.410,58.630,51.5310,-0.1880,0.6390,51.5300
288.830,145.410,58.630,51.6840,-0.2160,0.5940,51.6790
279.200,145.410,58.630,51.5920,-0.1770,0.5710,51.6010
269.570,145.410,58.630,51.4790,-0.0540,0.5420,51.4820
259.940,145.410,58.630,51.3800,0.0790,0.5190,51.3820
250.310,145.410,58.630,51.2990,0.2470,0.4700,51.3030
240.690,145.410,58.630,51.2370,0.4230,0.4360,51.2420
231.060,145.410,58.630,51.2000,0.5890,0.3990,51.2050
221.430,145.410,58.630,51.1760,0.7540,0.3750,51.1830
211.800,145.410,58.630,51.1440,0.9020,0.3720,51.1550
202.170,155.040,58.630,51.1350,1.0710,0.3880,51.1500
211.800,155.040,58.630,51.0990,1.2590,0.3840,51.1170
221.430,155.040,58.630,51.1020,1.1260,0.3440,51.1170
231.060,155.040,58.630,51.1330,0.9550,0.3500,51.1430
240.690,155.040,58.630,51.1750,0.7930,0.3740,51.1860
250.310,155.040,58.630,51.2230,0.6260,0.4050,51.2290
259.940,155.040,58.630,51.2660,0.4640,0.4540,51.2630
269.570,155.040,58.630,51.3140,0.2890,0.5070,51.3170
279.200,155.040,58.630,51.3920,0.1270,0.5650,51.3960
288.830,155.040,58.630,51.4940,-0.0360,0.6200,51.4930
288.830,164.670,58.630,51.5940,-0.1960,0.6820,51.5960
279.200,164.670,58.630,51.6790,-0.0980,0.8900,51.6790
269.570,164.670,58.630,51.5860,0.0190,0.7570,51.5930
259.940,164.670,58.630,51.4750,0.1630,0.6380,51.4800
250.310,164.670,58.630,51.3830,0.3170,0.5650,51.3920
240.690,164.670,58.630,51.3140,0.4640,0.4800,51.3180
231.060,164.670,58.630,51.2610,0.6210,0.4080,51.2680
221.430,164.670,58.630,51.2210,0.7730,0.3430,51.2320
211.800,174.300,58.630,51.1700,0.9080,0.2960,51.1790
221.430,174.300,58.630,51.1700,0.9700,0.2550,51.1810
231.060,174.300,58.630,51.2160,0.8520,0.3040,51.2210
240.690,174.300,58.630,51.2660,0.7410,0.3420,51.2740
250.310,174.300,58.630,51.3280,0.6170,0.4160,51.3330
259.940,174.300,58.630,51.3800,0.4940,0.4750,51.3820
269.570,174.300,58.630,51.4490,0.3710,0.5530,51.4520
279.200,174.300,58.630,51.5570,0.2520,0.6420,51.5570
269.570,183.930,58.630,51.6760,0.1650,0.7450,51.6820
259.940,183.930,58.630,51.6540,0.2300,0.5900,51.6560
250.310,183.930,58.630,51.5380,0.3310,0.5140,51.5470
240.690,183.930,58.630,51.4480,0.4560,0.4610,51.4550
221.430,212.820,68.260,51.3730,0.5770,0.4220,51.3790
231.060,212.820,68.260,51.3570,0.7460,0.3760,51.3620
240.690,212.820,68.260,51.3980,0.7900,0.1880,51.3960
250.310,212.820,68.260,51.6560,0.6460,0.3620,51.6610
259.940,212.820,68.260,51.8200,0.5790,0.5210,51.8170
269.570,212.820,68.260,51.9400,0.5570,0.6940,51.9410
288.830,203.190,68.260,52.0530,0.5560,0.8960,52.0640
279.200,203.190,68.260,52.0640,0.3550,1.1140,52.0840
269.570,203.190,68.260,51.9880,0.2640,0.9930,52.0000
259.940,203.190,68.260,51.9070,0.3670,0.8050,51.9150
250.310,203.190,68.260,51.8090,0.4620,0.6480,51.8150
240.690,203.190,68.260,51.7020,0.5470,0.5130,51.7100
231.060,203.190,68.260,51.5870,0.6630,0.4080,51.5970
221.430,203.190,68.260,51.4600,0.7800,0.3270,51.4700
202.170,193.560,68.260,51.3210,0.9330,0.2780,51.3300
211.800,193.560,68.260,51.1510,1.2250,0.3680,51.1730
221.430,193.560,68.260,51.1890,1.1670,0.4140,51.2000
231.060,193.560,68.260,51.3040,0.9720,0.3750,51.3090
240.690,193.560,68.260,51.4090,0.8140,0.3830,51.4170
250.310,193.560,68.260,51.5140,0.6760,0.4120,51.5140
259.940,193.560,68.260,51.6080,0.5660,0.4860,51.6070
269.570,193.560,68.260,51.7020,0.4470,0.5670,51.7070
279.200,193.560,68.260,51.7980,0.3280,0.6420,51.8020
288.830,193.560,68.260,51.8690,0.2240,0.7250,51.8710
308.090,183.930,68.260,51.9390,0.1100,0.7770,51.9430
298.460,183.930,68.260,52.0000,0.0390,0.6180,52.0030
288.830,183.930,68.260,52.0350,0.1270,0.6460,52.0400
279.200,183.930,68.260,51.9330,0.1580,0.6800,51.9400
269.570,183.930,68.260,51.8370,0.2180,0.6430,51.8410
259.940,183.930,68.260,51.7450,0.3140,0.5990,51.7500
250.310,183.930,68.260,51.6520,0.4310,0.5420,51.6530
240.690,183.930,68.260,51.5680,0.5320,0.4790,51.5750
231.060,183.930,68.260,51.4940,0.6580,0.4180,51.5000
221.430,183.930,68.260,51.4250,0.7900,0.4020,51.4340
211.800,183.930,68.260,51.3510,0.9210,0.3760,51.3600
202.170,183.930,68.260,51.2810,1.0700,0.3970,51.2980
182.910,174.300,68.260,51.2530,1.2220,0.4290,51.2710
192.540,174.300,68.260,51.3050,1.3630,0.3730,51.3220
202.170,174.300,68.260,51.2970,1.3700,0.3050,51.3170
211.800,174.300,68.260,51.2790,1.2100,0.3230,51.2950
221.430,174.300,68.260,51.2970,1.0620,0.3440,51.3070
231.060,174.300,68.260,51.3360,0.9310,0.3470,51.3460
240.690,174.300,68.260,51.3960,0.8100,0.3770,51.4040
250.310,174.300,68.260,51.4510,0.6670,0.4190,51.4540
259.940,174.300,68.260,51.5140,0.5510,0.4700,51.5180
269.570,174.300,68.260,51.5930,0.4320,0.5270,51.5930
279.200,174.300,68.260,51.6710,0.3150,0.6070,51.6730
