# COSI2 B0 scan,,,,,,
# time 2024-06-11 13:24:33.978873,,,,,,
# MAGNET CENTER IN LAB: x 245.500 mm, y 140.600 mm, z 179.000 mm,,,,
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240611/hamburg_R130_14pts,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
231.06,97.27,58.63,51.297,0.681,0.21,51.305
240.69,97.27,58.63,51.26,0.553,0.2,51.269
250.31,97.27,58.63,51.25,0.41,0.183,51.249
259.94,97.27,58.63,51.262,0.252,0.174,51.261
288.83,106.9,58.63,51.326,-0.006,0.103,51.326
279.2,106.9,58.63,51.382,-0.306,0.076,51.391
269.57,106.9,58.63,51.292,0.002,0.172,51.295
259.94,106.9,58.63,51.237,0.185,0.192,51.24
250.31,106.9,58.63,51.206,0.366,0.238,51.207
240.69,106.9,58.63,51.217,0.544,0.271,51.217
231.06,106.9,58.63,51.243,0.696,0.32,51.251
221.43,106.9,58.63,51.282,0.814,0.373,51.29
211.8,116.53,58.63,51.231,0.995,0.443,51.242
221.43,116.53,58.63,51.211,0.897,0.385,51.223
231.06,116.53,58.63,51.193,0.747,0.346,51.203
240.69,116.53,58.63,51.179,0.59,0.315,51.183
250.31,116.53,58.63,51.174,0.379,0.306,51.174
259.94,116.53,58.63,51.203,0.178,0.312,51.205
269.57,116.53,58.63,51.256,-0.025,0.318,51.254
279.2,116.53,58.63,51.314,-0.25,0.349,51.316
298.46,126.16,58.63,51.425,-0.432,0.599,51.425
288.83,126.16,58.63,51.47,-0.35,0.665,51.48
279.2,126.16,58.63,51.378,-0.178,0.535,51.385
269.57,126.16,58.63,51.298,-0.007,0.462,51.3
259.94,126.16,58.63,51.226,0.175,0.412,51.227
250.31,126.16,58.63,51.179,0.363,0.374,51.18
240.69,126.16,58.63,51.165,0.558,0.352,51.165
231.06,126.16,58.63,51.159,0.735,0.339,51.164
221.43,126.16,58.63,51.168,0.895,0.339,51.177
211.8,126.16,58.63,51.171,1.062,0.362,51.183
202.17,135.79,58.63,51.192,1.155,0.364,51.2
211.8,135.79,58.63,51.166,1.044,0.365,51.182
221.43,135.79,58.63,51.157,0.903,0.356,51.17
231.06,135.79,58.63,51.167,0.754,0.353,51.177
240.69,135.79,58.63,51.179,0.597,0.374,51.185
250.31,135.79,58.63,51.2,0.415,0.405,51.204
259.94,135.79,58.63,51.247,0.237,0.451,51.249
269.57,135.79,58.63,51.326,0.073,0.5,51.326
279.2,135.79,58.63,51.413,-0.074,0.569,51.417
288.83,135.79,58.63,51.531,-0.188,0.639,51.53
298.46,145.41,58.63,51.684,-0.216,0.594,51.679
288.83,145.41,58.63,51.592,-0.177,0.571,51.601
279.2,145.41,58.63,51.479,-0.054,0.542,51.482
269.57,145.41,58.63,51.38,0.079,0.519,51.382
259.94,145.41,58.63,51.299,0.247,0.47,51.303
250.31,145.41,58.63,51.237,0.423,0.436,51.242
240.69,145.41,58.63,51.2,0.589,0.399,51.205
231.06,145.41,58.63,51.176,0.754,0.375,51.183
221.43,145.41,58.63,51.144,0.902,0.372,51.155
211.8,145.41,58.63,51.135,1.071,0.388,51.15
202.17,155.04,58.63,51.099,1.259,0.384,51.117
211.8,155.04,58.63,51.102,1.126,0.344,51.117
221.43,155.04,58.63,51.133,0.955,0.35,51.143
231.06,155.04,58.63,51.175,0.793,0.374,51.186
240.69,155.04,58.63,51.223,0.626,0.405,51.229
250.31,155.04,58.63,51.266,0.464,0.454,51.263
259.94,155.04,58.63,51.314,0.289,0.507,51.317
269.57,155.04,58.63,51.392,0.127,0.565,51.396
279.2,155.04,58.63,51.494,-0.036,0.62,51.493
288.83,155.04,58.63,51.594,-0.196,0.682,51.596
288.83,164.67,58.63,51.679,-0.098,0.89,51.679
279.2,164.67,58.63,51.586,0.019,0.757,51.593
269.57,164.67,58.63,51.475,0.163,0.638,51.48
259.94,164.67,58.63,51.383,0.317,0.565,51.392
250.31,164.67,58.63,51.314,0.464,0.48,51.318
240.69,164.67,58.63,51.261,0.621,0.408,51.268
231.06,164.67,58.63,51.221,0.773,0.343,51.232
221.43,164.67,58.63,51.17,0.908,0.296,51.179
211.8,174.3,58.63,51.17,0.97,0.255,51.181
221.43,174.3,58.63,51.216,0.852,0.304,51.221
231.06,174.3,58.63,51.266,0.741,0.342,51.274
240.69,174.3,58.63,51.328,0.617,0.416,51.333
250.31,174.3,58.63,51.38,0.494,0.475,51.382
259.94,174.3,58.63,51.449,0.371,0.553,51.452
269.57,174.3,58.63,51.557,0.252,0.642,51.557
279.2,174.3,58.63,51.676,0.165,0.745,51.682
269.57,183.93,58.63,51.654,0.23,0.59,51.656
259.94,183.93,58.63,51.538,0.331,0.514,51.547
250.31,183.93,58.63,51.448,0.456,0.461,51.455
240.69,183.93,58.63,51.373,0.577,0.422,51.379
221.43,212.82,68.26,51.357,0.746,0.376,51.362
231.06,212.82,68.26,51.398,0.79,0.188,51.396
240.69,212.82,68.26,51.656,0.646,0.362,51.661
250.31,212.82,68.26,51.82,0.579,0.521,51.817
259.94,212.82,68.26,51.94,0.557,0.694,51.941
269.57,212.82,68.26,52.053,0.556,0.896,52.064
288.83,203.19,68.26,52.064,0.355,1.114,52.084
279.2,203.19,68.26,51.988,0.264,0.993,52
269.57,203.19,68.26,51.907,0.367,0.805,51.915
259.94,203.19,68.26,51.809,0.462,0.648,51.815
250.31,203.19,68.26,51.702,0.547,0.513,51.71
240.69,203.19,68.26,51.587,0.663,0.408,51.597
231.06,203.19,68.26,51.46,0.78,0.327,51.47
221.43,203.19,68.26,51.321,0.933,0.278,51.33
202.17,193.56,68.26,51.151,1.225,0.368,51.173
211.8,193.56,68.26,51.189,1.167,0.414,51.2
221.43,193.56,68.26,51.304,0.972,0.375,51.309
231.06,193.56,68.26,51.409,0.814,0.383,51.417
240.69,193.56,68.26,51.514,0.676,0.412,51.514
250.31,193.56,68.26,51.608,0.566,0.486,51.607
259.94,193.56,68.26,51.702,0.447,0.567,51.707
269.57,193.56,68.26,51.798,0.328,0.642,51.802
279.2,193.56,68.26,51.869,0.224,0.725,51.871
288.83,193.56,68.26,51.939,0.11,0.777,51.943
308.09,183.93,68.26,52,0.039,0.618,52.003
298.46,183.93,68.26,52.035,0.127,0.646,52.04
288.83,183.93,68.26,51.933,0.158,0.68,51.94
279.2,183.93,68.26,51.837,0.218,0.643,51.841
269.57,183.93,68.26,51.745,0.314,0.599,51.75
259.94,183.93,68.26,51.652,0.431,0.542,51.653
