# COSI2 B0 scan
# time 2024-06-14 15:11:58.899851
# MAGNET CENTER IN LAB: x 268.200 mm, y 197.500 mm, z 271.800 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240614/quick_ball_after_2nd_shim_attempt1_R90mm_3pts
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
250.200,143.500,217.800,-47.7520,-0.8600,0.0700,47.7600
286.200,143.500,217.800,-47.7550,-0.8620,0.0690,47.7590
358.200,179.500,217.800,-47.7280,-0.8470,0.0690,47.7360
322.200,179.500,217.800,-47.6810,-0.7290,0.0240,47.6840
286.200,179.500,217.800,-47.6860,-0.7480,0.0380,47.6910
250.200,179.500,217.800,-47.6990,-0.7780,0.0390,47.7020
214.200,215.500,217.800,-47.7200,-0.8170,0.0530,47.7290
250.200,215.500,217.800,-47.8250,-0.8300,0.0210,47.8320
286.200,215.500,217.800,-47.7970,-0.8360,0.0310,47.8050
322.200,215.500,217.800,-47.7530,-0.8300,0.0470,47.7610
322.200,251.500,217.800,-47.7130,-0.8050,0.0630,47.7190
286.200,251.500,217.800,-47.6990,-0.7780,0.0790,47.7090
214.200,287.500,253.800,-47.6840,-0.7760,0.1160,47.6900
250.200,287.500,253.800,-47.7440,-0.8090,-0.0340,47.7510
286.200,287.500,253.800,-47.7330,-0.8060,-0.0130,47.7400
322.200,287.500,253.800,-47.7010,-0.8000,0.0120,47.7090
358.200,251.500,253.800,-47.6800,-0.7930,0.0660,47.6860
322.200,251.500,253.800,-47.8000,-0.7090,0.1300,47.8050
286.200,251.500,253.800,-47.7630,-0.7290,0.1210,47.7690
250.200,251.500,253.800,-47.7290,-0.7540,0.1020,47.7360
214.200,215.500,253.800,-47.7250,-0.7720,0.0480,47.7340
250.200,215.500,253.800,-47.8420,-0.7960,0.0060,47.8460
286.200,215.500,253.800,-47.8110,-0.8010,0.0050,47.8200
322.200,215.500,253.800,-47.7730,-0.8020,0.0230,47.7790
358.200,179.500,253.800,-47.7490,-0.7810,0.0350,47.7570
322.200,179.500,253.800,-47.7500,-0.7110,0.0070,47.7550
286.200,179.500,253.800,-47.7510,-0.7450,0.0030,47.7570
250.200,179.500,253.800,-47.7450,-0.7690,0.0180,47.7460
214.200,143.500,289.800,-47.7500,-0.8030,0.0290,47.7570
250.200,143.500,289.800,-47.8480,-0.7800,0.0230,47.8510
286.200,143.500,289.800,-47.8250,-0.7930,0.0100,47.8320
322.200,143.500,289.800,-47.7880,-0.8090,-0.0020,47.7950
358.200,179.500,289.800,-47.7600,-0.7910,-0.0130,47.7680
322.200,179.500,289.800,-47.8050,-0.7030,-0.0260,47.8110
286.200,179.500,289.800,-47.7950,-0.7240,-0.0250,47.7980
250.200,179.500,289.800,-47.7900,-0.7350,-0.0050,47.7960
214.200,215.500,289.800,-47.7820,-0.7770,-0.0060,47.7890
250.200,215.500,289.800,-47.8390,-0.7490,-0.0090,47.8450
286.200,215.500,289.800,-47.8190,-0.7550,-0.0080,47.8280
322.200,215.500,289.800,-47.7880,-0.7670,0.0080,47.7960
358.200,251.500,289.800,-47.7790,-0.7600,0.0180,47.7800
322.200,251.500,289.800,-47.8460,-0.6900,0.0810,47.8510
286.200,251.500,289.800,-47.8090,-0.7020,0.1170,47.8180
250.200,251.500,289.800,-47.7690,-0.7290,0.0880,47.7750
250.200,287.500,325.800,-47.7490,-0.7520,0.0390,47.7550
286.200,287.500,325.800,-47.7050,-0.7420,0.0290,47.7090
358.200,251.500,325.800,-47.7040,-0.7410,0.0580,47.7130
322.200,251.500,325.800,-47.9010,-0.6670,0.1110,47.9040
286.200,251.500,325.800,-47.8560,-0.6840,0.1030,47.8610
250.200,251.500,325.800,-47.8050,-0.7130,0.0920,47.8100
214.200,215.500,325.800,-47.7660,-0.7340,0.0270,47.7730
250.200,215.500,325.800,-47.8230,-0.7060,-0.0520,47.8300
286.200,215.500,325.800,-47.8100,-0.7240,-0.0460,47.8150
322.200,215.500,325.800,-47.7920,-0.7420,-0.0270,47.7980
322.200,179.500,325.800,-47.7960,-0.7420,-0.0020,47.8020
286.200,179.500,325.800,-47.8280,-0.7180,-0.0020,47.8340
