# COSI2 B0 scan
# time 2024-06-14 15:46:11.271085
# MAGNET CENTER IN LAB: x 268.200 mm, y 197.500 mm, z 271.800 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240614/weekend_ball_after_2nd_shim_attempt1_R90mm_18pts.path
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
281.060,169.210,186.940,-47.6730,-0.8700,-0.2200,47.6810
275.910,169.210,186.940,-47.6800,-0.8630,-0.2160,47.6900
270.770,169.210,186.940,-47.6820,-0.8750,-0.2040,47.6900
265.630,169.210,186.940,-47.6910,-0.8760,-0.2040,47.7000
250.200,174.360,186.940,-47.6980,-0.8720,-0.2090,47.7070
255.340,174.360,186.940,-47.7210,-0.8860,-0.2010,47.7300
260.490,174.360,186.940,-47.7160,-0.8750,-0.2050,47.7270
265.630,174.360,186.940,-47.7050,-0.8790,-0.2010,47.7140
270.770,174.360,186.940,-47.7010,-0.8640,-0.2100,47.7110
275.910,174.360,186.940,-47.6910,-0.8660,-0.2130,47.6990
281.060,174.360,186.940,-47.6860,-0.8570,-0.2190,47.6950
286.200,174.360,186.940,-47.6830,-0.8580,-0.2210,47.6910
296.490,179.500,186.940,-47.6730,-0.8550,-0.2140,47.6830
291.340,179.500,186.940,-47.6680,-0.8360,-0.2250,47.6740
286.200,179.500,186.940,-47.6730,-0.8610,-0.2160,47.6810
281.060,179.500,186.940,-47.6750,-0.8520,-0.2210,47.6820
275.910,179.500,186.940,-47.6760,-0.8550,-0.2210,47.6880
270.770,179.500,186.940,-47.6880,-0.8660,-0.2090,47.6920
265.630,179.500,186.940,-47.6960,-0.8710,-0.2160,47.7060
260.490,179.500,186.940,-47.7080,-0.8730,-0.2170,47.7140
255.340,179.500,186.940,-47.7120,-0.8710,-0.2060,47.7230
250.200,179.500,186.940,-47.7240,-0.8740,-0.2150,47.7330
245.060,184.640,186.940,-47.7320,-0.8810,-0.2060,47.7430
250.200,184.640,186.940,-47.7440,-0.8720,-0.2190,47.7520
255.340,184.640,186.940,-47.7310,-0.8720,-0.2140,47.7380
260.490,184.640,186.940,-47.7230,-0.8750,-0.2140,47.7320
265.630,184.640,186.940,-47.7130,-0.8730,-0.2140,47.7240
270.770,184.640,186.940,-47.7040,-0.8650,-0.2130,47.7160
275.910,184.640,186.940,-47.7010,-0.8700,-0.2190,47.7060
281.060,184.640,186.940,-47.6910,-0.8620,-0.2170,47.7050
286.200,184.640,186.940,-47.6850,-0.8610,-0.2130,47.6920
291.340,184.640,186.940,-47.6800,-0.8540,-0.2080,47.6880
301.630,189.790,186.940,-47.6700,-0.8530,-0.2260,47.6780
296.490,189.790,186.940,-47.6680,-0.8360,-0.2280,47.6780
291.340,189.790,186.940,-47.6720,-0.8420,-0.2090,47.6790
286.200,189.790,186.940,-47.6790,-0.8490,-0.2170,47.6810
281.060,189.790,186.940,-47.6810,-0.8570,-0.2060,47.6920
275.910,189.790,186.940,-47.6850,-0.8540,-0.2140,47.6930
270.770,189.790,186.940,-47.6930,-0.8620,-0.2150,47.7020
265.630,189.790,186.940,-47.7030,-0.8720,-0.2070,47.7120
260.490,189.790,186.940,-47.7060,-0.8710,-0.2210,47.7160
255.340,189.790,186.940,-47.7150,-0.8730,-0.2060,47.7210
250.200,189.790,186.940,-47.7250,-0.8780,-0.2150,47.7350
245.060,189.790,186.940,-47.7340,-0.8790,-0.2120,47.7410
239.910,194.930,186.940,-47.7440,-0.8730,-0.2200,47.7510
245.060,194.930,186.940,-47.7520,-0.8790,-0.2260,47.7580
250.200,194.930,186.940,-47.7450,-0.8710,-0.2210,47.7530
255.340,194.930,186.940,-47.7310,-0.8720,-0.2070,47.7400
260.490,194.930,186.940,-47.7220,-0.8710,-0.2240,47.7300
265.630,194.930,186.940,-47.7150,-0.8690,-0.2200,47.7240
270.770,194.930,186.940,-47.7020,-0.8600,-0.2270,47.7100
275.910,194.930,186.940,-47.7060,-0.8590,-0.2280,47.7160
281.060,194.930,186.940,-47.6930,-0.8490,-0.2190,47.7040
286.200,194.930,186.940,-47.6890,-0.8490,-0.2060,47.6950
291.340,194.930,186.940,-47.6810,-0.8460,-0.2180,47.6890
296.490,194.930,186.940,-47.6770,-0.8390,-0.2130,47.6850
301.630,200.070,186.940,-47.6690,-0.8300,-0.2150,47.6810
296.490,200.070,186.940,-47.6660,-0.8360,-0.2070,47.6730
291.340,200.070,186.940,-47.6760,-0.8380,-0.2100,47.6840
286.200,200.070,186.940,-47.6760,-0.8360,-0.2140,47.6830
281.060,200.070,186.940,-47.6790,-0.8540,-0.2140,47.6870
275.910,200.070,186.940,-47.6880,-0.8540,-0.2090,47.6960
270.770,200.070,186.940,-47.6920,-0.8540,-0.2150,47.7000
265.630,200.070,186.940,-47.7030,-0.8550,-0.2190,47.7110
260.490,200.070,186.940,-47.7070,-0.8640,-0.2170,47.7150
255.340,200.070,186.940,-47.7200,-0.8670,-0.2200,47.7280
250.200,200.070,186.940,-47.7230,-0.8660,-0.2190,47.7310
245.060,200.070,186.940,-47.7290,-0.8810,-0.2160,47.7380
239.910,205.210,186.940,-47.7470,-0.8730,-0.2250,47.7550
245.060,205.210,186.940,-47.7490,-0.8670,-0.2250,47.7570
250.200,205.210,186.940,-47.7390,-0.8720,-0.2200,47.7470
255.340,205.210,186.940,-47.7340,-0.8730,-0.2290,47.7420
260.490,205.210,186.940,-47.7220,-0.8670,-0.2210,47.7300
265.630,205.210,186.940,-47.7140,-0.8650,-0.2250,47.7190
270.770,205.210,186.940,-47.7040,-0.8630,-0.2240,47.7130
275.910,205.210,186.940,-47.6960,-0.8590,-0.2190,47.7020
281.060,205.210,186.940,-47.6920,-0.8590,-0.2140,47.6970
286.200,205.210,186.940,-47.6850,-0.8460,-0.2130,47.6980
291.340,205.210,186.940,-47.6840,-0.8550,-0.2240,47.6950
296.490,205.210,186.940,-47.6710,-0.8410,-0.2080,47.6820
296.490,210.360,186.940,-47.6750,-0.8500,-0.2080,47.6830
291.340,210.360,186.940,-47.6710,-0.8400,-0.2070,47.6790
286.200,210.360,186.940,-47.6760,-0.8460,-0.2100,47.6820
281.060,210.360,186.940,-47.6800,-0.8400,-0.2130,47.6900
275.910,210.360,186.940,-47.6900,-0.8500,-0.2180,47.6980
270.770,210.360,186.940,-47.6890,-0.8500,-0.2230,47.6970
265.630,210.360,186.940,-47.6980,-0.8540,-0.2130,47.7070
260.490,210.360,186.940,-47.7020,-0.8580,-0.2190,47.7100
255.340,210.360,186.940,-47.7080,-0.8630,-0.2260,47.7160
250.200,210.360,186.940,-47.7210,-0.8670,-0.2250,47.7270
245.060,215.500,186.940,-47.7260,-0.8730,-0.2310,47.7350
250.200,215.500,186.940,-47.7290,-0.8640,-0.2300,47.7390
