# COSI2 B0 scan,,,,,,
# time 2024-06-14 15:46:11.271085,,,,,,
# MAGNET CENTER IN LAB: x 268.200 mm, y 197.500 mm, z 271.800 mm,,,,
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240614/weekend_ball_after_2nd_shim_attempt1_R90mm_18pts.path,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
281.06,169.21,186.94,-47.68,-0.863,-0.216,47.69
275.91,169.21,186.94,-47.682,-0.875,-0.204,47.69
270.77,169.21,186.94,-47.691,-0.876,-0.204,47.7
265.63,169.21,186.94,-47.698,-0.872,-0.209,47.707
250.2,174.36,186.94,-47.721,-0.886,-0.201,47.73
255.34,174.36,186.94,-47.716,-0.875,-0.205,47.727
260.49,174.36,186.94,-47.705,-0.879,-0.201,47.714
265.63,174.36,186.94,-47.701,-0.864,-0.21,47.711
270.77,174.36,186.94,-47.691,-0.866,-0.213,47.699
275.91,174.36,186.94,-47.686,-0.857,-0.219,47.695
281.06,174.36,186.94,-47.683,-0.858,-0.221,47.691
286.2,174.36,186.94,-47.673,-0.855,-0.214,47.683
296.49,179.5,186.94,-47.668,-0.836,-0.225,47.674
291.34,179.5,186.94,-47.673,-0.861,-0.216,47.681
286.2,179.5,186.94,-47.675,-0.852,-0.221,47.682
281.06,179.5,186.94,-47.676,-0.855,-0.221,47.688
275.91,179.5,186.94,-47.688,-0.866,-0.209,47.692
270.77,179.5,186.94,-47.696,-0.871,-0.216,47.706
265.63,179.5,186.94,-47.708,-0.873,-0.217,47.714
260.49,179.5,186.94,-47.712,-0.871,-0.206,47.723
255.34,179.5,186.94,-47.724,-0.874,-0.215,47.733
250.2,179.5,186.94,-47.732,-0.881,-0.206,47.743
245.06,184.64,186.94,-47.744,-0.872,-0.219,47.752
250.2,184.64,186.94,-47.731,-0.872,-0.214,47.738
255.34,184.64,186.94,-47.723,-0.875,-0.214,47.732
260.49,184.64,186.94,-47.713,-0.873,-0.214,47.724
265.63,184.64,186.94,-47.704,-0.865,-0.213,47.716
270.77,184.64,186.94,-47.701,-0.87,-0.219,47.706
275.91,184.64,186.94,-47.691,-0.862,-0.217,47.705
281.06,184.64,186.94,-47.685,-0.861,-0.213,47.692
286.2,184.64,186.94,-47.68,-0.854,-0.208,47.688
291.34,184.64,186.94,-47.67,-0.853,-0.226,47.678
301.63,189.79,186.94,-47.668,-0.836,-0.228,47.678
296.49,189.79,186.94,-47.672,-0.842,-0.209,47.679
291.34,189.79,186.94,-47.679,-0.849,-0.217,47.681
286.2,189.79,186.94,-47.681,-0.857,-0.206,47.692
281.06,189.79,186.94,-47.685,-0.854,-0.214,47.693
275.91,189.79,186.94,-47.693,-0.862,-0.215,47.702
270.77,189.79,186.94,-47.703,-0.872,-0.207,47.712
265.63,189.79,186.94,-47.706,-0.871,-0.221,47.716
260.49,189.79,186.94,-47.715,-0.873,-0.206,47.721
255.34,189.79,186.94,-47.725,-0.878,-0.215,47.735
250.2,189.79,186.94,-47.734,-0.879,-0.212,47.741
245.06,189.79,186.94,-47.744,-0.873,-0.22,47.751
239.91,194.93,186.94,-47.752,-0.879,-0.226,47.758
245.06,194.93,186.94,-47.745,-0.871,-0.221,47.753
250.2,194.93,186.94,-47.731,-0.872,-0.207,47.74
255.34,194.93,186.94,-47.722,-0.871,-0.224,47.73
260.49,194.93,186.94,-47.715,-0.869,-0.22,47.724
265.63,194.93,186.94,-47.702,-0.86,-0.227,47.71
270.77,194.93,186.94,-47.706,-0.859,-0.228,47.716
275.91,194.93,186.94,-47.693,-0.849,-0.219,47.704
281.06,194.93,186.94,-47.689,-0.849,-0.206,47.695
286.2,194.93,186.94,-47.681,-0.846,-0.218,47.689
291.34,194.93,186.94,-47.677,-0.839,-0.213,47.685
296.49,194.93,186.94,-47.669,-0.83,-0.215,47.681
301.63,200.07,186.94,-47.666,-0.836,-0.207,47.673
296.49,200.07,186.94,-47.676,-0.838,-0.21,47.684
291.34,200.07,186.94,-47.676,-0.836,-0.214,47.683
286.2,200.07,186.94,-47.679,-0.854,-0.214,47.687
281.06,200.07,186.94,-47.688,-0.854,-0.209,47.696
275.91,200.07,186.94,-47.692,-0.854,-0.215,47.7
270.77,200.07,186.94,-47.703,-0.855,-0.219,47.711
265.63,200.07,186.94,-47.707,-0.864,-0.217,47.715
260.49,200.07,186.94,-47.72,-0.867,-0.22,47.728
255.34,200.07,186.94,-47.723,-0.866,-0.219,47.731
250.2,200.07,186.94,-47.729,-0.881,-0.216,47.738
245.06,200.07,186.94,-47.747,-0.873,-0.225,47.755
239.91,205.21,186.94,-47.749,-0.867,-0.225,47.757
245.06,205.21,186.94,-47.739,-0.872,-0.22,47.747
250.2,205.21,186.94,-47.734,-0.873,-0.229,47.742
255.34,205.21,186.94,-47.722,-0.867,-0.221,47.73
260.49,205.21,186.94,-47.714,-0.865,-0.225,47.719
265.63,205.21,186.94,-47.704,-0.863,-0.224,47.713
270.77,205.21,186.94,-47.696,-0.859,-0.219,47.702
275.91,205.21,186.94,-47.692,-0.859,-0.214,47.697
281.06,205.21,186.94,-47.685,-0.846,-0.213,47.698
286.2,205.21,186.94,-47.684,-0.855,-0.224,47.695
291.34,205.21,186.94,-47.671,-0.841,-0.208,47.682
296.49,205.21,186.94,-47.675,-0.85,-0.208,47.683
296.49,210.36,186.94,-47.671,-0.84,-0.207,47.679
291.34,210.36,186.94,-47.676,-0.846,-0.21,47.682
286.2,210.36,186.94,-47.68,-0.84,-0.213,47.69
281.06,210.36,186.94,-47.69,-0.85,-0.218,47.698
275.91,210.36,186.94,-47.689,-0.85,-0.223,47.697
270.77,210.36,186.94,-47.698,-0.854,-0.213,47.707
265.63,210.36,186.94,-47.702,-0.858,-0.219,47.71
260.49,210.36,186.94,-47.708,-0.863,-0.226,47.716
255.34,210.36,186.94,-47.721,-0.867,-0.225,47.727
250.2,210.36,186.94,-47.726,-0.873,-0.231,47.735
245.06,215.5,186.94,-47.729,-0.864,-0.23,47.739
250.2,215.5,186.94,-47.726,-0.866,-0.221,47.734
255.34,215.5,186.94,-47.715,-0.867,-0.232,47.725
260.49,215.5,186.94,-47.707,-0.865,-0.212,47.716
