# COSI2 B0 scan
# time 2024-06-20 13:53:00.494036
# MAGNET CENTER IN LAB: x 268.200 mm, y 202.500 mm, z 271.800 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240719/Thursday_ball_R120_12pts
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
276.770,176.790,151.800,-47.4300,-0.9100,-1.0000,47.4500
268.200,176.790,151.800,-47.4280,-0.9030,-0.9980,47.4470
259.630,176.790,151.800,-47.4270,-0.9350,-0.9880,47.4470
251.060,185.360,151.800,-47.4270,-0.9470,-0.9890,47.4470
259.630,185.360,151.800,-47.4430,-0.9530,-0.9820,47.4630
268.200,185.360,151.800,-47.4380,-0.9390,-0.9810,47.4570
276.770,185.360,151.800,-47.4330,-0.9200,-0.9950,47.4520
285.340,185.360,151.800,-47.4350,-0.9010,-0.9990,47.4520
293.910,193.930,151.800,-47.4440,-0.8950,-1.0050,47.4630
285.340,193.930,151.800,-47.4540,-0.8970,-1.0170,47.4760
276.770,193.930,151.800,-47.4500,-0.8950,-1.0040,47.4690
268.200,193.930,151.800,-47.4470,-0.9120,-0.9890,47.4660
259.630,193.930,151.800,-47.4400,-0.9170,-0.9920,47.4600
251.060,193.930,151.800,-47.4420,-0.9340,-0.9830,47.4610
242.490,193.930,151.800,-47.4450,-0.9520,-0.9790,47.4670
242.490,202.500,151.800,-47.4530,-0.9700,-0.9930,47.4720
251.060,202.500,151.800,-47.4560,-0.9600,-0.9920,47.4780
259.630,202.500,151.800,-47.4420,-0.9420,-0.9920,47.4620
268.200,202.500,151.800,-47.4460,-0.9390,-0.9960,47.4660
276.770,202.500,151.800,-47.4440,-0.9240,-0.9850,47.4610
285.340,202.500,151.800,-47.4450,-0.9090,-0.9900,47.4650
293.910,202.500,151.800,-47.4580,-0.9060,-1.0020,47.4790
293.910,211.070,151.800,-47.4680,-0.9000,-1.0010,47.4870
285.340,211.070,151.800,-47.4730,-0.8920,-0.9910,47.4950
276.770,211.070,151.800,-47.4630,-0.9030,-0.9790,47.4820
268.200,211.070,151.800,-47.4500,-0.9080,-0.9930,47.4690
259.630,211.070,151.800,-47.4440,-0.9210,-0.9910,47.4600
251.060,211.070,151.800,-47.4340,-0.9300,-0.9830,47.4510
242.490,211.070,151.800,-47.4360,-0.9410,-0.9950,47.4560
251.060,219.640,151.800,-47.4480,-0.9480,-0.9920,47.4660
259.630,219.640,151.800,-47.4380,-0.9470,-0.9960,47.4580
