# COSI2 B0 scan,,,,,,
# time 2024-06-20 13:53:00.494036,,,,,,
# MAGNET CENTER IN LAB: x 268.200 mm, y 202.500 mm, z 271.800 mm,,,,
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240719/Thursday_ball_R120_12pts,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
276.77,176.79,151.8,-50,0,0,50
268.2,176.79,151.8,-50,0,0,50
259.63,176.79,151.8,-50,0,0,50
251.06,185.36,151.8,-50,0,0,50
259.63,185.36,151.8,-50,0,0,50
268.2,185.36,151.8,-50,0,0,50
276.77,185.36,151.8,-50,0,0,50
285.34,185.36,151.8,-50,0,0,50
293.91,193.93,151.8,-50,0,0,50
285.34,193.93,151.8,-50,0,0,50
276.77,193.93,151.8,-50,0,0,50
268.2,193.93,151.8,-50,0,0,50
259.63,193.93,151.8,-50,0,0,50
251.06,193.93,151.8,-50,0,0,50
242.49,193.93,151.8,-50,0,0,50
242.49,202.5,151.8,-50,0,0,50
251.06,202.5,151.8,-50,0,0,50
259.63,202.5,151.8,-50,0,0,50
268.2,202.5,151.8,-50,0,0,50
276.77,202.5,151.8,-50,0,0,50
285.34,202.5,151.8,-50,0,0,50
293.91,202.5,151.8,-50,0,0,50
293.91,211.07,151.8,-50,0,0,50
285.34,211.07,151.8,-50,0,0,50
276.77,211.07,151.8,-50,0,0,50
268.2,211.07,151.8,-50,0,0,50
259.63,211.07,151.8,-50,0,0,50
251.06,211.07,151.8,-50,0,0,50
242.49,211.07,151.8,-50,0,0,50
251.06,219.64,151.8,-50,0,0,50
259.63,219.64,151.8,-47.437,-0.924,-0.989,47.457
268.2,219.64,151.8,-47.439,-0.921,-0.982,47.459
276.77,219.64,151.8,-47.45,-0.902,-0.981,47.465
285.34,219.64,151.8,-47.463,-0.891,-0.983,47.479
276.77,228.21,151.8,-47.448,-0.904,-0.978,47.466
268.2,228.21,151.8,-47.437,-0.912,-0.981,47.453
259.63,228.21,151.8,-47.429,-0.931,-0.987,47.45
276.77,253.93,160.37,-47.433,-0.919,-0.972,47.452
268.2,253.93,160.37,-47.434,-0.902,-0.943,47.452
259.63,253.93,160.37,-47.414,-0.917,-0.962,47.432
242.49,245.36,160.37,-47.427,-0.941,-0.977,47.446
251.06,245.36,160.37,-47.428,-0.935,-0.976,47.45
259.63,245.36,160.37,-47.427,-0.921,-0.978,47.446
268.2,245.36,160.37,-47.436,-0.912,-0.965,47.456
276.77,245.36,160.37,-47.444,-0.902,-0.949,47.463
285.34,245.36,160.37,-47.454,-0.902,-0.947,47.472
293.91,245.36,160.37,-47.472,-0.909,-0.945,47.486
302.49,236.79,160.37,-47.479,-0.896,-0.946,47.498
293.91,236.79,160.37,-47.474,-0.901,-0.958,47.492
285.34,236.79,160.37,-47.464,-0.9,-0.962,47.483
276.77,236.79,160.37,-47.452,-0.902,-0.965,47.472
268.2,236.79,160.37,-47.443,-0.914,-0.968,47.46
