# COSI2 B0 scan
# time 2024-06-19 16:07:50.988568
# MAGNET CENTER IN LAB: x 268.200 mm, y 202.500 mm, z 271.800 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240719/overnight_ball_no_shims_R120_12pts
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
248.200,162.500,161.800,-47.5140,-0.9720,0.0450,47.5240
258.200,162.500,161.800,-47.5130,-0.9910,0.0360,47.5230
268.200,162.500,161.800,-47.4960,-0.9750,0.0360,47.5090
278.200,162.500,161.800,-47.4950,-0.9640,0.0230,47.5070
288.200,162.500,161.800,-47.4880,-0.9400,0.0100,47.4950
308.200,172.500,161.800,-47.4860,-0.9320,0.0140,47.4970
298.200,172.500,161.800,-47.4970,-0.9150,-0.0050,47.5030
288.200,172.500,161.800,-47.5020,-0.9140,0.0050,47.5120
278.200,172.500,161.800,-47.4950,-0.9290,0.0180,47.5040
268.200,172.500,161.800,-47.4980,-0.9360,0.0140,47.5040
258.200,172.500,161.800,-47.5020,-0.9480,0.0180,47.5070
248.200,172.500,161.800,-47.5100,-0.9670,0.0310,47.5180
228.200,182.500,161.800,-47.5190,-0.9720,0.0290,47.5300
238.200,182.500,161.800,-47.5360,-0.9850,0.0530,47.5450
248.200,182.500,161.800,-47.5400,-0.9670,0.0370,47.5510
258.200,182.500,161.800,-47.5220,-0.9690,0.0400,47.5310
268.200,182.500,161.800,-47.5120,-0.9550,0.0420,47.5200
278.200,182.500,161.800,-47.5060,-0.9490,0.0190,47.5190
288.200,182.500,161.800,-47.5040,-0.9310,0.0240,47.5170
298.200,182.500,161.800,-47.5040,-0.9180,0.0140,47.5140
308.200,182.500,161.800,-47.5100,-0.9130,0.0040,47.5170
318.200,192.500,161.800,-47.5190,-0.9140,-0.0140,47.5270
308.200,192.500,161.800,-47.5300,-0.9060,-0.0130,47.5380
298.200,192.500,161.800,-47.5310,-0.9160,-0.0060,47.5430
288.200,192.500,161.800,-47.5200,-0.9220,0.0020,47.5260
278.200,192.500,161.800,-47.5130,-0.9120,0.0160,47.5220
268.200,192.500,161.800,-47.5130,-0.9310,0.0240,47.5220
258.200,192.500,161.800,-47.5110,-0.9420,0.0270,47.5210
248.200,192.500,161.800,-47.5180,-0.9560,0.0250,47.5270
238.200,192.500,161.800,-47.5230,-0.9680,0.0240,47.5330
228.200,202.500,161.800,-47.5330,-0.9770,0.0340,47.5430
238.200,202.500,161.800,-47.5440,-0.9680,0.0310,47.5540
248.200,202.500,161.800,-47.5270,-0.9690,0.0290,47.5380
258.200,202.500,161.800,-47.5220,-0.9550,0.0350,47.5330
268.200,202.500,161.800,-47.5120,-0.9490,0.0320,47.5240
278.200,202.500,161.800,-47.5150,-0.9370,0.0240,47.5270
288.200,202.500,161.800,-47.5170,-0.9380,0.0280,47.5250
298.200,202.500,161.800,-47.5280,-0.9220,0.0240,47.5380
308.200,202.500,161.800,-47.5340,-0.9200,0.0140,47.5410
318.200,212.500,161.800,-47.5430,-0.9180,0.0100,47.5540
308.200,212.500,161.800,-47.5570,-0.9370,0.0120,47.5660
298.200,212.500,161.800,-47.5500,-0.9210,0.0320,47.5590
288.200,212.500,161.800,-47.5440,-0.9300,0.0260,47.5500
278.200,212.500,161.800,-47.5270,-0.9250,0.0310,47.5400
268.200,212.500,161.800,-47.5260,-0.9280,0.0300,47.5330
258.200,212.500,161.800,-47.5120,-0.9330,0.0310,47.5220
248.200,212.500,161.800,-47.5180,-0.9450,0.0310,47.5270
238.200,212.500,161.800,-47.5150,-0.9510,0.0190,47.5240
228.200,222.500,161.800,-47.5300,-0.9710,0.0180,47.5400
238.200,222.500,161.800,-47.5290,-0.9800,0.0070,47.5390
248.200,222.500,161.800,-47.5210,-0.9720,0.0230,47.5310
258.200,222.500,161.800,-47.5110,-0.9540,0.0170,47.5200
268.200,222.500,161.800,-47.5050,-0.9460,0.0240,47.5170
278.200,222.500,161.800,-47.5110,-0.9260,0.0420,47.5180
288.200,222.500,161.800,-47.5220,-0.9330,0.0360,47.5320
298.200,222.500,161.800,-47.5350,-0.9260,0.0370,47.5380
308.200,222.500,161.800,-47.5440,-0.9360,0.0400,47.5500
308.200,232.500,161.800,-47.5500,-0.9300,0.0430,47.5560
298.200,232.500,161.800,-47.5550,-0.9330,0.0580,47.5640
288.200,232.500,161.800,-47.5470,-0.9260,0.0610,47.5560
278.200,232.500,161.800,-47.5300,-0.9250,0.0650,47.5390
268.200,232.500,161.800,-47.5230,-0.9330,0.0480,47.5310
258.200,232.500,161.800,-47.5070,-0.9340,0.0360,47.5190
248.200,232.500,161.800,-47.5010,-0.9370,0.0390,47.5110
248.200,242.500,161.800,-47.4980,-0.9510,0.0270,47.5090
258.200,242.500,161.800,-47.4940,-0.9500,0.0370,47.5040
268.200,242.500,161.800,-47.4950,-0.9460,0.0360,47.5040
278.200,242.500,161.800,-47.4980,-0.9190,0.0570,47.5050
288.200,242.500,161.800,-47.5060,-0.9210,0.0650,47.5170
298.200,272.500,171.800,-47.5210,-0.9250,0.0640,47.5290
288.200,272.500,171.800,-47.5150,-0.9100,0.1130,47.5260
278.200,272.500,171.800,-47.4920,-0.8950,0.1530,47.5020
268.200,272.500,171.800,-47.4710,-0.9040,0.1060,47.4840
258.200,272.500,171.800,-47.4630,-0.9040,0.0800,47.4740
228.200,262.500,171.800,-47.4540,-0.9210,0.0540,47.4650
238.200,262.500,171.800,-47.4690,-0.9330,0.0270,47.4750
248.200,262.500,171.800,-47.4950,-0.9520,0.0000,47.5050
258.200,262.500,171.800,-47.4860,-0.9370,0.0340,47.4950
268.200,262.500,171.800,-47.4780,-0.9300,0.0430,47.4860
278.200,262.500,171.800,-47.4830,-0.9150,0.0750,47.4920
288.200,262.500,171.800,-47.4920,-0.9150,0.0930,47.5020
298.200,262.500,171.800,-47.5000,-0.9150,0.1030,47.5090
308.200,262.500,171.800,-47.5180,-0.9060,0.1400,47.5260
328.200,252.500,171.800,-47.5300,-0.9140,0.1490,47.5400
318.200,252.500,171.800,-47.5650,-0.9270,0.1250,47.5680
308.200,252.500,171.800,-47.5630,-0.9320,0.1040,47.5730
298.200,252.500,171.800,-47.5480,-0.9200,0.1020,47.5570
288.200,252.500,171.800,-47.5280,-0.9250,0.1060,47.5370
278.200,252.500,171.800,-47.5220,-0.9210,0.0830,47.5290
268.200,252.500,171.800,-47.5080,-0.9130,0.0770,47.5180
258.200,252.500,171.800,-47.5030,-0.9280,0.0610,47.5140
248.200,252.500,171.800,-47.4900,-0.9370,0.0450,47.5030
238.200,252.500,171.800,-47.4920,-0.9410,0.0320,47.5070
228.200,252.500,171.800,-47.4990,-0.9520,0.0190,47.5090
218.200,242.500,171.800,-47.5140,-0.9660,0.0150,47.5220
228.200,242.500,171.800,-47.5350,-0.9710,0.0120,47.5450
238.200,242.500,171.800,-47.5310,-0.9710,0.0120,47.5410
248.200,242.500,171.800,-47.5160,-0.9520,0.0230,47.5260
258.200,242.500,171.800,-47.5080,-0.9440,0.0320,47.5170
268.200,242.500,171.800,-47.5090,-0.9310,0.0360,47.5150
278.200,242.500,171.800,-47.5070,-0.9250,0.0560,47.5180
288.200,242.500,171.800,-47.5160,-0.9200,0.0630,47.5270
298.200,242.500,171.800,-47.5220,-0.9290,0.0660,47.5280
