# COSI2 B0 scan
# time 2024-06-20 12:33:27.115340
# MAGNET CENTER IN LAB: x 268.200 mm, y 202.500 mm, z 271.800 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240719/quick_ball_R90_5pts
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
298.200,152.500,201.800,-47.4970,-0.9020,-0.9180,47.5140
278.200,152.500,201.800,-47.4990,-0.8930,-0.9180,47.5130
238.200,172.500,201.800,-47.4990,-0.8930,-0.9180,47.5130
258.200,172.500,201.800,0.0000,0.0000,0.0000,0.0000
278.200,172.500,201.800,0.0000,0.0000,0.0000,0.0000
298.200,172.500,201.800,0.0000,0.0000,0.0000,0.0000
338.200,192.500,201.800,-47.4940,-0.9030,-0.9080,47.5110
318.200,192.500,201.800,-47.5250,-0.9420,-0.8870,47.5430
298.200,192.500,201.800,0.0000,0.0000,0.0000,0.0000
278.200,192.500,201.800,0.0000,0.0000,0.0000,0.0000
258.200,192.500,201.800,0.0000,0.0000,0.0000,0.0000
238.200,192.500,201.800,0.0000,0.0000,0.0000,0.0000
218.200,212.500,201.800,-47.5140,-0.9210,-0.8950,47.5340
238.200,212.500,201.800,0.0000,0.0000,0.0000,0.0000
258.200,212.500,201.800,0.0000,0.0000,0.0000,0.0000
278.200,212.500,201.800,0.0000,0.0000,0.0000,0.0000
298.200,212.500,201.800,0.0000,0.0000,0.0000,0.0000
318.200,212.500,201.800,-47.5260,-0.9400,-0.8860,47.5410
318.200,232.500,201.800,0.0000,0.0000,0.0000,0.0000
298.200,232.500,201.800,0.0000,0.0000,0.0000,0.0000
278.200,232.500,201.800,-47.5190,-0.8910,-0.8740,47.5360
258.200,232.500,201.800,0.0000,0.0000,0.0000,0.0000
258.200,252.500,201.800,-47.5260,-0.8800,-0.8790,47.5420
278.200,252.500,201.800,-47.5400,-0.8790,-0.8500,47.5550
258.200,292.500,221.800,-47.5050,-0.8930,-0.8690,47.5180
278.200,292.500,221.800,-47.5030,-0.9120,-0.8710,47.5220
338.200,272.500,221.800,-47.4830,-0.9010,-0.8630,47.4990
318.200,272.500,221.800,-47.4870,-0.9150,-0.8550,47.5030
298.200,272.500,221.800,0.0000,0.0000,0.0000,0.0000
278.200,272.500,221.800,0.0000,0.0000,0.0000,0.0000
258.200,272.500,221.800,0.0000,0.0000,0.0000,0.0000
238.200,272.500,221.800,0.0000,0.0000,0.0000,0.0000
218.200,252.500,221.800,-47.4650,-0.9020,-0.8710,47.4780
238.200,252.500,221.800,0.0000,0.0000,0.0000,0.0000
258.200,252.500,221.800,0.0000,0.0000,0.0000,0.0000
278.200,252.500,221.800,0.0000,0.0000,0.0000,0.0000
298.200,252.500,221.800,0.0000,0.0000,0.0000,0.0000
318.200,252.500,221.800,-47.4940,-0.9090,-0.8830,47.5110
358.200,232.500,221.800,0.0000,0.0000,0.0000,0.0000
338.200,232.500,221.800,-47.5160,-0.8840,-0.8490,47.5310
318.200,232.500,221.800,0.0000,0.0000,0.0000,0.0000
298.200,232.500,221.800,0.0000,0.0000,0.0000,0.0000
278.200,232.500,221.800,0.0000,0.0000,0.0000,0.0000
258.200,232.500,221.800,0.0000,0.0000,0.0000,0.0000
238.200,232.500,221.800,-47.5200,-0.8690,-0.8340,47.5380
