# COSI2 B0 scan
# time 2024-07-15 21:31:23.571760
# MAGNET CENTER IN LAB: x 232.447 mm, y 160.454 mm, z 202.877 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240715/overnight_ball_osi_v1_12pts_rotated_shims_iter2_R120
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
252.450,200.450,92.880,0.0000,0.0000,0.0000,0.0000
242.450,200.450,92.880,0.0000,0.0000,0.0000,0.0000
232.450,200.450,92.880,0.0000,0.0000,0.0000,0.0000
222.450,200.450,92.880,0.0000,0.0000,0.0000,0.0000
212.450,200.450,92.880,0.0000,0.0000,0.0000,0.0000
202.450,190.450,92.880,0.0000,0.0000,0.0000,0.0000
212.450,190.450,92.880,0.0000,0.0000,0.0000,0.0000
222.450,190.450,92.880,0.0000,0.0000,0.0000,0.0000
232.450,190.450,92.880,0.0000,0.0000,0.0000,0.0000
242.450,190.450,92.880,0.0000,0.0000,0.0000,0.0000
252.450,190.450,92.880,0.0000,0.0000,0.0000,0.0000
262.450,190.450,92.880,0.0000,0.0000,0.0000,0.0000
272.450,180.450,92.880,0.0000,0.0000,0.0000,0.0000
262.450,180.450,92.880,0.0000,0.0000,0.0000,0.0000
252.450,180.450,92.880,0.0000,0.0000,0.0000,0.0000
242.450,180.450,92.880,0.0000,0.0000,0.0000,0.0000
232.450,180.450,92.880,0.0000,0.0000,0.0000,0.0000
222.450,180.450,92.880,0.0000,0.0000,0.0000,0.0000
212.450,180.450,92.880,0.0000,0.0000,0.0000,0.0000
202.450,180.450,92.880,0.0000,0.0000,0.0000,0.0000
192.450,180.450,92.880,0.0000,0.0000,0.0000,0.0000
192.450,170.450,92.880,0.0000,0.0000,0.0000,0.0000
202.450,170.450,92.880,0.0000,0.0000,0.0000,0.0000
212.450,170.450,92.880,0.0000,0.0000,0.0000,0.0000
222.450,170.450,92.880,0.0000,0.0000,0.0000,0.0000
232.450,170.450,92.880,0.0000,0.0000,0.0000,0.0000
242.450,170.450,92.880,0.0000,0.0000,0.0000,0.0000
252.450,170.450,92.880,0.0000,0.0000,0.0000,0.0000
262.450,170.450,92.880,0.0000,0.0000,0.0000,0.0000
272.450,170.450,92.880,0.0000,0.0000,0.0000,0.0000
272.450,160.450,92.880,0.0000,0.0000,0.0000,0.0000
262.450,160.450,92.880,0.0000,0.0000,0.0000,0.0000
252.450,160.450,92.880,0.0000,0.0000,0.0000,0.0000
242.450,160.450,92.880,0.0000,0.0000,0.0000,0.0000
232.450,160.450,92.880,0.0000,0.0000,0.0000,0.0000
222.450,160.450,92.880,0.0000,0.0000,0.0000,0.0000
212.450,160.450,92.880,0.0000,0.0000,0.0000,0.0000
202.450,160.450,92.880,0.0000,0.0000,0.0000,0.0000
192.450,160.450,92.880,0.0000,0.0000,0.0000,0.0000
192.450,150.450,92.880,0.0000,0.0000,0.0000,0.0000
202.450,150.450,92.880,0.0000,0.0000,0.0000,0.0000
212.450,150.450,92.880,0.0000,0.0000,0.0000,0.0000
222.450,150.450,92.880,0.0000,0.0000,0.0000,0.0000
232.450,150.450,92.880,0.0000,0.0000,0.0000,0.0000
242.450,150.450,92.880,0.0000,0.0000,0.0000,0.0000
252.450,150.450,92.880,0.0000,0.0000,0.0000,0.0000
262.450,150.450,92.880,0.0000,0.0000,0.0000,0.0000
272.450,150.450,92.880,0.0000,0.0000,0.0000,0.0000
272.450,140.450,92.880,0.0000,0.0000,0.0000,0.0000
262.450,140.450,92.880,0.0000,0.0000,0.0000,0.0000
252.450,140.450,92.880,0.0000,0.0000,0.0000,0.0000
242.450,140.450,92.880,0.0000,0.0000,0.0000,0.0000
232.450,140.450,92.880,0.0000,0.0000,0.0000,0.0000
222.450,140.450,92.880,0.0000,0.0000,0.0000,0.0000
212.450,140.450,92.880,0.0000,0.0000,0.0000,0.0000
202.450,140.450,92.880,0.0000,0.0000,0.0000,0.0000
