# COSI2 B0 scan,,,,,,
# time 2024-07-15 21:31:23.571760,,,,,,
# MAGNET CENTER IN LAB: x 232.447 mm, y 160.454 mm, z 202.877 mm,,,,
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240715/overnight_ball_osi_v1_12pts_rotated_shims_iter2_R120,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
252.45,200.45,92.88,0,0,0,0
242.45,200.45,92.88,0,0,0,0
232.45,200.45,92.88,0,0,0,0
222.45,200.45,92.88,0,0,0,0
212.45,200.45,92.88,0,0,0,0
202.45,190.45,92.88,0,0,0,0
212.45,190.45,92.88,0,0,0,0
222.45,190.45,92.88,0,0,0,0
232.45,190.45,92.88,0,0,0,0
242.45,190.45,92.88,0,0,0,0
252.45,190.45,92.88,0,0,0,0
262.45,190.45,92.88,0,0,0,0
272.45,180.45,92.88,0,0,0,0
262.45,180.45,92.88,0,0,0,0
252.45,180.45,92.88,0,0,0,0
242.45,180.45,92.88,0,0,0,0
232.45,180.45,92.88,0,0,0,0
222.45,180.45,92.88,0,0,0,0
212.45,180.45,92.88,0,0,0,0
202.45,180.45,92.88,0,0,0,0
192.45,180.45,92.88,0,0,0,0
192.45,170.45,92.88,0,0,0,0
202.45,170.45,92.88,0,0,0,0
212.45,170.45,92.88,0,0,0,0
222.45,170.45,92.88,0,0,0,0
232.45,170.45,92.88,0,0,0,0
242.45,170.45,92.88,0,0,0,0
252.45,170.45,92.88,0,0,0,0
262.45,170.45,92.88,0,0,0,0
272.45,170.45,92.88,0,0,0,0
272.45,160.45,92.88,0,0,0,0
262.45,160.45,92.88,0,0,0,0
252.45,160.45,92.88,0,0,0,0
242.45,160.45,92.88,0,0,0,0
232.45,160.45,92.88,0,0,0,0
222.45,160.45,92.88,0,0,0,0
212.45,160.45,92.88,0,0,0,0
202.45,160.45,92.88,0,0,0,0
192.45,160.45,92.88,0,0,0,0
192.45,150.45,92.88,0,0,0,0
202.45,150.45,92.88,0,0,0,0
212.45,150.45,92.88,0,0,0,0
222.45,150.45,92.88,0,0,0,0
232.45,150.45,92.88,0,0,0,0
242.45,150.45,92.88,0,0,0,0
252.45,150.45,92.88,0,0,0,0
262.45,150.45,92.88,0,0,0,0
272.45,150.45,92.88,0,0,0,0
272.45,140.45,92.88,0,0,0,0
262.45,140.45,92.88,0,0,0,0
252.45,140.45,92.88,0,0,0,0
242.45,140.45,92.88,0,0,0,0
232.45,140.45,92.88,0,0,0,0
222.45,140.45,92.88,0,0,0,0
212.45,140.45,92.88,0,0,0,0
202.45,140.45,92.88,0,0,0,0
192.45,140.45,92.88,0,0,0,0
202.45,130.45,92.88,0,0,0,0
212.45,130.45,92.88,0,0,0,0
222.45,130.45,92.88,0,0,0,0
232.45,130.45,92.88,0,0,0,0
242.45,130.45,92.88,0,0,0,0
252.45,130.45,92.88,0,0,0,0
262.45,130.45,92.88,0,0,0,0
252.45,120.45,92.88,0,0,0,0
242.45,120.45,92.88,0,0,0,0
232.45,120.45,92.88,0,0,0,0
222.45,120.45,92.88,0,0,0,0
212.45,120.45,92.88,0,0,0,0
212.45,100.45,102.88,0,0,0,0
222.45,100.45,102.88,0,0,0,0
232.45,100.45,102.88,0,0,0,0
242.45,100.45,102.88,0,0,0,0
252.45,100.45,102.88,0,0,0,0
272.45,110.45,102.88,0,0,0,0
262.45,110.45,102.88,0,0,0,0
252.45,110.45,102.88,0,0,0,0
242.45,110.45,102.88,0,0,0,0
232.45,110.45,102.88,0,0,0,0
222.45,110.45,102.88,0,0,0,0
212.45,110.45,102.88,0,0,0,0
202.45,110.45,102.88,0,0,0,0
192.45,110.45,102.88,0,0,0,0
182.45,120.45,102.88,0,0,0,0
192.45,120.45,102.88,0,0,0,0
202.45,120.45,102.88,0,0,0,0
212.45,120.45,102.88,0,0,0,0
222.45,120.45,102.88,0,0,0,0
232.45,120.45,102.88,0,0,0,0
242.45,120.45,102.88,0,0,0,0
252.45,120.45,102.88,0,0,0,0
262.45,120.45,102.88,0,0,0,0
272.45,120.45,102.88,0,0,0,0
282.45,120.45,102.88,0,0,0,0
282.45,130.45,102.88,0,0,0,0
272.45,130.45,102.88,0,0,0,0
262.45,130.45,102.88,0,0,0,0
252.45,130.45,102.88,0,0,0,0
242.45,130.45,102.88,0,0,0,0
232.45,130.45,102.88,0,0,0,0
222.45,130.45,102.88,0,0,0,0
212.45,130.45,102.88,0,0,0,0
202.45,130.45,102.88,0,0,0,0
192.45,130.45,102.88,0,0,0,0
182.45,130.45,102.88,0,0,0,0
172.45,140.45,102.88,0,0,0,0
182.45,140.45,102.88,0,0,0,0
192.45,140.45,102.88,0,0,0,0
202.45,140.45,102.88,0,0,0,0
212.45,140.45,102.88,0,0,0,0
222.45,140.45,102.88,0,0,0,0
232.45,140.45,102.88,0,0,0,0
242.45,140.45,102.88,0,0,0,0
252.45,140.45,102.88,0,0,0,0
262.45,140.45,102.88,0,0,0,0
272.45,140.45,102.88,0,0,0,0
282.45,140.45,102.88,0,0,0,0
292.45,140.45,102.88,0,0,0,0
292.45,150.45,102.88,0,0,0,0
282.45,150.45,102.88,0,0,0,0
272.45,150.45,102.88,0,0,0,0
262.45,150.45,102.88,0,0,0,0
252.45,150.45,102.88,0,0,0,0
242.45,150.45,102.88,0,0,0,0
232.45,150.45,102.88,0,0,0,0
222.45,150.45,102.88,0,0,0,0
212.45,150.45,102.88,0,0,0,0
202.45,150.45,102.88,0,0,0,0
192.45,150.45,102.88,0,0,0,0
182.45,150.45,102.88,0,0,0,0
172.45,150.45,102.88,0,0,0,0
172.45,160.45,102.88,0,0,0,0
182.45,160.45,102.88,0,0,0,0
192.45,160.45,102.88,0,0,0,0
202.45,160.45,102.88,0,0,0,0
212.45,160.45,102.88,0,0,0,0
222.45,160.45,102.88,0,0,0,0
232.45,160.45,102.88,0,0,0,0
242.45,160.45,102.88,0,0,0,0
252.45,160.45,102.88,0,0,0,0
262.45,160.45,102.88,0,0,0,0
272.45,160.45,102.88,0,0,0,0
282.45,160.45,102.88,0,0,0,0
292.45,160.45,102.88,0,0,0,0
292.45,170.45,102.88,0,0,0,0
282.45,170.45,102.88,0,0,0,0
272.45,170.45,102.88,0,0,0,0
262.45,170.45,102.88,0,0,0,0
252.45,170.45,102.88,0,0,0,0
242.45,170.45,102.88,0,0,0,0
232.45,170.45,102.88,0,0,0,0
222.45,170.45,102.88,0,0,0,0
212.45,170.45,102.88,0,0,0,0
202.45,170.45,102.88,0,0,0,0
192.45,170.45,102.88,0,0,0,0
182.45,170.45,102.88,0,0,0,0
172.45,170.45,102.88,0,0,0,0
172.45,180.45,102.88,0,0,0,0
182.45,180.45,102.88,0,0,0,0
192.45,180.45,102.88,0,0,0,0
202.45,180.45,102.88,0,0,0,0
212.45,180.45,102.88,0,0,0,0
222.45,180.45,102.88,0,0,0,0
232.45,180.45,102.88,0,0,0,0
242.45,180.45,102.88,0,0,0,0
252.45,180.45,102.88,0,0,0,0
262.45,180.45,102.88,0,0,0,0
272.45,180.45,102.88,0,0,0,0
282.45,180.45,102.88,0,0,0,0
292.45,180.45,102.88,0,0,0,0
282.45,190.45,102.88,0,0,0,0
272.45,190.45,102.88,0,0,0,0
262.45,190.45,102.88,0,0,0,0
252.45,190.45,102.88,0,0,0,0
242.45,190.45,102.88,0,0,0,0
232.45,190.45,102.88,0,0,0,0
222.45,190.45,102.88,0,0,0,0
212.45,190.45,102.88,0,0,0,0
202.45,190.45,102.88,0,0,0,0
192.45,190.45,102.88,0,0,0,0
182.45,190.45,102.88,0,0,0,0
182.45,200.45,102.88,0,0,0,0
192.45,200.45,102.88,0,0,0,0
202.45,200.45,102.88,0,0,0,0
212.45,200.45,102.88,0,0,0,0
222.45,200.45,102.88,0,0,0,0
232.45,200.45,102.88,0,0,0,0
242.45,200.45,102.88,0,0,0,0
252.45,200.45,102.88,0,0,0,0
262.45,200.45,102.88,0,0,0,0
272.45,200.45,102.88,0,0,0,0
282.45,200.45,102.88,0,0,0,0
272.45,210.45,102.88,0,0,0,0
262.45,210.45,102.88,0,0,0,0
252.45,210.45,102.88,0,0,0,0
242.45,210.45,102.88,0,0,0,0
232.45,210.45,102.88,0,0,0,0
222.45,210.45,102.88,0,0,0,0
212.45,210.45,102.88,0,0,0,0
202.45,210.45,102.88,0,0,0,0
192.45,210.45,102.88,0,0,0,0
212.45,220.45,102.88,0,0,0,0
222.45,220.45,102.88,0,0,0,0
232.45,220.45,102.88,0,0,0,0
242.45,220.45,102.88,0,0,0,0
252.45,220.45,102.88,0,0,0,0
202.45,230.45,112.88,0,0,0,0
212.45,230.45,112.88,0,0,0,0
222.45,230.45,112.88,0,0,0,0
232.45,230.45,112.88,0,0,0,0
242.45,230.45,112.88,0,0,0,0
252.45,230.45,112.88,0,0,0,0
262.45,230.45,112.88,0,0,0,0
282.45,220.45,112.88,0,0,0,0
272.45,220.45,112.88,0,0,0,0
262.45,220.45,112.88,0,0,0,0
252.45,220.45,112.88,0,0,0,0
242.45,220.45,112.88,0,0,0,0
232.45,220.45,112.88,0,0,0,0
222.45,220.45,112.88,0,0,0,0
212.45,220.45,112.88,0,0,0,0
202.45,220.45,112.88,0,0,0,0
192.45,220.45,112.88,0,0,0,0
182.45,220.45,112.88,0,0,0,0
172.45,210.45,112.88,0,0,0,0
182.45,210.45,112.88,0,0,0,0
192.45,210.45,112.88,0,0,0,0
202.45,210.45,112.88,0,0,0,0
212.45,210.45,112.88,0,0,0,0
222.45,210.45,112.88,0,0,0,0
232.45,210.45,112.88,0,0,0,0
242.45,210.45,112.88,0,0,0,0
252.45,210.45,112.88,0,0,0,0
262.45,210.45,112.88,0,0,0,0
272.45,210.45,112.88,0,0,0,0
282.45,210.45,112.88,0,0,0,0
292.45,210.45,112.88,0,0,0,0
292.45,200.45,112.88,0,0,0,0
282.45,200.45,112.88,0,0,0,0
272.45,200.45,112.88,0,0,0,0
262.45,200.45,112.88,0,0,0,0
252.45,200.45,112.88,0,0,0,0
242.45,200.45,112.88,0,0,0,0
232.45,200.45,112.88,0,0,0,0
222.45,200.45,112.88,0,0,0,0
212.45,200.45,112.88,0,0,0,0
202.45,200.45,112.88,0,0,0,0
192.45,200.45,112.88,0,0,0,0
182.45,200.45,112.88,0,0,0,0
172.45,200.45,112.88,0,0,0,0
162.45,190.45,112.88,0,0,0,0
172.45,190.45,112.88,0,0,0,0
182.45,190.45,112.88,0,0,0,0
192.45,190.45,112.88,0,0,0,0
202.45,190.45,112.88,0,0,0,0
212.45,190.45,112.88,0,0,0,0
222.45,190.45,112.88,0,0,0,0
232.45,190.45,112.88,0,0,0,0
242.45,190.45,112.88,0,0,0,0
252.45,190.45,112.88,0,0,0,0
262.45,190.45,112.88,0,0,0,0
272.45,190.45,112.88,0,0,0,0
282.45,190.45,112.88,0,0,0,0
292.45,190.45,112.88,0,0,0,0
302.45,190.45,112.88,0,0,0,0
302.45,180.45,112.88,0,0,0,0
292.45,180.45,112.88,0,0,0,0
282.45,180.45,112.88,0,0,0,0
272.45,180.45,112.88,0,0,0,0
262.45,180.45,112.88,0,0,0,0
252.45,180.45,112.88,0,0,0,0
242.45,180.45,112.88,0,0,0,0
232.45,180.45,112.88,0,0,0,0
222.45,180.45,112.88,0,0,0,0
212.45,180.45,112.88,0,0,0,0
202.45,180.45,112.88,0,0,0,0
192.45,180.45,112.88,0,0,0,0
182.45,180.45,112.88,0,0,0,0
172.45,180.45,112.88,0,0,0,0
162.45,180.45,112.88,0,0,0,0
162.45,170.45,112.88,0,0,0,0
172.45,170.45,112.88,0,0,0,0
182.45,170.45,112.88,0,0,0,0
192.45,170.45,112.88,0,0,0,0
202.45,170.45,112.88,0,0,0,0
212.45,170.45,112.88,0,0,0,0
222.45,170.45,112.88,0,0,0,0
232.45,170.45,112.88,0,0,0,0
242.45,170.45,112.88,0,0,0,0
252.45,170.45,112.88,0,0,0,0
262.45,170.45,112.88,0,0,0,0
272.45,170.45,112.88,0,0,0,0
282.45,170.45,112.88,0,0,0,0
292.45,170.45,112.88,0,0,0,0
302.45,170.45,112.88,0,0,0,0
302.45,160.45,112.88,0,0,0,0
292.45,160.45,112.88,0,0,0,0
282.45,160.45,112.88,0,0,0,0
272.45,160.45,112.88,0,0,0,0
262.45,160.45,112.88,0,0,0,0
252.45,160.45,112.88,0,0,0,0
242.45,160.45,112.88,0,0,0,0
232.45,160.45,112.88,0,0,0,0
222.45,160.45,112.88,0,0,0,0
212.45,160.45,112.88,0,0,0,0
202.45,160.45,112.88,0,0,0,0
192.45,160.45,112.88,0,0,0,0
182.45,160.45,112.88,0,0,0,0
172.45,160.45,112.88,0,0,0,0
162.45,160.45,112.88,0,0,0,0
162.45,150.45,112.88,0,0,0,0
