# COSI2 B0 scan
# time 2024-07-17 10:49:42.803162
# MAGNET CENTER IN LAB: x 271.860 mm, y 169.480 mm, z 207.960 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240716/ball_R120mm_10pts_SHIMS_REMOVED
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
283.860,217.480,99.960,-47.5030,-0.9700,-1.4300,47.5350
271.860,217.480,99.960,-47.5010,-0.9700,-1.4400,47.5320
259.860,217.480,99.960,-47.4900,-0.9800,-1.4500,47.5210
235.860,205.480,99.960,-47.4810,-0.9900,-1.4500,47.5140
247.860,205.480,99.960,-47.4980,-0.9900,-1.4800,47.5310
259.860,205.480,99.960,-47.5100,-1.0100,-1.4900,47.5440
271.860,205.480,99.960,-47.4990,-1.0000,-1.4800,47.5330
283.860,205.480,99.960,-47.5020,-0.9900,-1.4600,47.5350
295.860,205.480,99.960,-47.5120,-0.9800,-1.4500,47.5440
307.860,205.480,99.960,-47.5230,-0.9800,-1.4500,47.5550
307.860,193.480,99.960,-47.5390,-0.9800,-1.4400,47.5710
295.860,193.480,99.960,-47.5430,-0.9800,-1.4600,47.5760
283.860,193.480,99.960,-47.5320,-0.9700,-1.4600,47.5640
271.860,193.480,99.960,-47.5190,-0.9800,-1.4700,47.5520
259.860,193.480,99.960,-47.5130,-0.9800,-1.4700,47.5450
247.860,193.480,99.960,-47.5090,-0.9900,-1.4800,47.5430
235.860,193.480,99.960,-47.5120,-1.0100,-1.4800,47.5460
223.860,181.480,99.960,-47.5230,-1.0300,-1.4900,47.5570
235.860,181.480,99.960,-47.5440,-1.0400,-1.5100,47.5790
247.860,181.480,99.960,-47.5400,-1.0200,-1.5000,47.5750
259.860,181.480,99.960,-47.5230,-1.0100,-1.4800,47.5570
271.860,181.480,99.960,-47.5190,-1.0100,-1.4800,47.5550
283.860,181.480,99.960,-47.5150,-0.9900,-1.4800,47.5460
295.860,181.480,99.960,-47.5180,-0.9800,-1.4800,47.5490
307.860,181.480,99.960,-47.5280,-0.9800,-1.4800,47.5610
319.860,181.480,99.960,-47.5350,-0.9800,-1.4800,47.5680
319.860,169.480,99.960,-47.5440,-0.9900,-1.4900,47.5780
307.860,169.480,99.960,-47.5460,-0.9800,-1.5100,47.5800
295.860,169.480,99.960,-47.5380,-0.9800,-1.5000,47.5710
283.860,169.480,99.960,-47.5250,-0.9800,-1.4900,47.5580
271.860,169.480,99.960,-47.5180,-0.9800,-1.4800,47.5510
259.860,169.480,99.960,-47.5140,-0.9900,-1.4800,47.5470
247.860,169.480,99.960,-47.5170,-0.9900,-1.4900,47.5510
235.860,169.480,99.960,-47.5220,-1.0100,-1.4800,47.5580
223.860,169.480,99.960,-47.5420,-1.0200,-1.4800,47.5720
223.860,157.480,99.960,-47.5560,-1.0200,-1.4800,47.5910
235.860,157.480,99.960,-47.5660,-1.0200,-1.4700,47.6000
247.860,157.480,99.960,-47.5520,-1.0300,-1.4700,47.5850
259.860,157.480,99.960,-47.5360,-1.0200,-1.4700,47.5700
271.860,157.480,99.960,-47.5220,-1.0100,-1.4700,47.5550
283.860,157.480,99.960,-47.5070,-0.9900,-1.4800,47.5400
295.860,157.480,99.960,-47.5020,-0.9800,-1.4900,47.5360
307.860,157.480,99.960,-47.5150,-0.9700,-1.4900,47.5480
319.860,157.480,99.960,-47.5190,-0.9700,-1.5100,47.5490
307.860,145.480,99.960,-47.5180,-0.9600,-1.5200,47.5500
295.860,145.480,99.960,-47.5130,-0.9600,-1.5200,47.5500
283.860,145.480,99.960,-47.4990,-0.9800,-1.4900,47.5330
271.860,145.480,99.960,-47.4950,-0.9900,-1.4800,47.5290
259.860,145.480,99.960,-47.5060,-0.9900,-1.4800,47.5390
247.860,145.480,99.960,-47.5090,-1.0100,-1.4800,47.5430
235.860,145.480,99.960,-47.5190,-1.0200,-1.4700,47.5520
235.860,133.480,99.960,-47.5400,-1.0300,-1.4600,47.5730
247.860,133.480,99.960,-47.5450,-1.0500,-1.4600,47.5790
259.860,133.480,99.960,-47.5260,-1.0300,-1.4600,47.5600
271.860,133.480,99.960,-47.5110,-1.0200,-1.4700,47.5450
283.860,133.480,99.960,-47.4960,-1.0100,-1.4800,47.5300
295.860,133.480,99.960,-47.4840,-0.9800,-1.4800,47.5170
307.860,133.480,99.960,-47.4850,-0.9800,-1.5000,47.5180
283.860,121.480,99.960,-47.4930,-0.9700,-1.5100,47.5270
271.860,121.480,99.960,-47.4790,-0.9800,-1.5000,47.5120
259.860,121.480,99.960,-47.4800,-1.0100,-1.4800,47.5140
307.860,109.480,111.960,-47.4970,-1.0300,-1.4700,47.5260
295.860,109.480,111.960,-47.4760,-0.9800,-1.5400,47.5130
283.860,109.480,111.960,-47.4690,-0.9900,-1.5200,47.5050
271.860,109.480,111.960,-47.4750,-1.0000,-1.5000,47.5050
259.860,109.480,111.960,-47.4840,-1.0200,-1.4900,47.5140
247.860,109.480,111.960,-47.4980,-1.0300,-1.4700,47.5260
235.860,109.480,111.960,-47.5140,-1.0300,-1.4500,47.5480
223.860,121.480,111.960,-47.5330,-1.0400,-1.4300,47.5660
235.860,121.480,111.960,-47.5680,-1.0400,-1.4500,47.6020
247.860,121.480,111.960,-47.5580,-1.0400,-1.4600,47.5920
259.860,121.480,111.960,-47.5290,-1.0400,-1.4600,47.5630
271.860,121.480,111.960,-47.5150,-1.0300,-1.4800,47.5490
283.860,121.480,111.960,-47.4990,-1.0200,-1.4700,47.5380
295.860,121.480,111.960,-47.4880,-0.9900,-1.4900,47.5250
307.860,121.480,111.960,-47.4900,-0.9900,-1.5100,47.5230
319.860,121.480,111.960,-47.4910,-0.9700,-1.5300,47.5210
331.860,133.480,111.960,-47.4900,-0.9700,-1.5200,47.5280
319.860,133.480,111.960,-47.5030,-0.9400,-1.5200,47.5370
307.860,133.480,111.960,-47.5080,-0.9500,-1.5200,47.5420
295.860,133.480,111.960,-47.4990,-0.9700,-1.5200,47.5330
283.860,133.480,111.960,-47.5030,-0.9800,-1.5000,47.5360
271.860,133.480,111.960,-47.5040,-0.9900,-1.5000,47.5380
259.860,133.480,111.960,-47.5030,-1.0000,-1.5000,47.5370
247.860,133.480,111.960,-47.5170,-1.0200,-1.4800,47.5470
235.860,133.480,111.960,-47.5280,-1.0200,-1.4700,47.5600
223.860,133.480,111.960,-47.5480,-1.0300,-1.4700,47.5790
211.860,133.480,111.960,-47.5700,-1.0400,-1.4800,47.6040
211.860,145.480,111.960,-47.5830,-1.0500,-1.4800,47.6170
223.860,145.480,111.960,-47.5870,-1.0500,-1.4800,47.6210
235.860,145.480,111.960,-47.5770,-1.0300,-1.4800,47.6110
247.860,145.480,111.960,-47.5560,-1.0200,-1.4800,47.5900
259.860,145.480,111.960,-47.5430,-1.0200,-1.4800,47.5780
271.860,145.480,111.960,-47.5280,-1.0100,-1.4900,47.5640
283.860,145.480,111.960,-47.5200,-0.9900,-1.4900,47.5530
295.860,145.480,111.960,-47.5160,-0.9900,-1.4900,47.5500
307.860,145.480,111.960,-47.5140,-0.9800,-1.5100,47.5470
319.860,145.480,111.960,-47.5130,-0.9700,-1.5100,47.5470
331.860,145.480,111.960,-47.5170,-0.9600,-1.5200,47.5510
331.860,157.480,111.960,-47.5170,-0.9400,-1.5300,47.5510
319.860,157.480,111.960,-47.5250,-0.9500,-1.5400,47.5600
307.860,157.480,111.960,-47.5350,-0.9600,-1.5200,47.5650
295.860,157.480,111.960,-47.5260,-0.9700,-1.5200,47.5590
283.860,157.480,111.960,-47.5220,-0.9700,-1.5000,47.5560
271.860,157.480,111.960,-47.5220,-0.9900,-1.4900,47.5560
259.860,157.480,111.960,-47.5210,-0.9900,-1.4900,47.5550
247.860,157.480,111.960,-47.5280,-1.0000,-1.4800,47.5610
235.860,157.480,111.960,-47.5350,-1.0100,-1.4900,47.5690
223.860,157.480,111.960,-47.5500,-1.0200,-1.4800,47.5840
211.860,157.480,111.960,-47.5700,-1.0300,-1.4700,47.5990
211.860,169.480,111.960,-47.5850,-1.0300,-1.4800,47.6200
223.860,169.480,111.960,-47.5970,-1.0200,-1.4900,47.6300
235.860,169.480,111.960,-47.5750,-1.0200,-1.5000,47.6110
247.860,169.480,111.960,-47.5600,-1.0100,-1.4900,47.5940
259.860,169.480,111.960,-47.5400,-1.0100,-1.4900,47.5740
271.860,169.480,111.960,-47.5330,-1.0000,-1.4800,47.5660
283.860,169.480,111.960,-47.5290,-1.0000,-1.4900,47.5630
295.860,169.480,111.960,-47.5190,-0.9800,-1.4800,47.5520
307.860,169.480,111.960,-47.5300,-0.9700,-1.4800,47.5630
319.860,169.480,111.960,-47.5320,-0.9800,-1.5000,47.5650
331.860,169.480,111.960,-47.5400,-0.9700,-1.5000,47.5720
331.860,181.480,111.960,-47.5460,-0.9700,-1.5100,47.5810
319.860,181.480,111.960,-47.5530,-0.9800,-1.5000,47.5860
307.860,181.480,111.960,-47.5500,-0.9700,-1.4900,47.5830
295.860,181.480,111.960,-47.5390,-0.9700,-1.4900,47.5720
