# COSI2 B0 scan
# time 2024-07-16 17:14:46.705834
# MAGNET CENTER IN LAB: x 271.860 mm, y 169.480 mm, z 207.960 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240716/ball_overnight_shims_iter2_rot_pos90deg
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
283.860,217.480,99.960,-47.2270,-0.9700,-1.4700,47.2600
271.860,217.480,99.960,-47.2270,-0.9600,-1.4800,47.2600
259.860,217.480,99.960,-47.2240,-0.9800,-1.4900,47.2570
235.860,205.480,99.960,-47.2130,-0.9800,-1.4900,47.2490
247.860,205.480,99.960,-47.2130,-1.0100,-1.5000,47.2490
259.860,205.480,99.960,-47.2210,-1.0200,-1.5200,47.2560
271.860,205.480,99.960,-47.2150,-1.0000,-1.5100,47.2500
283.860,205.480,99.960,-47.2250,-0.9800,-1.5000,47.2590
295.860,205.480,99.960,-47.2300,-0.9900,-1.4900,47.2640
307.860,205.480,99.960,-47.2430,-0.9700,-1.4800,47.2760
307.860,193.480,99.960,-47.2620,-0.9700,-1.4900,47.2910
295.860,193.480,99.960,-47.2660,-0.9700,-1.5100,47.3010
283.860,193.480,99.960,-47.2600,-0.9700,-1.5100,47.2920
271.860,193.480,99.960,-47.2440,-0.9600,-1.5100,47.2780
259.860,193.480,99.960,-47.2320,-0.9800,-1.5100,47.2660
247.860,193.480,99.960,-47.2280,-0.9900,-1.5200,47.2630
235.860,193.480,99.960,-47.2260,-0.9900,-1.5400,47.2620
223.860,181.480,99.960,-47.2390,-1.0200,-1.5500,47.2760
235.860,181.480,99.960,-47.2490,-1.0200,-1.5600,47.2850
247.860,181.480,99.960,-47.2520,-1.0200,-1.5500,47.2880
259.860,181.480,99.960,-47.2400,-1.0000,-1.5300,47.2740
271.860,181.480,99.960,-47.2370,-1.0000,-1.5300,47.2730
283.860,181.480,99.960,-47.2340,-0.9800,-1.5300,47.2690
295.860,181.480,99.960,-47.2430,-0.9700,-1.5100,47.2770
307.860,181.480,99.960,-47.2540,-0.9700,-1.5100,47.2880
319.860,181.480,99.960,-47.2590,-0.9600,-1.5200,47.2900
319.860,169.480,99.960,-47.2600,-0.9700,-1.5300,47.2970
307.860,169.480,99.960,-47.2560,-0.9600,-1.5400,47.2930
295.860,169.480,99.960,-47.2590,-0.9600,-1.5400,47.2940
283.860,169.480,99.960,-47.2490,-0.9500,-1.5300,47.2830
271.860,169.480,99.960,-47.2440,-0.9600,-1.5300,47.2790
259.860,169.480,99.960,-47.2420,-0.9700,-1.5200,47.2770
247.860,169.480,99.960,-47.2410,-0.9900,-1.5300,47.2760
235.860,169.480,99.960,-47.2520,-0.9900,-1.5400,47.2880
223.860,169.480,99.960,-47.2570,-1.0100,-1.5400,47.2930
223.860,157.480,99.960,-47.2740,-1.0200,-1.5600,47.3070
235.860,157.480,99.960,-47.2810,-1.0100,-1.5600,47.3170
247.860,157.480,99.960,-47.2670,-1.0100,-1.5600,47.3040
259.860,157.480,99.960,-47.2600,-1.0000,-1.5400,47.2960
271.860,157.480,99.960,-47.2510,-0.9900,-1.5400,47.2870
283.860,157.480,99.960,-47.2440,-0.9700,-1.5300,47.2780
295.860,157.480,99.960,-47.2460,-0.9700,-1.5300,47.2790
307.860,157.480,99.960,-47.2410,-0.9500,-1.5300,47.2740
319.860,157.480,99.960,-47.2480,-0.9600,-1.5400,47.2810
307.860,145.480,99.960,-47.2510,-0.9500,-1.5500,47.2860
295.860,145.480,99.960,-47.2420,-0.9500,-1.5500,47.2770
283.860,145.480,99.960,-47.2370,-0.9600,-1.5400,47.2720
271.860,145.480,99.960,-47.2450,-0.9700,-1.5400,47.2810
259.860,145.480,99.960,-47.2420,-0.9700,-1.5400,47.2750
247.860,145.480,99.960,-47.2480,-0.9900,-1.5300,47.2830
235.860,145.480,99.960,-47.2590,-1.0000,-1.5400,47.2940
235.860,133.480,99.960,-47.2720,-1.0100,-1.5600,47.3080
247.860,133.480,99.960,-47.2760,-1.0000,-1.5400,47.3120
259.860,133.480,99.960,-47.2700,-1.0000,-1.5500,47.3060
271.860,133.480,99.960,-47.2590,-0.9900,-1.5400,47.2940
283.860,133.480,99.960,-47.2390,-0.9700,-1.5300,47.2740
295.860,133.480,99.960,-47.2420,-0.9700,-1.5400,47.2770
307.860,133.480,99.960,-47.2390,-0.9600,-1.5400,47.2740
283.860,121.480,99.960,-47.2420,-0.9500,-1.5400,47.2770
271.860,121.480,99.960,-47.2410,-0.9500,-1.5400,47.2750
259.860,121.480,99.960,-47.2420,-0.9800,-1.5400,47.2770
307.860,109.480,111.960,-47.2540,-0.9900,-1.5500,47.2890
295.860,109.480,111.960,-47.2380,-0.9400,-1.5600,47.2730
283.860,109.480,111.960,-47.2410,-0.9500,-1.5500,47.2760
271.860,109.480,111.960,-47.2410,-0.9700,-1.5500,47.2740
259.860,109.480,111.960,-47.2480,-0.9700,-1.5300,47.2830
247.860,109.480,111.960,-47.2600,-0.9900,-1.5400,47.2960
235.860,109.480,111.960,-47.2820,-0.9900,-1.5300,47.3170
223.860,121.480,111.960,-47.3030,-0.9900,-1.5300,47.3380
235.860,121.480,111.960,-47.3160,-1.0000,-1.5500,47.3520
247.860,121.480,111.960,-47.3020,-1.0000,-1.5500,47.3410
259.860,121.480,111.960,-47.2790,-0.9800,-1.5500,47.3180
271.860,121.480,111.960,-47.2670,-0.9900,-1.5400,47.3070
283.860,121.480,111.960,-47.2570,-0.9800,-1.5400,47.2940
295.860,121.480,111.960,-47.2550,-0.9600,-1.5400,47.2900
307.860,121.480,111.960,-47.2470,-0.9600,-1.5500,47.2820
319.860,121.480,111.960,-47.2510,-0.9500,-1.5500,47.2860
331.860,133.480,111.960,-47.2470,-0.9400,-1.5500,47.2820
319.860,133.480,111.960,-47.2480,-0.9100,-1.5300,47.2830
307.860,133.480,111.960,-47.2470,-0.9300,-1.5400,47.2790
295.860,133.480,111.960,-47.2500,-0.9500,-1.5500,47.2850
283.860,133.480,111.960,-47.2500,-0.9500,-1.5400,47.2850
271.860,133.480,111.960,-47.2560,-0.9500,-1.5400,47.2900
259.860,133.480,111.960,-47.2570,-0.9700,-1.5400,47.2900
247.860,133.480,111.960,-47.2680,-0.9800,-1.5400,47.2980
235.860,133.480,111.960,-47.2740,-0.9900,-1.5400,47.3070
223.860,133.480,111.960,-47.2880,-1.0000,-1.5500,47.3240
211.860,133.480,111.960,-47.3000,-0.9900,-1.5600,47.3360
211.860,145.480,111.960,-47.3100,-1.0000,-1.5800,47.3470
223.860,145.480,111.960,-47.3010,-1.0000,-1.5800,47.3380
235.860,145.480,111.960,-47.2960,-1.0100,-1.5600,47.3330
247.860,145.480,111.960,-47.2870,-1.0000,-1.5600,47.3220
259.860,145.480,111.960,-47.2760,-0.9900,-1.5600,47.3140
271.860,145.480,111.960,-47.2650,-0.9800,-1.5500,47.3010
283.860,145.480,111.960,-47.2570,-0.9700,-1.5500,47.2930
295.860,145.480,111.960,-47.2550,-0.9600,-1.5400,47.2900
307.860,145.480,111.960,-47.2550,-0.9600,-1.5400,47.2900
319.860,145.480,111.960,-47.2530,-0.9400,-1.5500,47.2910
331.860,145.480,111.960,-47.2490,-0.9200,-1.5500,47.2800
331.860,157.480,111.960,-47.2440,-0.9300,-1.5500,47.2820
319.860,157.480,111.960,-47.2500,-0.9300,-1.5600,47.2850
307.860,157.480,111.960,-47.2510,-0.9400,-1.5600,47.2860
295.860,157.480,111.960,-47.2510,-0.9500,-1.5500,47.2860
283.860,157.480,111.960,-47.2500,-0.9500,-1.5300,47.2830
271.860,157.480,111.960,-47.2570,-0.9600,-1.5400,47.2890
259.860,157.480,111.960,-47.2500,-0.9800,-1.5400,47.2880
247.860,157.480,111.960,-47.2610,-0.9800,-1.5400,47.2970
235.860,157.480,111.960,-47.2620,-0.9800,-1.5500,47.2980
223.860,157.480,111.960,-47.2740,-1.0000,-1.5400,47.3100
211.860,157.480,111.960,-47.2880,-1.0000,-1.5600,47.3240
211.860,169.480,111.960,-47.2950,-1.0100,-1.5600,47.3310
223.860,169.480,111.960,-47.2880,-1.0100,-1.5600,47.3260
235.860,169.480,111.960,-47.2850,-1.0000,-1.5500,47.3220
247.860,169.480,111.960,-47.2730,-1.0000,-1.5500,47.3110
259.860,169.480,111.960,-47.2660,-0.9900,-1.5500,47.3020
271.860,169.480,111.960,-47.2560,-0.9800,-1.5400,47.2910
283.860,169.480,111.960,-47.2520,-0.9600,-1.5300,47.2870
295.860,169.480,111.960,-47.2540,-0.9600,-1.5300,47.2890
307.860,169.480,111.960,-47.2540,-0.9600,-1.5300,47.2870
319.860,169.480,111.960,-47.2610,-0.9500,-1.5300,47.2940
331.860,169.480,111.960,-47.2600,-0.9500,-1.5500,47.2970
331.860,181.480,111.960,-47.2550,-0.9500,-1.5400,47.2900
319.860,181.480,111.960,-47.2610,-0.9600,-1.5300,47.2950
307.860,181.480,111.960,-47.2570,-0.9600,-1.5200,47.2910
295.860,181.480,111.960,-47.2600,-0.9400,-1.5200,47.2930
283.860,181.480,111.960,-47.2550,-0.9500,-1.5200,47.2900
271.860,181.480,111.960,-47.2540,-0.9600,-1.5200,47.2930
259.860,181.480,111.960,-47.2550,-0.9700,-1.5300,47.2890
