# COSI2 B0 scan,,,,,,
# time 2024-07-16 17:14:46.705834,,,,,,
# MAGNET CENTER IN LAB: x 271.860 mm, y 169.480 mm, z 207.960 mm,,,,
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240716/ball_overnight_shims_iter2_rot_pos90deg,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
283.86,217.48,99.96,-47.227,-0.98,-1.49,47.257
271.86,217.48,99.96,-47.224,-0.98,-1.49,47.249
259.86,217.48,99.96,-47.213,-1.01,-1.5,47.249
235.86,205.48,99.96,-47.213,-1.02,-1.52,47.256
247.86,205.48,99.96,-47.221,-1,-1.51,47.25
259.86,205.48,99.96,-47.215,-0.98,-1.5,47.259
271.86,205.48,99.96,-47.225,-0.99,-1.49,47.264
283.86,205.48,99.96,-47.23,-0.97,-1.48,47.276
295.86,205.48,99.96,-47.243,-0.97,-1.49,47.291
307.86,205.48,99.96,-47.262,-0.97,-1.51,47.301
307.86,193.48,99.96,-47.266,-0.97,-1.51,47.292
295.86,193.48,99.96,-47.26,-0.96,-1.51,47.278
283.86,193.48,99.96,-47.244,-0.98,-1.51,47.266
271.86,193.48,99.96,-47.232,-0.99,-1.52,47.263
259.86,193.48,99.96,-47.228,-0.99,-1.54,47.262
247.86,193.48,99.96,-47.226,-1.02,-1.55,47.276
235.86,193.48,99.96,-47.239,-1.02,-1.56,47.285
223.86,181.48,99.96,-47.249,-1.02,-1.55,47.288
235.86,181.48,99.96,-47.252,-1,-1.53,47.274
247.86,181.48,99.96,-47.24,-1,-1.53,47.273
259.86,181.48,99.96,-47.237,-0.98,-1.53,47.269
271.86,181.48,99.96,-47.234,-0.97,-1.51,47.277
283.86,181.48,99.96,-47.243,-0.97,-1.51,47.288
295.86,181.48,99.96,-47.254,-0.96,-1.52,47.29
307.86,181.48,99.96,-47.259,-0.97,-1.53,47.297
319.86,181.48,99.96,-47.26,-0.96,-1.54,47.293
319.86,169.48,99.96,-47.256,-0.96,-1.54,47.294
307.86,169.48,99.96,-47.259,-0.95,-1.53,47.283
295.86,169.48,99.96,-47.249,-0.96,-1.53,47.279
283.86,169.48,99.96,-47.244,-0.97,-1.52,47.277
271.86,169.48,99.96,-47.242,-0.99,-1.53,47.276
259.86,169.48,99.96,-47.241,-0.99,-1.54,47.288
247.86,169.48,99.96,-47.252,-1.01,-1.54,47.293
235.86,169.48,99.96,-47.257,-1.02,-1.56,47.307
223.86,169.48,99.96,-47.274,-1.01,-1.56,47.317
223.86,157.48,99.96,-47.281,-1.01,-1.56,47.304
235.86,157.48,99.96,-47.267,-1,-1.54,47.296
247.86,157.48,99.96,-47.26,-0.99,-1.54,47.287
259.86,157.48,99.96,-47.251,-0.97,-1.53,47.278
271.86,157.48,99.96,-47.244,-0.97,-1.53,47.279
283.86,157.48,99.96,-47.246,-0.95,-1.53,47.274
295.86,157.48,99.96,-47.241,-0.96,-1.54,47.281
307.86,157.48,99.96,-47.248,-0.95,-1.55,47.286
319.86,157.48,99.96,-47.251,-0.95,-1.55,47.277
307.86,145.48,99.96,-47.242,-0.96,-1.54,47.272
295.86,145.48,99.96,-47.237,-0.97,-1.54,47.281
283.86,145.48,99.96,-47.245,-0.97,-1.54,47.275
271.86,145.48,99.96,-47.242,-0.99,-1.53,47.283
259.86,145.48,99.96,-47.248,-1,-1.54,47.294
247.86,145.48,99.96,-47.259,-1.01,-1.56,47.308
235.86,145.48,99.96,-47.272,-1,-1.54,47.312
235.86,133.48,99.96,-47.276,-1,-1.55,47.306
247.86,133.48,99.96,-47.27,-0.99,-1.54,47.294
259.86,133.48,99.96,-47.259,-0.97,-1.53,47.274
271.86,133.48,99.96,-47.239,-0.97,-1.54,47.277
283.86,133.48,99.96,-47.242,-0.96,-1.54,47.274
295.86,133.48,99.96,-47.239,-0.95,-1.54,47.277
307.86,133.48,99.96,-47.242,-0.95,-1.54,47.275
283.86,121.48,99.96,-47.241,-0.98,-1.54,47.277
271.86,121.48,99.96,-47.242,-0.99,-1.55,47.289
259.86,121.48,99.96,-47.254,-0.94,-1.56,47.273
307.86,109.48,111.96,-47.238,-0.95,-1.55,47.276
295.86,109.48,111.96,-47.241,-0.97,-1.55,47.274
283.86,109.48,111.96,-47.241,-0.97,-1.53,47.283
271.86,109.48,111.96,-47.248,-0.99,-1.54,47.296
259.86,109.48,111.96,-47.26,-0.99,-1.53,47.317
247.86,109.48,111.96,-47.282,-0.99,-1.53,47.338
235.86,109.48,111.96,-47.303,-1,-1.55,47.352
223.86,121.48,111.96,-47.316,-1,-1.55,47.341
235.86,121.48,111.96,-47.302,-0.98,-1.55,47.318
247.86,121.48,111.96,-47.279,-0.99,-1.54,47.307
259.86,121.48,111.96,-47.267,-0.98,-1.54,47.294
271.86,121.48,111.96,-47.257,-0.96,-1.54,47.29
283.86,121.48,111.96,-47.255,-0.96,-1.55,47.282
295.86,121.48,111.96,-47.247,-0.95,-1.55,47.286
307.86,121.48,111.96,-47.251,-0.94,-1.55,47.282
319.86,121.48,111.96,-47.247,-0.91,-1.53,47.283
331.86,133.48,111.96,-47.248,-0.93,-1.54,47.279
319.86,133.48,111.96,-47.247,-0.95,-1.55,47.285
307.86,133.48,111.96,-47.25,-0.95,-1.54,47.285
295.86,133.48,111.96,-47.25,-0.95,-1.54,47.29
283.86,133.48,111.96,-47.256,-0.97,-1.54,47.29
271.86,133.48,111.96,-47.257,-0.98,-1.54,47.298
259.86,133.48,111.96,-47.268,-0.99,-1.54,47.307
247.86,133.48,111.96,-47.274,-1,-1.55,47.324
235.86,133.48,111.96,-47.288,-0.99,-1.56,47.336
223.86,133.48,111.96,-47.3,-1,-1.58,47.347
211.86,133.48,111.96,-47.31,-1,-1.58,47.338
211.86,145.48,111.96,-47.301,-1.01,-1.56,47.333
223.86,145.48,111.96,-47.296,-1,-1.56,47.322
235.86,145.48,111.96,-47.287,-0.99,-1.56,47.314
247.86,145.48,111.96,-47.276,-0.98,-1.55,47.301
259.86,145.48,111.96,-47.265,-0.97,-1.55,47.293
271.86,145.48,111.96,-47.257,-0.96,-1.54,47.29
283.86,145.48,111.96,-47.255,-0.96,-1.54,47.29
295.86,145.48,111.96,-47.255,-0.94,-1.55,47.291
307.86,145.48,111.96,-47.253,-0.92,-1.55,47.28
319.86,145.48,111.96,-47.249,-0.93,-1.55,47.282
331.86,145.48,111.96,-47.244,-0.93,-1.56,47.285
331.86,157.48,111.96,-47.25,-0.94,-1.56,47.286
319.86,157.48,111.96,-47.251,-0.95,-1.55,47.286
307.86,157.48,111.96,-47.251,-0.95,-1.53,47.283
295.86,157.48,111.96,-47.25,-0.96,-1.54,47.289
283.86,157.48,111.96,-47.257,-0.98,-1.54,47.288
271.86,157.48,111.96,-47.25,-0.98,-1.54,47.297
259.86,157.48,111.96,-47.261,-0.98,-1.55,47.298
247.86,157.48,111.96,-47.262,-1,-1.54,47.31
235.86,157.48,111.96,-47.274,-1,-1.56,47.324
223.86,157.48,111.96,-47.288,-1.01,-1.56,47.331
211.86,157.48,111.96,-47.295,-1.01,-1.56,47.326
211.86,169.48,111.96,-47.288,-1,-1.55,47.322
223.86,169.48,111.96,-47.285,-1,-1.55,47.311
235.86,169.48,111.96,-47.273,-0.99,-1.55,47.302
247.86,169.48,111.96,-47.266,-0.98,-1.54,47.291
259.86,169.48,111.96,-47.256,-0.96,-1.53,47.287
271.86,169.48,111.96,-47.252,-0.96,-1.53,47.289
283.86,169.48,111.96,-47.254,-0.96,-1.53,47.287
295.86,169.48,111.96,-47.254,-0.95,-1.53,47.294
