# COSI2 B0 scan
# time 2024-08-22 11:33:15.437139
# MAGNET CENTER IN LAB: x 0.000 mm, y 0.000 mm, z 0.000 mm
# MAGNET AXES WRT LAB: alpha 0.00 deg, beta 0.00 deg, gamma 0.00 deg
# path: C:/cosi-measure/Software/COSI2/data/240722/ball_R120_10pts_bvals_shifted.csv
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT|,B0_z[mT],B0_abs[mT]
-47.986,-107.962,-12.023,-47.2770,-0.8000,0.4100,47.2860
-47.986,-107.962,-0.023,-47.2640,-0.7900,0.4000,47.2730
-47.986,-107.962,11.977,-47.2650,-0.7800,0.4000,47.2730
-35.986,-107.962,35.977,-47.2750,-0.7900,0.3900,47.2760
-35.986,-107.962,23.977,-47.2770,-0.7900,0.3900,47.2850
-35.986,-107.962,11.977,-47.2660,-0.7900,0.3900,47.2740
-35.986,-107.962,-0.023,-47.2750,-0.7900,0.3900,47.2780
-35.986,-107.962,-12.023,-47.2780,-0.7900,0.4100,47.2860
-35.986,-107.962,-24.023,-47.2860,-0.7900,0.4000,47.2940
-35.986,-107.962,-36.023,-47.2980,-0.8100,0.4100,47.3070
-23.986,-107.962,-36.023,-47.2960,-0.8100,0.4000,47.3050
-23.986,-107.962,-24.023,-47.2910,-0.7900,0.3900,47.3000
-23.986,-107.962,-12.023,-47.2820,-0.7800,0.3900,47.2910
-23.986,-107.962,-0.023,-47.2760,-0.7800,0.3900,47.2840
-23.986,-107.962,11.977,-47.2730,-0.7800,0.3900,47.2840
-23.986,-107.962,23.977,-47.2770,-0.7900,0.3900,47.2860
-23.986,-107.962,35.977,-47.2870,-0.7900,0.3900,47.2960
-11.986,-107.962,47.977,-47.3000,-0.7900,0.3800,47.3090
-11.986,-107.962,35.977,-47.2940,-0.7900,0.4000,47.3020
-11.986,-107.962,23.977,-47.2890,-0.7900,0.3900,47.2980
-11.986,-107.962,11.977,-47.2730,-0.7800,0.3900,47.2810
-11.986,-107.962,-0.023,-47.2750,-0.7900,0.3900,47.2830
-11.986,-107.962,-12.023,-47.2790,-0.7900,0.4000,47.2840
-11.986,-107.962,-24.023,-47.2780,-0.7900,0.3900,47.2890
-11.986,-107.962,-36.023,-47.2900,-0.7900,0.3900,47.2950
-11.986,-107.962,-48.023,-47.2980,-0.8100,0.3700,47.3060
0.014,-107.962,-48.023,-47.2940,-0.8000,0.3700,47.3020
0.014,-107.962,-36.023,-47.2870,-0.8000,0.3800,47.2960
0.014,-107.962,-24.023,-47.2840,-0.7900,0.3900,47.2920
0.014,-107.962,-12.023,-47.2780,-0.7800,0.4000,47.2860
0.014,-107.962,-0.023,-47.2740,-0.7800,0.4000,47.2840
0.014,-107.962,11.977,-47.2740,-0.7800,0.4100,47.2830
0.014,-107.962,23.977,-47.2850,-0.7900,0.4000,47.2880
0.014,-107.962,35.977,-47.2940,-0.7900,0.4000,47.2980
0.014,-107.962,47.977,-47.3070,-0.7800,0.4100,47.3150
12.014,-107.962,47.977,-47.3060,-0.8000,0.4100,47.3170
12.014,-107.962,35.977,-47.2980,-0.7900,0.4200,47.3070
12.014,-107.962,23.977,-47.2800,-0.8000,0.4100,47.2890
12.014,-107.962,11.977,-47.2720,-0.8000,0.4000,47.2800
12.014,-107.962,-0.023,-47.2640,-0.7900,0.4000,47.2720
12.014,-107.962,-12.023,-47.2690,-0.7800,0.4000,47.2770
12.014,-107.962,-24.023,-47.2700,-0.7800,0.3900,47.2770
12.014,-107.962,-36.023,-47.2790,-0.7900,0.3900,47.2900
12.014,-107.962,-48.023,-47.2770,-0.7800,0.3600,47.2850
24.014,-107.962,-36.023,-47.2770,-0.7800,0.3900,47.2850
24.014,-107.962,-24.023,-47.2610,-0.7800,0.4000,47.2710
24.014,-107.962,-12.023,-47.2590,-0.7900,0.4100,47.2670
24.014,-107.962,-0.023,-47.2660,-0.8000,0.4200,47.2740
24.014,-107.962,11.977,-47.2700,-0.8000,0.4200,47.2780
