# COSI2 B0 scan
# time 2024-07-22 16:00:06.323659
# MAGNET CENTER IN LAB: x 274.240 mm, y 171.450 mm, z 205.820 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240722/ball_3d_printed_shims_iter2_good_MRI_R120_5pts
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
226.240,219.450,109.820,-47.2990,-0.7800,0.3700,47.3070
250.240,219.450,109.820,-47.2930,-0.8000,0.3700,47.3010
274.240,219.450,109.820,-47.2760,-0.8000,0.3700,47.2850
298.240,219.450,109.820,-47.2570,-0.8000,0.3700,47.2650
322.240,219.450,109.820,-47.2630,-0.8000,0.3900,47.2670
322.240,195.450,109.820,-47.2710,-0.8100,0.4000,47.2790
298.240,195.450,109.820,-47.2890,-0.8300,0.4000,47.2980
274.240,195.450,109.820,-47.2860,-0.8200,0.3800,47.2990
250.240,195.450,109.820,-47.2750,-0.8100,0.3800,47.2830
226.240,195.450,109.820,-47.2670,-0.8100,0.3900,47.2750
226.240,171.450,109.820,-47.2720,-0.7900,0.3800,47.2800
250.240,171.450,109.820,-47.2850,-0.8000,0.3700,47.2920
274.240,171.450,109.820,-47.2920,-0.8000,0.3900,47.3000
298.240,171.450,109.820,-47.2720,-0.8000,0.3800,47.2810
322.240,171.450,109.820,-47.2660,-0.8000,0.3800,47.2750
322.240,147.450,109.820,-47.2610,-0.7900,0.3700,47.2720
298.240,147.450,109.820,-47.2710,-0.8100,0.3600,47.2800
274.240,147.450,109.820,-47.2610,-0.8000,0.3700,47.2690
250.240,147.450,109.820,-47.2600,-0.8000,0.3700,47.2650
226.240,147.450,109.820,-47.2570,-0.8100,0.3800,47.2650
226.240,123.450,109.820,-47.2690,-0.8100,0.3800,47.2780
250.240,123.450,109.820,-47.2880,-0.8100,0.3900,47.2940
274.240,123.450,109.820,-47.2920,-0.8100,0.4000,47.3010
298.240,123.450,109.820,-47.2650,-0.8200,0.4000,47.2740
322.240,123.450,109.820,-47.2470,-0.8100,0.4000,47.2520
226.240,99.450,133.820,-47.2440,-0.8200,0.3800,47.2540
250.240,99.450,133.820,-47.2760,-0.8400,0.4200,47.2850
274.240,99.450,133.820,-47.2650,-0.8300,0.4200,47.2740
298.240,99.450,133.820,-47.2530,-0.8400,0.4000,47.2620
322.240,99.450,133.820,-47.2380,-0.8200,0.3900,47.2470
346.240,123.450,133.820,-47.2380,-0.8000,0.3700,47.2460
322.240,123.450,133.820,-47.2350,-0.8000,0.3400,47.2430
298.240,123.450,133.820,-47.2660,-0.8100,0.3700,47.2740
274.240,123.450,133.820,-47.2470,-0.8100,0.3600,47.2570
250.240,123.450,133.820,-47.2540,-0.8100,0.3800,47.2640
226.240,123.450,133.820,-47.2600,-0.8300,0.3900,47.2690
202.240,123.450,133.820,-47.2720,-0.8100,0.3800,47.2800
202.240,147.450,133.820,-47.2860,-0.8200,0.4000,47.2950
226.240,147.450,133.820,-47.3100,-0.8100,0.3800,47.3180
250.240,147.450,133.820,-47.2900,-0.8100,0.3900,47.2990
274.240,147.450,133.820,-47.2910,-0.8100,0.3900,47.2990
298.240,147.450,133.820,-47.2730,-0.8100,0.3900,47.2820
322.240,147.450,133.820,-47.2600,-0.8100,0.3800,47.2680
346.240,147.450,133.820,-47.2620,-0.8000,0.3600,47.2720
346.240,171.450,133.820,-47.2660,-0.8100,0.3800,47.2750
322.240,171.450,133.820,-47.2620,-0.8100,0.3700,47.2700
298.240,171.450,133.820,-47.2710,-0.8100,0.3800,47.2780
274.240,171.450,133.820,-47.2660,-0.8100,0.3800,47.2770
250.240,171.450,133.820,-47.2680,-0.8000,0.3800,47.2760
226.240,171.450,133.820,-47.2680,-0.8100,0.3900,47.2750
202.240,171.450,133.820,-47.2820,-0.7900,0.3900,47.2930
