# COSI2 B0 scan,,,,,,
# time 2024-07-22 16:00:06.323659,,,,,,
# MAGNET CENTER IN LAB: x 274.240 mm, y 171.450 mm, z 205.820 mm,,,,
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240722/ball_3d_printed_shims_iter2_good_MRI_R120_5pts,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
226.24,219.45,109.82,-47.276,-0.8,0.37,47.285
250.24,219.45,109.82,-47.257,-0.8,0.37,47.265
274.24,219.45,109.82,-47.263,-0.8,0.39,47.267
298.24,219.45,109.82,-47.271,-0.81,0.4,47.279
322.24,219.45,109.82,-47.289,-0.83,0.4,47.298
322.24,195.45,109.82,-47.286,-0.82,0.38,47.299
298.24,195.45,109.82,-47.275,-0.81,0.38,47.283
274.24,195.45,109.82,-47.267,-0.81,0.39,47.275
250.24,195.45,109.82,-47.272,-0.79,0.38,47.28
226.24,195.45,109.82,-47.285,-0.8,0.37,47.292
226.24,171.45,109.82,-47.292,-0.8,0.39,47.3
250.24,171.45,109.82,-47.272,-0.8,0.38,47.281
274.24,171.45,109.82,-47.266,-0.8,0.38,47.275
298.24,171.45,109.82,-47.261,-0.79,0.37,47.272
322.24,171.45,109.82,-47.271,-0.81,0.36,47.28
322.24,147.45,109.82,-47.261,-0.8,0.37,47.269
298.24,147.45,109.82,-47.26,-0.8,0.37,47.265
274.24,147.45,109.82,-47.257,-0.81,0.38,47.265
250.24,147.45,109.82,-47.269,-0.81,0.38,47.278
226.24,147.45,109.82,-47.288,-0.81,0.39,47.294
226.24,123.45,109.82,-47.292,-0.81,0.4,47.301
250.24,123.45,109.82,-47.265,-0.82,0.4,47.274
274.24,123.45,109.82,-47.247,-0.81,0.4,47.252
298.24,123.45,109.82,-47.244,-0.82,0.38,47.254
322.24,123.45,109.82,-47.276,-0.84,0.42,47.285
226.24,99.45,133.82,-47.265,-0.83,0.42,47.274
250.24,99.45,133.82,-47.253,-0.84,0.4,47.262
274.24,99.45,133.82,-47.238,-0.82,0.39,47.247
298.24,99.45,133.82,-47.238,-0.8,0.37,47.246
322.24,99.45,133.82,-47.235,-0.8,0.34,47.243
346.24,123.45,133.82,-47.266,-0.81,0.37,47.274
322.24,123.45,133.82,-47.247,-0.81,0.36,47.257
298.24,123.45,133.82,-47.254,-0.81,0.38,47.264
274.24,123.45,133.82,-47.26,-0.83,0.39,47.269
250.24,123.45,133.82,-47.272,-0.81,0.38,47.28
226.24,123.45,133.82,-47.286,-0.82,0.4,47.295
202.24,123.45,133.82,-47.31,-0.81,0.38,47.318
202.24,147.45,133.82,-47.29,-0.81,0.39,47.299
226.24,147.45,133.82,-47.291,-0.81,0.39,47.299
250.24,147.45,133.82,-47.273,-0.81,0.39,47.282
274.24,147.45,133.82,-47.26,-0.81,0.38,47.268
298.24,147.45,133.82,-47.262,-0.8,0.36,47.272
322.24,147.45,133.82,-47.266,-0.81,0.38,47.275
346.24,147.45,133.82,-47.262,-0.81,0.37,47.27
346.24,171.45,133.82,-47.271,-0.81,0.38,47.278
322.24,171.45,133.82,-47.266,-0.81,0.38,47.277
298.24,171.45,133.82,-47.268,-0.8,0.38,47.276
274.24,171.45,133.82,-47.268,-0.81,0.39,47.275
250.24,171.45,133.82,-47.282,-0.79,0.39,47.293
226.24,171.45,133.82,-47.292,-0.79,0.39,47.3
202.24,171.45,133.82,-47.295,-0.79,0.38,47.303
202.24,195.45,133.82,-47.31,-0.78,0.38,47.314
226.24,195.45,133.82,-47.294,-0.81,0.38,47.302
250.24,195.45,133.82,-47.276,-0.81,0.37,47.285
274.24,195.45,133.82,-47.266,-0.8,0.38,47.278
298.24,195.45,133.82,-47.266,-0.81,0.38,47.274
322.24,195.45,133.82,-47.273,-0.81,0.38,47.281
346.24,195.45,133.82,-47.277,-0.82,0.39,47.284
346.24,219.45,133.82,-47.287,-0.81,0.42,47.3
322.24,219.45,133.82,-47.268,-0.82,0.41,47.277
298.24,219.45,133.82,-47.266,-0.8,0.39,47.275
274.24,219.45,133.82,-47.255,-0.8,0.38,47.264
250.24,219.45,133.82,-47.268,-0.79,0.36,47.276
226.24,219.45,133.82,-47.295,-0.8,0.36,47.303
202.24,219.45,133.82,-47.337,-0.79,0.36,47.342
226.24,243.45,133.82,-47.268,-0.8,0.32,47.274
250.24,243.45,133.82,-47.244,-0.8,0.36,47.252
274.24,243.45,133.82,-47.243,-0.8,0.38,47.251
298.24,243.45,133.82,-47.243,-0.8,0.41,47.25
322.24,243.45,133.82,-47.244,-0.83,0.37,47.253
226.24,267.45,157.82,-47.248,-0.82,0.37,47.257
