# COSI2 B0 scan
# time 2024-07-22 17:52:44.166829
# MAGNET CENTER IN LAB: x 274.240 mm, y 171.450 mm, z 205.820 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240722/ball_R120_10pts
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
286.240,219.450,97.820,-47.2740,-0.7900,0.4200,47.2830
274.240,219.450,97.820,-47.2770,-0.8000,0.4100,47.2860
262.240,219.450,97.820,-47.2640,-0.7900,0.4000,47.2730
238.240,207.450,97.820,-47.2650,-0.7800,0.4000,47.2730
250.240,207.450,97.820,-47.2750,-0.7900,0.3900,47.2760
262.240,207.450,97.820,-47.2770,-0.7900,0.3900,47.2850
274.240,207.450,97.820,-47.2660,-0.7900,0.3900,47.2740
286.240,207.450,97.820,-47.2750,-0.7900,0.3900,47.2780
298.240,207.450,97.820,-47.2780,-0.7900,0.4100,47.2860
310.240,207.450,97.820,-47.2860,-0.7900,0.4000,47.2940
310.240,195.450,97.820,-47.2980,-0.8100,0.4100,47.3070
298.240,195.450,97.820,-47.2960,-0.8100,0.4000,47.3050
286.240,195.450,97.820,-47.2910,-0.7900,0.3900,47.3000
274.240,195.450,97.820,-47.2820,-0.7800,0.3900,47.2910
262.240,195.450,97.820,-47.2760,-0.7800,0.3900,47.2840
250.240,195.450,97.820,-47.2730,-0.7800,0.3900,47.2840
238.240,195.450,97.820,-47.2770,-0.7900,0.3900,47.2860
226.240,183.450,97.820,-47.2870,-0.7900,0.3900,47.2960
238.240,183.450,97.820,-47.3000,-0.7900,0.3800,47.3090
250.240,183.450,97.820,-47.2940,-0.7900,0.4000,47.3020
262.240,183.450,97.820,-47.2890,-0.7900,0.3900,47.2980
274.240,183.450,97.820,-47.2730,-0.7800,0.3900,47.2810
286.240,183.450,97.820,-47.2750,-0.7900,0.3900,47.2830
298.240,183.450,97.820,-47.2790,-0.7900,0.4000,47.2840
310.240,183.450,97.820,-47.2780,-0.7900,0.3900,47.2890
322.240,183.450,97.820,-47.2900,-0.7900,0.3900,47.2950
322.240,171.450,97.820,-47.2980,-0.8100,0.3700,47.3060
310.240,171.450,97.820,-47.2940,-0.8000,0.3700,47.3020
298.240,171.450,97.820,-47.2870,-0.8000,0.3800,47.2960
286.240,171.450,97.820,-47.2840,-0.7900,0.3900,47.2920
274.240,171.450,97.820,-47.2780,-0.7800,0.4000,47.2860
262.240,171.450,97.820,-47.2740,-0.7800,0.4000,47.2840
250.240,171.450,97.820,-47.2740,-0.7800,0.4100,47.2830
238.240,171.450,97.820,-47.2850,-0.7900,0.4000,47.2880
226.240,171.450,97.820,-47.2940,-0.7900,0.4000,47.2980
226.240,159.450,97.820,-47.3070,-0.7800,0.4100,47.3150
238.240,159.450,97.820,-47.3060,-0.8000,0.4100,47.3170
250.240,159.450,97.820,-47.2980,-0.7900,0.4200,47.3070
