# COSI2 B0 scan,,,,,,
# time 2024-07-22 17:52:44.166829,,,,,,
# MAGNET CENTER IN LAB: x 274.240 mm, y 171.450 mm, z 205.820 mm,,,,
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240722/ball_R120_10pts,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
286.24,219.45,97.82,-47.277,-0.8,0.41,47.286
274.24,219.45,97.82,-47.264,-0.79,0.4,47.273
262.24,219.45,97.82,-47.265,-0.78,0.4,47.273
238.24,207.45,97.82,-47.275,-0.79,0.39,47.276
250.24,207.45,97.82,-47.277,-0.79,0.39,47.285
262.24,207.45,97.82,-47.266,-0.79,0.39,47.274
274.24,207.45,97.82,-47.275,-0.79,0.39,47.278
286.24,207.45,97.82,-47.278,-0.79,0.41,47.286
298.24,207.45,97.82,-47.286,-0.79,0.4,47.294
310.24,207.45,97.82,-47.298,-0.81,0.41,47.307
310.24,195.45,97.82,-47.296,-0.81,0.4,47.305
298.24,195.45,97.82,-47.291,-0.79,0.39,47.3
286.24,195.45,97.82,-47.282,-0.78,0.39,47.291
274.24,195.45,97.82,-47.276,-0.78,0.39,47.284
262.24,195.45,97.82,-47.273,-0.78,0.39,47.284
250.24,195.45,97.82,-47.277,-0.79,0.39,47.286
238.24,195.45,97.82,-47.287,-0.79,0.39,47.296
226.24,183.45,97.82,-47.3,-0.79,0.38,47.309
238.24,183.45,97.82,-47.294,-0.79,0.4,47.302
250.24,183.45,97.82,-47.289,-0.79,0.39,47.298
262.24,183.45,97.82,-47.273,-0.78,0.39,47.281
274.24,183.45,97.82,-47.275,-0.79,0.39,47.283
286.24,183.45,97.82,-47.279,-0.79,0.4,47.284
298.24,183.45,97.82,-47.278,-0.79,0.39,47.289
310.24,183.45,97.82,-47.29,-0.79,0.39,47.295
322.24,183.45,97.82,-47.298,-0.81,0.37,47.306
322.24,171.45,97.82,-47.294,-0.8,0.37,47.302
310.24,171.45,97.82,-47.287,-0.8,0.38,47.296
298.24,171.45,97.82,-47.284,-0.79,0.39,47.292
286.24,171.45,97.82,-47.278,-0.78,0.4,47.286
