# COSI2 B0 scan
# time 2024-07-24 14:30:00.910611
# MAGNET CENTER IN LAB: x 210.500 mm, y 190.450 mm, z 179.960 mm
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 0.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240724/ball_magnet_V3_R130_10pts
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
223.500,242.450,62.960,-38.9810,-3.0300,1.8300,39.1410
210.500,242.450,62.960,-38.9800,-3.0200,1.8200,39.1410
197.500,242.450,62.960,-38.8180,-2.6800,0.7800,38.9330
171.500,229.450,62.960,-38.8760,-2.2900,-0.5700,38.9200
184.500,229.450,62.960,-39.6760,-1.8600,-1.8400,39.7620
197.500,229.450,62.960,-41.1320,-1.5800,-2.1700,41.2190
210.500,229.450,62.960,-40.2600,-2.1300,-0.9800,40.3280
223.500,229.450,62.960,-39.9470,-2.6000,0.0900,40.0320
236.500,229.450,62.960,-40.0160,-3.0700,1.0300,40.1470
249.500,229.450,62.960,-40.3930,-3.6000,1.9400,40.5990
249.500,216.450,62.960,-41.0550,-4.2500,2.7800,41.3680
236.500,216.450,62.960,-41.7090,-4.1100,1.7600,41.9480
223.500,216.450,62.960,-41.3910,-3.6500,1.2500,41.5700
210.500,216.450,62.960,-40.9190,-3.2100,0.7700,41.0520
197.500,216.450,62.960,-40.6760,-2.8000,0.2100,40.7730
184.500,216.450,62.960,-40.7270,-2.4600,-0.3800,40.7770
171.500,216.450,62.960,-41.0970,-2.1400,-0.9600,41.1060
158.500,203.450,62.960,-41.7120,-1.8800,-1.4400,41.6870
171.500,203.450,62.960,-42.4780,-1.8200,-1.5400,42.5450
184.500,203.450,62.960,-42.5090,-1.9400,-1.2100,42.5710
197.500,203.450,62.960,-41.8190,-2.1800,-0.8200,41.8840
210.500,203.450,62.960,-41.3360,-2.4500,-0.4300,41.4110
223.500,203.450,62.960,-41.1160,-2.7300,-0.0600,41.2110
236.500,203.450,62.960,-41.1770,-3.0400,0.2800,41.2600
249.500,203.450,62.960,-41.4900,-3.3500,0.5500,41.5760
262.500,203.450,62.960,-41.9470,-3.7000,0.8000,42.1170
262.500,190.450,62.960,-42.6250,-4.0300,1.0400,42.8280
249.500,190.450,62.960,-43.0160,-4.1100,0.3900,43.2130
236.500,190.450,62.960,-42.5290,-3.8200,0.1100,42.7000
223.500,190.450,62.960,-41.9010,-3.4800,0.0600,42.0450
210.500,190.450,62.960,-41.5040,-3.1600,0.0000,41.6240
197.500,190.450,62.960,-41.3440,-2.8200,-0.1100,41.4520
184.500,190.450,62.960,-41.4340,-2.5200,-0.2300,41.4870
171.500,190.450,62.960,-41.7770,-2.2500,-0.3700,41.7830
158.500,190.450,62.960,-42.2810,-1.9600,-0.5200,42.3290
158.500,177.450,62.960,-43.0810,-1.6600,-0.7000,43.1190
171.500,177.450,62.960,-43.4660,-1.5100,-0.0100,43.4920
184.500,177.450,62.960,-42.8510,-1.7800,0.1200,42.8880
197.500,177.450,62.960,-42.1060,-2.0900,0.0200,42.1580
210.500,177.450,62.960,-41.5870,-2.4000,-0.1000,41.6560
223.500,177.450,62.960,-41.3520,-2.7200,-0.2100,41.4420
236.500,177.450,62.960,-41.3600,-3.0600,-0.3300,41.4600
249.500,177.450,62.960,-41.5990,-3.3600,-0.4900,41.7010
262.500,177.450,62.960,-41.9940,-3.6800,-0.6400,42.1600
249.500,164.450,62.960,-42.6740,-3.9900,-0.8500,42.8680
236.500,164.450,62.960,-42.4080,-3.8700,-1.2000,42.6010
223.500,164.450,62.960,-41.5610,-3.5800,-1.0700,41.7280
210.500,164.450,62.960,-41.2040,-3.2200,-0.7400,41.3350
197.500,164.450,62.960,-41.0660,-2.8300,-0.3700,41.1650
184.500,164.450,62.960,-41.1840,-2.4800,-0.0200,41.2340
171.500,164.450,62.960,-41.5950,-2.1400,0.2700,41.5850
171.500,151.450,62.960,-42.2560,-1.8100,0.5800,42.2050
