# COSI2 B0 scan
# time 2024-08-14 09:39:10.606114
# MAGNET CENTER IN LAB: x 232.800 mm, y 187.460 mm, z 301.290 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240731/240814_sphere_no_inserts_14pts
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
252.610,187.460,419.640,-47.5490,-0.9700,-0.6700,47.5620
250.650,196.050,419.640,-47.5460,-0.9700,-0.6800,47.5620
245.150,202.950,419.640,-47.5430,-0.9500,-0.6600,47.5570
237.210,206.770,419.640,-47.5260,-0.9400,-0.6400,47.5400
228.390,206.770,419.640,-47.5060,-0.9300,-0.6400,47.5190
220.450,202.950,419.640,-47.4830,-0.9200,-0.6600,47.4970
214.950,196.050,419.640,-47.4650,-0.9300,-0.6600,47.4780
212.990,187.460,419.640,-47.4570,-0.9200,-0.6800,47.4690
214.950,178.870,419.640,-47.4620,-0.9500,-0.6800,47.4770
220.450,171.970,419.640,-47.4650,-0.9700,-0.7000,47.4820
228.390,168.150,419.640,-47.4750,-0.9900,-0.6800,47.4890
237.210,168.150,419.640,-47.4890,-1.0100,-0.6900,47.5030
245.150,171.970,419.640,-47.5050,-1.0100,-0.6900,47.5210
250.650,178.870,419.640,-47.5210,-1.0000,-0.7000,47.5370
277.380,187.460,412.700,-47.5400,-1.0000,-0.6900,47.5550
272.960,206.800,412.700,-47.5580,-0.9700,-0.6800,47.5730
260.590,222.310,412.700,-47.5960,-0.9400,-0.6400,47.6100
242.720,230.920,412.700,-47.5830,-0.9100,-0.5900,47.5960
222.880,230.920,412.700,-47.5420,-0.8900,-0.5500,47.5540
205.010,222.310,412.700,-47.4920,-0.8900,-0.5600,47.5040
192.640,206.800,412.700,-47.4590,-0.8800,-0.5800,47.4710
188.220,187.460,412.700,-47.4400,-0.8500,-0.6300,47.4500
192.640,168.120,412.700,-47.4280,-0.8500,-0.6700,47.4400
205.010,152.610,412.700,-47.4360,-0.8900,-0.6800,47.4490
222.880,144.000,412.700,-47.4520,-0.9400,-0.6700,47.4660
242.720,144.000,412.700,-47.4580,-0.9900,-0.6700,47.4730
260.590,152.610,412.700,-47.4860,-1.0400,-0.6600,47.4980
272.960,168.120,412.700,-47.5080,-1.0500,-0.6700,47.5260
300.230,187.460,400.550,-47.5340,-1.0300,-0.6800,47.5500
293.550,216.720,400.550,-47.5720,-0.9900,-0.6800,47.5870
274.840,240.180,400.550,-47.6170,-0.9300,-0.6200,47.6300
247.800,253.200,400.550,-47.6020,-0.8900,-0.5200,47.6120
217.800,253.200,400.550,-47.5370,-0.8800,-0.4600,47.5470
190.760,240.180,400.550,-47.4610,-0.9000,-0.4700,47.4720
172.050,216.720,400.550,-47.4360,-0.8900,-0.5500,47.4470
165.370,187.460,400.550,-47.4700,-0.8300,-0.5800,47.4810
172.050,158.200,400.550,-47.4590,-0.7800,-0.6200,47.4700
190.760,134.740,400.550,-47.4800,-0.8100,-0.6700,47.4920
217.800,121.720,400.550,-47.4730,-0.8700,-0.6600,47.4850
247.800,121.720,400.550,-47.4850,-0.9900,-0.6300,47.5000
274.840,134.740,400.550,-47.4750,-1.0400,-0.6100,47.4880
293.550,158.200,400.550,-47.4960,-1.0500,-0.6600,47.5120
319.970,187.460,383.770,-47.5590,-1.0400,-0.6600,47.5770
311.330,225.280,383.770,-47.5890,-1.0200,-0.6600,47.6050
287.150,255.610,383.770,-47.6410,-0.9400,-0.5800,47.6540
252.200,272.440,383.770,-47.6170,-0.9200,-0.4700,47.6280
213.400,272.440,383.770,-47.5100,-0.9300,-0.3500,47.5200
178.450,255.610,383.770,-47.4170,-0.9600,-0.4200,47.4280
154.270,225.280,383.770,-47.4010,-0.8900,-0.5300,47.4120
145.630,187.460,383.770,-47.5050,-0.8700,-0.6100,47.5170
154.270,149.640,383.770,-47.5500,-0.7600,-0.5800,47.5600
178.450,119.310,383.770,-47.5910,-0.7800,-0.6400,47.6020
213.400,102.480,383.770,-47.5580,-0.8500,-0.6500,47.5700
252.200,102.480,383.770,-47.5330,-0.9700,-0.5400,47.5460
287.150,119.310,383.770,-47.4600,-0.9900,-0.5600,47.4740
311.330,149.640,383.770,-47.4790,-1.0600,-0.6300,47.4950
