# COSI2 B0 scan
# time 2024-08-14 15:28:45.739809
# MAGNET CENTER IN LAB: x 232.800 mm, y 187.460 mm, z 301.290 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240731/240815_ball_R120_4pts_one_insert_in_the_air
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
262.800,247.460,211.290,-0.0050,0.1100,0.0500,0.1200
232.800,247.460,211.290,-0.0010,0.1000,0.0500,0.1090
202.800,247.460,211.290,-0.0020,0.0900,0.0500,0.1030
172.800,217.460,211.290,-0.0010,0.0900,0.0600,0.1200
202.800,217.460,211.290,-0.0010,0.1000,0.0600,0.1190
232.800,217.460,211.290,0.0010,0.1000,0.0500,0.1110
262.800,217.460,211.290,-0.0020,0.1000,0.0400,0.1100
292.800,217.460,211.290,-0.0010,0.1000,0.0500,0.1110
292.800,187.460,211.290,-0.0030,0.1000,0.0500,0.1110
262.800,187.460,211.290,-0.0070,0.1000,0.0500,0.1140
232.800,187.460,211.290,-0.0020,0.1100,0.0400,0.1140
202.800,187.460,211.290,0.0010,0.1000,0.0500,0.1110
172.800,187.460,211.290,0.0000,0.0900,0.0500,0.1060
172.800,157.460,211.290,-0.0010,0.0900,0.0500,0.1020
202.800,157.460,211.290,0.0030,0.0900,0.0500,0.1050
232.800,157.460,211.290,-0.0010,0.1000,0.0400,0.1140
262.800,157.460,211.290,0.0000,0.1000,0.0500,0.1200
292.800,157.460,211.290,-0.0050,0.0900,0.0500,0.1030
262.800,127.460,211.290,0.0000,0.1000,0.0400,0.1090
232.800,127.460,211.290,-0.0010,0.1000,0.0500,0.1120
202.800,127.460,211.290,0.0050,0.1000,0.0500,0.1150
262.800,97.460,241.290,-0.0020,0.1000,0.0500,0.1110
232.800,97.460,241.290,0.0010,0.0900,0.0400,0.1030
202.800,97.460,241.290,0.0000,0.1000,0.0600,0.1190
172.800,127.460,241.290,-0.0010,0.0900,0.0400,0.0990
202.800,127.460,241.290,-0.0010,0.0900,0.0500,0.1090
232.800,127.460,241.290,0.0120,0.1000,0.0500,0.1150
262.800,127.460,241.290,0.0000,0.1000,0.0500,0.1060
292.800,127.460,241.290,-0.0010,0.1000,0.0400,0.1080
322.800,157.460,241.290,-0.0010,0.1000,0.0400,0.1060
292.800,157.460,241.290,-0.0010,0.1000,0.0500,0.1140
262.800,157.460,241.290,-0.0100,0.1000,0.0500,0.1080
232.800,157.460,241.290,-0.0080,0.0900,0.0400,0.1040
202.800,157.460,241.290,-0.0030,0.1000,0.0500,0.1050
172.800,157.460,241.290,-0.0020,0.1000,0.0600,0.1130
142.800,157.460,241.290,0.0020,0.0900,0.0500,0.1050
142.800,187.460,241.290,0.0070,0.0900,0.0500,0.1080
172.800,187.460,241.290,0.0030,0.1000,0.0500,0.1090
202.800,187.460,241.290,0.0030,0.0900,0.0500,0.1070
232.800,187.460,241.290,0.0020,0.0900,0.0600,0.1120
262.800,187.460,241.290,0.0000,0.1100,0.0600,0.1220
292.800,187.460,241.290,-0.0010,0.0900,0.0500,0.1050
322.800,187.460,241.290,-0.0110,0.1000,0.0400,0.1100
322.800,217.460,241.290,-0.0080,0.1000,0.0500,0.1170
292.800,217.460,241.290,-0.0170,0.1000,0.0400,0.1120
262.800,217.460,241.290,-0.0140,0.1100,0.0500,0.1160
232.800,217.460,241.290,-0.0020,0.1000,0.0500,0.1100
