# COSI2 B0 scan
# time 2024-08-14 16:02:04.778297
# MAGNET CENTER IN LAB: x 232.800 mm, y 187.460 mm, z 301.290 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240731/240815_strong_magnet_at_R0I3_ball_R120_5pts
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
184.800,235.460,205.290,-0.0910,0.1000,-0.0200,0.1310
208.800,235.460,205.290,-0.0880,0.1000,-0.0200,0.1380
232.800,235.460,205.290,-0.0980,0.1100,-0.0300,0.1500
256.800,235.460,205.290,-0.1090,0.1300,-0.0300,0.1660
280.800,235.460,205.290,-0.1280,0.1500,-0.0300,0.1970
280.800,211.460,205.290,-0.1510,0.1700,-0.0500,0.2380
256.800,211.460,205.290,-0.1760,0.2300,-0.0700,0.2950
232.800,211.460,205.290,-0.1520,0.2100,-0.0900,0.2740
208.800,211.460,205.290,-0.1320,0.1700,-0.0800,0.2280
184.800,211.460,205.290,-0.1190,0.1400,-0.0600,0.1900
184.800,187.460,205.290,-0.0980,0.1100,-0.0400,0.1490
208.800,187.460,205.290,-0.0830,0.0900,-0.0300,0.1270
232.800,187.460,205.290,-0.0770,0.0900,-0.0400,0.1290
256.800,187.460,205.290,-0.0870,0.1100,-0.0500,0.1470
280.800,187.460,205.290,-0.1040,0.1200,-0.0600,0.1740
280.800,163.460,205.290,-0.1120,0.1500,-0.0800,0.2060
256.800,163.460,205.290,-0.1240,0.1900,-0.1100,0.2420
232.800,163.460,205.290,-0.0980,0.1600,-0.1200,0.2240
208.800,163.460,205.290,-0.0890,0.1300,-0.0900,0.1830
184.800,163.460,205.290,-0.0870,0.1100,-0.0800,0.1610
184.800,139.460,205.290,-0.0720,0.1000,-0.0600,0.1370
208.800,139.460,205.290,-0.0610,0.1000,-0.0400,0.1170
232.800,139.460,205.290,-0.0560,0.0800,-0.0500,0.1110
256.800,139.460,205.290,-0.0590,0.0900,-0.0600,0.1190
280.800,139.460,205.290,-0.0660,0.1000,-0.0700,0.1380
184.800,115.460,229.290,-0.0710,0.1200,-0.1000,0.1690
208.800,115.460,229.290,-0.0560,0.0800,-0.0600,0.1140
232.800,115.460,229.290,-0.0520,0.0800,-0.0600,0.1100
256.800,115.460,229.290,-0.0580,0.0900,-0.0600,0.1220
280.800,115.460,229.290,-0.0620,0.0900,-0.0800,0.1360
304.800,139.460,229.290,-0.0610,0.1100,-0.1000,0.1580
280.800,139.460,229.290,-0.0580,0.1100,-0.1300,0.1790
256.800,139.460,229.290,-0.0880,0.1500,-0.1600,0.2380
232.800,139.460,229.290,-0.0900,0.1300,-0.1400,0.2070
208.800,139.460,229.290,-0.0900,0.1200,-0.1100,0.1820
184.800,139.460,229.290,-0.0830,0.1000,-0.0800,0.1490
160.800,139.460,229.290,-0.0690,0.0800,-0.0600,0.1270
160.800,163.460,229.290,-0.0640,0.0700,-0.0500,0.1100
184.800,163.460,229.290,-0.0530,0.0600,-0.0400,0.0940
208.800,163.460,229.290,-0.0650,0.0800,-0.0400,0.1080
232.800,163.460,229.290,-0.0750,0.0800,-0.0500,0.1210
256.800,163.460,229.290,-0.0890,0.1000,-0.0600,0.1440
280.800,163.460,229.290,-0.0980,0.1100,-0.0800,0.1690
304.800,163.460,229.290,-0.1140,0.1200,-0.1100,0.2090
304.800,187.460,229.290,-0.1240,0.1500,-0.1400,0.2420
280.800,187.460,229.290,-0.1410,0.1900,-0.1900,0.3030
256.800,187.460,229.290,-0.1810,0.2300,-0.1800,0.3410
232.800,187.460,229.290,-0.1620,0.1800,-0.1300,0.2730
208.800,187.460,229.290,-0.1430,0.1400,-0.1000,0.2250
184.800,187.460,229.290,-0.1200,0.1100,-0.0800,0.1810
160.800,187.460,229.290,-0.1020,0.1100,-0.0500,0.1570
160.800,211.460,229.290,-0.0860,0.0900,-0.0400,0.1290
184.800,211.460,229.290,-0.0710,0.0700,-0.0400,0.1090
208.800,211.460,229.290,-0.0810,0.0800,-0.0300,0.1140
232.800,211.460,229.290,-0.1000,0.1000,-0.0400,0.1460
256.800,211.460,229.290,-0.1160,0.1000,-0.0500,0.1620
280.800,211.460,229.290,-0.1470,0.1400,-0.0600,0.1940
304.800,211.460,229.290,-0.1690,0.1600,-0.0900,0.2440
304.800,235.460,229.290,-0.2010,0.2100,-0.1100,0.3080
280.800,235.460,229.290,-0.2300,0.2600,-0.1700,0.3870
256.800,235.460,229.290,-0.2820,0.3000,-0.1200,0.4230
232.800,235.460,229.290,-0.2320,0.2300,-0.0900,0.3390
208.800,235.460,229.290,-0.1910,0.1700,-0.0600,0.2610
184.800,235.460,229.290,-0.1550,0.1400,-0.0400,0.2130
160.800,235.460,229.290,-0.1310,0.1200,-0.0300,0.1800
184.800,259.460,229.290,-0.1000,0.1000,-0.0200,0.1450
208.800,259.460,229.290,-0.0890,0.0900,-0.0100,0.1260
232.800,259.460,229.290,-0.1120,0.0900,-0.0100,0.1430
256.800,259.460,229.290,-0.1380,0.1100,-0.0100,0.1780
280.800,259.460,229.290,-0.1650,0.1400,-0.0200,0.2160
184.800,283.460,253.290,-0.2040,0.1800,-0.0300,0.2730
208.800,283.460,253.290,-0.1280,0.0800,0.0100,0.1560
232.800,283.460,253.290,-0.1330,0.1000,0.0000,0.1690
256.800,283.460,253.290,-0.1600,0.1100,0.0100,0.1950
280.800,283.460,253.290,-0.2010,0.1200,0.0100,0.2330
304.800,259.460,253.290,-0.2530,0.1600,0.0100,0.3020
280.800,259.460,253.290,-0.3320,0.2200,0.0000,0.3980
256.800,259.460,253.290,-0.4130,0.3000,-0.0700,0.5180
232.800,259.460,253.290,-0.3160,0.2200,-0.0500,0.3880
208.800,259.460,253.290,-0.2540,0.1600,-0.0300,0.3040
184.800,259.460,253.290,-0.1940,0.1200,-0.0200,0.2320
160.800,259.460,253.290,-0.1550,0.1000,-0.0100,0.1850
136.800,235.460,253.290,-0.1250,0.0800,-0.0100,0.1460
160.800,235.460,253.290,-0.1010,0.0700,0.0000,0.1240
184.800,235.460,253.290,-0.0770,0.0600,-0.0100,0.1000
208.800,235.460,253.290,-0.0940,0.0800,-0.0200,0.1220
232.800,235.460,253.290,-0.1150,0.0900,-0.0300,0.1390
256.800,235.460,253.290,-0.1500,0.1000,-0.0300,0.1820
280.800,235.460,253.290,-0.1760,0.1200,-0.0500,0.2210
304.800,235.460,253.290,-0.2350,0.1600,-0.0700,0.2920
328.800,235.460,253.290,-0.3020,0.2000,-0.1100,0.3840
328.800,211.460,253.290,-0.3800,0.2900,-0.1600,0.4980
304.800,211.460,253.290,-0.4780,0.4100,-0.2300,0.6740
280.800,211.460,253.290,-0.3730,0.3500,-0.2900,0.5870
256.800,211.460,253.290,-0.3080,0.2500,-0.2000,0.4480
232.800,211.460,253.290,-0.2520,0.1700,-0.1500,0.3400
208.800,211.460,253.290,-0.2040,0.1400,-0.1100,0.2710
184.800,211.460,253.290,-0.1570,0.1000,-0.0700,0.1980
160.800,211.460,253.290,-0.1330,0.0900,-0.0500,0.1660
136.800,211.460,253.290,-0.1160,0.0800,-0.0300,0.1460
136.800,187.460,253.290,-0.0850,0.0700,-0.0300,0.1140
160.800,187.460,253.290,-0.0710,0.0600,-0.0300,0.0980
184.800,187.460,253.290,-0.0690,0.0600,-0.0300,0.0930
208.800,187.460,253.290,-0.0780,0.0600,-0.0300,0.1020
232.800,187.460,253.290,-0.1010,0.0800,-0.0400,0.1330
256.800,187.460,253.290,-0.1130,0.0800,-0.0600,0.1520
280.800,187.460,253.290,-0.1420,0.1000,-0.0900,0.1910
304.800,187.460,253.290,-0.1710,0.1300,-0.1100,0.2410
328.800,187.460,253.290,-0.2020,0.1600,-0.1600,0.3060
328.800,163.460,253.290,-0.2320,0.2200,-0.2200,0.3870
304.800,163.460,253.290,-0.2590,0.2900,-0.3200,0.4990
280.800,163.460,253.290,-0.1740,0.2200,-0.2800,0.4060
256.800,163.460,253.290,-0.1670,0.1800,-0.2100,0.3220
232.800,163.460,253.290,-0.1560,0.1400,-0.1700,0.2680
208.800,163.460,253.290,-0.1310,0.1100,-0.1100,0.2070
184.800,163.460,253.290,-0.1120,0.1000,-0.1000,0.1760
160.800,163.460,253.290,-0.0980,0.0800,-0.0600,0.1550
136.800,163.460,253.290,-0.0800,0.0700,-0.0500,0.1260
136.800,139.460,253.290,-0.0710,0.0700,-0.0500,0.1090
160.800,139.460,253.290,-0.0610,0.0600,-0.0300,0.0880
184.800,139.460,253.290,-0.0540,0.0600,-0.0400,0.0900
208.800,139.460,253.290,-0.0630,0.0700,-0.0400,0.1030
232.800,139.460,253.290,-0.0710,0.0600,-0.0600,0.1160
256.800,139.460,253.290,-0.0850,0.0800,-0.0700,0.1310
280.800,139.460,253.290,-0.0940,0.0900,-0.1000,0.1620
304.800,139.460,253.290,-0.1010,0.1000,-0.1100,0.1800
328.800,139.460,253.290,-0.1060,0.1200,-0.1600,0.2240
304.800,115.460,253.290,-0.1150,0.1500,-0.2000,0.2740
280.800,115.460,253.290,-0.1020,0.1600,-0.2600,0.3230
256.800,115.460,253.290,-0.0730,0.1200,-0.1700,0.2220
232.800,115.460,253.290,-0.0760,0.1000,-0.1400,0.1860
208.800,115.460,253.290,-0.0740,0.1000,-0.1100,0.1610
184.800,115.460,253.290,-0.0710,0.0800,-0.0800,0.1360
160.800,115.460,253.290,-0.0650,0.0700,-0.0700,0.1170
184.800,91.460,253.290,-0.0600,0.0600,-0.0500,0.1070
208.800,91.460,253.290,-0.0520,0.0600,-0.0500,0.0890
232.800,91.460,253.290,-0.0510,0.0600,-0.0600,0.0980
256.800,91.460,253.290,-0.0460,0.0700,-0.0700,0.1080
280.800,91.460,253.290,-0.0520,0.0700,-0.0800,0.1190
280.800,91.460,277.290,-0.0530,0.0700,-0.1100,0.1390
256.800,91.460,277.290,-0.0450,0.1000,-0.1200,0.1610
232.800,91.460,277.290,-0.0570,0.0800,-0.1400,0.1700
208.800,91.460,277.290,-0.0600,0.0700,-0.1100,0.1390
184.800,91.460,277.290,-0.0540,0.0600,-0.0900,0.1220
160.800,115.460,277.290,-0.0510,0.0600,-0.0700,0.1040
184.800,115.460,277.290,-0.0460,0.0600,-0.0500,0.0940
208.800,115.460,277.290,-0.0520,0.0500,-0.0400,0.0800
232.800,115.460,277.290,-0.0580,0.0600,-0.0600,0.1030
256.800,115.460,277.290,-0.0680,0.0700,-0.0800,0.1220
280.800,115.460,277.290,-0.0730,0.0600,-0.0900,0.1350
304.800,115.460,277.290,-0.0860,0.0800,-0.1200,0.1650
328.800,139.460,277.290,-0.0870,0.0800,-0.1500,0.1940
304.800,139.460,277.290,-0.0900,0.0900,-0.1900,0.2320
280.800,139.460,277.290,-0.1300,0.1400,-0.2900,0.3480
