# COSI2 B0 scan,,,,,,
# time 2024-08-14 16:02:04.778297,,,,,,
# MAGNET CENTER IN LAB: x 232.800 mm, y 187.460 mm, z 301.290 mm,,,,
# MAGNET AXES WRT LAB: alpha 0.00 deg, beta 0.00 deg, gamma 0.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240731/240815_strong_magnet_at_R0I3_ball_R120_5pts,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
184.8,235.46,205.29,-0.098,0.11,-0.03,0.15
208.8,235.46,205.29,-0.109,0.13,-0.03,0.166
232.8,235.46,205.29,-0.128,0.15,-0.03,0.197
256.8,235.46,205.29,-0.151,0.17,-0.05,0.238
280.8,235.46,205.29,-0.176,0.23,-0.07,0.295
280.8,211.46,205.29,-0.152,0.21,-0.09,0.274
256.8,211.46,205.29,-0.132,0.17,-0.08,0.228
232.8,211.46,205.29,-0.119,0.14,-0.06,0.19
208.8,211.46,205.29,-0.098,0.11,-0.04,0.149
184.8,211.46,205.29,-0.083,0.09,-0.03,0.127
184.8,187.46,205.29,-0.077,0.09,-0.04,0.129
208.8,187.46,205.29,-0.087,0.11,-0.05,0.147
232.8,187.46,205.29,-0.104,0.12,-0.06,0.174
256.8,187.46,205.29,-0.112,0.15,-0.08,0.206
280.8,187.46,205.29,-0.124,0.19,-0.11,0.242
280.8,163.46,205.29,-0.098,0.16,-0.12,0.224
256.8,163.46,205.29,-0.089,0.13,-0.09,0.183
232.8,163.46,205.29,-0.087,0.11,-0.08,0.161
208.8,163.46,205.29,-0.072,0.1,-0.06,0.137
184.8,163.46,205.29,-0.061,0.1,-0.04,0.117
184.8,139.46,205.29,-0.056,0.08,-0.05,0.111
208.8,139.46,205.29,-0.059,0.09,-0.06,0.119
232.8,139.46,205.29,-0.066,0.1,-0.07,0.138
256.8,139.46,205.29,-0.071,0.12,-0.1,0.169
280.8,139.46,205.29,-0.056,0.08,-0.06,0.114
184.8,115.46,229.29,-0.052,0.08,-0.06,0.11
208.8,115.46,229.29,-0.058,0.09,-0.06,0.122
232.8,115.46,229.29,-0.062,0.09,-0.08,0.136
256.8,115.46,229.29,-0.061,0.11,-0.1,0.158
280.8,115.46,229.29,-0.058,0.11,-0.13,0.179
304.8,139.46,229.29,-0.088,0.15,-0.16,0.238
280.8,139.46,229.29,-0.09,0.13,-0.14,0.207
256.8,139.46,229.29,-0.09,0.12,-0.11,0.182
232.8,139.46,229.29,-0.083,0.1,-0.08,0.149
208.8,139.46,229.29,-0.069,0.08,-0.06,0.127
184.8,139.46,229.29,-0.064,0.07,-0.05,0.11
160.8,139.46,229.29,-0.053,0.06,-0.04,0.094
160.8,163.46,229.29,-0.065,0.08,-0.04,0.108
184.8,163.46,229.29,-0.075,0.08,-0.05,0.121
208.8,163.46,229.29,-0.089,0.1,-0.06,0.144
232.8,163.46,229.29,-0.098,0.11,-0.08,0.169
256.8,163.46,229.29,-0.114,0.12,-0.11,0.209
280.8,163.46,229.29,-0.124,0.15,-0.14,0.242
304.8,163.46,229.29,-0.141,0.19,-0.19,0.303
304.8,187.46,229.29,-0.181,0.23,-0.18,0.341
280.8,187.46,229.29,-0.162,0.18,-0.13,0.273
256.8,187.46,229.29,-0.143,0.14,-0.1,0.225
232.8,187.46,229.29,-0.12,0.11,-0.08,0.181
208.8,187.46,229.29,-0.102,0.11,-0.05,0.157
184.8,187.46,229.29,-0.086,0.09,-0.04,0.129
160.8,187.46,229.29,-0.071,0.07,-0.04,0.109
160.8,211.46,229.29,-0.081,0.08,-0.03,0.114
184.8,211.46,229.29,-0.1,0.1,-0.04,0.146
208.8,211.46,229.29,-0.116,0.1,-0.05,0.162
232.8,211.46,229.29,-0.147,0.14,-0.06,0.194
256.8,211.46,229.29,-0.169,0.16,-0.09,0.244
280.8,211.46,229.29,-0.201,0.21,-0.11,0.308
304.8,211.46,229.29,-0.23,0.26,-0.17,0.387
304.8,235.46,229.29,-0.282,0.3,-0.12,0.423
280.8,235.46,229.29,-0.232,0.23,-0.09,0.339
256.8,235.46,229.29,-0.191,0.17,-0.06,0.261
232.8,235.46,229.29,-0.155,0.14,-0.04,0.213
208.8,235.46,229.29,-0.131,0.12,-0.03,0.18
184.8,235.46,229.29,-0.1,0.1,-0.02,0.145
160.8,235.46,229.29,-0.089,0.09,-0.01,0.126
184.8,259.46,229.29,-0.112,0.09,-0.01,0.143
208.8,259.46,229.29,-0.138,0.11,-0.01,0.178
232.8,259.46,229.29,-0.165,0.14,-0.02,0.216
256.8,259.46,229.29,-0.204,0.18,-0.03,0.273
280.8,259.46,229.29,-0.128,0.08,0.01,0.156
184.8,283.46,253.29,-0.133,0.1,0,0.169
208.8,283.46,253.29,-0.16,0.11,0.01,0.195
232.8,283.46,253.29,-0.201,0.12,0.01,0.233
256.8,283.46,253.29,-0.253,0.16,0.01,0.302
280.8,283.46,253.29,-0.332,0.22,0,0.398
304.8,259.46,253.29,-0.413,0.3,-0.07,0.518
280.8,259.46,253.29,-0.316,0.22,-0.05,0.388
256.8,259.46,253.29,-0.254,0.16,-0.03,0.304
232.8,259.46,253.29,-0.194,0.12,-0.02,0.232
208.8,259.46,253.29,-0.155,0.1,-0.01,0.185
184.8,259.46,253.29,-0.125,0.08,-0.01,0.146
160.8,259.46,253.29,-0.101,0.07,0,0.124
136.8,235.46,253.29,-0.077,0.06,-0.01,0.1
160.8,235.46,253.29,-0.094,0.08,-0.02,0.122
184.8,235.46,253.29,-0.115,0.09,-0.03,0.139
208.8,235.46,253.29,-0.15,0.1,-0.03,0.182
232.8,235.46,253.29,-0.176,0.12,-0.05,0.221
256.8,235.46,253.29,-0.235,0.16,-0.07,0.292
280.8,235.46,253.29,-0.302,0.2,-0.11,0.384
304.8,235.46,253.29,-0.38,0.29,-0.16,0.498
328.8,235.46,253.29,-0.478,0.41,-0.23,0.674
328.8,211.46,253.29,-0.373,0.35,-0.29,0.587
304.8,211.46,253.29,-0.308,0.25,-0.2,0.448
280.8,211.46,253.29,-0.252,0.17,-0.15,0.34
256.8,211.46,253.29,-0.204,0.14,-0.11,0.271
232.8,211.46,253.29,-0.157,0.1,-0.07,0.198
208.8,211.46,253.29,-0.133,0.09,-0.05,0.166
184.8,211.46,253.29,-0.116,0.08,-0.03,0.146
160.8,211.46,253.29,-0.085,0.07,-0.03,0.114
136.8,211.46,253.29,-0.071,0.06,-0.03,0.098
136.8,187.46,253.29,-0.069,0.06,-0.03,0.093
160.8,187.46,253.29,-0.078,0.06,-0.03,0.102
184.8,187.46,253.29,-0.101,0.08,-0.04,0.133
208.8,187.46,253.29,-0.113,0.08,-0.06,0.152
232.8,187.46,253.29,-0.142,0.1,-0.09,0.191
256.8,187.46,253.29,-0.171,0.13,-0.11,0.241
280.8,187.46,253.29,-0.202,0.16,-0.16,0.306
304.8,187.46,253.29,-0.232,0.22,-0.22,0.387
328.8,187.46,253.29,-0.259,0.29,-0.32,0.499
328.8,163.46,253.29,-0.174,0.22,-0.28,0.406
304.8,163.46,253.29,-0.167,0.18,-0.21,0.322
280.8,163.46,253.29,-0.156,0.14,-0.17,0.268
256.8,163.46,253.29,-0.131,0.11,-0.11,0.207
232.8,163.46,253.29,-0.112,0.1,-0.1,0.176
208.8,163.46,253.29,-0.098,0.08,-0.06,0.155
184.8,163.46,253.29,-0.08,0.07,-0.05,0.126
160.8,163.46,253.29,-0.071,0.07,-0.05,0.109
136.8,163.46,253.29,-0.061,0.06,-0.03,0.088
136.8,139.46,253.29,-0.054,0.06,-0.04,0.09
160.8,139.46,253.29,-0.063,0.07,-0.04,0.103
184.8,139.46,253.29,-0.071,0.06,-0.06,0.116
208.8,139.46,253.29,-0.085,0.08,-0.07,0.131
232.8,139.46,253.29,-0.094,0.09,-0.1,0.162
256.8,139.46,253.29,-0.101,0.1,-0.11,0.18
280.8,139.46,253.29,-0.106,0.12,-0.16,0.224
304.8,139.46,253.29,-0.115,0.15,-0.2,0.274
328.8,139.46,253.29,-0.102,0.16,-0.26,0.323
304.8,115.46,253.29,-0.073,0.12,-0.17,0.222
280.8,115.46,253.29,-0.076,0.1,-0.14,0.186
256.8,115.46,253.29,-0.074,0.1,-0.11,0.161
232.8,115.46,253.29,-0.071,0.08,-0.08,0.136
208.8,115.46,253.29,-0.065,0.07,-0.07,0.117
184.8,115.46,253.29,-0.06,0.06,-0.05,0.107
160.8,115.46,253.29,-0.052,0.06,-0.05,0.089
