# COSI2 B0 scan
# time 2024-08-15 10:12:23.827939
# MAGNET CENTER IN LAB: x 232.800 mm, y 187.460 mm, z 301.290 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240731/240816_fine_ball_R0I3_air_R120_12pts
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
252.800,227.460,191.290,0.0000,0.0200,-0.0200,0.0240
242.800,227.460,191.290,-0.0050,0.0100,-0.0100,0.0150
232.800,227.460,191.290,0.0040,0.0200,0.0000,0.0210
222.800,227.460,191.290,0.0020,0.0100,-0.0100,0.0170
212.800,227.460,191.290,0.0080,0.0100,-0.0100,0.0180
202.800,217.460,191.290,0.0030,0.0200,-0.0100,0.0210
212.800,217.460,191.290,0.0030,0.0100,-0.0100,0.0180
222.800,217.460,191.290,0.0020,0.0100,-0.0200,0.0140
232.800,217.460,191.290,0.0000,0.0100,-0.0100,0.0180
242.800,217.460,191.290,0.0040,0.0100,0.0000,0.0160
252.800,217.460,191.290,0.0030,0.0200,-0.0100,0.0180
262.800,217.460,191.290,0.0020,0.0200,-0.0100,0.0160
272.800,207.460,191.290,-0.0030,0.0200,-0.0200,0.0280
262.800,207.460,191.290,0.0000,0.0200,-0.0100,0.0240
252.800,207.460,191.290,-0.0030,0.0200,-0.0100,0.0210
242.800,207.460,191.290,-0.0020,0.0200,-0.0200,0.0250
232.800,207.460,191.290,-0.0030,0.0000,-0.0100,0.0110
222.800,207.460,191.290,0.0020,0.0200,-0.0100,0.0270
212.800,207.460,191.290,0.0090,0.0200,-0.0200,0.0290
202.800,207.460,191.290,0.0020,0.0200,0.0000,0.0210
192.800,207.460,191.290,0.0090,0.0100,-0.0100,0.0210
192.800,197.460,191.290,0.0000,0.0200,-0.0100,0.0230
202.800,197.460,191.290,0.0080,0.0100,-0.0100,0.0180
212.800,197.460,191.290,0.0080,0.0100,-0.0100,0.0180
222.800,197.460,191.290,0.0020,0.0100,-0.0200,0.0230
232.800,197.460,191.290,0.0040,0.0100,-0.0100,0.0190
242.800,197.460,191.290,0.0080,0.0100,-0.0100,0.0170
252.800,197.460,191.290,0.0000,0.0200,-0.0200,0.0180
262.800,197.460,191.290,0.0020,0.0200,-0.0100,0.0150
272.800,197.460,191.290,0.0010,0.0200,-0.0200,0.0220
