# COSI2 B0 scan,,,,,,
# time 2024-08-15 10:12:23.827939,,,,,,
# MAGNET CENTER IN LAB: x 232.800 mm, y 187.460 mm, z 301.290 mm,,,,
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240731/240816_fine_ball_R0I3_air_R120_12pts,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
252.8,227.46,191.29,-0.005,0.01,-0.01,0.015
242.8,227.46,191.29,0.004,0.02,0,0.021
232.8,227.46,191.29,0.002,0.01,-0.01,0.017
222.8,227.46,191.29,0.008,0.01,-0.01,0.018
212.8,227.46,191.29,0.003,0.02,-0.01,0.021
202.8,217.46,191.29,0.003,0.01,-0.01,0.018
212.8,217.46,191.29,0.002,0.01,-0.02,0.014
222.8,217.46,191.29,0,0.01,-0.01,0.018
232.8,217.46,191.29,0.004,0.01,0,0.016
242.8,217.46,191.29,0.003,0.02,-0.01,0.018
252.8,217.46,191.29,0.002,0.02,-0.01,0.016
262.8,217.46,191.29,-0.003,0.02,-0.02,0.028
272.8,207.46,191.29,0,0.02,-0.01,0.024
262.8,207.46,191.29,-0.003,0.02,-0.01,0.021
252.8,207.46,191.29,-0.002,0.02,-0.02,0.025
242.8,207.46,191.29,-0.003,0,-0.01,0.011
232.8,207.46,191.29,0.002,0.02,-0.01,0.027
222.8,207.46,191.29,0.009,0.02,-0.02,0.029
212.8,207.46,191.29,0.002,0.02,0,0.021
202.8,207.46,191.29,0.009,0.01,-0.01,0.021
192.8,207.46,191.29,0,0.02,-0.01,0.023
192.8,197.46,191.29,0.008,0.01,-0.01,0.018
202.8,197.46,191.29,0.008,0.01,-0.01,0.018
212.8,197.46,191.29,0.002,0.01,-0.02,0.023
222.8,197.46,191.29,0.004,0.01,-0.01,0.019
232.8,197.46,191.29,0.008,0.01,-0.01,0.017
242.8,197.46,191.29,0,0.02,-0.02,0.018
252.8,197.46,191.29,0.002,0.02,-0.01,0.015
262.8,197.46,191.29,0.001,0.02,-0.02,0.022
272.8,197.46,191.29,-0.004,0.02,-0.01,0.019
272.8,187.46,191.29,-0.004,0.02,-0.02,0.028
262.8,187.46,191.29,0,0.02,-0.01,0.026
252.8,187.46,191.29,0,0,-0.02,0.015
242.8,187.46,191.29,-0.001,0.01,-0.01,0.018
232.8,187.46,191.29,0.006,0.01,-0.01,0.017
222.8,187.46,191.29,0.001,0.01,-0.02,0.022
212.8,187.46,191.29,0.007,0.01,-0.02,0.022
202.8,187.46,191.29,0.001,0.01,-0.01,0.014
192.8,187.46,191.29,0.006,0,-0.02,0.016
192.8,177.46,191.29,0.012,0.01,-0.01,0.021
202.8,177.46,191.29,0.011,0.02,-0.03,0.035
212.8,177.46,191.29,0.001,0.01,-0.01,0.017
222.8,177.46,191.29,0.004,0.01,-0.01,0.017
232.8,177.46,191.29,0.005,0.02,-0.02,0.026
242.8,177.46,191.29,0.003,0.02,-0.02,0.026
252.8,177.46,191.29,0.004,0.02,-0.01,0.02
262.8,177.46,191.29,0.001,0.01,-0.02,0.026
272.8,177.46,191.29,-0.001,0.02,-0.02,0.029
