# COSI2 B0 scan,,,,,,
# time 2024-08-19 20:34:35.416169,,,,,,
# MAGNET CENTER IN LAB: x 232.800 mm, y 187.460 mm, z 301.290 mm,,,,
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240731/240819_R0I3_one_ring_opt_ball_R120_12pts,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
232.8,187.46,181.29,-47.453,-0.96,0.14,47.463
252.8,227.46,191.29,-47.451,-0.98,0.14,47.461
242.8,227.46,191.29,-47.458,-1,0.15,47.466
232.8,227.46,191.29,-47.437,-1,0.15,47.451
222.8,227.46,191.29,-47.428,-1.01,0.14,47.439
212.8,227.46,191.29,-47.432,-1.02,0.12,47.446
202.8,217.46,191.29,-47.442,-1.02,0.12,47.45
212.8,217.46,191.29,-47.442,-1.01,0.13,47.454
222.8,217.46,191.29,-47.439,-1.01,0.14,47.448
232.8,217.46,191.29,-47.442,-0.99,0.14,47.453
242.8,217.46,191.29,-47.452,-1,0.13,47.462
252.8,217.46,191.29,-47.459,-1,0.16,47.47
262.8,217.46,191.29,-47.475,-1,0.15,47.486
272.8,207.46,191.29,-47.491,-1,0.16,47.502
262.8,207.46,191.29,-47.485,-0.99,0.15,47.495
252.8,207.46,191.29,-47.47,-0.99,0.16,47.481
242.8,207.46,191.29,-47.459,-0.99,0.14,47.47
232.8,207.46,191.29,-47.452,-0.99,0.14,47.463
222.8,207.46,191.29,-47.445,-0.99,0.13,47.456
212.8,207.46,191.29,-47.444,-1.01,0.12,47.455
202.8,207.46,191.29,-47.466,-1.01,0.11,47.477
192.8,207.46,191.29,-47.472,-1.02,0.1,47.483
192.8,197.46,191.29,-47.482,-1.01,0.12,47.493
202.8,197.46,191.29,-47.476,-1.01,0.12,47.487
212.8,197.46,191.29,-47.462,-1,0.12,47.472
222.8,197.46,191.29,-47.457,-1,0.14,47.467
232.8,197.46,191.29,-47.458,-0.99,0.14,47.468
242.8,197.46,191.29,-47.458,-0.99,0.13,47.469
252.8,197.46,191.29,-47.468,-0.98,0.14,47.478
262.8,197.46,191.29,-47.478,-0.99,0.14,47.489
272.8,197.46,191.29,-47.492,-0.99,0.14,47.502
272.8,187.46,191.29,-47.488,-0.99,0.12,47.498
262.8,187.46,191.29,-47.479,-0.98,0.13,47.489
252.8,187.46,191.29,-47.471,-0.98,0.14,47.488
242.8,187.46,191.29,-47.464,-0.98,0.14,47.476
232.8,187.46,191.29,-47.458,-0.98,0.14,47.473
222.8,187.46,191.29,-47.457,-0.99,0.13,47.469
212.8,187.46,191.29,-47.467,-1,0.14,47.471
202.8,187.46,191.29,-47.478,-1,0.14,47.485
192.8,187.46,191.29,-47.492,-1.01,0.12,47.502
192.8,177.46,191.29,-47.495,-1,0.16,47.504
202.8,177.46,191.29,-47.484,-0.99,0.15,47.497
212.8,177.46,191.29,-47.471,-0.99,0.15,47.482
222.8,177.46,191.29,-47.468,-0.99,0.16,47.476
232.8,177.46,191.29,-47.463,-0.98,0.15,47.474
242.8,177.46,191.29,-47.453,-0.98,0.15,47.464
252.8,177.46,191.29,-47.462,-0.97,0.14,47.472
262.8,177.46,191.29,-47.472,-0.98,0.13,47.483
272.8,177.46,191.29,-47.48,-0.98,0.12,47.49
272.8,167.46,191.29,-47.47,-0.97,0.12,47.48
262.8,167.46,191.29,-47.46,-0.97,0.13,47.47
252.8,167.46,191.29,-47.455,-0.97,0.15,47.465
242.8,167.46,191.29,-47.455,-0.97,0.15,47.465
232.8,167.46,191.29,-47.456,-0.99,0.16,47.467
222.8,167.46,191.29,-47.453,-0.99,0.17,47.464
212.8,167.46,191.29,-47.464,-1,0.17,47.475
202.8,167.46,191.29,-47.476,-1,0.17,47.487
192.8,167.46,191.29,-47.487,-1,0.17,47.498
202.8,157.46,191.29,-47.486,-1.01,0.18,47.498
212.8,157.46,191.29,-47.468,-1.01,0.19,47.479
222.8,157.46,191.29,-47.454,-1,0.19,47.465
232.8,157.46,191.29,-47.452,-0.99,0.17,47.462
242.8,157.46,191.29,-47.446,-0.98,0.16,47.457
252.8,157.46,191.29,-47.446,-0.98,0.16,47.456
262.8,157.46,191.29,-47.449,-0.97,0.14,47.46
252.8,147.46,191.29,-47.435,-0.97,0.16,47.446
242.8,147.46,191.29,-47.43,-0.98,0.17,47.441
232.8,147.46,191.29,-47.435,-0.99,0.17,47.448
222.8,147.46,191.29,-47.44,-1.01,0.19,47.454
212.8,147.46,191.29,-47.458,-1.01,0.19,47.465
212.8,127.46,201.29,-47.465,-1.02,0.2,47.471
222.8,127.46,201.29,-47.447,-1.03,0.21,47.461
232.8,127.46,201.29,-47.434,-1.02,0.18,47.445
242.8,127.46,201.29,-47.428,-1.01,0.18,47.439
252.8,127.46,201.29,-47.421,-1.01,0.16,47.432
272.8,137.46,201.29,-47.422,-0.99,0.15,47.432
262.8,137.46,201.29,-47.433,-0.98,0.14,47.443
252.8,137.46,201.29,-47.43,-1,0.16,47.441
242.8,137.46,201.29,-47.437,-1.01,0.16,47.448
232.8,137.46,201.29,-47.441,-1.01,0.17,47.452
222.8,137.46,201.29,-47.449,-1.02,0.19,47.461
212.8,137.46,201.29,-47.459,-1.02,0.19,47.471
202.8,137.46,201.29,-47.477,-1.01,0.2,47.488
192.8,137.46,201.29,-47.494,-1.03,0.2,47.506
182.8,147.46,201.29,-47.5,-1.02,0.2,47.512
192.8,147.46,201.29,-47.494,-1.02,0.18,47.505
202.8,147.46,201.29,-47.485,-1.01,0.19,47.496
212.8,147.46,201.29,-47.469,-1.01,0.18,47.48
222.8,147.46,201.29,-47.454,-1.01,0.18,47.471
232.8,147.46,201.29,-47.447,-0.99,0.17,47.458
242.8,147.46,201.29,-47.445,-1,0.17,47.456
252.8,147.46,201.29,-47.444,-0.99,0.15,47.454
262.8,147.46,201.29,-47.439,-0.98,0.14,47.453
272.8,147.46,201.29,-47.441,-0.97,0.14,47.451
282.8,147.46,201.29,-47.447,-0.96,0.13,47.453
282.8,157.46,201.29,-47.455,-0.97,0.12,47.458
272.8,157.46,201.29,-47.454,-0.97,0.12,47.465
262.8,157.46,201.29,-47.453,-0.98,0.14,47.461
252.8,157.46,201.29,-47.449,-0.99,0.14,47.459
242.8,157.46,201.29,-47.455,-0.98,0.16,47.466
232.8,157.46,201.29,-47.452,-1,0.16,47.462
222.8,157.46,201.29,-47.462,-1,0.17,47.473
212.8,157.46,201.29,-47.468,-1,0.17,47.479
202.8,157.46,201.29,-47.484,-1.02,0.17,47.495
192.8,157.46,201.29,-47.495,-1.02,0.17,47.506
182.8,157.46,201.29,-47.5,-1.03,0.18,47.512
172.8,167.46,201.29,-47.507,-1.02,0.17,47.518
182.8,167.46,201.29,-47.509,-1.02,0.17,47.52
192.8,167.46,201.29,-47.5,-1.01,0.16,47.511
202.8,167.46,201.29,-47.485,-1.01,0.17,47.496
212.8,167.46,201.29,-47.474,-1.01,0.16,47.485
222.8,167.46,201.29,-47.467,-1.01,0.16,47.478
232.8,167.46,201.29,-47.463,-1,0.15,47.473
242.8,167.46,201.29,-47.461,-0.98,0.14,47.472
252.8,167.46,201.29,-47.462,-0.98,0.14,47.472
262.8,167.46,201.29,-47.466,-0.99,0.14,47.471
272.8,167.46,201.29,-47.466,-0.97,0.13,47.475
282.8,167.46,201.29,-47.467,-0.97,0.12,47.478
292.8,167.46,201.29,-47.471,-0.97,0.1,47.48
292.8,177.46,201.29,-47.48,-0.98,0.1,47.488
282.8,177.46,201.29,-47.481,-0.98,0.11,47.495
272.8,177.46,201.29,-47.481,-0.98,0.13,47.488
262.8,177.46,201.29,-47.473,-0.98,0.13,47.484
252.8,177.46,201.29,-47.468,-0.98,0.14,47.479
242.8,177.46,201.29,-47.465,-0.99,0.14,47.476
232.8,177.46,201.29,-47.464,-0.99,0.14,47.475
222.8,177.46,201.29,-47.466,-1,0.14,47.478
212.8,177.46,201.29,-47.474,-1,0.15,47.485
202.8,177.46,201.29,-47.484,-1.01,0.15,47.495
192.8,177.46,201.29,-47.492,-1.01,0.15,47.503
182.8,177.46,201.29,-47.51,-1,0.15,47.521
172.8,177.46,201.29,-47.518,-1.01,0.15,47.529
172.8,187.46,201.29,-47.525,-1.01,0.13,47.536
182.8,187.46,201.29,-47.517,-1.02,0.13,47.528
192.8,187.46,201.29,-47.502,-1.01,0.14,47.513
202.8,187.46,201.29,-47.489,-1.01,0.14,47.5
212.8,187.46,201.29,-47.474,-1.01,0.14,47.485
222.8,187.46,201.29,-47.468,-0.99,0.14,47.479
232.8,187.46,201.29,-47.464,-0.99,0.15,47.475
242.8,187.46,201.29,-47.463,-0.99,0.14,47.473
252.8,187.46,201.29,-47.476,-0.99,0.14,47.486
262.8,187.46,201.29,-47.478,-0.99,0.14,47.49
272.8,187.46,201.29,-47.476,-0.98,0.14,47.492
282.8,187.46,201.29,-47.489,-0.99,0.12,47.5
292.8,187.46,201.29,-47.494,-0.99,0.12,47.498
292.8,197.46,201.29,-47.504,-1,0.14,47.518
282.8,197.46,201.29,-47.494,-1,0.13,47.508
272.8,197.46,201.29,-47.488,-1,0.14,47.499
262.8,197.46,201.29,-47.481,-0.99,0.14,47.491
252.8,197.46,201.29,-47.474,-0.98,0.13,47.485
242.8,197.46,201.29,-47.472,-0.99,0.14,47.483
232.8,197.46,201.29,-47.466,-0.99,0.14,47.477
222.8,197.46,201.29,-47.46,-0.99,0.14,47.471
212.8,197.46,201.29,-47.467,-1.01,0.13,47.478
202.8,197.46,201.29,-47.478,-1.01,0.12,47.489
192.8,197.46,201.29,-47.481,-1.01,0.12,47.492
182.8,197.46,201.29,-47.501,-1.02,0.12,47.512
172.8,197.46,201.29,-47.517,-1.02,0.1,47.528
172.8,207.46,201.29,-47.51,-1.03,0.09,47.521
182.8,207.46,201.29,-47.502,-1.03,0.1,47.513
192.8,207.46,201.29,-47.489,-1.01,0.11,47.498
202.8,207.46,201.29,-47.473,-1.01,0.11,47.488
212.8,207.46,201.29,-47.465,-1.01,0.12,47.476
222.8,207.46,201.29,-47.461,-1,0.13,47.475
232.8,207.46,201.29,-47.464,-1,0.14,47.475
242.8,207.46,201.29,-47.453,-1,0.14,47.462
252.8,207.46,201.29,-47.469,-1,0.14,47.482
