# COSI2 B0 scan
# time 2024-08-19 12:39:23.046400
# MAGNET CENTER IN LAB: x 232.800 mm, y 187.460 mm, z 301.290 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240731/240819_one_ring_opt_ball_R120_12pts
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
232.800,187.460,181.290,-47.4080,-0.9900,0.1100,47.4190
252.800,227.460,191.290,-47.4050,-0.9800,0.1100,47.4160
242.800,227.460,191.290,-47.4160,-1.0000,0.0900,47.4270
232.800,227.460,191.290,-47.4140,-1.0200,0.1400,47.4250
222.800,227.460,191.290,-47.4000,-1.0200,0.1200,47.4140
212.800,227.460,191.290,-47.3950,-1.0200,0.1000,47.4050
202.800,217.460,191.290,-47.3920,-1.0400,0.0900,47.4060
212.800,217.460,191.290,-47.4110,-1.0400,0.0800,47.4220
222.800,217.460,191.290,-47.4130,-1.0400,0.0800,47.4240
232.800,217.460,191.290,-47.4060,-1.0300,0.0900,47.4170
242.800,217.460,191.290,-47.4020,-1.0200,0.1000,47.4100
252.800,217.460,191.290,-47.4100,-1.0200,0.1100,47.4230
262.800,217.460,191.290,-47.4240,-1.0100,0.1200,47.4350
272.800,207.460,191.290,-47.4390,-1.0100,0.1200,47.4500
262.800,207.460,191.290,-47.4490,-1.0100,0.1100,47.4600
252.800,207.460,191.290,-47.4420,-1.0100,0.1100,47.4530
242.800,207.460,191.290,-47.4300,-1.0100,0.1100,47.4410
232.800,207.460,191.290,-47.4240,-1.0100,0.1000,47.4350
222.800,207.460,191.290,-47.4140,-1.0100,0.1000,47.4250
212.800,207.460,191.290,-47.4170,-1.0200,0.1000,47.4280
202.800,207.460,191.290,-47.4190,-1.0300,0.0900,47.4300
192.800,207.460,191.290,-47.4250,-1.0400,0.0800,47.4360
192.800,197.460,191.290,-47.4340,-1.0400,0.0700,47.4460
202.800,197.460,191.290,-47.4430,-1.0300,0.0800,47.4540
212.800,197.460,191.290,-47.4420,-1.0200,0.0900,47.4530
222.800,197.460,191.290,-47.4320,-1.0100,0.1000,47.4420
232.800,197.460,191.290,-47.4190,-1.0200,0.1000,47.4300
242.800,197.460,191.290,-47.4140,-1.0100,0.1100,47.4250
252.800,197.460,191.290,-47.4210,-1.0200,0.1000,47.4320
262.800,197.460,191.290,-47.4240,-1.0000,0.1000,47.4340
272.800,197.460,191.290,-47.4420,-1.0100,0.1100,47.4530
272.800,187.460,191.290,-47.4480,-1.0100,0.1000,47.4580
262.800,187.460,191.290,-47.4500,-1.0100,0.1000,47.4610
252.800,187.460,191.290,-47.4380,-1.0000,0.1000,47.4490
242.800,187.460,191.290,-47.4340,-0.9900,0.1000,47.4430
232.800,187.460,191.290,-47.4280,-1.0000,0.1100,47.4400
222.800,187.460,191.290,-47.4200,-1.0100,0.1200,47.4310
212.800,187.460,191.290,-47.4190,-1.0100,0.1100,47.4320
202.800,187.460,191.290,-47.4280,-1.0200,0.1100,47.4350
192.800,187.460,191.290,-47.4430,-1.0200,0.1100,47.4490
192.800,177.460,191.290,-47.4530,-1.0300,0.1000,47.4660
202.800,177.460,191.290,-47.4570,-1.0100,0.1200,47.4720
212.800,177.460,191.290,-47.4420,-1.0100,0.1100,47.4530
222.800,177.460,191.290,-47.4340,-1.0100,0.1300,47.4470
232.800,177.460,191.290,-47.4240,-1.0100,0.1200,47.4350
242.800,177.460,191.290,-47.4200,-1.0100,0.1200,47.4310
252.800,177.460,191.290,-47.4190,-1.0000,0.1200,47.4360
262.800,177.460,191.290,-47.4190,-0.9900,0.1000,47.4280
272.800,177.460,191.290,-47.4280,-0.9900,0.1000,47.4380
272.800,167.460,191.290,-47.4360,-0.9900,0.0900,47.4440
262.800,167.460,191.290,-47.4270,-0.9900,0.0900,47.4380
252.800,167.460,191.290,-47.4220,-0.9800,0.1000,47.4320
242.800,167.460,191.290,-47.4180,-0.9800,0.1100,47.4280
232.800,167.460,191.290,-47.4140,-0.9900,0.1300,47.4260
222.800,167.460,191.290,-47.4130,-1.0000,0.1300,47.4200
212.800,167.460,191.290,-47.4190,-1.0000,0.1400,47.4300
202.800,167.460,191.290,-47.4300,-1.0200,0.1400,47.4380
192.800,167.460,191.290,-47.4420,-1.0200,0.1400,47.4500
202.800,157.460,191.290,-47.4510,-1.0200,0.1500,47.4580
212.800,157.460,191.290,-47.4480,-1.0200,0.1500,47.4600
222.800,157.460,191.290,-47.4320,-1.0300,0.1500,47.4470
232.800,157.460,191.290,-47.4230,-1.0100,0.1500,47.4340
242.800,157.460,191.290,-47.4100,-1.0000,0.1400,47.4220
252.800,157.460,191.290,-47.4060,-1.0000,0.1300,47.4170
262.800,157.460,191.290,-47.4030,-0.9800,0.1300,47.4140
252.800,147.460,191.290,-47.4040,-0.9800,0.1100,47.4140
242.800,147.460,191.290,-47.4000,-0.9900,0.1400,47.4100
232.800,147.460,191.290,-47.3890,-1.0000,0.1400,47.4000
222.800,147.460,191.290,-47.4020,-1.0100,0.1500,47.4130
212.800,147.460,191.290,-47.4070,-1.0200,0.1500,47.4180
212.800,127.460,201.290,-47.4130,-1.0300,0.1600,47.4240
222.800,127.460,201.290,-47.4250,-1.0400,0.1700,47.4360
232.800,127.460,201.290,-47.4090,-1.0400,0.1700,47.4210
242.800,127.460,201.290,-47.3980,-1.0300,0.1600,47.4100
252.800,127.460,201.290,-47.3840,-1.0300,0.1400,47.3950
272.800,137.460,201.290,-47.3830,-1.0100,0.1400,47.3940
262.800,137.460,201.290,-47.3850,-1.0000,0.1300,47.3960
252.800,137.460,201.290,-47.3990,-1.0000,0.1300,47.4100
242.800,137.460,201.290,-47.3900,-1.0000,0.1300,47.4010
232.800,137.460,201.290,-47.3950,-1.0200,0.1300,47.4060
222.800,137.460,201.290,-47.4020,-1.0300,0.1500,47.4140
212.800,137.460,201.290,-47.4100,-1.0200,0.1500,47.4220
202.800,137.460,201.290,-47.4210,-1.0300,0.1700,47.4330
192.800,137.460,201.290,-47.4360,-1.0400,0.1600,47.4470
182.800,147.460,201.290,-47.4530,-1.0400,0.1700,47.4650
192.800,147.460,201.290,-47.4680,-1.0400,0.1500,47.4800
202.800,147.460,201.290,-47.4600,-1.0400,0.1600,47.4720
212.800,147.460,201.290,-47.4480,-1.0400,0.1400,47.4590
222.800,147.460,201.290,-47.4360,-1.0100,0.1600,47.4470
232.800,147.460,201.290,-47.4270,-1.0200,0.1500,47.4380
242.800,147.460,201.290,-47.4110,-1.0200,0.1400,47.4220
252.800,147.460,201.290,-47.4070,-1.0200,0.1300,47.4180
262.800,147.460,201.290,-47.4050,-1.0100,0.1200,47.4160
272.800,147.460,201.290,-47.4050,-0.9900,0.1100,47.4150
282.800,147.460,201.290,-47.4080,-0.9800,0.1000,47.4180
282.800,157.460,201.290,-47.3960,-0.9800,0.1100,47.4060
272.800,157.460,201.290,-47.4060,-0.9800,0.0900,47.4160
262.800,157.460,201.290,-47.4150,-0.9900,0.0900,47.4250
252.800,157.460,201.290,-47.4140,-0.9900,0.1000,47.4240
242.800,157.460,201.290,-47.4160,-1.0000,0.1200,47.4270
232.800,157.460,201.290,-47.4070,-1.0000,0.1300,47.4180
222.800,157.460,201.290,-47.4130,-1.0000,0.1200,47.4230
212.800,157.460,201.290,-47.4250,-1.0100,0.1300,47.4360
202.800,157.460,201.290,-47.4250,-1.0100,0.1400,47.4360
192.800,157.460,201.290,-47.4400,-1.0200,0.1400,47.4520
182.800,157.460,201.290,-47.4530,-1.0300,0.1400,47.4640
172.800,167.460,201.290,-47.4610,-1.0300,0.1400,47.4730
182.800,167.460,201.290,-47.4770,-1.0200,0.1300,47.4880
192.800,167.460,201.290,-47.4690,-1.0300,0.1300,47.4800
202.800,167.460,201.290,-47.4640,-1.0200,0.1300,47.4750
212.800,167.460,201.290,-47.4450,-1.0200,0.1300,47.4560
222.800,167.460,201.290,-47.4420,-1.0200,0.1300,47.4530
232.800,167.460,201.290,-47.4300,-1.0000,0.1300,47.4410
242.800,167.460,201.290,-47.4240,-1.0100,0.1300,47.4350
252.800,167.460,201.290,-47.4190,-1.0000,0.1200,47.4300
262.800,167.460,201.290,-47.4200,-1.0000,0.1200,47.4310
272.800,167.460,201.290,-47.4230,-0.9900,0.1100,47.4340
282.800,167.460,201.290,-47.4220,-0.9900,0.1000,47.4320
292.800,167.460,201.290,-47.4260,-0.9800,0.0900,47.4370
292.800,177.460,201.290,-47.4240,-0.9800,0.0700,47.4340
282.800,177.460,201.290,-47.4330,-0.9800,0.0700,47.4430
272.800,177.460,201.290,-47.4400,-0.9900,0.0800,47.4500
262.800,177.460,201.290,-47.4360,-0.9900,0.0900,47.4470
252.800,177.460,201.290,-47.4340,-0.9900,0.1000,47.4440
242.800,177.460,201.290,-47.4270,-0.9900,0.1000,47.4370
232.800,177.460,201.290,-47.4250,-1.0000,0.1200,47.4360
222.800,177.460,201.290,-47.4270,-1.0000,0.1200,47.4380
212.800,177.460,201.290,-47.4310,-1.0000,0.1200,47.4400
202.800,177.460,201.290,-47.4390,-1.0100,0.1100,47.4490
192.800,177.460,201.290,-47.4470,-1.0200,0.1200,47.4580
182.800,177.460,201.290,-47.4560,-1.0200,0.1200,47.4670
172.800,177.460,201.290,-47.4710,-1.0200,0.1100,47.4820
172.800,187.460,201.290,-47.4830,-1.0200,0.1200,47.4940
182.800,187.460,201.290,-47.4900,-1.0200,0.1000,47.5010
192.800,187.460,201.290,-47.4780,-1.0200,0.1000,47.4890
202.800,187.460,201.290,-47.4610,-1.0200,0.1100,47.4720
212.800,187.460,201.290,-47.4520,-1.0100,0.1100,47.4630
222.800,187.460,201.290,-47.4330,-1.0100,0.1100,47.4430
232.800,187.460,201.290,-47.4330,-1.0100,0.1100,47.4430
242.800,187.460,201.290,-47.4270,-1.0000,0.1200,47.4380
252.800,187.460,201.290,-47.4240,-0.9900,0.1100,47.4340
262.800,187.460,201.290,-47.4270,-1.0000,0.1000,47.4370
272.800,187.460,201.290,-47.4340,-1.0000,0.1100,47.4450
282.800,187.460,201.290,-47.4380,-0.9900,0.1000,47.4480
292.800,187.460,201.290,-47.4500,-1.0000,0.0900,47.4580
292.800,197.460,201.290,-47.4540,-1.0000,0.0900,47.4600
282.800,197.460,201.290,-47.4570,-1.0100,0.1000,47.4660
272.800,197.460,201.290,-47.4510,-1.0100,0.1100,47.4630
262.800,197.460,201.290,-47.4450,-0.9900,0.1100,47.4590
252.800,197.460,201.290,-47.4410,-1.0000,0.1100,47.4530
242.800,197.460,201.290,-47.4340,-1.0000,0.1100,47.4490
232.800,197.460,201.290,-47.4260,-1.0000,0.1100,47.4360
222.800,197.460,201.290,-47.4220,-1.0000,0.1100,47.4340
212.800,197.460,201.290,-47.4250,-1.0000,0.1100,47.4380
202.800,197.460,201.290,-47.4320,-1.0100,0.1100,47.4420
192.800,197.460,201.290,-47.4360,-1.0200,0.1000,47.4440
182.800,197.460,201.290,-47.4450,-1.0100,0.1000,47.4520
172.800,197.460,201.290,-47.4670,-1.0300,0.0800,47.4740
172.800,207.460,201.290,-47.4850,-1.0300,0.0700,47.4900
182.800,207.460,201.290,-47.4740,-1.0400,0.0700,47.4880
192.800,207.460,201.290,-47.4690,-1.0400,0.0700,47.4830
202.800,207.460,201.290,-47.4520,-1.0300,0.0900,47.4620
212.800,207.460,201.290,-47.4320,-1.0200,0.0900,47.4460
222.800,207.460,201.290,-47.4280,-1.0200,0.1000,47.4390
232.800,207.460,201.290,-47.4250,-1.0100,0.1000,47.4350
242.800,207.460,201.290,-47.4170,-1.0000,0.1100,47.4240
252.800,207.460,201.290,-47.4160,-1.0100,0.1200,47.4270
262.800,207.460,201.290,-47.4310,-1.0000,0.1100,47.4410
272.800,207.460,201.290,-47.4370,-0.9900,0.1200,47.4490
282.800,207.460,201.290,-47.4430,-1.0000,0.1300,47.4540
292.800,207.460,201.290,-47.4540,-1.0200,0.1200,47.4650
282.800,217.460,201.290,-47.4630,-1.0100,0.1100,47.4720
272.800,217.460,201.290,-47.4580,-1.0200,0.1300,47.4670
262.800,217.460,201.290,-47.4510,-1.0100,0.1400,47.4660
252.800,217.460,201.290,-47.4350,-1.0100,0.1300,47.4450
242.800,217.460,201.290,-47.4310,-1.0100,0.1300,47.4410
232.800,217.460,201.290,-47.4220,-1.0000,0.1100,47.4320
222.800,217.460,201.290,-47.4160,-1.0100,0.1100,47.4260
212.800,217.460,201.290,-47.4140,-1.0200,0.1000,47.4230
202.800,217.460,201.290,-47.4120,-1.0100,0.0900,47.4240
192.800,217.460,201.290,-47.4120,-1.0300,0.0900,47.4290
182.800,217.460,201.290,-47.4370,-1.0400,0.0800,47.4490
182.800,227.460,201.290,-47.4490,-1.0500,0.0700,47.4610
192.800,227.460,201.290,-47.4420,-1.0600,0.0600,47.4540
202.800,227.460,201.290,-47.4390,-1.0400,0.0700,47.4510
212.800,227.460,201.290,-47.4180,-1.0400,0.0800,47.4300
222.800,227.460,201.290,-47.4090,-1.0300,0.0900,47.4200
232.800,227.460,201.290,-47.4110,-1.0100,0.1000,47.4220
242.800,227.460,201.290,-47.4020,-1.0100,0.1100,47.4130
252.800,227.460,201.290,-47.4110,-1.0100,0.1200,47.4220
262.800,227.460,201.290,-47.4190,-1.0100,0.1300,47.4300
272.800,227.460,201.290,-47.4270,-1.0100,0.1400,47.4380
282.800,227.460,201.290,-47.4410,-1.0100,0.1500,47.4520
272.800,237.460,201.290,-47.4560,-1.0100,0.1500,47.4670
262.800,237.460,201.290,-47.4480,-1.0200,0.1700,47.4600
252.800,237.460,201.290,-47.4280,-1.0200,0.1700,47.4390
242.800,237.460,201.290,-47.4140,-1.0200,0.1400,47.4260
232.800,237.460,201.290,-47.4080,-1.0000,0.1300,47.4190
222.800,237.460,201.290,-47.3920,-1.0100,0.1200,47.4050
212.800,237.460,201.290,-47.3850,-1.0200,0.1000,47.3960
202.800,237.460,201.290,-47.3920,-1.0300,0.0900,47.4040
192.800,237.460,201.290,-47.4100,-1.0400,0.0800,47.4220
212.800,247.460,201.290,-47.4220,-1.0400,0.0800,47.4330
222.800,247.460,201.290,-47.4020,-1.0300,0.0700,47.4200
232.800,247.460,201.290,-47.3720,-1.0200,0.1000,47.3880
242.800,247.460,201.290,-47.3720,-1.0200,0.1200,47.3830
252.800,247.460,201.290,-47.3800,-0.9900,0.1500,47.3900
202.800,257.460,211.290,-47.3940,-1.0000,0.1600,47.4030
212.800,257.460,211.290,-47.3740,-1.0500,0.0500,47.3830
222.800,257.460,211.290,-47.3680,-1.0300,0.0700,47.3800
232.800,257.460,211.290,-47.3580,-1.0200,0.1000,47.3700
242.800,257.460,211.290,-47.3690,-1.0100,0.1200,47.3790
252.800,257.460,211.290,-47.3650,-0.9900,0.1400,47.3760
262.800,257.460,211.290,-47.3740,-0.9900,0.1800,47.3850
282.800,247.460,211.290,-47.3800,-0.9900,0.1900,47.3910
272.800,247.460,211.290,-47.4050,-1.0000,0.2200,47.4160
262.800,247.460,211.290,-47.4280,-1.0100,0.2000,47.4390
252.800,247.460,211.290,-47.4100,-1.0000,0.1900,47.4210
242.800,247.460,211.290,-47.4030,-1.0000,0.1600,47.4140
232.800,247.460,211.290,-47.3930,-1.0000,0.1500,47.4030
222.800,247.460,211.290,-47.3880,-1.0100,0.1300,47.3990
212.800,247.460,211.290,-47.3790,-1.0200,0.1000,47.3900
202.800,247.460,211.290,-47.3890,-1.0200,0.0900,47.4000
192.800,247.460,211.290,-47.3950,-1.0400,0.0700,47.4060
182.800,247.460,211.290,-47.4080,-1.0400,0.0500,47.4200
172.800,237.460,211.290,-47.4370,-1.0500,0.0300,47.4450
182.800,237.460,211.290,-47.4750,-1.0500,0.0500,47.4780
192.800,237.460,211.290,-47.4580,-1.0500,0.0600,47.4740
202.800,237.460,211.290,-47.4350,-1.0400,0.0700,47.4470
212.800,237.460,211.290,-47.4170,-1.0400,0.0800,47.4320
222.800,237.460,211.290,-47.4050,-1.0200,0.0800,47.4180
232.800,237.460,211.290,-47.4020,-1.0200,0.1000,47.4090
242.800,237.460,211.290,-47.3970,-1.0100,0.1100,47.4100
252.800,237.460,211.290,-47.3990,-1.0100,0.1400,47.4080
