# COSI2 B0 scan,,,,,,
# time 2024-08-19 12:39:23.046400,,,,,,
# MAGNET CENTER IN LAB: x 232.800 mm, y 187.460 mm, z 301.290 mm,,,,
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240731/240819_one_ring_opt_ball_R120_12pts,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
232.8,187.46,181.29,-47.405,-0.98,0.11,47.416
252.8,227.46,191.29,-47.416,-1,0.09,47.427
242.8,227.46,191.29,-47.414,-1.02,0.14,47.425
232.8,227.46,191.29,-47.4,-1.02,0.12,47.414
222.8,227.46,191.29,-47.395,-1.02,0.1,47.405
212.8,227.46,191.29,-47.392,-1.04,0.09,47.406
202.8,217.46,191.29,-47.411,-1.04,0.08,47.422
212.8,217.46,191.29,-47.413,-1.04,0.08,47.424
222.8,217.46,191.29,-47.406,-1.03,0.09,47.417
232.8,217.46,191.29,-47.402,-1.02,0.1,47.41
242.8,217.46,191.29,-47.41,-1.02,0.11,47.423
252.8,217.46,191.29,-47.424,-1.01,0.12,47.435
262.8,217.46,191.29,-47.439,-1.01,0.12,47.45
272.8,207.46,191.29,-47.449,-1.01,0.11,47.46
262.8,207.46,191.29,-47.442,-1.01,0.11,47.453
252.8,207.46,191.29,-47.43,-1.01,0.11,47.441
242.8,207.46,191.29,-47.424,-1.01,0.1,47.435
232.8,207.46,191.29,-47.414,-1.01,0.1,47.425
222.8,207.46,191.29,-47.417,-1.02,0.1,47.428
212.8,207.46,191.29,-47.419,-1.03,0.09,47.43
202.8,207.46,191.29,-47.425,-1.04,0.08,47.436
192.8,207.46,191.29,-47.434,-1.04,0.07,47.446
192.8,197.46,191.29,-47.443,-1.03,0.08,47.454
202.8,197.46,191.29,-47.442,-1.02,0.09,47.453
212.8,197.46,191.29,-47.432,-1.01,0.1,47.442
222.8,197.46,191.29,-47.419,-1.02,0.1,47.43
232.8,197.46,191.29,-47.414,-1.01,0.11,47.425
242.8,197.46,191.29,-47.421,-1.02,0.1,47.432
252.8,197.46,191.29,-47.424,-1,0.1,47.434
262.8,197.46,191.29,-47.442,-1.01,0.11,47.453
272.8,197.46,191.29,-47.448,-1.01,0.1,47.458
272.8,187.46,191.29,-47.45,-1.01,0.1,47.461
262.8,187.46,191.29,-47.438,-1,0.1,47.449
252.8,187.46,191.29,-47.434,-0.99,0.1,47.443
242.8,187.46,191.29,-47.428,-1,0.11,47.44
232.8,187.46,191.29,-47.42,-1.01,0.12,47.431
222.8,187.46,191.29,-47.419,-1.01,0.11,47.432
212.8,187.46,191.29,-47.428,-1.02,0.11,47.435
202.8,187.46,191.29,-47.443,-1.02,0.11,47.449
192.8,187.46,191.29,-47.453,-1.03,0.1,47.466
192.8,177.46,191.29,-47.457,-1.01,0.12,47.472
202.8,177.46,191.29,-47.442,-1.01,0.11,47.453
212.8,177.46,191.29,-47.434,-1.01,0.13,47.447
222.8,177.46,191.29,-47.424,-1.01,0.12,47.435
232.8,177.46,191.29,-47.42,-1.01,0.12,47.431
242.8,177.46,191.29,-47.419,-1,0.12,47.436
252.8,177.46,191.29,-47.419,-0.99,0.1,47.428
262.8,177.46,191.29,-47.428,-0.99,0.1,47.438
272.8,177.46,191.29,-47.436,-0.99,0.09,47.444
272.8,167.46,191.29,-47.427,-0.99,0.09,47.438
262.8,167.46,191.29,-47.422,-0.98,0.1,47.432
252.8,167.46,191.29,-47.418,-0.98,0.11,47.428
242.8,167.46,191.29,-47.414,-0.99,0.13,47.426
232.8,167.46,191.29,-47.413,-1,0.13,47.42
222.8,167.46,191.29,-47.419,-1,0.14,47.43
212.8,167.46,191.29,-47.43,-1.02,0.14,47.438
202.8,167.46,191.29,-47.442,-1.02,0.14,47.45
192.8,167.46,191.29,-47.451,-1.02,0.15,47.458
202.8,157.46,191.29,-47.448,-1.02,0.15,47.46
212.8,157.46,191.29,-47.432,-1.03,0.15,47.447
222.8,157.46,191.29,-47.423,-1.01,0.15,47.434
232.8,157.46,191.29,-47.41,-1,0.14,47.422
242.8,157.46,191.29,-47.406,-1,0.13,47.417
252.8,157.46,191.29,-47.403,-0.98,0.13,47.414
262.8,157.46,191.29,-47.404,-0.98,0.11,47.414
252.8,147.46,191.29,-47.4,-0.99,0.14,47.41
242.8,147.46,191.29,-47.389,-1,0.14,47.4
232.8,147.46,191.29,-47.402,-1.01,0.15,47.413
222.8,147.46,191.29,-47.407,-1.02,0.15,47.418
212.8,147.46,191.29,-47.413,-1.03,0.16,47.424
212.8,127.46,201.29,-47.425,-1.04,0.17,47.436
222.8,127.46,201.29,-47.409,-1.04,0.17,47.421
232.8,127.46,201.29,-47.398,-1.03,0.16,47.41
242.8,127.46,201.29,-47.384,-1.03,0.14,47.395
252.8,127.46,201.29,-47.383,-1.01,0.14,47.394
272.8,137.46,201.29,-47.385,-1,0.13,47.396
262.8,137.46,201.29,-47.399,-1,0.13,47.41
252.8,137.46,201.29,-47.39,-1,0.13,47.401
242.8,137.46,201.29,-47.395,-1.02,0.13,47.406
232.8,137.46,201.29,-47.402,-1.03,0.15,47.414
