# COSI2 B0 scan
# time 2024-08-20 13:10:29.781642
# MAGNET CENTER IN LAB: x 232.800 mm, y 187.460 mm, z 301.290 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240731/240820_coarse_ball_recalculated_one_ring
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
232.800,187.460,181.290,-47.5030,-1.0400,0.1300,47.5110
232.800,267.460,221.290,-47.5110,-1.0400,0.1400,47.5220
272.800,227.460,221.290,-47.4080,-1.0200,0.1300,47.4190
232.800,227.460,221.290,-47.4920,-1.0400,0.1700,47.5030
192.800,227.460,221.290,-47.4820,-1.0300,0.1700,47.4930
152.800,187.460,221.290,-47.4850,-1.0300,0.1300,47.4920
192.800,187.460,221.290,-47.5770,-1.0100,0.1000,47.5890
232.800,187.460,221.290,-47.5580,-1.0200,0.0900,47.5740
272.800,187.460,221.290,-47.5370,-1.0200,0.1000,47.5480
312.800,187.460,221.290,-47.5000,-1.0300,0.1100,47.5150
312.800,147.460,221.290,-47.5080,-1.0400,0.1100,47.5200
272.800,147.460,221.290,-47.5200,-1.0700,0.1000,47.5320
232.800,147.460,221.290,-47.4830,-1.0400,0.0500,47.4940
192.800,147.460,221.290,-47.4850,-1.0600,0.0700,47.4970
152.800,147.460,221.290,-47.4970,-1.0400,0.1000,47.5060
192.800,107.460,221.290,-47.5310,-1.0500,0.1200,47.5420
232.800,107.460,221.290,-47.5040,-1.0900,0.1700,47.5170
272.800,107.460,221.290,-47.4860,-1.0700,0.1400,47.4980
312.800,107.460,261.290,-47.4500,-1.0600,0.1000,47.4620
272.800,107.460,261.290,-47.4620,-1.0100,-0.0100,47.4720
232.800,107.460,261.290,-47.4620,-1.0100,0.0100,47.4730
192.800,107.460,261.290,-47.4700,-1.0200,0.0500,47.4810
152.800,107.460,261.290,-47.4910,-1.0400,0.0700,47.5030
152.800,147.460,261.290,-47.5130,-1.0500,0.0800,47.5230
192.800,147.460,261.290,-47.5860,-1.0600,0.1400,47.5980
232.800,147.460,261.290,-47.5590,-1.0300,0.0700,47.5710
272.800,147.460,261.290,-47.5300,-1.0400,0.0800,47.5450
312.800,147.460,261.290,-47.5060,-1.0300,0.0700,47.5170
312.800,187.460,261.290,-47.5000,-1.0200,0.0500,47.5110
272.800,187.460,261.290,-47.5010,-1.0200,0.0400,47.5150
232.800,187.460,261.290,-47.5270,-1.0100,0.0800,47.5370
192.800,187.460,261.290,-47.5140,-1.0100,0.1000,47.5250
152.800,187.460,261.290,-47.5030,-1.0200,0.0900,47.5140
152.800,227.460,261.290,-47.5320,-1.0100,0.0800,47.5430
192.800,227.460,261.290,-47.5580,-1.0100,0.0900,47.5700
232.800,227.460,261.290,-47.5960,-1.0000,0.0700,47.6070
272.800,227.460,261.290,-47.5220,-1.0000,0.0700,47.5330
312.800,227.460,261.290,-47.4930,-1.0100,0.1100,47.5000
272.800,267.460,261.290,-47.4890,-1.0100,0.1500,47.5000
232.800,267.460,261.290,-47.4490,-1.0000,0.1700,47.4600
192.800,267.460,261.290,-47.4470,-1.0000,0.1500,47.4580
152.800,267.460,301.290,-47.4420,-1.0100,0.1100,47.4530
192.800,267.460,301.290,-47.4840,-0.9600,-0.0300,47.4940
232.800,267.460,301.290,-47.4730,-0.9800,0.0300,47.4830
272.800,267.460,301.290,-47.4800,-0.9900,0.0700,47.4900
312.800,267.460,301.290,-47.4500,-0.9900,0.1200,47.4610
