# COSI2 B0 scan,,,,,,
# time 2024-08-20 13:10:29.781642,,,,,,
# MAGNET CENTER IN LAB: x 232.800 mm, y 187.460 mm, z 301.290 mm,,,,
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240731/240820_coarse_ball_recalculated_one_ring,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
232.8,187.46,181.29,-47.511,-1.04,0.14,47.522
232.8,267.46,221.29,-47.408,-1.02,0.13,47.419
272.8,227.46,221.29,-47.492,-1.04,0.17,47.503
232.8,227.46,221.29,-47.482,-1.03,0.17,47.493
192.8,227.46,221.29,-47.485,-1.03,0.13,47.492
152.8,187.46,221.29,-47.577,-1.01,0.1,47.589
192.8,187.46,221.29,-47.558,-1.02,0.09,47.574
232.8,187.46,221.29,-47.537,-1.02,0.1,47.548
272.8,187.46,221.29,-47.5,-1.03,0.11,47.515
312.8,187.46,221.29,-47.508,-1.04,0.11,47.52
312.8,147.46,221.29,-47.52,-1.07,0.1,47.532
272.8,147.46,221.29,-47.483,-1.04,0.05,47.494
232.8,147.46,221.29,-47.485,-1.06,0.07,47.497
192.8,147.46,221.29,-47.497,-1.04,0.1,47.506
152.8,147.46,221.29,-47.531,-1.05,0.12,47.542
192.8,107.46,221.29,-47.504,-1.09,0.17,47.517
232.8,107.46,221.29,-47.486,-1.07,0.14,47.498
272.8,107.46,221.29,-47.45,-1.06,0.1,47.462
312.8,107.46,261.29,-47.462,-1.01,-0.01,47.472
272.8,107.46,261.29,-47.462,-1.01,0.01,47.473
232.8,107.46,261.29,-47.47,-1.02,0.05,47.481
192.8,107.46,261.29,-47.491,-1.04,0.07,47.503
152.8,107.46,261.29,-47.513,-1.05,0.08,47.523
152.8,147.46,261.29,-47.586,-1.06,0.14,47.598
192.8,147.46,261.29,-47.559,-1.03,0.07,47.571
232.8,147.46,261.29,-47.53,-1.04,0.08,47.545
272.8,147.46,261.29,-47.506,-1.03,0.07,47.517
312.8,147.46,261.29,-47.5,-1.02,0.05,47.511
312.8,187.46,261.29,-47.501,-1.02,0.04,47.515
272.8,187.46,261.29,-47.527,-1.01,0.08,47.537
232.8,187.46,261.29,-47.514,-1.01,0.1,47.525
192.8,187.46,261.29,-47.503,-1.02,0.09,47.514
152.8,187.46,261.29,-47.532,-1.01,0.08,47.543
152.8,227.46,261.29,-47.558,-1.01,0.09,47.57
192.8,227.46,261.29,-47.596,-1,0.07,47.607
232.8,227.46,261.29,-47.522,-1,0.07,47.533
272.8,227.46,261.29,-47.493,-1.01,0.11,47.5
312.8,227.46,261.29,-47.489,-1.01,0.15,47.5
272.8,267.46,261.29,-47.449,-1,0.17,47.46
232.8,267.46,261.29,-47.447,-1,0.15,47.458
192.8,267.46,261.29,-47.442,-1.01,0.11,47.453
152.8,267.46,301.29,-47.484,-0.96,-0.03,47.494
192.8,267.46,301.29,-47.473,-0.98,0.03,47.483
232.8,267.46,301.29,-47.48,-0.99,0.07,47.49
272.8,267.46,301.29,-47.45,-0.99,0.12,47.461
312.8,267.46,301.29,-47.459,-1.01,0.16,47.473
312.8,227.46,301.29,-47.455,-1.02,0.23,47.467
272.8,227.46,301.29,-47.546,-1,0.17,47.556
232.8,227.46,301.29,-47.497,-0.99,0.13,47.512
192.8,227.46,301.29,-47.497,-0.98,0.1,47.507
152.8,227.46,301.29,-47.522,-0.98,0.06,47.533
112.8,187.46,301.29,-47.589,-1,0.06,47.601
152.8,187.46,301.29,-47.577,-1,0.06,47.587
192.8,187.46,301.29,-47.566,-0.99,0.06,47.576
232.8,187.46,301.29,-47.533,-0.98,0.05,47.544
272.8,187.46,301.29,-47.515,-0.99,0.07,47.526
312.8,187.46,301.29,-47.516,-0.99,0.08,47.527
352.8,187.46,301.29,-47.537,-0.99,0.07,47.546
312.8,147.46,301.29,-47.527,-1,0.03,47.538
272.8,147.46,301.29,-47.513,-1,0.03,47.524
232.8,147.46,301.29,-47.512,-1,0.04,47.522
192.8,147.46,301.29,-47.512,-1.01,0.04,47.523
152.8,147.46,301.29,-47.541,-1,0.05,47.55
152.8,107.46,301.29,-47.574,-1,0.04,47.585
192.8,107.46,301.29,-47.581,-1.02,0.08,47.592
232.8,107.46,301.29,-47.527,-1.01,0.05,47.537
272.8,107.46,301.29,-47.495,-1.02,0.04,47.506
312.8,107.46,301.29,-47.494,-1.01,0.02,47.505
232.8,67.46,301.29,-47.455,-1.04,0.05,47.466
312.8,107.46,341.29,-47.511,-1.01,-0.06,47.521
272.8,107.46,341.29,-47.504,-1.02,-0.04,47.515
232.8,107.46,341.29,-47.5,-1.02,0,47.511
192.8,107.46,341.29,-47.496,-1,0,47.506
152.8,107.46,341.29,-47.515,-0.98,0.02,47.524
152.8,147.46,341.29,-47.612,-0.97,0.08,47.622
192.8,147.46,341.29,-47.591,-0.94,0,47.601
232.8,147.46,341.29,-47.532,-0.97,0.02,47.535
272.8,147.46,341.29,-47.513,-0.98,0,47.523
312.8,147.46,341.29,-47.522,-0.99,0.01,47.532
312.8,187.46,341.29,-47.548,-0.98,0,47.555
272.8,187.46,341.29,-47.558,-0.97,0.05,47.568
232.8,187.46,341.29,-47.526,-0.96,0.06,47.536
192.8,187.46,341.29,-47.516,-0.95,0.03,47.526
152.8,187.46,341.29,-47.527,-0.93,0.02,47.537
152.8,227.46,341.29,-47.573,-0.92,0.03,47.582
192.8,227.46,341.29,-47.596,-0.92,0.04,47.605
232.8,227.46,341.29,-47.511,-0.93,0.05,47.52
272.8,227.46,341.29,-47.486,-0.95,0.09,47.495
312.8,227.46,341.29,-47.496,-0.96,0.13,47.506
272.8,267.46,341.29,-47.437,-1,0.18,47.447
232.8,267.46,341.29,-47.444,-0.98,0.15,47.457
