# COSI2 B0 scan
# time 2024-08-20 13:27:10.959342
# MAGNET CENTER IN LAB: x 232.800 mm, y 187.460 mm, z 301.290 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240731/240820_fine_ball_recalculated_one_ring
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
232.800,187.460,181.290,-47.5030,-1.0400,0.1300,47.5140
252.800,227.460,191.290,-47.5060,-1.0400,0.1300,47.5120
242.800,227.460,191.290,-47.5000,-1.0300,0.1300,47.5120
232.800,227.460,191.290,-47.4920,-1.0400,0.1800,47.4990
222.800,227.460,191.290,-47.4650,-1.0300,0.1600,47.4790
212.800,227.460,191.290,-47.4610,-1.0300,0.1400,47.4720
202.800,217.460,191.290,-47.4610,-1.0400,0.1300,47.4740
212.800,217.460,191.290,-47.4780,-1.0400,0.1100,47.4840
222.800,217.460,191.290,-47.4740,-1.0400,0.1100,47.4840
232.800,217.460,191.290,-47.4750,-1.0300,0.1300,47.4850
242.800,217.460,191.290,-47.4720,-1.0500,0.1400,47.4840
252.800,217.460,191.290,-47.4840,-1.0400,0.1600,47.4960
262.800,217.460,191.290,-47.4930,-1.0400,0.1600,47.5050
272.800,207.460,191.290,-47.5090,-1.0500,0.1600,47.5210
262.800,207.460,191.290,-47.5170,-1.0600,0.1700,47.5290
252.800,207.460,191.290,-47.5180,-1.0600,0.1600,47.5300
242.800,207.460,191.290,-47.5090,-1.0400,0.1600,47.5200
232.800,207.460,191.290,-47.4950,-1.0400,0.1500,47.5070
222.800,207.460,191.290,-47.4900,-1.0400,0.1400,47.5020
212.800,207.460,191.290,-47.4910,-1.0300,0.1300,47.5020
202.800,207.460,191.290,-47.4900,-1.0300,0.1200,47.5020
192.800,207.460,191.290,-47.4970,-1.0500,0.1000,47.5080
192.800,197.460,191.290,-47.5090,-1.0400,0.0900,47.5210
202.800,197.460,191.290,-47.5220,-1.0400,0.0900,47.5330
212.800,197.460,191.290,-47.5140,-1.0300,0.1000,47.5250
222.800,197.460,191.290,-47.5030,-1.0300,0.1100,47.5140
232.800,197.460,191.290,-47.5010,-1.0300,0.1200,47.5120
242.800,197.460,191.290,-47.4970,-1.0400,0.1200,47.5090
252.800,197.460,191.290,-47.4970,-1.0500,0.1300,47.5090
262.800,197.460,191.290,-47.5050,-1.0500,0.1400,47.5170
272.800,197.460,191.290,-47.5180,-1.0500,0.1400,47.5290
272.800,187.460,191.290,-47.5240,-1.0600,0.1400,47.5360
262.800,187.460,191.290,-47.5270,-1.0700,0.1300,47.5400
252.800,187.460,191.290,-47.5200,-1.0600,0.1300,47.5320
242.800,187.460,191.290,-47.5130,-1.0500,0.1300,47.5240
232.800,187.460,191.290,-47.5060,-1.0300,0.1300,47.5180
222.800,187.460,191.290,-47.5060,-1.0400,0.1400,47.5170
212.800,187.460,191.290,-47.5060,-1.0500,0.1300,47.5190
202.800,187.460,191.290,-47.5100,-1.0400,0.1300,47.5210
192.800,187.460,191.290,-47.5220,-1.0400,0.1000,47.5310
192.800,177.460,191.290,-47.5290,-1.0400,0.1100,47.5390
202.800,177.460,191.290,-47.5370,-1.0300,0.1300,47.5470
212.800,177.460,191.290,-47.5260,-1.0300,0.1300,47.5390
222.800,177.460,191.290,-47.5150,-1.0400,0.1200,47.5250
232.800,177.460,191.290,-47.5100,-1.0500,0.1300,47.5240
242.800,177.460,191.290,-47.5050,-1.0400,0.1200,47.5170
252.800,177.460,191.290,-47.5030,-1.0400,0.1300,47.5130
262.800,177.460,191.290,-47.5110,-1.0500,0.1200,47.5200
272.800,177.460,191.290,-47.5160,-1.0700,0.1100,47.5270
272.800,167.460,191.290,-47.5230,-1.0700,0.1000,47.5310
262.800,167.460,191.290,-47.5140,-1.0700,0.0900,47.5260
252.800,167.460,191.290,-47.5060,-1.0700,0.1000,47.5190
242.800,167.460,191.290,-47.5010,-1.0500,0.1200,47.5120
232.800,167.460,191.290,-47.5020,-1.0500,0.1200,47.5130
222.800,167.460,191.290,-47.4970,-1.0500,0.1200,47.5090
212.800,167.460,191.290,-47.5020,-1.0400,0.1300,47.5140
202.800,167.460,191.290,-47.5090,-1.0400,0.1200,47.5210
192.800,167.460,191.290,-47.5240,-1.0400,0.1300,47.5350
202.800,157.460,191.290,-47.5330,-1.0300,0.1300,47.5440
212.800,157.460,191.290,-47.5290,-1.0500,0.1300,47.5410
222.800,157.460,191.290,-47.5180,-1.0500,0.1300,47.5300
