# COSI2 B0 scan
# time 2024-08-26 15:37:59.114386
# MAGNET CENTER IN LAB: x 232.800 mm, y 187.460 mm, z 301.290 mm
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240731/240826_MAP_ONERING_NEGATIVE_ANGLES
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
232.800,187.460,181.290,-47.5080,-1.2290,0.3960,47.5270
232.800,267.460,221.290,-47.5080,-1.2210,0.4050,47.5260
272.800,227.460,221.290,-47.4810,-1.1760,0.4190,47.4950
232.800,227.460,221.290,-47.5480,-1.1890,0.4350,47.5660
192.800,227.460,221.290,-47.5330,-1.1950,0.4010,47.5520
152.800,187.460,221.290,-47.5670,-1.2220,0.3820,47.5840
192.800,187.460,221.290,-47.6280,-1.2480,0.3930,47.6480
232.800,187.460,221.290,-47.5760,-1.2300,0.3770,47.5940
272.800,187.460,221.290,-47.5450,-1.2050,0.3860,47.5620
312.800,187.460,221.290,-47.5460,-1.1830,0.3760,47.5620
312.800,147.460,221.290,-47.5570,-1.1660,0.3560,47.5720
272.800,147.460,221.290,-47.5340,-1.1410,0.3410,47.5500
232.800,147.460,221.290,-47.5190,-1.1760,0.3360,47.5360
192.800,147.460,221.290,-47.5300,-1.2200,0.3650,47.5450
152.800,147.460,221.290,-47.5730,-1.2420,0.3890,47.5910
192.800,107.460,221.290,-47.6430,-1.2600,0.3610,47.6610
232.800,107.460,221.290,-47.5140,-1.2920,0.4310,47.5340
272.800,107.460,221.290,-47.4740,-1.2260,0.3640,47.4900
312.800,107.460,261.290,-47.4520,-1.1560,0.2820,47.4650
272.800,107.460,261.290,-47.5050,-1.1150,0.2250,47.5170
232.800,107.460,261.290,-47.5290,-1.1670,0.3210,47.5450
192.800,107.460,261.290,-47.5400,-1.2020,0.3440,47.5570
152.800,107.460,261.290,-47.5800,-1.2310,0.3600,47.5980
152.800,147.460,261.290,-47.6070,-1.2720,0.4370,47.6250
192.800,147.460,261.290,-47.6710,-1.2260,0.3560,47.6840
232.800,147.460,261.290,-47.6010,-1.2080,0.3700,47.6170
272.800,147.460,261.290,-47.5700,-1.1960,0.3420,47.5860
312.800,147.460,261.290,-47.5590,-1.1720,0.3330,47.5770
312.800,187.460,261.290,-47.5800,-1.1410,0.3050,47.5970
272.800,187.460,261.290,-47.6050,-1.1440,0.3490,47.6200
232.800,187.460,261.290,-47.5770,-1.1700,0.3650,47.5920
