# COSI2 B0 scan,,,,,,
# time 2024-08-26 15:37:59.114386,,,,,,
# MAGNET CENTER IN LAB: x 232.800 mm, y 187.460 mm, z 301.290 mm,,,,
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 90.00 deg, gamma 0.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240731/240826_MAP_ONERING_NEGATIVE_ANGLES,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
232.8,187.46,181.29,-47.508,-1.221,0.405,47.526
232.8,267.46,221.29,-47.481,-1.176,0.419,47.495
272.8,227.46,221.29,-47.548,-1.189,0.435,47.566
232.8,227.46,221.29,-47.533,-1.195,0.401,47.552
192.8,227.46,221.29,-47.567,-1.222,0.382,47.584
152.8,187.46,221.29,-47.628,-1.248,0.393,47.648
192.8,187.46,221.29,-47.576,-1.23,0.377,47.594
232.8,187.46,221.29,-47.545,-1.205,0.386,47.562
272.8,187.46,221.29,-47.546,-1.183,0.376,47.562
312.8,187.46,221.29,-47.557,-1.166,0.356,47.572
312.8,147.46,221.29,-47.534,-1.141,0.341,47.55
272.8,147.46,221.29,-47.519,-1.176,0.336,47.536
232.8,147.46,221.29,-47.53,-1.22,0.365,47.545
192.8,147.46,221.29,-47.573,-1.242,0.389,47.591
152.8,147.46,221.29,-47.643,-1.26,0.361,47.661
192.8,107.46,221.29,-47.514,-1.292,0.431,47.534
232.8,107.46,221.29,-47.474,-1.226,0.364,47.49
272.8,107.46,221.29,-47.452,-1.156,0.282,47.465
312.8,107.46,261.29,-47.505,-1.115,0.225,47.517
272.8,107.46,261.29,-47.529,-1.167,0.321,47.545
232.8,107.46,261.29,-47.54,-1.202,0.344,47.557
192.8,107.46,261.29,-47.58,-1.231,0.36,47.598
152.8,107.46,261.29,-47.607,-1.272,0.437,47.625
152.8,147.46,261.29,-47.671,-1.226,0.356,47.684
192.8,147.46,261.29,-47.601,-1.208,0.37,47.617
232.8,147.46,261.29,-47.57,-1.196,0.342,47.586
272.8,147.46,261.29,-47.559,-1.172,0.333,47.577
312.8,147.46,261.29,-47.58,-1.141,0.305,47.597
312.8,187.46,261.29,-47.605,-1.144,0.349,47.62
272.8,187.46,261.29,-47.577,-1.17,0.365,47.592
232.8,187.46,261.29,-47.578,-1.184,0.365,47.594
192.8,187.46,261.29,-47.604,-1.193,0.352,47.62
152.8,187.46,261.29,-47.656,-1.213,0.358,47.673
152.8,227.46,261.29,-47.668,-1.198,0.341,47.684
192.8,227.46,261.29,-47.593,-1.191,0.358,47.61
232.8,227.46,261.29,-47.559,-1.182,0.379,47.575
272.8,227.46,261.29,-47.568,-1.17,0.414,47.583
312.8,227.46,261.29,-47.622,-1.154,0.415,47.639
272.8,267.46,261.29,-47.527,-1.153,0.455,47.543
232.8,267.46,261.29,-47.522,-1.164,0.403,47.538
192.8,267.46,261.29,-47.547,-1.183,0.347,47.563
152.8,267.46,301.29,-47.627,-1.137,0.247,47.642
192.8,267.46,301.29,-47.562,-1.149,0.34,47.576
232.8,267.46,301.29,-47.532,-1.152,0.383,47.547
272.8,267.46,301.29,-47.54,-1.172,0.437,47.556
312.8,267.46,301.29,-47.574,-1.163,0.524,47.592
312.8,227.46,301.29,-47.644,-1.152,0.423,47.662
272.8,227.46,301.29,-47.586,-1.156,0.393,47.601
