# COSI2 B0 scan
# time 2024-08-26 21:14:33.996040
# MAGNET CENTER IN LAB: x 230.640 mm, y 199.490 mm, z 302.240 mm
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240731/240826_MAP_ONERING_POSITIVE_ANGLES
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
230.640,199.490,182.240,-47.5050,-1.1600,0.5900,47.5230
250.640,239.490,192.240,-47.5040,-1.1700,0.5900,47.5220
240.640,239.490,192.240,-47.5000,-1.1620,0.6560,47.5180
230.640,239.490,192.240,-47.4920,-1.1590,0.6400,47.5120
220.640,239.490,192.240,-47.4820,-1.1590,0.6390,47.5000
210.640,239.490,192.240,-47.4750,-1.1620,0.6220,47.4930
200.640,229.490,192.240,-47.4730,-1.1630,0.5990,47.4910
210.640,229.490,192.240,-47.4880,-1.1680,0.5760,47.5030
220.640,229.490,192.240,-47.4850,-1.1620,0.5850,47.5020
230.640,229.490,192.240,-47.4880,-1.1610,0.6060,47.5060
240.640,229.490,192.240,-47.4850,-1.1580,0.6190,47.5040
250.640,229.490,192.240,-47.4980,-1.1630,0.6180,47.5170
260.640,229.490,192.240,-47.5110,-1.1690,0.6400,47.5300
270.640,219.490,192.240,-47.5240,-1.1910,0.6460,47.5430
260.640,219.490,192.240,-47.5370,-1.2070,0.6290,47.5550
250.640,219.490,192.240,-47.5280,-1.1870,0.6180,47.5470
240.640,219.490,192.240,-47.5140,-1.1770,0.6190,47.5310
230.640,219.490,192.240,-47.5070,-1.1680,0.6210,47.5220
220.640,219.490,192.240,-47.5000,-1.1650,0.6120,47.5190
210.640,219.490,192.240,-47.4950,-1.1600,0.5980,47.5130
200.640,219.490,192.240,-47.4940,-1.1660,0.5890,47.5120
190.640,219.490,192.240,-47.4990,-1.1710,0.5780,47.5190
190.640,209.490,192.240,-47.5090,-1.1700,0.5720,47.5270
200.640,209.490,192.240,-47.5190,-1.1610,0.5730,47.5380
210.640,209.490,192.240,-47.5110,-1.1610,0.5810,47.5280
220.640,209.490,192.240,-47.5050,-1.1640,0.5880,47.5240
230.640,209.490,192.240,-47.5020,-1.1660,0.5930,47.5230
240.640,209.490,192.240,-47.5030,-1.1730,0.5980,47.5210
250.640,209.490,192.240,-47.5110,-1.1630,0.6020,47.5290
260.640,209.490,192.240,-47.5220,-1.1820,0.6040,47.5410
270.640,209.490,192.240,-47.5270,-1.2030,0.6070,47.5450
270.640,199.490,192.240,-47.5400,-1.2100,0.6050,47.5610
260.640,199.490,192.240,-47.5300,-1.2120,0.5840,47.5500
250.640,199.490,192.240,-47.5240,-1.2010,0.5920,47.5420
240.640,199.490,192.240,-47.5180,-1.1800,0.5870,47.5360
230.640,199.490,192.240,-47.5090,-1.1700,0.5810,47.5290
220.640,199.490,192.240,-47.5050,-1.1760,0.6050,47.5230
210.640,199.490,192.240,-47.5080,-1.1640,0.5940,47.5240
200.640,199.490,192.240,-47.5060,-1.1560,0.5940,47.5240
190.640,199.490,192.240,-47.5140,-1.1620,0.5870,47.5310
190.640,189.490,192.240,-47.5280,-1.1520,0.5790,47.5460
200.640,189.490,192.240,-47.5270,-1.1570,0.6050,47.5450
210.640,189.490,192.240,-47.5190,-1.1750,0.5980,47.5360
220.640,189.490,192.240,-47.5080,-1.1640,0.5990,47.5260
230.640,189.490,192.240,-47.5040,-1.1740,0.5840,47.5240
240.640,189.490,192.240,-47.5050,-1.1800,0.5850,47.5220
250.640,189.490,192.240,-47.5030,-1.1830,0.5790,47.5220
260.640,189.490,192.240,-47.5120,-1.1870,0.5740,47.5290
270.640,189.490,192.240,-47.5140,-1.1850,0.5650,47.5320
270.640,179.490,192.240,-47.5170,-1.2100,0.5600,47.5370
260.640,179.490,192.240,-47.5040,-1.1950,0.5440,47.5210
250.640,179.490,192.240,-47.5000,-1.1830,0.5660,47.5190
240.640,179.490,192.240,-47.5040,-1.1720,0.5620,47.5230
230.640,179.490,192.240,-47.4960,-1.1810,0.5760,47.5140
220.640,179.490,192.240,-47.4980,-1.1620,0.5880,47.5140
210.640,179.490,192.240,-47.5010,-1.1830,0.5970,47.5190
200.640,179.490,192.240,-47.5060,-1.1720,0.6000,47.5250
190.640,179.490,192.240,-47.5130,-1.1710,0.6050,47.5330
200.640,169.490,192.240,-47.5230,-1.1730,0.6090,47.5420
210.640,169.490,192.240,-47.5140,-1.1820,0.6040,47.5330
220.640,169.490,192.240,-47.4960,-1.1810,0.5980,47.5160
230.640,169.490,192.240,-47.4930,-1.1890,0.5860,47.5110
240.640,169.490,192.240,-47.4880,-1.1810,0.5850,47.5060
250.640,169.490,192.240,-47.4910,-1.1910,0.5840,47.5090
260.640,169.490,192.240,-47.4900,-1.1730,0.5650,47.5080
250.640,159.490,192.240,-47.4910,-1.1890,0.5480,47.5080
240.640,159.490,192.240,-47.4770,-1.1840,0.5630,47.4950
230.640,159.490,192.240,-47.4800,-1.1940,0.5700,47.4970
220.640,159.490,192.240,-47.4820,-1.1850,0.5880,47.4990
210.640,159.490,192.240,-47.4820,-1.1860,0.5940,47.5020
210.640,139.490,202.240,-47.4910,-1.1890,0.6050,47.5090
220.640,139.490,202.240,-47.4820,-1.1940,0.5990,47.5010
230.640,139.490,202.240,-47.4680,-1.1960,0.5830,47.4870
240.640,139.490,202.240,-47.4570,-1.1890,0.5700,47.4760
250.640,139.490,202.240,-47.4510,-1.1890,0.5570,47.4700
270.640,149.490,202.240,-47.4520,-1.1810,0.5400,47.4710
260.640,149.490,202.240,-47.4660,-1.1810,0.5280,47.4840
250.640,149.490,202.240,-47.4650,-1.1810,0.5500,47.4810
240.640,149.490,202.240,-47.4660,-1.1890,0.5530,47.4850
230.640,149.490,202.240,-47.4670,-1.1860,0.5680,47.4840
220.640,149.490,202.240,-47.4700,-1.1750,0.5740,47.4870
210.640,149.490,202.240,-47.4790,-1.1890,0.5820,47.4980
200.640,149.490,202.240,-47.4900,-1.1840,0.5880,47.5090
190.640,149.490,202.240,-47.5030,-1.1810,0.6020,47.5210
180.640,159.490,202.240,-47.5190,-1.1810,0.5970,47.5370
190.640,159.490,202.240,-47.5310,-1.1820,0.5950,47.5490
200.640,159.490,202.240,-47.5190,-1.1810,0.5970,47.5380
210.640,159.490,202.240,-47.5080,-1.1810,0.5970,47.5280
220.640,159.490,202.240,-47.4970,-1.1750,0.5870,47.5160
230.640,159.490,202.240,-47.4880,-1.1800,0.5750,47.5070
240.640,159.490,202.240,-47.4840,-1.1840,0.5750,47.5020
250.640,159.490,202.240,-47.4830,-1.1810,0.5670,47.4990
260.640,159.490,202.240,-47.4790,-1.1830,0.5590,47.4970
270.640,159.490,202.240,-47.4770,-1.1820,0.5440,47.4950
280.640,159.490,202.240,-47.4800,-1.1780,0.5310,47.4990
280.640,169.490,202.240,-47.4800,-1.1840,0.5410,47.4970
270.640,169.490,202.240,-47.4880,-1.1850,0.5280,47.5050
260.640,169.490,202.240,-47.4850,-1.1770,0.5340,47.5040
250.640,169.490,202.240,-47.4880,-1.1720,0.5510,47.5060
240.640,169.490,202.240,-47.4880,-1.1860,0.5650,47.5080
230.640,169.490,202.240,-47.4870,-1.1840,0.5740,47.5050
220.640,169.490,202.240,-47.4880,-1.1820,0.5700,47.5060
210.640,169.490,202.240,-47.4960,-1.1740,0.5740,47.5150
200.640,169.490,202.240,-47.5020,-1.1780,0.5940,47.5200
190.640,169.490,202.240,-47.5090,-1.1760,0.5900,47.5280
180.640,169.490,202.240,-47.5180,-1.1760,0.5890,47.5360
170.640,179.490,202.240,-47.5230,-1.1730,0.5900,47.5430
180.640,179.490,202.240,-47.5340,-1.1570,0.5930,47.5520
190.640,179.490,202.240,-47.5300,-1.1640,0.5860,47.5460
200.640,179.490,202.240,-47.5230,-1.1650,0.5900,47.5400
210.640,179.490,202.240,-47.5120,-1.1740,0.5950,47.5300
220.640,179.490,202.240,-47.5050,-1.1720,0.5890,47.5220
230.640,179.490,202.240,-47.4990,-1.1720,0.5850,47.5180
240.640,179.490,202.240,-47.4980,-1.1690,0.5740,47.5170
250.640,179.490,202.240,-47.4980,-1.1760,0.5770,47.5160
260.640,179.490,202.240,-47.4950,-1.1800,0.5710,47.5120
270.640,179.490,202.240,-47.4990,-1.1830,0.5620,47.5190
280.640,179.490,202.240,-47.4990,-1.1890,0.5600,47.5170
290.640,179.490,202.240,-47.4990,-1.1920,0.5340,47.5160
290.640,189.490,202.240,-47.4940,-1.1960,0.5140,47.5120
280.640,189.490,202.240,-47.5140,-1.2120,0.5350,47.5320
270.640,189.490,202.240,-47.5130,-1.2000,0.5520,47.5310
260.640,189.490,202.240,-47.5130,-1.1890,0.5610,47.5320
250.640,189.490,202.240,-47.5110,-1.1860,0.5670,47.5280
240.640,189.490,202.240,-47.5060,-1.1760,0.5740,47.5240
230.640,189.490,202.240,-47.5040,-1.1710,0.5770,47.5220
220.640,189.490,202.240,-47.5000,-1.1570,0.5830,47.5190
210.640,189.490,202.240,-47.5020,-1.1700,0.5890,47.5220
200.640,189.490,202.240,-47.5120,-1.1710,0.5860,47.5280
190.640,189.490,202.240,-47.5160,-1.1600,0.5930,47.5310
180.640,189.490,202.240,-47.5280,-1.1650,0.5850,47.5450
170.640,189.490,202.240,-47.5300,-1.1640,0.5860,47.5500
170.640,199.490,202.240,-47.5400,-1.1530,0.5930,47.5580
180.640,199.490,202.240,-47.5390,-1.1610,0.5770,47.5570
190.640,199.490,202.240,-47.5290,-1.1530,0.5710,47.5480
