# COSI2 B0 scan,,,,,,
# time 2024-08-26 21:14:33.996040,,,,,,
# MAGNET CENTER IN LAB: x 230.640 mm, y 199.490 mm, z 302.240 mm,,,,
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 90.00 deg, gamma 0.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240731/240826_MAP_ONERING_POSITIVE_ANGLES,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
230.64,199.49,182.24,-47.504,-1.17,0.59,47.522
250.64,239.49,192.24,-47.5,-1.162,0.656,47.518
240.64,239.49,192.24,-47.492,-1.159,0.64,47.512
230.64,239.49,192.24,-47.482,-1.159,0.639,47.5
220.64,239.49,192.24,-47.475,-1.162,0.622,47.493
210.64,239.49,192.24,-47.473,-1.163,0.599,47.491
200.64,229.49,192.24,-47.488,-1.168,0.576,47.503
210.64,229.49,192.24,-47.485,-1.162,0.585,47.502
220.64,229.49,192.24,-47.488,-1.161,0.606,47.506
230.64,229.49,192.24,-47.485,-1.158,0.619,47.504
240.64,229.49,192.24,-47.498,-1.163,0.618,47.517
250.64,229.49,192.24,-47.511,-1.169,0.64,47.53
260.64,229.49,192.24,-47.524,-1.191,0.646,47.543
270.64,219.49,192.24,-47.537,-1.207,0.629,47.555
260.64,219.49,192.24,-47.528,-1.187,0.618,47.547
250.64,219.49,192.24,-47.514,-1.177,0.619,47.531
240.64,219.49,192.24,-47.507,-1.168,0.621,47.522
230.64,219.49,192.24,-47.5,-1.165,0.612,47.519
220.64,219.49,192.24,-47.495,-1.16,0.598,47.513
210.64,219.49,192.24,-47.494,-1.166,0.589,47.512
200.64,219.49,192.24,-47.499,-1.171,0.578,47.519
190.64,219.49,192.24,-47.509,-1.17,0.572,47.527
190.64,209.49,192.24,-47.519,-1.161,0.573,47.538
200.64,209.49,192.24,-47.511,-1.161,0.581,47.528
210.64,209.49,192.24,-47.505,-1.164,0.588,47.524
220.64,209.49,192.24,-47.502,-1.166,0.593,47.523
230.64,209.49,192.24,-47.503,-1.173,0.598,47.521
240.64,209.49,192.24,-47.511,-1.163,0.602,47.529
250.64,209.49,192.24,-47.522,-1.182,0.604,47.541
260.64,209.49,192.24,-47.527,-1.203,0.607,47.545
270.64,209.49,192.24,-47.54,-1.21,0.605,47.561
270.64,199.49,192.24,-47.53,-1.212,0.584,47.55
260.64,199.49,192.24,-47.524,-1.201,0.592,47.542
250.64,199.49,192.24,-47.518,-1.18,0.587,47.536
240.64,199.49,192.24,-47.509,-1.17,0.581,47.529
230.64,199.49,192.24,-47.505,-1.176,0.605,47.523
220.64,199.49,192.24,-47.508,-1.164,0.594,47.524
210.64,199.49,192.24,-47.506,-1.156,0.594,47.524
200.64,199.49,192.24,-47.514,-1.162,0.587,47.531
190.64,199.49,192.24,-47.528,-1.152,0.579,47.546
190.64,189.49,192.24,-47.527,-1.157,0.605,47.545
200.64,189.49,192.24,-47.519,-1.175,0.598,47.536
210.64,189.49,192.24,-47.508,-1.164,0.599,47.526
220.64,189.49,192.24,-47.504,-1.174,0.584,47.524
230.64,189.49,192.24,-47.505,-1.18,0.585,47.522
240.64,189.49,192.24,-47.503,-1.183,0.579,47.522
250.64,189.49,192.24,-47.512,-1.187,0.574,47.529
260.64,189.49,192.24,-47.514,-1.185,0.565,47.532
270.64,189.49,192.24,-47.517,-1.21,0.56,47.537
270.64,179.49,192.24,-47.504,-1.195,0.544,47.521
260.64,179.49,192.24,-47.5,-1.183,0.566,47.519
250.64,179.49,192.24,-47.504,-1.172,0.562,47.523
240.64,179.49,192.24,-47.496,-1.181,0.576,47.514
230.64,179.49,192.24,-47.498,-1.162,0.588,47.514
220.64,179.49,192.24,-47.501,-1.183,0.597,47.519
210.64,179.49,192.24,-47.506,-1.172,0.6,47.525
200.64,179.49,192.24,-47.513,-1.171,0.605,47.533
190.64,179.49,192.24,-47.523,-1.173,0.609,47.542
200.64,169.49,192.24,-47.514,-1.182,0.604,47.533
210.64,169.49,192.24,-47.496,-1.181,0.598,47.516
220.64,169.49,192.24,-47.493,-1.189,0.586,47.511
230.64,169.49,192.24,-47.488,-1.181,0.585,47.506
240.64,169.49,192.24,-47.491,-1.191,0.584,47.509
250.64,169.49,192.24,-47.49,-1.173,0.565,47.508
260.64,169.49,192.24,-47.491,-1.189,0.548,47.508
250.64,159.49,192.24,-47.477,-1.184,0.563,47.495
240.64,159.49,192.24,-47.48,-1.194,0.57,47.497
230.64,159.49,192.24,-47.482,-1.185,0.588,47.499
220.64,159.49,192.24,-47.482,-1.186,0.594,47.502
210.64,159.49,192.24,-47.491,-1.189,0.605,47.509
210.64,139.49,202.24,-47.482,-1.194,0.599,47.501
220.64,139.49,202.24,-47.468,-1.196,0.583,47.487
230.64,139.49,202.24,-47.457,-1.189,0.57,47.476
240.64,139.49,202.24,-47.451,-1.189,0.557,47.47
250.64,139.49,202.24,-47.452,-1.181,0.54,47.471
270.64,149.49,202.24,-47.466,-1.181,0.528,47.484
260.64,149.49,202.24,-47.465,-1.181,0.55,47.481
250.64,149.49,202.24,-47.466,-1.189,0.553,47.485
240.64,149.49,202.24,-47.467,-1.186,0.568,47.484
230.64,149.49,202.24,-47.47,-1.175,0.574,47.487
220.64,149.49,202.24,-47.479,-1.189,0.582,47.498
210.64,149.49,202.24,-47.49,-1.184,0.588,47.509
200.64,149.49,202.24,-47.503,-1.181,0.602,47.521
190.64,149.49,202.24,-47.519,-1.181,0.597,47.537
180.64,159.49,202.24,-47.531,-1.182,0.595,47.549
190.64,159.49,202.24,-47.519,-1.181,0.597,47.538
200.64,159.49,202.24,-47.508,-1.181,0.597,47.528
210.64,159.49,202.24,-47.497,-1.175,0.587,47.516
220.64,159.49,202.24,-47.488,-1.18,0.575,47.507
230.64,159.49,202.24,-47.484,-1.184,0.575,47.502
240.64,159.49,202.24,-47.483,-1.181,0.567,47.499
250.64,159.49,202.24,-47.479,-1.183,0.559,47.497
260.64,159.49,202.24,-47.477,-1.182,0.544,47.495
270.64,159.49,202.24,-47.48,-1.178,0.531,47.499
280.64,159.49,202.24,-47.48,-1.184,0.541,47.497
280.64,169.49,202.24,-47.488,-1.185,0.528,47.505
270.64,169.49,202.24,-47.485,-1.177,0.534,47.504
260.64,169.49,202.24,-47.488,-1.172,0.551,47.506
250.64,169.49,202.24,-47.488,-1.186,0.565,47.508
240.64,169.49,202.24,-47.487,-1.184,0.574,47.505
230.64,169.49,202.24,-47.488,-1.182,0.57,47.506
220.64,169.49,202.24,-47.496,-1.174,0.574,47.515
210.64,169.49,202.24,-47.502,-1.178,0.594,47.52
200.64,169.49,202.24,-47.509,-1.176,0.59,47.528
190.64,169.49,202.24,-47.518,-1.176,0.589,47.536
180.64,169.49,202.24,-47.523,-1.173,0.59,47.543
170.64,179.49,202.24,-47.534,-1.157,0.593,47.552
180.64,179.49,202.24,-47.53,-1.164,0.586,47.546
190.64,179.49,202.24,-47.523,-1.165,0.59,47.54
200.64,179.49,202.24,-47.512,-1.174,0.595,47.53
210.64,179.49,202.24,-47.505,-1.172,0.589,47.522
220.64,179.49,202.24,-47.499,-1.172,0.585,47.518
230.64,179.49,202.24,-47.498,-1.169,0.574,47.517
240.64,179.49,202.24,-47.498,-1.176,0.577,47.516
