# COSI2 B0 scan
# time 2024-08-27 18:12:41.203396
# MAGNET CENTER IN LAB: x 230.640 mm, y 199.490 mm, z 302.240 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta 0.00 deg, gamma 90.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240731/240827_NEWINSERTS_EULERSIM_R120_12pts
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
230.640,199.490,182.240,-47.4560,-1.0600,0.8700,47.4760
250.640,239.490,192.240,-47.4580,-1.0660,0.8550,47.4770
240.640,239.490,192.240,-47.4600,-1.0760,0.8890,47.4810
230.640,239.490,192.240,-47.4560,-1.0820,0.8840,47.4810
220.640,239.490,192.240,-47.4460,-1.0780,0.8770,47.4660
210.640,239.490,192.240,-47.4260,-1.0790,0.8680,47.4470
200.640,229.490,192.240,-47.4210,-1.0800,0.8520,47.4410
210.640,229.490,192.240,-47.4280,-1.0880,0.8330,47.4480
220.640,229.490,192.240,-47.4380,-1.0910,0.8390,47.4580
230.640,229.490,192.240,-47.4330,-1.0850,0.8430,47.4520
240.640,229.490,192.240,-47.4380,-1.0840,0.8580,47.4580
250.640,229.490,192.240,-47.4460,-1.0770,0.8720,47.4630
260.640,229.490,192.240,-47.4600,-1.0940,0.8750,47.4790
270.640,219.490,192.240,-47.4720,-1.0870,0.8770,47.4920
260.640,219.490,192.240,-47.4890,-1.1080,0.8730,47.5070
250.640,219.490,192.240,-47.4940,-1.0890,0.8790,47.5170
240.640,219.490,192.240,-47.4810,-1.1010,0.8720,47.5050
230.640,219.490,192.240,-47.4690,-1.0730,0.8700,47.4900
220.640,219.490,192.240,-47.4580,-1.0730,0.8550,47.4770
210.640,219.490,192.240,-47.4500,-1.0720,0.8620,47.4720
200.640,219.490,192.240,-47.4460,-1.0700,0.8530,47.4650
190.640,219.490,192.240,-47.4470,-1.0850,0.8340,47.4650
190.640,209.490,192.240,-47.4490,-1.0960,0.8240,47.4650
200.640,209.490,192.240,-47.4600,-1.0900,0.8350,47.4780
210.640,209.490,192.240,-47.4650,-1.0840,0.8350,47.4850
220.640,209.490,192.240,-47.4540,-1.0800,0.8450,47.4740
230.640,209.490,192.240,-47.4560,-1.0890,0.8470,47.4760
240.640,209.490,192.240,-47.4540,-1.0670,0.8580,47.4720
250.640,209.490,192.240,-47.4600,-1.0700,0.8540,47.4800
260.640,209.490,192.240,-47.4710,-1.0890,0.8640,47.4880
270.640,209.490,192.240,-47.4790,-1.0840,0.8660,47.5010
270.640,199.490,192.240,-47.4870,-1.0990,0.8670,47.5050
260.640,199.490,192.240,-47.5020,-1.1010,0.8550,47.5210
250.640,199.490,192.240,-47.4910,-1.0960,0.8480,47.5130
240.640,199.490,192.240,-47.4820,-1.0770,0.8540,47.5040
230.640,199.490,192.240,-47.4700,-1.0730,0.8530,47.4900
220.640,199.490,192.240,-47.4660,-1.0730,0.8580,47.4860
210.640,199.490,192.240,-47.4560,-1.0720,0.8520,47.4760
200.640,199.490,192.240,-47.4580,-1.0720,0.8700,47.4760
190.640,199.490,192.240,-47.4590,-1.0800,0.8520,47.4780
190.640,189.490,192.240,-47.4700,-1.0780,0.8560,47.4890
200.640,189.490,192.240,-47.4790,-1.0810,0.8460,47.4990
210.640,189.490,192.240,-47.4760,-1.0810,0.8720,47.4980
220.640,189.490,192.240,-47.4620,-1.0820,0.8630,47.4840
230.640,189.490,192.240,-47.4580,-1.0750,0.8520,47.4780
240.640,189.490,192.240,-47.4560,-1.0750,0.8520,47.4760
250.640,189.490,192.240,-47.4540,-1.0800,0.8530,47.4740
260.640,189.490,192.240,-47.4630,-1.0790,0.8500,47.4830
270.640,189.490,192.240,-47.4750,-1.0840,0.8380,47.4910
270.640,179.490,192.240,-47.4810,-1.0930,0.8330,47.4990
260.640,179.490,192.240,-47.4840,-1.0870,0.8170,47.5070
250.640,179.490,192.240,-47.4710,-1.0700,0.8290,47.4920
240.640,179.490,192.240,-47.4660,-1.0730,0.8460,47.4890
230.640,179.490,192.240,-47.4590,-1.0790,0.8540,47.4790
220.640,179.490,192.240,-47.4510,-1.0710,0.8650,47.4720
210.640,179.490,192.240,-47.4540,-1.0680,0.8690,47.4740
200.640,179.490,192.240,-47.4500,-1.0800,0.8780,47.4700
190.640,179.490,192.240,-47.4560,-1.0840,0.8760,47.4770
200.640,169.490,192.240,-47.4720,-1.0980,0.8790,47.4910
210.640,169.490,192.240,-47.4700,-1.0900,0.8770,47.4940
220.640,169.490,192.240,-47.4540,-1.0960,0.8700,47.4760
230.640,169.490,192.240,-47.4450,-1.0730,0.8720,47.4700
240.640,169.490,192.240,-47.4460,-1.0870,0.8670,47.4690
250.640,169.490,192.240,-47.4400,-1.0720,0.8590,47.4600
260.640,169.490,192.240,-47.4450,-1.0760,0.8540,47.4630
250.640,159.490,192.240,-47.4530,-1.0730,0.8360,47.4710
240.640,159.490,192.240,-47.4460,-1.0750,0.8450,47.4680
230.640,159.490,192.240,-47.4370,-1.0830,0.8560,47.4570
220.640,159.490,192.240,-47.4360,-1.0850,0.8880,47.4560
210.640,159.490,192.240,-47.4340,-1.0880,0.8760,47.4560
210.640,139.490,202.240,-47.4430,-1.0960,0.8790,47.4620
220.640,139.490,202.240,-47.4400,-1.1140,0.8900,47.4640
230.640,139.490,202.240,-47.4300,-1.1120,0.8750,47.4510
240.640,139.490,202.240,-47.4260,-1.1070,0.8770,47.4470
250.640,139.490,202.240,-47.4210,-1.1020,0.8540,47.4420
270.640,149.490,202.240,-47.4170,-1.0900,0.8440,47.4400
260.640,149.490,202.240,-47.4330,-1.0900,0.8350,47.4490
250.640,149.490,202.240,-47.4360,-1.0790,0.8410,47.4540
240.640,149.490,202.240,-47.4310,-1.0900,0.8520,47.4510
230.640,149.490,202.240,-47.4290,-1.0930,0.8540,47.4490
220.640,149.490,202.240,-47.4290,-1.0990,0.8640,47.4500
210.640,149.490,202.240,-47.4340,-1.0960,0.8660,47.4550
200.640,149.490,202.240,-47.4400,-1.1020,0.8890,47.4600
190.640,149.490,202.240,-47.4480,-1.1070,0.8840,47.4660
180.640,159.490,202.240,-47.4600,-1.1140,0.8910,47.4820
190.640,159.490,202.240,-47.4730,-1.1110,0.8840,47.4930
200.640,159.490,202.240,-47.4840,-1.1150,0.8840,47.5070
210.640,159.490,202.240,-47.4700,-1.1010,0.8840,47.4910
220.640,159.490,202.240,-47.4640,-1.0950,0.8740,47.4850
230.640,159.490,202.240,-47.4490,-1.0950,0.8740,47.4730
240.640,159.490,202.240,-47.4400,-1.0840,0.8540,47.4620
250.640,159.490,202.240,-47.4410,-1.0850,0.8510,47.4600
260.640,159.490,202.240,-47.4380,-1.0840,0.8330,47.4570
270.640,159.490,202.240,-47.4380,-1.0810,0.8330,47.4590
280.640,159.490,202.240,-47.4460,-1.0790,0.8230,47.4640
280.640,169.490,202.240,-47.4480,-1.0750,0.8160,47.4650
270.640,169.490,202.240,-47.4450,-1.0730,0.8170,47.4630
260.640,169.490,202.240,-47.4580,-1.0730,0.8180,0.0000
250.640,169.490,202.240,0.0000,0.0000,0.0000,0.0000
240.640,169.490,202.240,-47.4540,-1.0670,0.8480,47.4740
230.640,169.490,202.240,-47.4510,-1.0800,0.8530,47.4690
220.640,169.490,202.240,-47.4480,-1.0870,0.8450,47.4660
210.640,169.490,202.240,-47.4510,-1.0820,0.8570,47.4680
200.640,169.490,202.240,-47.4520,-1.0890,0.8670,47.4730
190.640,169.490,202.240,-47.4630,-1.0950,0.8720,47.4820
180.640,169.490,202.240,-47.4690,-1.1020,0.8730,47.4880
170.640,179.490,202.240,-47.4820,-1.1030,0.8640,47.5020
180.640,179.490,202.240,-47.4970,-1.0990,0.8770,47.5160
190.640,179.490,202.240,-47.4990,-1.0870,0.8740,47.5200
200.640,179.490,202.240,-47.4870,-1.0920,0.8670,47.5090
210.640,179.490,202.240,-47.4770,-1.0910,0.8690,47.4970
220.640,179.490,202.240,-47.4700,-1.0900,0.8640,47.4910
230.640,179.490,202.240,-47.4600,-1.0780,0.8620,47.4820
240.640,179.490,202.240,-47.4540,-1.0800,0.8680,47.4730
250.640,179.490,202.240,-47.4580,-1.0830,0.8430,47.4750
260.640,179.490,202.240,-47.4570,-1.0760,0.8320,47.4750
270.640,179.490,202.240,-47.4610,-1.0790,0.8290,47.4790
280.640,179.490,202.240,-47.4640,-1.0910,0.8180,47.4830
290.640,179.490,202.240,-47.4680,-1.0850,0.8130,47.4870
290.640,189.490,202.240,-47.4740,-1.0990,0.8050,47.4930
280.640,189.490,202.240,-47.4750,-1.0920,0.8050,47.4920
270.640,189.490,202.240,-47.4880,-1.1040,0.8120,47.5080
260.640,189.490,202.240,-47.4810,-1.0900,0.8230,47.5000
250.640,189.490,202.240,-47.4750,-1.0880,0.8330,47.4970
240.640,189.490,202.240,-47.4720,-1.0890,0.8350,47.4920
230.640,189.490,202.240,-47.4680,-1.0690,0.8560,47.4880
220.640,189.490,202.240,-47.4600,-1.0820,0.8500,47.4790
210.640,189.490,202.240,-47.4580,-1.0800,0.8590,47.4780
200.640,189.490,202.240,-47.4580,-1.0790,0.8540,47.4780
190.640,189.490,202.240,-47.4670,-1.0840,0.8540,47.4870
180.640,189.490,202.240,-47.4690,-1.0900,0.8620,47.4910
170.640,189.490,202.240,-47.4790,-1.0870,0.8650,47.4970
170.640,199.490,202.240,-47.4910,-1.0770,0.8560,47.5080
180.640,199.490,202.240,-47.5030,-1.0800,0.8530,47.5230
190.640,199.490,202.240,-47.4960,-1.0900,0.8420,47.5170
200.640,199.490,202.240,-47.4880,-1.0940,0.8390,47.5100
210.640,199.490,202.240,-47.4750,-1.0890,0.8410,47.4930
220.640,199.490,202.240,-47.4690,-1.0900,0.8540,47.4880
230.640,199.490,202.240,-47.4580,-1.0800,0.8470,47.4800
240.640,199.490,202.240,-47.4570,-1.0780,0.8620,47.4760
250.640,199.490,202.240,-47.4590,-1.0780,0.8430,47.4780
260.640,199.490,202.240,-47.4660,-1.0870,0.8500,47.4830
270.640,199.490,202.240,-47.4740,-1.0870,0.8560,47.4920
280.640,199.490,202.240,-47.4810,-1.0910,0.8450,47.5000
290.640,199.490,202.240,-47.4900,-1.0900,0.8330,47.5080
290.640,209.490,202.240,-47.4940,-1.1120,0.8400,47.5130
280.640,209.490,202.240,-47.4960,-1.1190,0.8470,47.5160
270.640,209.490,202.240,-47.5000,-1.1160,0.8620,47.5210
260.640,209.490,202.240,-47.4930,-1.1040,0.8660,47.5140
250.640,209.490,202.240,-47.4850,-1.0990,0.8630,47.5060
240.640,209.490,202.240,-47.4790,-1.0870,0.8580,47.5020
230.640,209.490,202.240,-47.4670,-1.0690,0.8620,47.4900
220.640,209.490,202.240,-47.4630,-1.0700,0.8580,47.4810
210.640,209.490,202.240,-47.4560,-1.0800,0.8500,47.4770
200.640,209.490,202.240,-47.4580,-1.0730,0.8390,47.4790
190.640,209.490,202.240,-47.4660,-1.0710,0.8510,47.4840
180.640,209.490,202.240,-47.4690,-1.0850,0.8440,47.4870
170.640,209.490,202.240,-47.4790,-1.0790,0.8340,47.4980
170.640,219.490,202.240,-47.4910,-1.0890,0.8300,0.0000
180.640,219.490,202.240,0.0000,0.0000,0.0000,0.0000
190.640,219.490,202.240,-47.4920,-1.0920,0.8180,47.5140
200.640,219.490,202.240,-47.4750,-1.0910,0.8270,47.4930
210.640,219.490,202.240,-47.4640,-1.0850,0.8400,47.4830
220.640,219.490,202.240,-47.4570,-1.0820,0.8380,47.4760
230.640,219.490,202.240,-47.4520,-1.0770,0.8410,47.4710
240.640,219.490,202.240,-47.4520,-1.0720,0.8510,47.4730
250.640,219.490,202.240,-47.4550,-1.0730,0.8640,47.4730
260.640,219.490,202.240,-47.4620,-1.0910,0.8620,47.4810
270.640,219.490,202.240,-47.4720,-1.0910,0.8690,47.4920
280.640,219.490,202.240,-47.4840,-1.0920,0.8670,47.5050
290.640,219.490,202.240,-47.4900,-1.1050,0.8690,47.5090
280.640,229.490,202.240,-47.4960,-1.1130,0.8730,47.5150
270.640,229.490,202.240,-47.4960,-1.1100,0.9060,47.5170
260.640,229.490,202.240,-47.4890,-1.0960,0.8900,47.5110
250.640,229.490,202.240,-47.4830,-1.0880,0.8790,47.5060
240.640,229.490,202.240,-47.4720,-1.0830,0.8830,47.4950
230.640,229.490,202.240,-47.4580,-1.0880,0.8750,47.4790
220.640,229.490,202.240,-47.4510,-1.0720,0.8640,47.4710
210.640,229.490,202.240,-47.4460,-1.0800,0.8530,47.4660
200.640,229.490,202.240,-47.4440,-1.0880,0.8550,47.4650
190.640,229.490,202.240,-47.4470,-1.0800,0.8350,47.4660
180.640,229.490,202.240,-47.4510,-1.0870,0.8310,47.4690
180.640,239.490,202.240,-47.4610,-1.0950,0.8160,47.4800
190.640,239.490,202.240,-47.4660,-1.1080,0.8130,47.4860
200.640,239.490,202.240,-47.4630,-1.1070,0.8070,47.4830
210.640,239.490,202.240,-47.4440,-1.1020,0.8200,47.4630
220.640,239.490,202.240,-47.4320,-1.0870,0.8280,47.4560
230.640,239.490,202.240,-47.4290,-1.0820,0.8430,47.4500
240.640,239.490,202.240,-47.4320,-1.0760,0.8610,47.4520
250.640,239.490,202.240,-47.4370,-1.0770,0.8730,47.4580
260.640,239.490,202.240,-47.4480,-1.0750,0.8900,47.4680
270.640,239.490,202.240,-47.4550,-1.0800,0.8810,47.4760
280.640,239.490,202.240,-47.4690,-1.0900,0.9050,47.4910
270.640,249.490,202.240,-47.4830,-1.1080,0.9000,47.5060
260.640,249.490,202.240,-47.4910,-1.1060,0.9450,47.5130
250.640,249.490,202.240,-47.4710,-1.0890,0.9310,47.4930
240.640,249.490,202.240,-47.4510,-1.0770,0.9100,47.4790
230.640,249.490,202.240,-47.4400,-1.0820,0.8950,47.4600
220.640,249.490,202.240,-47.4310,-1.0720,0.8830,47.4510
210.640,249.490,202.240,-47.4220,-1.0780,0.8690,47.4410
200.640,249.490,202.240,-47.4200,-1.0800,0.8380,47.4390
190.640,249.490,202.240,-47.4190,-1.0850,0.8280,47.4390
210.640,259.490,202.240,-47.4310,-1.0920,0.8110,47.4510
220.640,259.490,202.240,-47.4080,-1.0790,0.8290,47.4330
230.640,259.490,202.240,-47.3980,-1.0800,0.8470,47.4170
240.640,259.490,202.240,-47.3960,-1.0640,0.8790,47.4160
250.640,259.490,202.240,-47.4070,-1.0650,0.8860,47.4290
200.640,269.490,212.240,-47.4190,-1.0770,0.9100,47.4380
210.640,269.490,212.240,-47.3910,-1.0990,0.8100,47.4090
220.640,269.490,212.240,-47.3880,-1.0930,0.8220,47.4090
230.640,269.490,212.240,-47.3850,-1.0850,0.8390,47.4050
240.640,269.490,212.240,-47.3840,-1.0660,0.8720,47.4020
250.640,269.490,212.240,-47.3900,-1.0650,0.8870,47.4100
260.640,269.490,212.240,-47.3950,-1.0630,0.9230,47.4130
280.640,259.490,212.240,-47.3990,-1.0420,0.9390,47.4200
270.640,259.490,212.240,-47.4460,-1.0840,0.9850,47.4630
260.640,259.490,212.240,-47.4580,-1.0840,0.9780,47.4860
250.640,259.490,212.240,-47.4390,-1.0820,0.9460,47.4640
240.640,259.490,212.240,-47.4270,-1.0700,0.9220,47.4510
230.640,259.490,212.240,-47.4200,-1.0700,0.9020,47.4400
220.640,259.490,212.240,-47.4110,-1.0710,0.8840,47.4290
210.640,259.490,212.240,-47.4090,-1.0640,0.8660,47.4280
200.640,259.490,212.240,-47.4070,-1.0950,0.8400,47.4270
190.640,259.490,212.240,-47.4110,-1.0870,0.8360,47.4300
180.640,259.490,212.240,-47.4230,-1.0960,0.8170,47.4390
170.640,249.490,212.240,-47.4380,-1.1070,0.7980,47.4530
180.640,249.490,212.240,-47.4780,-1.1060,0.7940,47.4910
190.640,249.490,212.240,-47.4830,-1.0950,0.8030,47.5050
