# COSI2 B0 scan,,,,,,
# time 2024-08-27 18:12:41.203396,,,,,,
# MAGNET CENTER IN LAB: x 230.640 mm, y 199.490 mm, z 302.240 mm,,,,
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 0.00 deg, gamma -90.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240731/240827_NEWINSERTS_EULERSIM_R120_12pts,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
230.64,199.49,182.24,-47.458,-1.066,0.855,47.477
250.64,239.49,192.24,-47.46,-1.076,0.889,47.481
240.64,239.49,192.24,-47.456,-1.082,0.884,47.481
230.64,239.49,192.24,-47.446,-1.078,0.877,47.466
220.64,239.49,192.24,-47.426,-1.079,0.868,47.447
210.64,239.49,192.24,-47.421,-1.08,0.852,47.441
200.64,229.49,192.24,-47.428,-1.088,0.833,47.448
210.64,229.49,192.24,-47.438,-1.091,0.839,47.458
220.64,229.49,192.24,-47.433,-1.085,0.843,47.452
230.64,229.49,192.24,-47.438,-1.084,0.858,47.458
240.64,229.49,192.24,-47.446,-1.077,0.872,47.463
250.64,229.49,192.24,-47.46,-1.094,0.875,47.479
260.64,229.49,192.24,-47.472,-1.087,0.877,47.492
270.64,219.49,192.24,-47.489,-1.108,0.873,47.507
260.64,219.49,192.24,-47.494,-1.089,0.879,47.517
250.64,219.49,192.24,-47.481,-1.101,0.872,47.505
240.64,219.49,192.24,-47.469,-1.073,0.87,47.49
230.64,219.49,192.24,-47.458,-1.073,0.855,47.477
220.64,219.49,192.24,-47.45,-1.072,0.862,47.472
210.64,219.49,192.24,-47.446,-1.07,0.853,47.465
200.64,219.49,192.24,-47.447,-1.085,0.834,47.465
190.64,219.49,192.24,-47.449,-1.096,0.824,47.465
190.64,209.49,192.24,-47.46,-1.09,0.835,47.478
200.64,209.49,192.24,-47.465,-1.084,0.835,47.485
210.64,209.49,192.24,-47.454,-1.08,0.845,47.474
220.64,209.49,192.24,-47.456,-1.089,0.847,47.476
230.64,209.49,192.24,-47.454,-1.067,0.858,47.472
240.64,209.49,192.24,-47.46,-1.07,0.854,47.48
250.64,209.49,192.24,-47.471,-1.089,0.864,47.488
260.64,209.49,192.24,-47.479,-1.084,0.866,47.501
270.64,209.49,192.24,-47.487,-1.099,0.867,47.505
270.64,199.49,192.24,-47.502,-1.101,0.855,47.521
260.64,199.49,192.24,-47.491,-1.096,0.848,47.513
250.64,199.49,192.24,-47.482,-1.077,0.854,47.504
240.64,199.49,192.24,-47.47,-1.073,0.853,47.49
230.64,199.49,192.24,-47.466,-1.073,0.858,47.486
220.64,199.49,192.24,-47.456,-1.072,0.852,47.476
210.64,199.49,192.24,-47.458,-1.072,0.87,47.476
200.64,199.49,192.24,-47.459,-1.08,0.852,47.478
190.64,199.49,192.24,-47.47,-1.078,0.856,47.489
190.64,189.49,192.24,-47.479,-1.081,0.846,47.499
200.64,189.49,192.24,-47.476,-1.081,0.872,47.498
210.64,189.49,192.24,-47.462,-1.082,0.863,47.484
220.64,189.49,192.24,-47.458,-1.075,0.852,47.478
230.64,189.49,192.24,-47.456,-1.075,0.852,47.476
240.64,189.49,192.24,-47.454,-1.08,0.853,47.474
250.64,189.49,192.24,-47.463,-1.079,0.85,47.483
260.64,189.49,192.24,-47.475,-1.084,0.838,47.491
270.64,189.49,192.24,-47.481,-1.093,0.833,47.499
270.64,179.49,192.24,-47.484,-1.087,0.817,47.507
260.64,179.49,192.24,-47.471,-1.07,0.829,47.492
250.64,179.49,192.24,-47.466,-1.073,0.846,47.489
240.64,179.49,192.24,-47.459,-1.079,0.854,47.479
230.64,179.49,192.24,-47.451,-1.071,0.865,47.472
220.64,179.49,192.24,-47.454,-1.068,0.869,47.474
210.64,179.49,192.24,-47.45,-1.08,0.878,47.47
200.64,179.49,192.24,-47.456,-1.084,0.876,47.477
190.64,179.49,192.24,-47.472,-1.098,0.879,47.491
200.64,169.49,192.24,-47.47,-1.09,0.877,47.494
210.64,169.49,192.24,-47.454,-1.096,0.87,47.476
220.64,169.49,192.24,-47.445,-1.073,0.872,47.47
230.64,169.49,192.24,-47.446,-1.087,0.867,47.469
240.64,169.49,192.24,-47.44,-1.072,0.859,47.46
250.64,169.49,192.24,-47.445,-1.076,0.854,47.463
260.64,169.49,192.24,-47.453,-1.073,0.836,47.471
