# COSI2 B0 scan
# time 2024-08-27 09:33:45.476618
# MAGNET CENTER IN LAB: x 230.640 mm, y 199.490 mm, z 302.240 mm
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240731/240827_NO_INSERTS_sphere_shell_20pts_R120
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
244.680,199.490,421.420,-47.5600,-1.1120,0.4350,47.5780
244.000,203.830,421.420,-47.5700,-1.1350,0.4070,47.5850
242.000,207.740,421.420,-47.5680,-1.1250,0.4000,47.5830
238.890,210.850,421.420,-47.5660,-1.1170,0.4100,47.5800
234.980,212.850,421.420,-47.5560,-1.1080,0.4120,47.5710
230.640,213.530,421.420,-47.5440,-1.1020,0.4200,47.5580
226.300,212.850,421.420,-47.5260,-1.0990,0.4150,47.5410
222.390,210.850,421.420,-47.5220,-1.0990,0.4170,47.5370
219.280,207.740,421.420,-47.5150,-1.1050,0.4140,47.5290
217.280,203.830,421.420,-47.5090,-1.1060,0.3990,47.5230
216.600,199.490,421.420,-47.5070,-1.1130,0.4030,47.5200
217.280,195.150,421.420,-47.5040,-1.1270,0.3830,47.5200
219.280,191.240,421.420,-47.5100,-1.1320,0.3940,47.5260
222.390,188.130,421.420,-47.5110,-1.1470,0.3890,47.5280
226.300,186.130,421.420,-47.5210,-1.1600,0.3880,47.5360
230.640,185.450,421.420,-47.5290,-1.1640,0.3760,47.5430
234.980,186.130,421.420,-47.5380,-1.1650,0.3780,47.5530
238.890,188.130,421.420,-47.5440,-1.1610,0.3880,47.5610
242.000,191.240,421.420,-47.5560,-1.1600,0.3960,47.5690
244.000,195.150,421.420,-47.5610,-1.1560,0.3850,47.5760
262.560,199.490,417.920,-47.5660,-1.1400,0.3890,47.5810
261.000,209.350,417.920,-47.6080,-1.1080,0.4060,47.6240
256.460,218.250,417.920,-47.6040,-1.0840,0.4410,47.6180
249.400,225.310,417.920,-47.5910,-1.0770,0.4590,47.6060
240.500,229.850,417.920,-47.5630,-1.0660,0.4700,47.5770
230.640,231.410,417.920,-47.5440,-1.0690,0.4720,47.5590
220.780,229.850,417.920,-47.5220,-1.0600,0.4660,47.5340
211.880,225.310,417.920,-47.5000,-1.0470,0.4500,47.5140
204.820,218.250,417.920,-47.4880,-1.0530,0.4270,47.5010
200.280,209.350,417.920,-47.4790,-1.0570,0.4100,47.4920
198.720,199.490,417.920,-47.4780,-1.0650,0.3870,47.4890
200.280,189.630,417.920,-47.4800,-1.1040,0.3860,47.4920
204.820,180.730,417.920,-47.4840,-1.1180,0.3790,47.5000
211.880,173.670,417.920,-47.4930,-1.1490,0.3930,47.5090
220.780,169.130,417.920,-47.5020,-1.1650,0.3860,47.5180
230.640,167.570,417.920,-47.5150,-1.1840,0.3950,47.5340
240.500,169.130,417.920,-47.5310,-1.1950,0.3850,47.5470
249.400,173.670,417.920,-47.5480,-1.1940,0.3850,47.5650
256.460,180.730,417.920,-47.5650,-1.1900,0.3900,47.5800
261.000,189.630,417.920,-47.5830,-1.1690,0.3860,47.6000
279.800,199.490,411.710,-47.5970,-1.1350,0.3870,47.6130
277.390,214.680,411.710,-47.6260,-1.0840,0.4280,47.6410
270.410,228.390,411.710,-47.6270,-1.0590,0.4780,47.6420
259.540,239.260,411.710,-47.6030,-1.0490,0.5200,47.6180
245.830,246.240,411.710,-47.5710,-1.0440,0.5330,47.5850
230.640,248.650,411.710,-47.5360,-1.0470,0.5340,47.5510
