# COSI2 B0 scan
# time 2024-08-27 13:10:10.981560
# MAGNET CENTER IN LAB: x 230.640 mm, y 199.490 mm, z 302.240 mm
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240731/240827_negative_rotations_sphere_shell_20pts_R120
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
244.680,199.490,421.420,-47.5700,-1.0930,1.3450,47.6010
244.000,203.830,421.420,-47.5680,-1.0900,1.3550,47.5970
242.000,207.740,421.420,-47.5710,-1.0750,1.3580,0.0000
238.890,210.850,421.420,0.0000,0.0000,0.0000,0.0000
234.980,212.850,421.420,-47.5640,-1.0810,1.3740,0.0000
230.640,213.530,421.420,0.0000,0.0000,0.0000,0.0000
226.300,212.850,421.420,-47.5440,-1.0680,1.3820,0.0000
222.390,210.850,421.420,0.0000,0.0000,0.0000,0.0000
219.280,207.740,421.420,-47.5230,-1.0770,1.3670,47.5570
217.280,203.830,421.420,-47.5170,-1.0790,1.3710,47.5530
216.600,199.490,421.420,-47.5120,-1.0880,1.3550,0.0000
217.280,195.150,421.420,538.0000,0.0000,0.0000,0.0000
219.280,191.240,421.420,-47.5090,-1.1230,1.3460,47.5420
222.390,188.130,421.420,-47.5090,-1.1150,1.3440,47.5410
226.300,186.130,421.420,-47.5140,-1.1230,1.3300,47.5460
230.640,185.450,421.420,-47.5220,-1.1290,1.3270,47.5490
234.980,186.130,421.420,-47.5290,-1.1390,1.3300,47.5590
238.890,188.130,421.420,-47.5360,-1.1340,1.3190,47.5660
242.000,191.240,421.420,-47.5440,-1.1400,1.3200,47.5760
244.000,195.150,421.420,-47.5520,-1.1330,1.3160,47.5840
262.560,199.490,417.920,-47.5610,-1.1100,1.3220,47.5900
261.000,209.350,417.920,-47.5890,-1.0780,1.3490,47.6170
256.460,218.250,417.920,-47.5970,-1.0580,1.3850,47.6300
249.400,225.310,417.920,-47.5920,-1.0480,1.4170,47.6230
240.500,229.850,417.920,-47.5730,-1.0530,1.4370,47.6080
230.640,231.410,417.920,-47.5520,-1.0450,1.4300,47.5850
220.780,229.850,417.920,-47.5320,-1.0490,1.4310,47.5690
211.880,225.310,417.920,-47.5110,-1.0430,1.4210,47.5450
204.820,218.250,417.920,-47.4910,-1.0470,1.4020,47.5270
200.280,209.350,417.920,-47.4810,-1.0570,1.3750,47.5140
198.720,199.490,417.920,-47.4770,-1.0570,1.3520,47.5090
200.280,189.630,417.920,-47.4730,-1.0950,1.3190,47.5040
204.820,180.730,417.920,-47.4820,-1.1030,1.3280,47.5140
211.880,173.670,417.920,-47.4900,-1.1260,1.3260,47.5220
220.780,169.130,417.920,-47.4990,-1.1510,1.3190,47.5270
230.640,167.570,417.920,-47.5050,-1.1700,1.3090,47.5350
240.500,169.130,417.920,-47.5170,-1.1810,1.3230,47.5490
249.400,173.670,417.920,-47.5360,-1.1800,1.3200,47.5650
256.460,180.730,417.920,-47.5470,-1.1730,1.3090,47.5760
261.000,189.630,417.920,-47.5650,-1.1510,1.3140,47.5940
279.800,199.490,411.710,-47.5760,-1.1180,1.3250,47.6040
277.390,214.680,411.710,-47.6090,-1.0560,1.3820,47.6410
270.410,228.390,411.710,-47.6110,-1.0330,1.4190,47.6430
259.540,239.260,411.710,-47.5920,-1.0340,1.4750,47.6300
245.830,246.240,411.710,-47.5730,-1.0360,1.4970,47.6080
230.640,248.650,411.710,-47.5340,-1.0260,1.5110,47.5740
215.450,246.240,411.710,-47.5050,-1.0370,1.4800,47.5460
201.740,239.260,411.710,-47.4840,-1.0360,1.4700,47.5210
190.870,228.390,411.710,-47.4730,-1.0190,1.4370,47.5060
183.890,214.680,411.710,-47.4640,-1.0100,1.4010,47.4940
181.480,199.490,411.710,-47.4660,-1.0190,1.3680,47.4950
183.890,184.300,411.710,-47.4670,-1.0530,1.3460,47.4970
190.870,170.590,411.710,-47.4730,-1.0940,1.3420,47.5000
201.740,159.720,411.710,-47.4770,-1.1230,1.3480,47.5100
215.450,152.740,411.710,-47.4920,-1.1600,1.3460,47.5230
230.640,150.330,411.710,-47.5010,-1.1840,1.3360,47.5340
