# COSI2 B0 scan
# time 2024-08-27 08:05:20.531437
# MAGNET CENTER IN LAB: x 230.640 mm, y 199.490 mm, z 302.240 mm
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240731/240827_positive_rotations_sphere_shell_20pts_R120
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
244.680,199.490,421.420,-47.6380,-1.0910,0.4050,47.6540
244.000,203.830,421.420,-47.6420,-1.0840,0.3950,47.6570
242.000,207.740,421.420,-47.6390,-1.0720,0.4150,47.6530
238.890,210.850,421.420,-47.6320,-1.0800,0.4290,47.6470
234.980,212.850,421.420,-47.6210,-1.0650,0.4290,47.6360
230.640,213.530,421.420,-47.6100,-1.0760,0.4240,47.6230
226.300,212.850,421.420,-47.5990,-1.0910,0.4200,47.6140
222.390,210.850,421.420,-47.5920,-1.0950,0.4170,47.6070
219.280,207.740,421.420,-47.5750,-1.1050,0.4060,47.5910
217.280,203.830,421.420,-47.5740,-1.1280,0.4170,47.5880
216.600,199.490,421.420,-47.5740,-1.1190,0.3970,47.5900
217.280,195.150,421.420,-47.5730,-1.1370,0.3880,47.5880
219.280,191.240,421.420,-47.5780,-1.1480,0.3840,47.5950
222.390,188.130,421.420,-47.5810,-1.1560,0.3840,47.5970
226.300,186.130,421.420,-47.5930,-1.1560,0.3820,47.6090
230.640,185.450,421.420,-47.6000,-1.1490,0.3830,47.6150
234.980,186.130,421.420,-47.6090,-1.1400,0.3810,47.6250
238.890,188.130,421.420,-47.6170,-1.1330,0.3830,47.6320
242.000,191.240,421.420,-47.6250,-1.1210,0.3880,47.6410
244.000,195.150,421.420,-47.6330,-1.1110,0.3870,47.6450
262.560,199.490,417.920,-47.6420,-1.0950,0.3930,47.6570
261.000,209.350,417.920,-47.6680,-1.0330,0.4140,47.6800
256.460,218.250,417.920,-47.6660,-1.0200,0.4500,47.6800
249.400,225.310,417.920,-47.6510,-1.0220,0.4740,47.6630
240.500,229.850,417.920,-47.6300,-1.0270,0.4860,47.6430
230.640,231.410,417.920,-47.5950,-1.0390,0.4820,47.6080
220.780,229.850,417.920,-47.5680,-1.0460,0.4860,47.5830
211.880,225.310,417.920,-47.5510,-1.0580,0.4640,47.5650
204.820,218.250,417.920,-47.5340,-1.0700,0.4350,47.5480
200.280,209.350,417.920,-47.5300,-1.0910,0.4100,47.5440
198.720,199.490,417.920,-47.5280,-1.1120,0.3900,47.5430
200.280,189.630,417.920,-47.5330,-1.1440,0.3930,47.5490
204.820,180.730,417.920,-47.5380,-1.1660,0.3950,47.5560
211.880,173.670,417.920,-47.5440,-1.1820,0.3870,47.5600
220.780,169.130,417.920,-47.5630,-1.1900,0.3900,47.5800
230.640,167.570,417.920,-47.5770,-1.1770,0.3990,47.5940
240.500,169.130,417.920,-47.5930,-1.1860,0.3840,47.6090
249.400,173.670,417.920,-47.6090,-1.1630,0.3820,47.6250
256.460,180.730,417.920,-47.6290,-1.1350,0.3770,47.6440
261.000,189.630,417.920,-47.6480,-1.1020,0.3700,47.6630
279.800,199.490,411.710,-47.6620,-1.0660,0.3890,47.6750
277.390,214.680,411.710,-47.6700,-0.9990,0.4390,47.6840
270.410,228.390,411.710,-47.6680,-0.9670,0.4970,47.6780
259.540,239.260,411.710,-47.6410,-0.9790,0.5400,47.6540
245.830,246.240,411.710,-47.6060,-1.0060,0.5600,47.6230
230.640,248.650,411.710,-47.5700,-1.0110,0.5600,47.5850
215.450,246.240,411.710,-47.5460,-1.0420,0.5450,47.5590
201.740,239.260,411.710,-47.5220,-1.0320,0.5080,47.5360
190.870,228.390,411.710,-47.5080,-1.0440,0.4780,47.5240
183.890,214.680,411.710,-47.4970,-1.0490,0.4350,47.5120
181.480,199.490,411.710,-47.5000,-1.0740,0.4090,47.5140
183.890,184.300,411.710,-47.5000,-1.1120,0.4070,47.5150
190.870,170.590,411.710,-47.5070,-1.1640,0.4090,47.5230
201.740,159.720,411.710,-47.5210,-1.1760,0.4120,47.5390
215.450,152.740,411.710,-47.5390,-1.1960,0.4110,47.5560
230.640,150.330,411.710,-47.5570,-1.1990,0.4100,47.5710
245.830,152.740,411.710,-47.5730,-1.2010,0.4060,47.5900
259.540,159.720,411.710,-47.5940,-1.1770,0.3870,47.6110
270.410,170.590,411.710,-47.6200,-1.1450,0.3790,47.6340
277.390,184.300,411.710,-47.6400,-1.1030,0.3750,47.6540
295.910,199.490,402.930,-47.6590,-1.0440,0.3900,47.6720
292.720,219.660,402.930,-47.6640,-0.9780,0.4640,47.6770
