# COSI2 B0 scan,,,,,,
# time 2024-08-28 10:23:03.038113,,,,,,
# MAGNET CENTER IN LAB: x 230.640 mm, y 199.490 mm, z 302.240 mm,,,,
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 0.00 deg, gamma -90.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240731/240828_onering_from_thursday_ball_R120_12pts,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
230.64,199.49,182.24,-47.506,-1.14,0.88,47.527
250.64,239.49,192.24,-47.501,-1.142,0.889,47.523
240.64,239.49,192.24,-47.5,-1.143,0.944,47.524
230.64,239.49,192.24,-47.497,-1.145,0.938,47.521
220.64,239.49,192.24,-47.48,-1.148,0.927,47.503
210.64,239.49,192.24,-47.472,-1.137,0.909,47.495
200.64,229.49,192.24,-47.465,-1.144,0.899,47.488
210.64,229.49,192.24,-47.473,-1.15,0.879,47.496
220.64,229.49,192.24,-47.484,-1.144,0.878,47.506
230.64,229.49,192.24,-47.48,-1.145,0.89,47.5
240.64,229.49,192.24,-47.485,-1.15,0.908,47.508
250.64,229.49,192.24,-47.487,-1.148,0.918,47.508
260.64,229.49,192.24,-47.496,-1.16,0.919,47.52
270.64,219.49,192.24,-47.508,-1.171,0.936,47.533
260.64,219.49,192.24,-47.527,-1.185,0.937,47.548
250.64,219.49,192.24,-47.534,-1.175,0.921,47.561
240.64,219.49,192.24,-47.523,-1.165,0.914,47.548
230.64,219.49,192.24,-47.509,-1.145,0.918,47.533
220.64,219.49,192.24,-47.504,-1.147,0.915,47.525
210.64,219.49,192.24,-47.497,-1.141,0.905,47.518
200.64,219.49,192.24,-47.489,-1.149,0.892,47.509
190.64,219.49,192.24,-47.488,-1.147,0.887,47.51
190.64,209.49,192.24,-47.498,-1.147,0.864,47.52
200.64,209.49,192.24,-47.512,-1.143,0.869,47.534
210.64,209.49,192.24,-47.514,-1.149,0.866,47.539
220.64,209.49,192.24,-47.508,-1.135,0.883,47.532
230.64,209.49,192.24,-47.501,-1.144,0.886,47.523
240.64,209.49,192.24,-47.495,-1.147,0.891,47.516
250.64,209.49,192.24,-47.505,-1.143,0.89,47.524
260.64,209.49,192.24,-47.512,-1.147,0.899,47.53
270.64,209.49,192.24,-47.519,-1.176,0.903,47.542
270.64,199.49,192.24,-47.529,-1.182,0.902,47.552
260.64,199.49,192.24,-47.535,-1.197,0.892,47.559
250.64,199.49,192.24,-47.536,-1.184,0.891,47.561
240.64,199.49,192.24,-47.522,-1.165,0.882,47.547
230.64,199.49,192.24,-47.514,-1.156,0.89,47.536
220.64,199.49,192.24,-47.506,-1.145,0.887,47.531
210.64,199.49,192.24,-47.502,-1.131,0.889,47.525
200.64,199.49,192.24,-47.506,-1.142,0.888,47.525
190.64,199.49,192.24,-47.509,-1.139,0.88,47.531
190.64,189.49,192.24,-47.512,-1.145,0.876,47.534
200.64,189.49,192.24,-47.529,-1.138,0.878,47.55
210.64,189.49,192.24,-47.521,-1.136,0.885,47.545
220.64,189.49,192.24,-47.515,-1.15,0.889,47.54
230.64,189.49,192.24,-47.504,-1.148,0.9,47.527
240.64,189.49,192.24,-47.501,-1.151,0.878,47.525
250.64,189.49,192.24,-47.502,-1.16,0.882,47.523
260.64,189.49,192.24,-47.512,-1.163,0.863,47.533
270.64,189.49,192.24,-47.515,-1.17,0.86,47.535
270.64,179.49,192.24,-47.519,-1.18,0.86,47.542
260.64,179.49,192.24,-47.522,-1.188,0.836,47.544
250.64,179.49,192.24,-47.511,-1.177,0.854,47.533
240.64,179.49,192.24,-47.505,-1.165,0.858,47.527
230.64,179.49,192.24,-47.502,-1.162,0.865,47.526
220.64,179.49,192.24,-47.499,-1.151,0.881,47.524
210.64,179.49,192.24,-47.498,-1.147,0.883,47.522
200.64,179.49,192.24,-47.502,-1.151,0.892,47.523
190.64,179.49,192.24,-47.509,-1.151,0.9,47.53
200.64,169.49,192.24,-47.519,-1.141,0.893,47.538
210.64,169.49,192.24,-47.513,-1.154,0.892,47.537
220.64,169.49,192.24,-47.505,-1.157,0.888,47.529
230.64,169.49,192.24,-47.498,-1.157,0.889,47.52
240.64,169.49,192.24,-47.494,-1.159,0.875,47.514
250.64,169.49,192.24,-47.488,-1.162,0.865,47.51
260.64,169.49,192.24,-47.49,-1.16,0.856,47.51
250.64,159.49,192.24,-47.491,-1.161,0.843,47.512
240.64,159.49,192.24,-47.485,-1.16,0.845,47.51
230.64,159.49,192.24,-47.479,-1.154,0.856,47.5
220.64,159.49,192.24,-47.474,-1.17,0.864,47.499
210.64,159.49,192.24,-47.484,-1.171,0.89,47.505
210.64,139.49,202.24,-47.487,-1.156,0.885,47.506
220.64,139.49,202.24,-47.487,-1.164,0.886,47.512
230.64,139.49,202.24,-47.481,-1.179,0.877,47.501
240.64,139.49,202.24,-47.463,-1.168,0.862,47.487
250.64,139.49,202.24,-47.461,-1.167,0.845,47.479
270.64,149.49,202.24,-47.456,-1.168,0.833,47.48
260.64,149.49,202.24,-47.469,-1.164,0.834,47.49
250.64,149.49,202.24,-47.469,-1.151,0.834,47.49
240.64,149.49,202.24,-47.472,-1.162,0.848,47.492
230.64,149.49,202.24,-47.468,-1.153,0.856,47.488
220.64,149.49,202.24,-47.471,-1.161,0.859,47.491
210.64,149.49,202.24,-47.47,-1.154,0.869,47.493
200.64,149.49,202.24,-47.48,-1.164,0.885,47.502
190.64,149.49,202.24,-47.493,-1.163,0.894,47.516
180.64,159.49,202.24,-47.503,-1.162,0.894,47.523
190.64,159.49,202.24,-47.52,-1.149,0.89,47.541
200.64,159.49,202.24,-47.525,-1.154,0.89,47.55
210.64,159.49,202.24,-47.513,-1.161,0.887,47.536
220.64,159.49,202.24,-47.504,-1.166,0.889,47.529
230.64,159.49,202.24,-47.492,-1.161,0.883,47.514
240.64,159.49,202.24,-47.487,-1.159,0.869,47.51
250.64,159.49,202.24,-47.481,-1.152,0.859,47.504
260.64,159.49,202.24,-47.486,-1.156,0.841,47.507
270.64,159.49,202.24,-47.482,-1.15,0.843,47.503
280.64,159.49,202.24,-47.479,-1.148,0.827,47.502
280.64,169.49,202.24,-47.478,-1.16,0.809,47.501
270.64,169.49,202.24,-47.479,-1.164,0.817,47.499
260.64,169.49,202.24,-47.489,-1.164,0.825,47.51
250.64,169.49,202.24,-47.491,-1.159,0.836,47.513
240.64,169.49,202.24,-47.486,-1.164,0.845,47.509
230.64,169.49,202.24,-47.486,-1.153,0.856,47.505
