# COSI2 B0 scan
# time 2024-08-27 10:13:11.065607
# MAGNET CENTER IN LAB: x 230.640 mm, y 199.490 mm, z 302.240 mm
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240731/ONE_INSERT_Z-260Y0X-90_R120_12pts
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
230.640,199.490,182.240,-0.0100,0.0400,-0.0100,0.0450
250.640,239.490,192.240,-0.0050,0.0510,0.0030,0.0520
240.640,239.490,192.240,-0.0070,0.0490,0.0090,0.0520
230.640,239.490,192.240,-0.0100,0.0580,0.0090,0.0480
220.640,239.490,192.240,-0.0090,0.0410,0.0080,0.0440
210.640,239.490,192.240,-0.0110,0.0530,0.0090,0.0460
200.640,229.490,192.240,-0.0040,0.0570,0.0020,0.0460
210.640,229.490,192.240,-0.0070,0.0520,0.0150,0.0540
220.640,229.490,192.240,-0.0070,0.0490,0.0080,0.0520
230.640,229.490,192.240,-0.0080,0.0510,0.0070,0.0540
240.640,229.490,192.240,-0.0040,0.0530,0.0090,0.0460
250.640,229.490,192.240,-0.0110,0.0490,0.0170,0.0530
260.640,229.490,192.240,-0.0100,0.0560,0.0050,0.0570
270.640,219.490,192.240,-0.0130,0.0490,-0.0020,0.0500
260.640,219.490,192.240,-0.0110,0.0560,0.0070,0.0580
250.640,219.490,192.240,-0.0140,0.0500,0.0090,0.0530
240.640,219.490,192.240,-0.0160,0.0420,0.0060,0.0460
230.640,219.490,192.240,-0.0110,0.0550,0.0070,0.0570
220.640,219.490,192.240,-0.0110,0.0390,0.0090,0.0570
210.640,219.490,192.240,-0.0100,0.0430,0.0060,0.0530
200.640,219.490,192.240,-0.0070,0.0500,0.0120,0.0420
190.640,219.490,192.240,-0.0060,0.0510,0.0070,0.0550
190.640,209.490,192.240,-0.0070,0.0430,0.0080,0.0480
200.640,209.490,192.240,-0.0090,0.0550,0.0080,0.0450
210.640,209.490,192.240,-0.0040,0.0460,0.0030,0.0510
220.640,209.490,192.240,-0.0010,0.0570,0.0070,0.0470
230.640,209.490,192.240,-0.0080,0.0530,0.0010,0.0470
240.640,209.490,192.240,-0.0080,0.0490,0.0080,0.0500
250.640,209.490,192.240,-0.0070,0.0500,0.0050,0.0510
260.640,209.490,192.240,-0.0070,0.0530,0.0070,0.0540
270.640,209.490,192.240,-0.0110,0.0490,0.0120,0.0510
270.640,199.490,192.240,-0.0130,0.0510,0.0080,0.0530
260.640,199.490,192.240,-0.0150,0.0520,-0.0040,0.0640
250.640,199.490,192.240,-0.0100,0.0530,0.0030,0.0620
240.640,199.490,192.240,-0.0120,0.0510,0.0120,0.0430
230.640,199.490,192.240,-0.0090,0.0510,-0.0020,0.0580
220.640,199.490,192.240,-0.0080,0.0430,0.0000,0.0570
210.640,199.490,192.240,-0.0050,0.0410,0.0000,0.0480
200.640,199.490,192.240,-0.0080,0.0570,0.0010,0.0580
190.640,199.490,192.240,-0.0040,0.0510,0.0050,0.0510
190.640,189.490,192.240,-0.0060,0.0480,0.0010,0.0480
200.640,189.490,192.240,-0.0030,0.0450,0.0040,0.0460
210.640,189.490,192.240,-0.0050,0.0600,0.0000,0.0560
220.640,189.490,192.240,-0.0040,0.0440,0.0050,0.0550
230.640,189.490,192.240,-0.0010,0.0510,0.0020,0.0500
240.640,189.490,192.240,-0.0050,0.0500,0.0040,0.0420
250.640,189.490,192.240,-0.0080,0.0550,0.0030,0.0560
260.640,189.490,192.240,-0.0060,0.0520,0.0100,0.0510
270.640,189.490,192.240,-0.0130,0.0570,-0.0040,0.0590
270.640,179.490,192.240,-0.0110,0.0510,-0.0020,0.0540
260.640,179.490,192.240,-0.0110,0.0540,-0.0010,0.0550
250.640,179.490,192.240,-0.0130,0.0480,-0.0040,0.0500
240.640,179.490,192.240,-0.0080,0.0580,0.0020,0.0590
230.640,179.490,192.240,-0.0050,0.0540,-0.0060,0.0560
220.640,179.490,192.240,-0.0100,0.0490,0.0010,0.0400
210.640,179.490,192.240,-0.0070,0.0460,0.0030,0.0580
200.640,179.490,192.240,-0.0070,0.0510,0.0030,0.0440
190.640,179.490,192.240,-0.0080,0.0510,0.0000,0.0520
200.640,169.490,192.240,-0.0010,0.0510,0.0070,0.0510
210.640,169.490,192.240,-0.0040,0.0480,0.0050,0.0480
